"State_name","Year","AC_no","Cand","Sex","Party","Votes","Age","Caste","Position"
"Rajasthan",1962,1,"HAJARI LAL","M","IND",18249,NA,NA,1
"Rajasthan",1962,1,"HARLAL SINGH","M","INC",10279,NA,NA,2
"Rajasthan",1962,1,"VISHESHWAR SINGH","M","CPI",6817,NA,NA,3
"Rajasthan",1962,1,"MATU RAM","M","JS",2170,NA,NA,4
"Rajasthan",1962,2,"SHIV NARAIN CHHACHHIA","M","SWA",11500,NA,NA,1
"Rajasthan",1962,2,"MAHADEO PRASAD","M","INC",9487,NA,NA,2
"Rajasthan",1962,2,"MOOL CHAND","M","CPI",6981,NA,NA,3
"Rajasthan",1962,2,"SADUWA","M","IND",939,NA,NA,4
"Rajasthan",1962,3,"SHISI RAM OLA","M","INC",10626,NA,NA,1
"Rajasthan",1962,3,"CHUNI LAL","M","SWA",10562,NA,NA,2
"Rajasthan",1962,3,"JAI SINGH","M","CPI",5328,NA,NA,3
"Rajasthan",1962,3,"TARKESHWAR","M","IND",4250,NA,NA,4
"Rajasthan",1962,3,"MANGE LAL","M","IND",1137,NA,NA,5
"Rajasthan",1962,4,"JIV RAJ","M","SWA",13303,NA,NA,1
"Rajasthan",1962,4,"SHIV NATH SINGH","M","INC",11457,NA,NA,2
"Rajasthan",1962,4,"GYAN PRAKASH","M","CPI",3378,NA,NA,3
"Rajasthan",1962,4,"ONKAR SINGH","M","JS",1766,NA,NA,4
"Rajasthan",1962,4,"DAMODAR PRASAD","M","IND",1360,NA,NA,5
"Rajasthan",1962,5,"BHIM SINGH","M","INC",14083,NA,NA,1
"Rajasthan",1962,5,"HARI SINGH","M","IND",7172,NA,NA,2
"Rajasthan",1962,5,"YATENDRA SINGH","M","SWA",6871,NA,NA,3
"Rajasthan",1962,5,"MAM CHAND","M","CPI",1943,NA,NA,4
"Rajasthan",1962,5,"SHEOPAL","M","IND",1890,NA,NA,5
"Rajasthan",1962,5,"SHANKAR LAL","M","JS",901,NA,NA,6
"Rajasthan",1962,5,"FAIYAZ ALI KHAN","M","IND",248,NA,NA,7
"Rajasthan",1962,6,"SUMITRA","F","INC",17643,NA,NA,1
"Rajasthan",1962,6,"SITA RAM","M","IND",13347,NA,NA,2
"Rajasthan",1962,6,"MANGAL CHAND","M","CPI",2324,NA,NA,3
"Rajasthan",1962,6,"SANWAR MAL","M","JS",1738,NA,NA,4
"Rajasthan",1962,7,"RAGHUVIR SINGH","M","SWA",15436,NA,NA,1
"Rajasthan",1962,7,"RAM NARAIN","M","INC",14091,NA,NA,2
"Rajasthan",1962,7,"MOTI SINGH","M","CPI",6819,NA,NA,3
"Rajasthan",1962,8,"BABU RAM","M","IND",14581,NA,NA,1
"Rajasthan",1962,8,"ABDUL GAFFAR KHAN","M","INC",6866,NA,NA,2
"Rajasthan",1962,8,"BANSIDHAR","M","SWA",3966,NA,NA,3
"Rajasthan",1962,8,"BALBIR SINGH","M","CPI",3278,NA,NA,4
"Rajasthan",1962,8,"SATTAR","M","IND",1448,NA,NA,5
"Rajasthan",1962,8,"BEHARI LAL","M","JS",1207,NA,NA,6
"Rajasthan",1962,8,"CHATURBHUJ","M","IND",959,NA,NA,7
"Rajasthan",1962,8,"IBRAHIM KHAN","M","IND",151,NA,NA,8
"Rajasthan",1962,9,"KISHANSINGH","M","INC",9923,NA,NA,1
"Rajasthan",1962,9,"TRILOK SINGH","M","CPI",9410,NA,NA,2
"Rajasthan",1962,9,"NARAIN SINGH","M","SWA",8599,NA,NA,3
"Rajasthan",1962,9,"DURGA DUTT JALAN","M","IND",2889,NA,NA,4
"Rajasthan",1962,9,"PERMARAM","M","IND",1162,NA,NA,5
"Rajasthan",1962,9,"MANMATH KAMER","M","IND",1066,NA,NA,6
"Rajasthan",1962,9,"ISHAR","M","IND",889,NA,NA,7
"Rajasthan",1962,9,"BAIJNATH","M","IND",818,NA,NA,8
"Rajasthan",1962,9,"RAM KUMAR","M","IND",308,NA,NA,9
"Rajasthan",1962,10,"SWAROOP NARAIN","M","INC",13749,NA,NA,1
"Rajasthan",1962,10,"JAGDISH PRASAD","M","JS",7805,NA,NA,2
"Rajasthan",1962,10,"MOHAN LAL","M","CPI",7087,NA,NA,3
"Rajasthan",1962,10,"ARJUN","M","IND",1408,NA,NA,4
"Rajasthan",1962,10,"SIRAJ AHMAD","M","IND",467,NA,NA,5
"Rajasthan",1962,10,"BHINWRAJ","M","SWA",399,NA,NA,6
"Rajasthan",1962,10,"FAIYAZ","M","IND",360,NA,NA,7
"Rajasthan",1962,10,"MANIR KHAN","M","IND",297,NA,NA,8
"Rajasthan",1962,10,"SHIV BHAGWAN","M","IND",231,NA,NA,9
