"State_name","Year","AC_no","AC_name","AC_type","Electors"
"Rajasthan",1962,1,"PILANI","GEN",58904
"Rajasthan",1962,2,"SURAJGARH","SC",61062
"Rajasthan",1962,3,"KHETRI","GEN",58391
"Rajasthan",1962,4,"GUDHA","GEN",54110
"Rajasthan",1962,5,"NAWALGARH","GEN",54476
"Rajasthan",1962,6,"JHUNJHUNU","GEN",56414
"Rajasthan",1962,7,"MANDAWA","GEN",59360
"Rajasthan",1962,8,"FATEHPUR","GEN",54734
"Rajasthan",1962,9,"LACHHMANGARH","GEN",61074
"Rajasthan",1962,10,"SIKAR","GEN",56288
"Rajasthan",1962,11,"SINGRAWAT","GEN",43928
"Rajasthan",1962,12,"DANTA RAMGARH","GEN",72090
"Rajasthan",1962,13,"SRI MADHOPUR","GEN",66827
"Rajasthan",1962,14,"THOI","GEN",48579
"Rajasthan",1962,15,"NEEM KA THANA","GEN",56410
"Rajasthan",1962,16,"CHOMU","SC",52685
"Rajasthan",1962,17,"AMBER","GEN",48534
"Rajasthan",1962,18,"HAWAMAHAL","GEN",55480
"Rajasthan",1962,19,"JOHRI BAZAR","GEN",69593
"Rajasthan",1962,20,"KISHANPOLE","GEN",75363
"Rajasthan",1962,21,"PHULERA","GEN",53724
"Rajasthan",1962,22,"DUDU","GEN",52344
"Rajasthan",1962,23,"PHAGI","SC",54745
"Rajasthan",1962,24,"CHAKSU","GEN",50951
"Rajasthan",1962,25,"LALSOT","ST",47225
"Rajasthan",1962,26,"SIKRAI","ST",43311
"Rajasthan",1962,27,"BANDIKUI","GEN",54451
"Rajasthan",1962,28,"DAUSA","GEN",52387
"Rajasthan",1962,29,"BASI","GEN",53160
"Rajasthan",1962,30,"JAMWA RAMGARH","SC",51818
"Rajasthan",1962,31,"BAIRATH","GEN",65659
"Rajasthan",1962,32,"KOTPUTLI","GEN",60228
"Rajasthan",1962,33,"BEHROR","GEN",64579
"Rajasthan",1962,34,"BANSUR","GEN",59999
"Rajasthan",1962,35,"MANDAWAR","GEN",59634
"Rajasthan",1962,36,"TIJARA","SC",64932
"Rajasthan",1962,37,"RAMGARH","GEN",50777
"Rajasthan",1962,38,"ALWAR","GEN",50161
"Rajasthan",1962,39,"THANAGAZI","GEN",47860
"Rajasthan",1962,40,"RAJGARH","ST",53621
"Rajasthan",1962,41,"GOVINDGARH","GEN",52543
"Rajasthan",1962,42,"KATHUMAR","SC",53225
"Rajasthan",1962,43,"KAMAN","GEN",71072
"Rajasthan",1962,44,"DEEG","GEN",67487
"Rajasthan",1962,45,"BHARATPUR","GEN",65676
"Rajasthan",1962,46,"NADBAI","SC",53644
"Rajasthan",1962,47,"WEIR","GEN",55669
"Rajasthan",1962,48,"BAYANA","GEN",54236
"Rajasthan",1962,49,"RUPBAS","SC",70361
"Rajasthan",1962,50,"RAJAKHERA","GEN",57246
"Rajasthan",1962,51,"DHOLPUR","GEN",55611
"Rajasthan",1962,52,"BARI","GEN",54991
"Rajasthan",1962,53,"KARAULI","GEN",65170
"Rajasthan",1962,54,"HINDAUN","SC",60253
"Rajasthan",1962,55,"MAHUWA","GEN",62263
"Rajasthan",1962,56,"NADOTI","GEN",56110
"Rajasthan",1962,57,"GANGAPUR","GEN",61683
"Rajasthan",1962,58,"MALARNA CHOUR","ST",61070
"Rajasthan",1962,59,"KHANDAR","SC",56472
"Rajasthan",1962,60,"SAWAI MADHOPUR","GEN",73694
"Rajasthan",1962,61,"NEWAI","SC",62262
"Rajasthan",1962,62,"TONK","GEN",59756
"Rajasthan",1962,63,"UNIARA","GEN",70055
"Rajasthan",1962,64,"MALPURA","GEN",62967
"Rajasthan",1962,65,"KISHANGARH","GEN",50344
"Rajasthan",1962,66,"PUSHKAR","GEN",34139
"Rajasthan",1962,67,"AJMER CITY WEST","GEN",53488
"Rajasthan",1962,68,"AJMER CITY EAST","GEN",54529
