"State_name","DelimID","AC_no","AC_name","AC_type","District_Name","Sub_Region","Source"
"Rajasthan",4,1,"SADULSHAHAR","GEN","GANGANAGAR","BIKANER DIVISION","https://en.wikipedia.org/wiki/Rajasthan"
"Rajasthan",4,2,"SRI GANGANAGAR","GEN","GANGANAGAR","BIKANER DIVISION","https://en.wikipedia.org/wiki/Rajasthan"
"Rajasthan",4,3,"SRI KARANPUR","GEN","GANGANAGAR","BIKANER DIVISION","https://en.wikipedia.org/wiki/Rajasthan"
"Rajasthan",4,4,"SURATGARH","GEN","GANGANAGAR","BIKANER DIVISION","https://en.wikipedia.org/wiki/Rajasthan"
"Rajasthan",4,5,"RAISINGHNAGAR","SC","GANGANAGAR","BIKANER DIVISION","https://en.wikipedia.org/wiki/Rajasthan"
"Rajasthan",4,6,"ANUPGARH","SC","GANGANAGAR","BIKANER DIVISION","https://en.wikipedia.org/wiki/Rajasthan"
"Rajasthan",4,7,"SANGARIA","GEN","HANUMANGARH","BIKANER DIVISION","https://en.wikipedia.org/wiki/Rajasthan"
"Rajasthan",4,8,"HANUMANGARH","GEN","HANUMANGARH","BIKANER DIVISION","https://en.wikipedia.org/wiki/Rajasthan"
"Rajasthan",4,9,"PILIBANGA","SC","HANUMANGARH","BIKANER DIVISION","https://en.wikipedia.org/wiki/Rajasthan"
"Rajasthan",4,10,"NOHAR","GEN","HANUMANGARH","BIKANER DIVISION","https://en.wikipedia.org/wiki/Rajasthan"
"Rajasthan",4,11,"BHADRA","GEN","HANUMANGARH","BIKANER DIVISION","https://en.wikipedia.org/wiki/Rajasthan"
"Rajasthan",4,12,"KHAJUWALA","SC","BIKANER","BIKANER DIVISION","https://en.wikipedia.org/wiki/Rajasthan"
"Rajasthan",4,13,"BIKANER WEST","GEN","BIKANER","BIKANER DIVISION","https://en.wikipedia.org/wiki/Rajasthan"
"Rajasthan",4,14,"BIKANER EAST","GEN","BIKANER","BIKANER DIVISION","https://en.wikipedia.org/wiki/Rajasthan"
"Rajasthan",4,15,"KOLAYAT","GEN","BIKANER","BIKANER DIVISION","https://en.wikipedia.org/wiki/Rajasthan"
"Rajasthan",4,16,"LUNKARANSAR","GEN","BIKANER","BIKANER DIVISION","https://en.wikipedia.org/wiki/Rajasthan"
"Rajasthan",4,17,"DUNGARGARH","GEN","BIKANER","BIKANER DIVISION","https://en.wikipedia.org/wiki/Rajasthan"
"Rajasthan",4,18,"NOKHA","GEN","BIKANER","BIKANER DIVISION","https://en.wikipedia.org/wiki/Rajasthan"
"Rajasthan",4,19,"SADULPUR","GEN","CHURU","BIKANER DIVISION","https://en.wikipedia.org/wiki/Rajasthan"
"Rajasthan",4,20,"TARANAGAR","GEN","CHURU","BIKANER DIVISION","https://en.wikipedia.org/wiki/Rajasthan"
"Rajasthan",4,21,"SARDAR SHAHAR","GEN","CHURU","BIKANER DIVISION","https://en.wikipedia.org/wiki/Rajasthan"
"Rajasthan",4,22,"CHURU","GEN","CHURU","BIKANER DIVISION","https://en.wikipedia.org/wiki/Rajasthan"
"Rajasthan",4,23,"RATANGARH","GEN","CHURU","BIKANER DIVISION","https://en.wikipedia.org/wiki/Rajasthan"
"Rajasthan",4,24,"SUJANGARH","SC","CHURU","BIKANER DIVISION","https://en.wikipedia.org/wiki/Rajasthan"
"Rajasthan",4,25,"PILANI","SC","JHUNJHUNU","JAIPUR DIVISION","https://en.wikipedia.org/wiki/Rajasthan"
"Rajasthan",4,26,"SURAJGARH","GEN","JHUNJHUNU","JAIPUR DIVISION","https://en.wikipedia.org/wiki/Rajasthan"
"Rajasthan",4,27,"JHUNJHUNU","GEN","JHUNJHUNU","JAIPUR DIVISION","https://en.wikipedia.org/wiki/Rajasthan"
"Rajasthan",4,28,"MANDAWA","GEN","JHUNJHUNU","JAIPUR DIVISION","https://en.wikipedia.org/wiki/Rajasthan"
"Rajasthan",4,29,"NAWALGARH","GEN","JHUNJHUNU","JAIPUR DIVISION","https://en.wikipedia.org/wiki/Rajasthan"
"Rajasthan",4,30,"UDAIPURWATI","GEN","JHUNJHUNU","JAIPUR DIVISION","https://en.wikipedia.org/wiki/Rajasthan"
"Rajasthan",4,31,"KHETRI","GEN","JHUNJHUNU","JAIPUR DIVISION","https://en.wikipedia.org/wiki/Rajasthan"
"Rajasthan",4,32,"FATEHPUR","GEN","SIKAR","JAIPUR DIVISION","https://en.wikipedia.org/wiki/Rajasthan"
"Rajasthan",4,33,"LACHHMANGARH","GEN","SIKAR","JAIPUR DIVISION","https://en.wikipedia.org/wiki/Rajasthan"
