"state","sa_no","year","month","ac_no","ac_name","turnout","vote_percent","ac_type","electors","margin","n_cand","position","sex1","party1","votes1","cand1","margin_percent","runner","runner_party","runner_sex","nota_percent"
"Sikkim",1,1979,2,1,"YOKSAM",63.72,31.61,"General",3743,198,6,1,"Male","SJP",754,"SANCHAMAN LIMBOO",8.3,"ASHOK KUMAR SUBBA","IND","M",NA
"Sikkim",1,1979,2,2,"TASHIDING",56.96,47.12,"ST",2716,227,6,1,"Male","SJP",729,"DAWGYAL PENTSO BHUTIA",14.67,"PHURBA WANGYAL LASSOPA","JNP","M",NA
"Sikkim",1,1979,2,3,"GEYZING",73.3,33.31,"General",3322,168,11,1,"Male","SJP",811,"INDRA BAHADUR LIMBOO",6.9,"NANDA KUMAR SUBEDI","SCR","M",NA
"Sikkim",1,1979,2,4,"DENTAM",67.48,43.23,"General",3253,570,9,1,"Male","SCR",949,"PADAM LAL GURUNG",25.97,"PAHALMAN SUBBA","SJP","M",NA
"Sikkim",1,1979,2,5,"BARMIOK",66.67,33.2,"General",3108,269,9,1,"Male","SJP",688,"TIL BAHADUR LIMBU",12.98,"MANITA PRADHAN","SCR","F",NA
"Sikkim",1,1979,2,6,"RINCHENPONG",58.34,27.88,"ST",3677,118,6,1,"Male","SJP",598,"KATUK BHUTIA",5.5,"DEGEY BHUTIA","JNP","M",NA
"Sikkim",1,1979,2,7,"CHAKUNG",69.65,65.67,"General",3509,1227,6,1,"Male","SCR",1605,"B.B. GURUNG",50.2,"KULMAN MUKHIA","SJP","M",NA
"Sikkim",1,1979,2,8,"SOREONG",59.47,70.26,"General",4387,1458,7,1,"Male","SJP",1833,"NAR BAHADUR BHANDARI",55.88,"KULDIP GURUNG","SCR","M",NA
"Sikkim",1,1979,2,9,"DARAMDIN",69.59,68.31,"General",3723,1447,5,1,"Male","SJP",1770,"PADAM BAHADUR GURUNG",55.85,"PHURBA SANGEY SHERPA","JNP","M",NA
"Sikkim",1,1979,2,10,"JORTHANG-NAYABAZAR",74.36,24.1,"General",4208,61,8,1,"Male","SCR",754,"BHIM BAHADUR GURUNG",1.95,"LILA KUMAR RAI","SJP","M",NA
"Sikkim",1,1979,2,11,"RALONG",65.73,26.34,"ST",2530,67,8,1,"Male","SCR",438,"CHAMLA TSHERING",4.03,"SONAM PINTSO TAKAPA","IND","M",NA
"Sikkim",1,1979,2,12,"WAK",52.92,34.38,"General",2770,96,10,1,"Male","SPC",504,"GARJAMAN GURUNG",6.55,"DURGA PRASAD RAJALIM","SJP","M",NA
"Sikkim",1,1979,2,13,"DAMTHANG",66.97,26.05,"General",3788,39,12,1,"Male","SCR",661,"PRADEEP YANZONE",1.54,"MANI RAJ RAI","SJP","M",NA
"Sikkim",1,1979,2,14,"MELLI",73.31,26.89,"General",3394,141,10,1,"Male","SJP",669,"MOHAN PRASAD SHARMA",5.67,"SAILESH CHANDRA PRADHAN","IND","M",NA
"Sikkim",1,1979,2,15,"RATEYPANI - WEST PENDAM",60.12,54.33,"SC",4127,564,7,1,"Male","SCR",1348,"BIR BAHADUR LOHAR",22.73,"ISORY MAJHEE","SPC","M",NA
"Sikkim",1,1979,2,16,"TEMI-TARKU",64.51,37.67,"General",3136,307,9,1,"Male","SPC",762,"NAR BAHADUR KHATIWADA",15.18,"HARIKRISHNA SHARMA","SJP","M",NA
"Sikkim",1,1979,2,17,"CENTRAL PENDAM-EAST PENDAM",58.39,37.94,"General",6076,571,10,1,"Male","SCR",1346,"BHUWANI PRASAD KHAREL",16.09,"TOGA NIDHI BHANDARI","SJP","M",NA
