"state","year","ac_no","ac_name","ac_type","cand1","party1","votes1","position","vote_percent"
"Sikkim",1979,1,"YOKSAM","GEN","SANCHAMAN LIMBOO","SJP",754,1,31.61
"Sikkim",1979,1,"YOKSAM","GEN","ASHOK KUMAR SUBBA","IND",556,2,23.31
"Sikkim",1979,1,"YOKSAM","GEN","MOHAN KUMAR GURUNG","SPC",468,3,19.62
"Sikkim",1979,1,"YOKSAM","GEN","RAM BAHADUR LIMBOO","JNP",311,4,13.04
"Sikkim",1979,1,"YOKSAM","GEN","CHEWANG DORJEE BHUTIA","IND",153,5,6.42
"Sikkim",1979,1,"YOKSAM","GEN","MANGAL LIMBOO","SCR",143,6,6
"Sikkim",1979,2,"TASHIDING","ST","DAWGYAL PENTSO BHUTIA","SJP",729,1,47.12
"Sikkim",1979,2,"TASHIDING","ST","PHURBA WANGYAL LASSOPA","JNP",502,2,32.45
"Sikkim",1979,2,"TASHIDING","ST","LAGO TSERING BHUTIA","SPC",131,3,8.47
"Sikkim",1979,2,"TASHIDING","ST","PHURBA DORJEE SHERPA","SCR",107,4,6.92
"Sikkim",1979,2,"TASHIDING","ST","RUTH KARTHOK LEPCHANI","IND",68,5,4.4
"Sikkim",1979,2,"TASHIDING","ST","YONGDA LEPCHA","IND",10,6,0.65
"Sikkim",1979,3,"GEYZING","GEN","INDRA BAHADUR LIMBOO","SJP",811,1,33.31
"Sikkim",1979,3,"GEYZING","GEN","PREM PRAKASH SAHAY","IND",27,10,1.11
"Sikkim",1979,3,"GEYZING","GEN","RAS BAHADUR SANYASHI","IND",25,11,1.03
"Sikkim",1979,3,"GEYZING","GEN","NANDA KUMAR SUBEDI","SCR",643,2,26.41
"Sikkim",1979,3,"GEYZING","GEN","DUDRAJ GURUNG","JNP",296,3,12.16
"Sikkim",1979,3,"GEYZING","GEN","DHAN BAHADUR BASNET","SPC",218,4,8.95
"Sikkim",1979,3,"GEYZING","GEN","PADAM DHOJ LIMBU","IND",142,5,5.83
"Sikkim",1979,3,"GEYZING","GEN","KANCHO BHUTIA","IND",110,6,4.52
"Sikkim",1979,3,"GEYZING","GEN","CHATRA BAHADUR CHHETRI","IND",62,7,2.55
"Sikkim",1979,3,"GEYZING","GEN","PURNA BAHADUR LIMBOO","IND",59,8,2.42
"Sikkim",1979,3,"GEYZING","GEN","PHARSA MAN LIMBU","IND",42,9,1.72
"Sikkim",1979,4,"DENTAM","GEN","PADAM LAL GURUNG","SCR",949,1,43.23
"Sikkim",1979,4,"DENTAM","GEN","PAHALMAN SUBBA","SJP",379,2,17.27
"Sikkim",1979,4,"DENTAM","GEN","KEDAR JANG BASNET","IND",362,3,16.49
"Sikkim",1979,4,"DENTAM","GEN","PRATAP SINGH TEWARI","SPC",206,4,9.38
"Sikkim",1979,4,"DENTAM","GEN","PHUR TSHERING LUCKSOM","JNP",104,5,4.74
"Sikkim",1979,4,"DENTAM","GEN","MAN BAHADUR SUBBA","IND",74,6,3.37
"Sikkim",1979,4,"DENTAM","GEN","KUL BAHADUR GURUNG","IND",57,7,2.6
"Sikkim",1979,4,"DENTAM","GEN","PHURBA TSHERING SHERPA","IND",41,8,1.87
"Sikkim",1979,4,"DENTAM","GEN","BABULAL GOYAL","IND",23,9,1.05
"Sikkim",1979,5,"BARMIOK","GEN","TIL BAHADUR LIMBU","SJP",688,1,33.2
"Sikkim",1979,5,"BARMIOK","GEN","MANITA PRADHAN","SCR",419,2,20.22
"Sikkim",1979,5,"BARMIOK","GEN","BHAKTA BAHADUR CHETTRI","SPC",419,3,20.22
"Sikkim",1979,5,"BARMIOK","GEN","MONI PRASAD SUBBA","IND",305,4,14.72
