"state","year","month","party","seats"
"Sikkim",1979,2,"IND","3.12"
"Sikkim",1985,2,"IND","3.12"
"Sikkim",1989,2,"IND","0"
"Sikkim",1994,2,"IND","3.12"
"Sikkim",1999,2,"IND","3.12"
"Sikkim",2004,2,"IND","0"
"Sikkim",2009,2,"IND","0"
"Sikkim",2014,2,"IND","0"
"Sikkim",1979,2,"SCR","34.38"
"Sikkim",1979,2,"SJP","50"
"Sikkim",1979,2,"SPC","12.5"
"Sikkim",1985,2,"SPC","0"
"Sikkim",1979,2,"INC","0"
"Sikkim",1985,2,"INC","3.12"
"Sikkim",1989,2,"INC","0"
"Sikkim",1994,2,"INC","6.25"
"Sikkim",1999,2,"INC","0"
"Sikkim",2004,2,"INC","3.57"
"Sikkim",2009,2,"INC","0"
"Sikkim",2014,2,"INC","0"
"Sikkim",1985,2,"SSP","93.75"
"Sikkim",1989,2,"SSP","100"
"Sikkim",1994,2,"SSP","31.25"
"Sikkim",1999,2,"SSP","21.88"
"Sikkim",2004,2,"SSP","0"
"Sikkim",1994,2,"SDF","59.38"
"Sikkim",1999,2,"SDF","75"
"Sikkim",2004,2,"SDF","96.43"
"Sikkim",2009,2,"SDF","100"
"Sikkim",2014,2,"SDF","68.75"
"Sikkim",2014,2,"SKM","31.25"
