"state","year","month","party","votes"
"Sikkim",1979,2,"SJP","31.49"
"Sikkim",1979,2,"SPC","15.76"
"Sikkim",1985,2,"SPC","0.45"
"Sikkim",1979,2,"SCR","20.59"
"Sikkim",1979,2,"JNP","13.18"
"Sikkim",1985,2,"JNP","0.94"
"Sikkim",1979,2,"IND","16.49"
"Sikkim",1985,2,"IND","11.88"
"Sikkim",1989,2,"IND","2.73"
"Sikkim",1994,2,"IND","5.89"
"Sikkim",1999,2,"IND","1.94"
"Sikkim",2004,2,"IND","1.76"
"Sikkim",2009,2,"IND","1.6"
"Sikkim",2014,2,"IND","0.4"
"Sikkim",1979,2,"INC","2.04"
"Sikkim",1985,2,"INC","24.15"
"Sikkim",1989,2,"INC","18.05"
"Sikkim",1994,2,"INC","15.02"
"Sikkim",1999,2,"INC","3.67"
"Sikkim",2004,2,"INC","26.13"
"Sikkim",2009,2,"INC","27.64"
"Sikkim",2014,2,"INC","1.42"
"Sikkim",1979,2,"CPM","0.33"
"Sikkim",1985,2,"CPM","0.35"
"Sikkim",1994,2,"CPM","0.16"
"Sikkim",1999,2,"CPM","0.19"
"Sikkim",2004,2,"CPM","0.07"
"Sikkim",2009,2,"CPM","0.11"
"Sikkim",1985,2,"SSP","62.2"
"Sikkim",1989,2,"SSP","70.41"
"Sikkim",1994,2,"SSP","35.09"
"Sikkim",1999,2,"SSP","41.88"
"Sikkim",2004,2,"SSP","0.05"
"Sikkim",1989,2,"DPC","0.22"
"Sikkim",1989,2,"RIS","8.59"
"Sikkim",1994,2,"BJP","0.16"
"Sikkim",2004,2,"BJP","0.34"
"Sikkim",2009,2,"BJP","0.78"
"Sikkim",2014,2,"BJP","0.71"
"Sikkim",1994,2,"RSP","1.68"
"Sikkim",1994,2,"SDF","42.01"
"Sikkim",1999,2,"SDF","52.32"
"Sikkim",2004,2,"SDF","71.09"
"Sikkim",2009,2,"SDF","65.91"
"Sikkim",2014,2,"SDF","55.03"
"Sikkim",2004,2,"SHRP","0.57"
"Sikkim",2009,2,"SHRP","2.19"
"Sikkim",2009,2,"SGPP","1.16"
"Sikkim",2014,2,"NOTA","1.44"
"Sikkim",2014,2,"SKM","40.8"
