"State_Name","Year","month","sa_no","DelimID","AC_No","Position","Cand1","Sex1","Party1","Votes1","Age","Caste","Valid_Votes","Electors","AC_Name","AC_Type","District_Name","Sub_Region","N_Cand","Turnout","Vote_Sh","Deposit_Lost","Margin","Margin_Percent","Jati","Caste_Rec","Rel","New.Caste","Old_Jati"
"Sikkim",1979,2,1,3,1,1,"SANCHAMAN LIMBOO","M","SJP",754,NA,NA,2385,3743,"YOKSAM","GEN",NA,NA,6,63.72,31.61,"no",198,8.3,NA,NA,NA,NA,NA
"Sikkim",1979,2,1,3,1,2,"ASHOK KUMAR SUBBA","M","IND",556,NA,NA,2385,3743,"YOKSAM","GEN",NA,NA,6,63.72,23.31,"no",88,3.69,NA,NA,NA,NA,NA
"Sikkim",1979,2,1,3,1,3,"MOHAN KUMAR GURUNG","M","SPC",468,NA,NA,2385,3743,"YOKSAM","GEN",NA,NA,6,63.72,19.62,"no",157,6.58,NA,NA,NA,NA,NA
"Sikkim",1979,2,1,3,1,4,"RAM BAHADUR LIMBOO","M","JNP",311,NA,NA,2385,3743,"YOKSAM","GEN",NA,NA,6,63.72,13.04,"no",158,6.62,NA,NA,NA,NA,NA
"Sikkim",1979,2,1,3,1,5,"CHEWANG DORJEE BHUTIA","M","IND",153,NA,NA,2385,3743,"YOKSAM","GEN",NA,NA,6,63.72,6.42,"no",10,0.42,NA,NA,NA,NA,NA
"Sikkim",1979,2,1,3,1,6,"MANGAL LIMBOO","M","SCR",143,NA,NA,2385,3743,"YOKSAM","GEN",NA,NA,6,63.72,6,"no",0,0,NA,NA,NA,NA,NA
"Sikkim",1979,2,1,3,2,1,"DAWGYAL PENTSO BHUTIA","M","SJP",729,NA,NA,1547,2716,"TASHIDING","ST",NA,NA,6,56.96,47.12,"no",227,14.67,NA,NA,NA,NA,NA
"Sikkim",1979,2,1,3,2,2,"PHURBA WANGYAL LASSOPA","M","JNP",502,NA,NA,1547,2716,"TASHIDING","ST",NA,NA,6,56.96,32.45,"no",371,23.98,NA,NA,NA,NA,NA
"Sikkim",1979,2,1,3,2,3,"LAGO TSERING BHUTIA","M","SPC",131,NA,NA,1547,2716,"TASHIDING","ST",NA,NA,6,56.96,8.47,"no",24,1.55,NA,NA,NA,NA,NA
"Sikkim",1979,2,1,3,2,4,"PHURBA DORJEE SHERPA","M","SCR",107,NA,NA,1547,2716,"TASHIDING","ST",NA,NA,6,56.96,6.92,"no",39,2.52,NA,NA,NA,NA,NA
"Sikkim",1979,2,1,3,2,5,"RUTH KARTHOK LEPCHANI","F","IND",68,NA,NA,1547,2716,"TASHIDING","ST",NA,NA,6,56.96,4.4,"no",58,3.75,NA,NA,NA,NA,NA
"Sikkim",1979,2,1,3,2,6,"YONGDA LEPCHA","M","IND",10,NA,NA,1547,2716,"TASHIDING","ST",NA,NA,6,56.96,0.65,"no",0,0,NA,NA,NA,NA,NA
"Sikkim",1979,2,1,3,3,1,"INDRA BAHADUR LIMBOO","M","SJP",811,NA,NA,2435,3322,"GEYZING","GEN",NA,NA,11,73.3,33.31,"no",168,6.9,NA,NA,NA,NA,NA
"Sikkim",1979,2,1,3,3,10,"PREM PRAKASH SAHAY","M","IND",27,NA,NA,2435,3322,"GEYZING","GEN",NA,NA,11,73.3,1.11,"no",2,0.08,NA,NA,NA,NA,NA
"Sikkim",1979,2,1,3,3,11,"RAS BAHADUR SANYASHI","M","IND",25,NA,NA,2435,3322,"GEYZING","GEN",NA,NA,11,73.3,1.03,"no",0,0,NA,NA,NA,NA,NA
"Sikkim",1979,2,1,3,3,2,"NANDA KUMAR SUBEDI","M","SCR",643,NA,NA,2435,3322,"GEYZING","GEN",NA,NA,11,73.3,26.41,"no",347,14.25,NA,NA,NA,NA,NA
"Sikkim",1979,2,1,3,3,3,"DUDRAJ GURUNG","M","JNP",296,NA,NA,2435,3322,"GEYZING","GEN",NA,NA,11,73.3,12.16,"no",78,3.2,NA,NA,NA,NA,NA
"Sikkim",1979,2,1,3,3,4,"DHAN BAHADUR BASNET","M","SPC",218,NA,NA,2435,3322,"GEYZING","GEN",NA,NA,11,73.3,8.95,"no",76,3.12,NA,NA,NA,NA,NA
"Sikkim",1979,2,1,3,3,5,"PADAM DHOJ LIMBU","M","IND",142,NA,NA,2435,3322,"GEYZING","GEN",NA,NA,11,73.3,5.83,"no",32,1.31,NA,NA,NA,NA,NA
"Sikkim",1979,2,1,3,3,6,"KANCHO BHUTIA","M","IND",110,NA,NA,2435,3322,"GEYZING","GEN",NA,NA,11,73.3,4.52,"no",48,1.97,NA,NA,NA,NA,NA
"Sikkim",1979,2,1,3,3,7,"CHATRA BAHADUR CHHETRI","M","IND",62,NA,NA,2435,3322,"GEYZING","GEN",NA,NA,11,73.3,2.55,"no",3,0.12,NA,NA,NA,NA,NA
"Sikkim",1979,2,1,3,3,8,"PURNA BAHADUR LIMBOO","M","IND",59,NA,NA,2435,3322,"GEYZING","GEN",NA,NA,11,73.3,2.42,"no",17,0.7,NA,NA,NA,NA,NA
"Sikkim",1979,2,1,3,3,9,"PHARSA MAN LIMBU","M","IND",42,NA,NA,2435,3322,"GEYZING","GEN",NA,NA,11,73.3,1.72,"no",15,0.62,NA,NA,NA,NA,NA
"Sikkim",1979,2,1,3,4,1,"PADAM LAL GURUNG","M","SCR",949,NA,NA,2195,3253,"DENTAM","GEN",NA,NA,9,67.48,43.23,"no",570,25.97,NA,NA,NA,NA,NA
"Sikkim",1979,2,1,3,4,2,"PAHALMAN SUBBA","M","SJP",379,NA,NA,2195,3253,"DENTAM","GEN",NA,NA,9,67.48,17.27,"no",17,0.77,NA,NA,NA,NA,NA
"Sikkim",1979,2,1,3,4,3,"KEDAR JANG BASNET","M","IND",362,NA,NA,2195,3253,"DENTAM","GEN",NA,NA,9,67.48,16.49,"no",156,7.11,NA,NA,NA,NA,NA
"Sikkim",1979,2,1,3,4,4,"PRATAP SINGH TEWARI","M","SPC",206,NA,NA,2195,3253,"DENTAM","GEN",NA,NA,9,67.48,9.38,"no",102,4.65,NA,NA,NA,NA,NA
"Sikkim",1979,2,1,3,4,5,"PHUR TSHERING LUCKSOM","M","JNP",104,NA,NA,2195,3253,"DENTAM","GEN",NA,NA,9,67.48,4.74,"no",30,1.37,NA,NA,NA,NA,NA
"Sikkim",1979,2,1,3,4,6,"MAN BAHADUR SUBBA","M","IND",74,NA,NA,2195,3253,"DENTAM","GEN",NA,NA,9,67.48,3.37,"no",17,0.77,NA,NA,NA,NA,NA
"Sikkim",1979,2,1,3,4,7,"KUL BAHADUR GURUNG","M","IND",57,NA,NA,2195,3253,"DENTAM","GEN",NA,NA,9,67.48,2.6,"no",16,0.73,NA,NA,NA,NA,NA
"Sikkim",1979,2,1,3,4,8,"PHURBA TSHERING SHERPA","M","IND",41,NA,NA,2195,3253,"DENTAM","GEN",NA,NA,9,67.48,1.87,"no",18,0.82,NA,NA,NA,NA,NA
"Sikkim",1979,2,1,3,4,9,"BABULAL GOYAL","M","IND",23,NA,NA,2195,3253,"DENTAM","GEN",NA,NA,9,67.48,1.05,"no",0,0,NA,NA,NA,NA,NA
"Sikkim",1979,2,1,3,5,1,"TIL BAHADUR LIMBU","M","SJP",688,NA,NA,2072,3108,"BARMIOK","GEN",NA,NA,9,66.67,33.2,"no",269,12.98,NA,NA,NA,NA,NA
"Sikkim",1979,2,1,3,5,2,"MANITA PRADHAN","F","SCR",419,NA,NA,2072,3108,"BARMIOK","GEN",NA,NA,9,66.67,20.22,"no",0,0,NA,NA,NA,NA,NA
"Sikkim",1979,2,1,3,5,3,"BHAKTA BAHADUR CHETTRI","M","SPC",419,NA,NA,2072,3108,"BARMIOK","GEN",NA,NA,9,66.67,20.22,"no",114,5.5,NA,NA,NA,NA,NA
"Sikkim",1979,2,1,3,5,4,"MONI PRASAD SUBBA","M","IND",305,NA,NA,2072,3108,"BARMIOK","GEN",NA,NA,9,66.67,14.72,"no",193,9.31,NA,NA,NA,NA,NA
"Sikkim",1979,2,1,3,5,5,"NEEDUP LEPCHA","M","IND",112,NA,NA,2072,3108,"BARMIOK","GEN",NA,NA,9,66.67,5.41,"no",42,2.03,NA,NA,NA,NA,NA
"Sikkim",1979,2,1,3,5,6,"MANI RAJ RAI","M","JNP",70,NA,NA,2072,3108,"BARMIOK","GEN",NA,NA,9,66.67,3.38,"no",45,2.17,NA,NA,NA,NA,NA
"Sikkim",1979,2,1,3,5,7,"DEVI PRASAD GURUNG","M","IND",25,NA,NA,2072,3108,"BARMIOK","GEN",NA,NA,9,66.67,1.21,"no",7,0.34,NA,NA,NA,NA,NA
"Sikkim",1979,2,1,3,5,8,"PADAM SINGH SUBBA","M","IND",18,NA,NA,2072,3108,"BARMIOK","GEN",NA,NA,9,66.67,0.87,"no",2,0.1,NA,NA,NA,NA,NA
"Sikkim",1979,2,1,3,5,9,"JAG BAHADUR CHHETRI","M","IND",16,NA,NA,2072,3108,"BARMIOK","GEN",NA,NA,9,66.67,0.77,"no",0,0,NA,NA,NA,NA,NA
"Sikkim",1979,2,1,3,6,1,"KATUK BHUTIA","M","SJP",598,NA,NA,2145,3677,"RINCHENPONG","ST",NA,NA,6,58.34,27.88,"no",118,5.5,NA,NA,NA,NA,NA
"Sikkim",1979,2,1,3,6,2,"DEGEY BHUTIA","M","JNP",480,NA,NA,2145,3677,"RINCHENPONG","ST",NA,NA,6,58.34,22.38,"no",23,1.07,NA,NA,NA,NA,NA
"Sikkim",1979,2,1,3,6,3,"LODAY TSHERING BHUTIA","M","SCR",457,NA,NA,2145,3677,"RINCHENPONG","ST",NA,NA,6,58.34,21.31,"no",42,1.96,NA,NA,NA,NA,NA
"Sikkim",1979,2,1,3,6,4,"DAWA TSHERING SHERPA","M","SPC",415,NA,NA,2145,3677,"RINCHENPONG","ST",NA,NA,6,58.34,19.35,"no",277,12.91,NA,NA,NA,NA,NA
"Sikkim",1979,2,1,3,6,5,"GOMPOO NAMGYAL LEPCHA","M","IND",138,NA,NA,2145,3677,"RINCHENPONG","ST",NA,NA,6,58.34,6.43,"no",81,3.78,NA,NA,NA,NA,NA
"Sikkim",1979,2,1,3,6,6,"LAKO TSHERING LEPCHA","M","IND",57,NA,NA,2145,3677,"RINCHENPONG","ST",NA,NA,6,58.34,2.66,"no",0,0,NA,NA,NA,NA,NA
"Sikkim",1979,2,1,3,7,1,"B.B. GURUNG","M","SCR",1605,NA,NA,2444,3509,"CHAKUNG","GEN",NA,NA,6,69.65,65.67,"no",1227,50.2,NA,NA,NA,NA,NA
"Sikkim",1979,2,1,3,7,2,"KULMAN MUKHIA","M","SJP",378,NA,NA,2444,3509,"CHAKUNG","GEN",NA,NA,6,69.65,15.47,"no",136,5.56,NA,NA,NA,NA,NA
"Sikkim",1979,2,1,3,7,3,"RASTAMAN RAI","M","JNP",242,NA,NA,2444,3509,"CHAKUNG","GEN",NA,NA,6,69.65,9.9,"no",85,3.48,NA,NA,NA,NA,NA
"Sikkim",1979,2,1,3,7,4,"TIKA GURUNG","M","SPC",157,NA,NA,2444,3509,"CHAKUNG","GEN",NA,NA,6,69.65,6.42,"no",106,4.34,NA,NA,NA,NA,NA
"Sikkim",1979,2,1,3,7,5,"PRATAP SINGH RAI","M","IND",51,NA,NA,2444,3509,"CHAKUNG","GEN",NA,NA,6,69.65,2.09,"no",40,1.64,NA,NA,NA,NA,NA
"Sikkim",1979,2,1,3,7,6,"CHAKRA BAHADUR GURUNG","M","IND",11,NA,NA,2444,3509,"CHAKUNG","GEN",NA,NA,6,69.65,0.45,"no",0,0,NA,NA,NA,NA,NA
"Sikkim",1979,2,1,3,8,1,"NAR BAHADUR BHANDARI","M","SJP",1833,NA,NA,2609,4387,"SOREONG","GEN",NA,NA,7,59.47,70.26,"no",1458,55.88,NA,NA,NA,NA,NA
"Sikkim",1979,2,1,3,8,2,"KULDIP GURUNG","M","SCR",375,NA,NA,2609,4387,"SOREONG","GEN",NA,NA,7,59.47,14.37,"no",235,9.01,NA,NA,NA,NA,NA
"Sikkim",1979,2,1,3,8,3,"FUL MAYA LIMBUNI","F","IND",140,NA,NA,2609,4387,"SOREONG","GEN",NA,NA,7,59.47,5.37,"no",46,1.76,NA,NA,NA,NA,NA
"Sikkim",1979,2,1,3,8,4,"BHARTA SINGH","M","SPC",94,NA,NA,2609,4387,"SOREONG","GEN",NA,NA,7,59.47,3.6,"no",2,0.08,NA,NA,NA,NA,NA
"Sikkim",1979,2,1,3,8,5,"PENSUM TARGAIN","M","JNP",92,NA,NA,2609,4387,"SOREONG","GEN",NA,NA,7,59.47,3.53,"no",35,1.34,NA,NA,NA,NA,NA
"Sikkim",1979,2,1,3,8,6,"CHNDRA BAHADUR TAMANG","M","IND",57,NA,NA,2609,4387,"SOREONG","GEN",NA,NA,7,59.47,2.18,"no",39,1.49,NA,NA,NA,NA,NA
"Sikkim",1979,2,1,3,8,7,"TARA LIMBU","M","IND",18,NA,NA,2609,4387,"SOREONG","GEN",NA,NA,7,59.47,0.69,"no",0,0,NA,NA,NA,NA,NA
"Sikkim",1979,2,1,3,9,1,"PADAM BAHADUR GURUNG","M","SJP",1770,NA,NA,2591,3723,"DARAMDIN","GEN",NA,NA,5,69.59,68.31,"no",1447,55.85,NA,NA,NA,NA,NA
"Sikkim",1979,2,1,3,9,2,"PHURBA SANGEY SHERPA","M","JNP",323,NA,NA,2591,3723,"DARAMDIN","GEN",NA,NA,5,69.59,12.47,"no",82,3.16,NA,NA,NA,NA,NA
"Sikkim",1979,2,1,3,9,3,"RAM CHANDRA SHARMA","M","SCR",241,NA,NA,2591,3723,"DARAMDIN","GEN",NA,NA,5,69.59,9.3,"no",15,0.58,NA,NA,NA,NA,NA
"Sikkim",1979,2,1,3,9,4,"PURNA BAHADUR SUBBA","M","IND",226,NA,NA,2591,3723,"DARAMDIN","GEN",NA,NA,5,69.59,8.72,"no",195,7.53,NA,NA,NA,NA,NA
"Sikkim",1979,2,1,3,9,5,"DIRGA BAHADUR SUBBA","M","SPC",31,NA,NA,2591,3723,"DARAMDIN","GEN",NA,NA,5,69.59,1.2,"no",0,0,NA,NA,NA,NA,NA
"Sikkim",1979,2,1,3,10,1,"BHIM BAHADUR GURUNG","M","SCR",754,NA,NA,3129,4208,"JORTHANG-NAYABAZAR","GEN",NA,NA,8,74.36,24.1,"no",61,1.95,NA,NA,NA,NA,NA
"Sikkim",1979,2,1,3,10,2,"LILA KUMAR RAI","M","SJP",693,NA,NA,3129,4208,"JORTHANG-NAYABAZAR","GEN",NA,NA,8,74.36,22.15,"no",94,3,NA,NA,NA,NA,NA
"Sikkim",1979,2,1,3,10,3,"HASTDAS RAI","M","SPC",599,NA,NA,3129,4208,"JORTHANG-NAYABAZAR","GEN",NA,NA,8,74.36,19.14,"no",193,6.17,NA,NA,NA,NA,NA
"Sikkim",1979,2,1,3,10,4,"NEEL KAMAL THAPA","M","IND",406,NA,NA,3129,4208,"JORTHANG-NAYABAZAR","GEN",NA,NA,8,74.36,12.98,"no",37,1.18,NA,NA,NA,NA,NA
"Sikkim",1979,2,1,3,10,5,"S.K. RAI","M","JNP",369,NA,NA,3129,4208,"JORTHANG-NAYABAZAR","GEN",NA,NA,8,74.36,11.79,"no",159,5.08,NA,NA,NA,NA,NA
"Sikkim",1979,2,1,3,10,6,"HUMANAY RAI","M","IND",210,NA,NA,3129,4208,"JORTHANG-NAYABAZAR","GEN",NA,NA,8,74.36,6.71,"no",143,4.57,NA,NA,NA,NA,NA
"Sikkim",1979,2,1,3,10,7,"HASTUDAS RAI","M","IND",67,NA,NA,3129,4208,"JORTHANG-NAYABAZAR","GEN",NA,NA,8,74.36,2.14,"no",36,1.15,NA,NA,NA,NA,NA
"Sikkim",1979,2,1,3,10,8,"KALURAM AGRAWAL","M","IND",31,NA,NA,3129,4208,"JORTHANG-NAYABAZAR","GEN",NA,NA,8,74.36,0.99,"no",0,0,NA,NA,NA,NA,NA
"Sikkim",1979,2,1,3,11,1,"CHAMLA TSHERING","M","SCR",438,NA,NA,1663,2530,"RALONG","ST",NA,NA,8,65.73,26.34,"no",67,4.03,NA,NA,NA,NA,NA
"Sikkim",1979,2,1,3,11,2,"SONAM PINTSO TAKAPA","M","IND",371,NA,NA,1663,2530,"RALONG","ST",NA,NA,8,65.73,22.31,"no",35,2.1,NA,NA,NA,NA,NA
"Sikkim",1979,2,1,3,11,3,"TASHI WANGDI BHUTIA","M","SJP",336,NA,NA,1663,2530,"RALONG","ST",NA,NA,8,65.73,20.2,"no",32,1.92,NA,NA,NA,NA,NA
"Sikkim",1979,2,1,3,11,4,"KARMA BHUTIA","M","JNP",304,NA,NA,1663,2530,"RALONG","ST",NA,NA,8,65.73,18.28,"no",162,9.74,NA,NA,NA,NA,NA
"Sikkim",1979,2,1,3,11,5,"NORBU TSHERING BHUTIA","M","SPC",142,NA,NA,1663,2530,"RALONG","ST",NA,NA,8,65.73,8.54,"no",103,6.19,NA,NA,NA,NA,NA
"Sikkim",1979,2,1,3,11,6,"PASSANG TSHERING BHUTIA","M","IND",39,NA,NA,1663,2530,"RALONG","ST",NA,NA,8,65.73,2.35,"no",14,0.84,NA,NA,NA,NA,NA
"Sikkim",1979,2,1,3,11,7,"UGEN TASHI BHUTIA","M","INC",25,NA,NA,1663,2530,"RALONG","ST",NA,NA,8,65.73,1.5,"no",17,1.02,NA,NA,NA,NA,NA
"Sikkim",1979,2,1,3,11,8,"SUK TESHRING SHERPA","M","IND",8,NA,NA,1663,2530,"RALONG","ST",NA,NA,8,65.73,0.48,"no",0,0,NA,NA,NA,NA,NA
"Sikkim",1979,2,1,3,12,1,"GARJAMAN GURUNG","M","SPC",504,NA,NA,1466,2770,"WAK","GEN",NA,NA,10,52.92,34.38,"no",96,6.55,NA,NA,NA,NA,NA
"Sikkim",1979,2,1,3,12,10,"NORDEN BHUTIA","M","IND",9,NA,NA,1466,2770,"WAK","GEN",NA,NA,10,52.92,0.61,"no",0,0,NA,NA,NA,NA,NA
"Sikkim",1979,2,1,3,12,2,"DURGA PRASAD RAJALIM","M","SJP",408,NA,NA,1466,2770,"WAK","GEN",NA,NA,10,52.92,27.83,"no",233,15.89,NA,NA,NA,NA,NA
"Sikkim",1979,2,1,3,12,3,"PANDU RAM RAI","M","JNP",175,NA,NA,1466,2770,"WAK","GEN",NA,NA,10,52.92,11.94,"no",28,1.91,NA,NA,NA,NA,NA
"Sikkim",1979,2,1,3,12,4,"PASSANG SHERPU","M","SCR",147,NA,NA,1466,2770,"WAK","GEN",NA,NA,10,52.92,10.03,"no",31,2.11,NA,NA,NA,NA,NA
"Sikkim",1979,2,1,3,12,5,"SONAM TOBDEN BHUTIA","M","IND",116,NA,NA,1466,2770,"WAK","GEN",NA,NA,10,52.92,7.91,"no",69,4.71,NA,NA,NA,NA,NA
"Sikkim",1979,2,1,3,12,6,"SURAJ KUMAR KHARTAM","M","INC",47,NA,NA,1466,2770,"WAK","GEN",NA,NA,10,52.92,3.21,"no",18,1.23,NA,NA,NA,NA,NA
