"State_name","Year","AC_no","Position","AC_name","Cand1","EC_Caste","Jati","Caste_Rec","Rel","New.Caste","Old_Jati"
"Sikkim",1979,1,1,"YOKSAM","SANCHAMAN LIMBOO",NA,NA,NA,NA,NA,NA
"Sikkim",1979,1,2,"YOKSAM","ASHOK KUMAR SUBBA",NA,NA,NA,NA,NA,NA
"Sikkim",1979,1,3,"YOKSAM","MOHAN KUMAR GURUNG",NA,NA,NA,NA,NA,NA
"Sikkim",1979,1,4,"YOKSAM","RAM BAHADUR LIMBOO",NA,NA,NA,NA,NA,NA
"Sikkim",1979,1,5,"YOKSAM","CHEWANG DORJEE BHUTIA",NA,NA,NA,NA,NA,NA
"Sikkim",1979,1,6,"YOKSAM","MANGAL LIMBOO",NA,NA,NA,NA,NA,NA
"Sikkim",1979,2,1,"TASHIDING","DAWGYAL PENTSO BHUTIA",NA,NA,NA,NA,NA,NA
"Sikkim",1979,2,2,"TASHIDING","PHURBA WANGYAL LASSOPA",NA,NA,NA,NA,NA,NA
"Sikkim",1979,2,3,"TASHIDING","LAGO TSERING BHUTIA",NA,NA,NA,NA,NA,NA
"Sikkim",1979,2,4,"TASHIDING","PHURBA DORJEE SHERPA",NA,NA,NA,NA,NA,NA
"Sikkim",1979,2,5,"TASHIDING","RUTH KARTHOK LEPCHANI",NA,NA,NA,NA,NA,NA
"Sikkim",1979,2,6,"TASHIDING","YONGDA LEPCHA",NA,NA,NA,NA,NA,NA
"Sikkim",1979,3,1,"GEYZING","INDRA BAHADUR LIMBOO",NA,NA,NA,NA,NA,NA
"Sikkim",1979,3,2,"GEYZING","NANDA KUMAR SUBEDI",NA,NA,NA,NA,NA,NA
"Sikkim",1979,3,3,"GEYZING","DUDRAJ GURUNG",NA,NA,NA,NA,NA,NA
"Sikkim",1979,3,4,"GEYZING","DHAN BAHADUR BASNET",NA,NA,NA,NA,NA,NA
"Sikkim",1979,3,5,"GEYZING","PADAM DHOJ LIMBU",NA,NA,NA,NA,NA,NA
"Sikkim",1979,3,6,"GEYZING","KANCHO BHUTIA",NA,NA,NA,NA,NA,NA
"Sikkim",1979,3,7,"GEYZING","CHATRA BAHADUR CHHETRI",NA,NA,NA,NA,NA,NA
"Sikkim",1979,3,8,"GEYZING","PURNA BAHADUR LIMBOO",NA,NA,NA,NA,NA,NA
"Sikkim",1979,3,9,"GEYZING","PHARSA MAN LIMBU",NA,NA,NA,NA,NA,NA
"Sikkim",1979,3,10,"GEYZING","PREM PRAKASH SAHAY",NA,NA,NA,NA,NA,NA
"Sikkim",1979,3,11,"GEYZING","RAS BAHADUR SANYASHI",NA,NA,NA,NA,NA,NA
"Sikkim",1979,4,1,"DENTAM","PADAM LAL GURUNG",NA,NA,NA,NA,NA,NA
"Sikkim",1979,4,2,"DENTAM","PAHALMAN SUBBA",NA,NA,NA,NA,NA,NA
"Sikkim",1979,4,3,"DENTAM","KEDAR JANG BASNET",NA,NA,NA,NA,NA,NA
"Sikkim",1979,4,4,"DENTAM","PRATAP SINGH TEWARI",NA,NA,NA,NA,NA,NA
"Sikkim",1979,4,5,"DENTAM","PHUR TSHERING LUCKSOM",NA,NA,NA,NA,NA,NA
"Sikkim",1979,4,6,"DENTAM","MAN BAHADUR SUBBA",NA,NA,NA,NA,NA,NA
"Sikkim",1979,4,7,"DENTAM","KUL BAHADUR GURUNG",NA,NA,NA,NA,NA,NA
"Sikkim",1979,4,8,"DENTAM","PHURBA TSHERING SHERPA",NA,NA,NA,NA,NA,NA
"Sikkim",1979,4,9,"DENTAM","BABULAL GOYAL",NA,NA,NA,NA,NA,NA
"Sikkim",1979,5,1,"BARMIOK","TIL BAHADUR LIMBU",NA,NA,NA,NA,NA,NA
"Sikkim",1979,5,2,"BARMIOK","MANITA PRADHAN",NA,NA,NA,NA,NA,NA
"Sikkim",1979,5,3,"BARMIOK","BHAKTA BAHADUR CHETTRI",NA,NA,NA,NA,NA,NA
"Sikkim",1979,5,4,"BARMIOK","MONI PRASAD SUBBA",NA,NA,NA,NA,NA,NA
"Sikkim",1979,5,5,"BARMIOK","NEEDUP LEPCHA",NA,NA,NA,NA,NA,NA
"Sikkim",1979,5,6,"BARMIOK","MANI RAJ RAI",NA,NA,NA,NA,NA,NA
"Sikkim",1979,5,7,"BARMIOK","DEVI PRASAD GURUNG",NA,NA,NA,NA,NA,NA
"Sikkim",1979,5,8,"BARMIOK","PADAM SINGH SUBBA",NA,NA,NA,NA,NA,NA
"Sikkim",1979,5,9,"BARMIOK","JAG BAHADUR CHHETRI",NA,NA,NA,NA,NA,NA
"Sikkim",1979,6,1,"RINCHENPONG","KATUK BHUTIA",NA,NA,NA,NA,NA,NA
"Sikkim",1979,6,2,"RINCHENPONG","DEGEY BHUTIA",NA,NA,NA,NA,NA,NA
"Sikkim",1979,6,3,"RINCHENPONG","LODAY TSHERING BHUTIA",NA,NA,NA,NA,NA,NA
"Sikkim",1979,6,4,"RINCHENPONG","DAWA TSHERING SHERPA",NA,NA,NA,NA,NA,NA
"Sikkim",1979,6,5,"RINCHENPONG","GOMPOO NAMGYAL LEPCHA",NA,NA,NA,NA,NA,NA
"Sikkim",1979,6,6,"RINCHENPONG","LAKO TSHERING LEPCHA",NA,NA,NA,NA,NA,NA
"Sikkim",1979,7,1,"CHAKUNG","B.B. GURUNG",NA,NA,NA,NA,NA,NA
"Sikkim",1979,7,2,"CHAKUNG","KULMAN MUKHIA",NA,NA,NA,NA,NA,NA
"Sikkim",1979,7,3,"CHAKUNG","RASTAMAN RAI",NA,NA,NA,NA,NA,NA
"Sikkim",1979,7,4,"CHAKUNG","TIKA GURUNG",NA,NA,NA,NA,NA,NA
"Sikkim",1979,7,5,"CHAKUNG","PRATAP SINGH RAI",NA,NA,NA,NA,NA,NA
"Sikkim",1979,7,6,"CHAKUNG","CHAKRA BAHADUR GURUNG",NA,NA,NA,NA,NA,NA
"Sikkim",1979,8,1,"SOREONG","NAR BAHADUR BHANDARI",NA,NA,NA,NA,NA,NA
"Sikkim",1979,8,2,"SOREONG","KULDIP GURUNG",NA,NA,NA,NA,NA,NA
"Sikkim",1979,8,3,"SOREONG","FUL MAYA LIMBUNI",NA,NA,NA,NA,NA,NA
"Sikkim",1979,8,4,"SOREONG","BHARTA SINGH",NA,NA,NA,NA,NA,NA
"Sikkim",1979,8,5,"SOREONG","PENSUM TARGAIN",NA,NA,NA,NA,NA,NA
"Sikkim",1979,8,6,"SOREONG","CHNDRA BAHADUR TAMANG",NA,NA,NA,NA,NA,NA
"Sikkim",1979,8,7,"SOREONG","TARA LIMBU",NA,NA,NA,NA,NA,NA
"Sikkim",1979,9,1,"DARAMDIN","PADAM BAHADUR GURUNG",NA,NA,NA,NA,NA,NA
"Sikkim",1979,9,2,"DARAMDIN","PHURBA SANGEY SHERPA",NA,NA,NA,NA,NA,NA
"Sikkim",1979,9,3,"DARAMDIN","RAM CHANDRA SHARMA",NA,NA,NA,NA,NA,NA
"Sikkim",1979,9,4,"DARAMDIN","PURNA BAHADUR SUBBA",NA,NA,NA,NA,NA,NA
"Sikkim",1979,9,5,"DARAMDIN","DIRGA BAHADUR SUBBA",NA,NA,NA,NA,NA,NA
"Sikkim",1979,10,1,"JORTHANG-NAYABAZAR","BHIM BAHADUR GURUNG",NA,NA,NA,NA,NA,NA
"Sikkim",1979,10,2,"JORTHANG-NAYABAZAR","LILA KUMAR RAI",NA,NA,NA,NA,NA,NA
"Sikkim",1979,10,3,"JORTHANG-NAYABAZAR","HASTDAS RAI",NA,NA,NA,NA,NA,NA
"Sikkim",1979,10,4,"JORTHANG-NAYABAZAR","NEEL KAMAL THAPA",NA,NA,NA,NA,NA,NA
"Sikkim",1979,10,5,"JORTHANG-NAYABAZAR","S.K. RAI",NA,NA,NA,NA,NA,NA
"Sikkim",1979,10,6,"JORTHANG-NAYABAZAR","HUMANAY RAI",NA,NA,NA,NA,NA,NA
"Sikkim",1979,10,7,"JORTHANG-NAYABAZAR","HASTUDAS RAI",NA,NA,NA,NA,NA,NA
"Sikkim",1979,10,8,"JORTHANG-NAYABAZAR","KALURAM AGRAWAL",NA,NA,NA,NA,NA,NA
"Sikkim",1979,11,1,"RALONG","CHAMLA TSHERING",NA,NA,NA,NA,NA,NA
"Sikkim",1979,11,2,"RALONG","SONAM PINTSO TAKAPA",NA,NA,NA,NA,NA,NA
"Sikkim",1979,11,3,"RALONG","TASHI WANGDI BHUTIA",NA,NA,NA,NA,NA,NA
"Sikkim",1979,11,4,"RALONG","KARMA BHUTIA",NA,NA,NA,NA,NA,NA
"Sikkim",1979,11,5,"RALONG","NORBU TSHERING BHUTIA",NA,NA,NA,NA,NA,NA
"Sikkim",1979,11,6,"RALONG","PASSANG TSHERING BHUTIA",NA,NA,NA,NA,NA,NA
"Sikkim",1979,11,7,"RALONG","UGEN TASHI BHUTIA",NA,NA,NA,NA,NA,NA
"Sikkim",1979,11,8,"RALONG","SUK TESHRING SHERPA",NA,NA,NA,NA,NA,NA
"Sikkim",1979,12,1,"WAK","GARJAMAN GURUNG",NA,NA,NA,NA,NA,NA
"Sikkim",1979,12,2,"WAK","DURGA PRASAD RAJALIM",NA,NA,NA,NA,NA,NA
"Sikkim",1979,12,3,"WAK","PANDU RAM RAI",NA,NA,NA,NA,NA,NA
"Sikkim",1979,12,4,"WAK","PASSANG SHERPU",NA,NA,NA,NA,NA,NA
"Sikkim",1979,12,5,"WAK","SONAM TOBDEN BHUTIA",NA,NA,NA,NA,NA,NA
"Sikkim",1979,12,6,"WAK","SURAJ KUMAR KHARTAM",NA,NA,NA,NA,NA,NA
"Sikkim",1979,12,7,"WAK","NIMU TENZING BHUTIA",NA,NA,NA,NA,NA,NA
"Sikkim",1979,12,8,"WAK","GYAMPO BHUTIA",NA,NA,NA,NA,NA,NA
"Sikkim",1979,12,9,"WAK","DOJEE DAZOM BHUTIA",NA,NA,NA,NA,NA,NA
"Sikkim",1979,12,10,"WAK","NORDEN BHUTIA",NA,NA,NA,NA,NA,NA
"Sikkim",1979,13,1,"DAMTHANG","PRADEEP YANZONE",NA,NA,NA,NA,NA,NA
"Sikkim",1979,13,2,"DAMTHANG","MANI RAJ RAI",NA,NA,NA,NA,NA,NA
"Sikkim",1979,13,3,"DAMTHANG","BADRI LALL PRADHAN",NA,NA,NA,NA,NA,NA
"Sikkim",1979,13,4,"DAMTHANG","KHARGA BAHADUR RAI",NA,NA,NA,NA,NA,NA
