"State_name","Year","AC_no","Cand","Sex","Party","Votes","Age","Caste","Position"
"Sikkim",1979,1,"SANCHAMAN LIMBOO","M","SJP",754,NA,NA,1
"Sikkim",1979,1,"ASHOK KUMAR SUBBA","M","IND",556,NA,NA,2
"Sikkim",1979,1,"MOHAN KUMAR GURUNG","M","SPC",468,NA,NA,3
"Sikkim",1979,1,"RAM BAHADUR LIMBOO","M","JNP",311,NA,NA,4
"Sikkim",1979,1,"CHEWANG DORJEE BHUTIA","M","IND",153,NA,NA,5
"Sikkim",1979,1,"MANGAL LIMBOO","M","SCR",143,NA,NA,6
"Sikkim",1979,2,"DAWGYAL PENTSO BHUTIA","M","SJP",729,NA,NA,1
"Sikkim",1979,2,"PHURBA WANGYAL LASSOPA","M","JNP",502,NA,NA,2
"Sikkim",1979,2,"LAGO TSERING BHUTIA","M","SPC",131,NA,NA,3
"Sikkim",1979,2,"PHURBA DORJEE SHERPA","M","SCR",107,NA,NA,4
"Sikkim",1979,2,"RUTH KARTHOK LEPCHANI","F","IND",68,NA,NA,5
"Sikkim",1979,2,"YONGDA LEPCHA","M","IND",10,NA,NA,6
"Sikkim",1979,3,"INDRA BAHADUR LIMBOO","M","SJP",811,NA,NA,1
"Sikkim",1979,3,"NANDA KUMAR SUBEDI","M","SCR",643,NA,NA,2
"Sikkim",1979,3,"DUDRAJ GURUNG","M","JNP",296,NA,NA,3
"Sikkim",1979,3,"DHAN BAHADUR BASNET","M","SPC",218,NA,NA,4
"Sikkim",1979,3,"PADAM DHOJ LIMBU","M","IND",142,NA,NA,5
"Sikkim",1979,3,"KANCHO BHUTIA","M","IND",110,NA,NA,6
"Sikkim",1979,3,"CHATRA BAHADUR CHHETRI","M","IND",62,NA,NA,7
"Sikkim",1979,3,"PURNA BAHADUR LIMBOO","M","IND",59,NA,NA,8
"Sikkim",1979,3,"PHARSA MAN LIMBU","M","IND",42,NA,NA,9
"Sikkim",1979,3,"PREM PRAKASH SAHAY","M","IND",27,NA,NA,10
"Sikkim",1979,3,"RAS BAHADUR SANYASHI","M","IND",25,NA,NA,11
"Sikkim",1979,4,"PADAM LAL GURUNG","M","SCR",949,NA,NA,1
"Sikkim",1979,4,"PAHALMAN SUBBA","M","SJP",379,NA,NA,2
"Sikkim",1979,4,"KEDAR JANG BASNET","M","IND",362,NA,NA,3
"Sikkim",1979,4,"PRATAP SINGH TEWARI","M","SPC",206,NA,NA,4
"Sikkim",1979,4,"PHUR TSHERING LUCKSOM","M","JNP",104,NA,NA,5
"Sikkim",1979,4,"MAN BAHADUR SUBBA","M","IND",74,NA,NA,6
"Sikkim",1979,4,"KUL BAHADUR GURUNG","M","IND",57,NA,NA,7
"Sikkim",1979,4,"PHURBA TSHERING SHERPA","M","IND",41,NA,NA,8
"Sikkim",1979,4,"BABULAL GOYAL","M","IND",23,NA,NA,9
"Sikkim",1979,5,"TIL BAHADUR LIMBU","M","SJP",688,NA,NA,1
"Sikkim",1979,5,"MANITA PRADHAN","F","SCR",419,NA,NA,2
"Sikkim",1979,5,"BHAKTA BAHADUR CHETTRI","M","SPC",419,NA,NA,3
"Sikkim",1979,5,"MONI PRASAD SUBBA","M","IND",305,NA,NA,4
"Sikkim",1979,5,"NEEDUP LEPCHA","M","IND",112,NA,NA,5
"Sikkim",1979,5,"MANI RAJ RAI","M","JNP",70,NA,NA,6
"Sikkim",1979,5,"DEVI PRASAD GURUNG","M","IND",25,NA,NA,7
"Sikkim",1979,5,"PADAM SINGH SUBBA","M","IND",18,NA,NA,8
"Sikkim",1979,5,"JAG BAHADUR CHHETRI","M","IND",16,NA,NA,9
"Sikkim",1979,6,"KATUK BHUTIA","M","SJP",598,NA,NA,1
"Sikkim",1979,6,"DEGEY BHUTIA","M","JNP",480,NA,NA,2
"Sikkim",1979,6,"LODAY TSHERING BHUTIA","M","SCR",457,NA,NA,3
"Sikkim",1979,6,"DAWA TSHERING SHERPA","M","SPC",415,NA,NA,4
"Sikkim",1979,6,"GOMPOO NAMGYAL LEPCHA","M","IND",138,NA,NA,5
"Sikkim",1979,6,"LAKO TSHERING LEPCHA","M","IND",57,NA,NA,6
"Sikkim",1979,7,"B.B. GURUNG","M","SCR",1605,NA,NA,1
"Sikkim",1979,7,"KULMAN MUKHIA","M","SJP",378,NA,NA,2
"Sikkim",1979,7,"RASTAMAN RAI","M","JNP",242,NA,NA,3
"Sikkim",1979,7,"TIKA GURUNG","M","SPC",157,NA,NA,4
"Sikkim",1979,7,"PRATAP SINGH RAI","M","IND",51,NA,NA,5
"Sikkim",1979,7,"CHAKRA BAHADUR GURUNG","M","IND",11,NA,NA,6
"Sikkim",1979,8,"NAR BAHADUR BHANDARI","M","SJP",1833,NA,NA,1
"Sikkim",1979,8,"KULDIP GURUNG","M","SCR",375,NA,NA,2
"Sikkim",1979,8,"FUL MAYA LIMBUNI","F","IND",140,NA,NA,3
"Sikkim",1979,8,"BHARTA SINGH","M","SPC",94,NA,NA,4
"Sikkim",1979,8,"PENSUM TARGAIN","M","JNP",92,NA,NA,5
"Sikkim",1979,8,"CHNDRA BAHADUR TAMANG","M","IND",57,NA,NA,6
"Sikkim",1979,8,"TARA LIMBU","M","IND",18,NA,NA,7
"Sikkim",1979,9,"PADAM BAHADUR GURUNG","M","SJP",1770,NA,NA,1
"Sikkim",1979,9,"PHURBA SANGEY SHERPA","M","JNP",323,NA,NA,2
"Sikkim",1979,9,"RAM CHANDRA SHARMA","M","SCR",241,NA,NA,3
"Sikkim",1979,9,"PURNA BAHADUR SUBBA","M","IND",226,NA,NA,4
"Sikkim",1979,9,"DIRGA BAHADUR SUBBA","M","SPC",31,NA,NA,5
"Sikkim",1979,10,"BHIM BAHADUR GURUNG","M","SCR",754,NA,NA,1
"Sikkim",1979,10,"LILA KUMAR RAI","M","SJP",693,NA,NA,2
"Sikkim",1979,10,"HASTDAS RAI","M","SPC",599,NA,NA,3
"Sikkim",1979,10,"NEEL KAMAL THAPA","M","IND",406,NA,NA,4
"Sikkim",1979,10,"S.K. RAI","M","JNP",369,NA,NA,5
"Sikkim",1979,10,"HUMANAY RAI","M","IND",210,NA,NA,6
"Sikkim",1979,10,"HASTUDAS RAI","M","IND",67,NA,NA,7
"Sikkim",1979,10,"KALURAM AGRAWAL","M","IND",31,NA,NA,8
"Sikkim",1979,11,"CHAMLA TSHERING","M","SCR",438,NA,NA,1
"Sikkim",1979,11,"SONAM PINTSO TAKAPA","M","IND",371,NA,NA,2
"Sikkim",1979,11,"TASHI WANGDI BHUTIA","M","SJP",336,NA,NA,3
"Sikkim",1979,11,"KARMA BHUTIA","M","JNP",304,NA,NA,4
"Sikkim",1979,11,"NORBU TSHERING BHUTIA","M","SPC",142,NA,NA,5
"Sikkim",1979,11,"PASSANG TSHERING BHUTIA","M","IND",39,NA,NA,6
"Sikkim",1979,11,"UGEN TASHI BHUTIA","M","INC",25,NA,NA,7
"Sikkim",1979,11,"SUK TESHRING SHERPA","M","IND",8,NA,NA,8
"Sikkim",1979,12,"GARJAMAN GURUNG","M","SPC",504,NA,NA,1
"Sikkim",1979,12,"DURGA PRASAD RAJALIM","M","SJP",408,NA,NA,2
"Sikkim",1979,12,"PANDU RAM RAI","M","JNP",175,NA,NA,3
"Sikkim",1979,12,"PASSANG SHERPU","M","SCR",147,NA,NA,4
"Sikkim",1979,12,"SONAM TOBDEN BHUTIA","M","IND",116,NA,NA,5
"Sikkim",1979,12,"SURAJ KUMAR KHARTAM","M","INC",47,NA,NA,6
"Sikkim",1979,12,"NIMU TENZING BHUTIA","M","IND",29,NA,NA,7
