"State_name","Year","AC_no","AC_name","AC_type","Electors"
"Sikkim",1979,1,"YOKSAM","GEN",3743
"Sikkim",1979,2,"TASHIDING","ST",2716
"Sikkim",1979,3,"GEYZING","GEN",3322
"Sikkim",1979,4,"DENTAM","GEN",3253
"Sikkim",1979,5,"BARMIOK","GEN",3108
"Sikkim",1979,6,"RINCHENPONG","ST",3677
"Sikkim",1979,7,"CHAKUNG","GEN",3509
"Sikkim",1979,8,"SOREONG","GEN",4387
"Sikkim",1979,9,"DARAMDIN","GEN",3723
"Sikkim",1979,10,"JORTHANG-NAYABAZAR","GEN",4208
"Sikkim",1979,11,"RALONG","ST",2530
"Sikkim",1979,12,"WAK","GEN",2770
"Sikkim",1979,13,"DAMTHANG","GEN",3788
"Sikkim",1979,14,"MELLI","GEN",3394
"Sikkim",1979,15,"RATEYPANI - WEST PENDAM","SC",4127
"Sikkim",1979,16,"TEMI-TARKU","GEN",3136
"Sikkim",1979,17,"CENTRAL PENDAM-EAST PENDAM","GEN",6076
"Sikkim",1979,18,"RHENOCK","GEN",3214
"Sikkim",1979,19,"REGU","GEN",4179
"Sikkim",1979,20,"PATHING","ST",3774
"Sikkim",1979,21,"LOOSING PACHEKHANI","GEN",3660
"Sikkim",1979,22,"KHAMDONG","SC",3304
"Sikkim",1979,23,"DJONGU","ST",2921
"Sikkim",1979,24,"LACHEN MANGSHILA","ST",3811
"Sikkim",1979,25,"KABI TINGDA","ST",2860
"Sikkim",1979,26,"RAKDONG TINTEK","ST",3816
"Sikkim",1979,27,"MARTAM","ST",3586
"Sikkim",1979,28,"RUMTEK","ST",4316
"Sikkim",1979,29,"ASSAM LINGJEY","ST",3113
"Sikkim",1979,30,"RANKA","ST",3114
"Sikkim",1979,31,"GANGTOK","GEN",7908
"Sikkim",1979,32,"SANGHA","GEN",2114
"Sikkim",1985,1,"YOKSAM","GEN",5347
"Sikkim",1985,2,"TASHIDING","ST",3879
"Sikkim",1985,3,"GEYZING","GEN",5153
"Sikkim",1985,4,"DENTAM","GEN",4759
"Sikkim",1985,5,"BARMIOK","GEN",4214
"Sikkim",1985,6,"RINCHENPONG","ST",5105
"Sikkim",1985,7,"CHAKUNG","GEN",5129
"Sikkim",1985,8,"SOREONG","GEN",5618
"Sikkim",1985,9,"DARAMDIN","GEN",5088
"Sikkim",1985,10,"JORTHANG-NAYABAZAR","GEN",5510
"Sikkim",1985,11,"RALONG","ST",3823
"Sikkim",1985,12,"WAK","GEN",3996
"Sikkim",1985,13,"DAMTHANG","GEN",4911
"Sikkim",1985,14,"MELLI","GEN",5094
"Sikkim",1985,15,"RATEYPANI - WEST PENDAM","SC",5381
"Sikkim",1985,16,"TEMI-TARKU","GEN",4579
"Sikkim",1985,17,"CENTRAL PENDAM-EAST PENDAM","GEN",7379
"Sikkim",1985,18,"RHENOCK","GEN",4577
"Sikkim",1985,19,"REGU","GEN",5026
"Sikkim",1985,20,"PATHING","ST",4971
"Sikkim",1985,21,"LOOSING PACHEKHANI","GEN",4403
"Sikkim",1985,22,"KHAMDONG","SC",5393
"Sikkim",1985,23,"DJONGU","ST",3589
"Sikkim",1985,24,"LACHEN MANGSHILA","ST",4760
"Sikkim",1985,25,"KABI TINGDA","ST",3644
"Sikkim",1985,26,"RAKDONG TENTEK","ST",4668
"Sikkim",1985,27,"MARTAM","ST",4090
"Sikkim",1985,28,"RUMTEK","GEN",5406
"Sikkim",1985,29,"ASSAM-LINGJEY","ST",3621
"Sikkim",1985,30,"RANKA","ST",4311
"Sikkim",1985,31,"GANGTOK","GEN",9321
"Sikkim",1985,32,"SANGHA","GEN",2296
"Sikkim",1989,1,"YOKSAM","GEN",7202
"Sikkim",1989,2,"TASHIDING BL","GEN",5435
"Sikkim",1989,3,"GEYZING","GEN",6472
"Sikkim",1989,4,"DENTAM","GEN",6097
"Sikkim",1989,5,"BARMIOK","GEN",5492
"Sikkim",1989,6,"RINCHENPONG BL","GEN",6495
"Sikkim",1989,7,"CHAKUNG","GEN",6755
"Sikkim",1989,8,"SOREONG","GEN",7355
"Sikkim",1989,9,"DARAMDIN","GEN",7033
"Sikkim",1989,10,"JORTHANG-NAYABAZAR","GEN",7356
"Sikkim",1989,11,"RALONG BL","GEN",4848
"Sikkim",1989,12,"WAK","GEN",5253
"Sikkim",1989,13,"DAMTHANG","GEN",6387
"Sikkim",1989,14,"MELLI","GEN",6402
"Sikkim",1989,15,"RATEYPANI - WEST PENDAM","SC",6879
"Sikkim",1989,16,"TEMI-TARKU","GEN",6264
"Sikkim",1989,17,"CENTRAL PENDAM-EAST PENDAM","GEN",7426
"Sikkim",1989,18,"RHENOCK","GEN",5072
"Sikkim",1989,19,"REGU","GEN",5532
"Sikkim",1989,20,"PATHING BL","GEN",6379
"Sikkim",1989,21,"LOOSING PACHEKHANI","GEN",4821
"Sikkim",1989,22,"KHAMDONG","SC",7043
"Sikkim",1989,23,"DJONGU BL","GEN",4102
"Sikkim",1989,24,"LACHEN MANGSHILA BL","GEN",5072
"Sikkim",1989,25,"KABI TINGDA BL","GEN",4240
"Sikkim",1989,26,"RAKDONG TENTEK BL","GEN",5540
"Sikkim",1989,27,"MARTAM BL","GEN",5405
"Sikkim",1989,28,"RUMTEK BL","GEN",6623
"Sikkim",1989,29,"ASSAM-LINGJEY BL","GEN",4891
"Sikkim",1989,30,"RANKA BL","GEN",6423
"Sikkim",1989,31,"GANGTOK","GEN",9109
"Sikkim",1989,32,"SANGHA","GEN",3216
"Sikkim",1994,1,"YOKSAM","GEN",6868
"Sikkim",1994,2,"TASHIDING","ST",5658
"Sikkim",1994,3,"GEYZING","GEN",7008
"Sikkim",1994,4,"DENTAM","GEN",6393
"Sikkim",1994,5,"BARMIOK","GEN",5619
"Sikkim",1994,6,"RINCHENPONG","ST",6859
"Sikkim",1994,7,"CHAKUNG","GEN",6881
"Sikkim",1994,8,"SOREONG","GEN",7792
"Sikkim",1994,9,"DARAMDIN","GEN",7448
"Sikkim",1994,10,"JORTHANG-NAYABAZAR","GEN",8619
"Sikkim",1994,11,"RALONG","ST",5237
"Sikkim",1994,12,"WAK","GEN",5369
"Sikkim",1994,13,"DAMTHANG","GEN",7054
"Sikkim",1994,14,"MELLI","GEN",7120
"Sikkim",1994,15,"RATEYPANI - WEST PENDAM","SC",7658
"Sikkim",1994,16,"TEMI-TARKU","GEN",7580
"Sikkim",1994,17,"CENTRAL PENDAM-EAST PENDAM","GEN",9593
"Sikkim",1994,18,"RHENOCK","GEN",6140
"Sikkim",1994,19,"REGU","GEN",6442
"Sikkim",1994,20,"PATHING","ST",7432
"Sikkim",1994,21,"LOOSING PACHEKHANI","GEN",5880
"Sikkim",1994,22,"KHAMDONG","SC",7860
"Sikkim",1994,23,"DJONGU","ST",4761
"Sikkim",1994,24,"LACHEN MANGSHILA","ST",6424
"Sikkim",1994,25,"KABI TINGDA","ST",5330
"Sikkim",1994,26,"RAKDONG TENTEK","ST",6556
"Sikkim",1994,27,"MARTAM","ST",7273
"Sikkim",1994,28,"RUMTEK","ST",8511
"Sikkim",1994,29,"ASSAM-LINGJEY","ST",5992
"Sikkim",1994,30,"RANKA","ST",7340
"Sikkim",1994,31,"GANGTOK","GEN",9960
"Sikkim",1994,32,"SANGHA","GEN",3086
"Sikkim",1999,1,"YOKSAM","GEN",7668
"Sikkim",1999,2,"TASHIDING","ST",6014
"Sikkim",1999,3,"GEYZING","GEN",7571
"Sikkim",1999,4,"DENTAM","GEN",6934
"Sikkim",1999,5,"BARMIOK","GEN",6443
"Sikkim",1999,6,"RINCHENPONG","ST",7326
"Sikkim",1999,7,"CHAKUNG","GEN",7543
"Sikkim",1999,8,"SOREONG","GEN",8511
"Sikkim",1999,9,"DARAMDIN","GEN",8268
"Sikkim",1999,10,"JORTHANG-NAYABAZAR","GEN",10782
"Sikkim",1999,11,"RALONG","ST",5901
"Sikkim",1999,12,"WAK","GEN",6142
"Sikkim",1999,13,"DAMTHANG","GEN",8425
"Sikkim",1999,14,"MELLI","GEN",8361
"Sikkim",1999,15,"RATEYPANI - WEST PENDAM","SC",8809
"Sikkim",1999,16,"TEMI-TARKU","GEN",9168
"Sikkim",1999,17,"CENTRAL PENDAM-EAST PENDAM","GEN",11322
"Sikkim",1999,18,"RHENOCK","GEN",7579
"Sikkim",1999,19,"REGU","GEN",8226
"Sikkim",1999,20,"PATHING","ST",8624
"Sikkim",1999,21,"LOOSING PACHEKHANI","GEN",7144
"Sikkim",1999,22,"KHAMDONG","SC",9190
"Sikkim",1999,23,"DJONGU","ST",5469
"Sikkim",1999,24,"LACHEN MANGSHILA","ST",7378
"Sikkim",1999,25,"KABI TINGDA","ST",5557
