"State_name","DelimID","AC_no","AC_name","AC_type","District_Name","Sub_Region","Source"
"Sikkim",4,1,"YOKSAM-TASHIDING","GEN","WEST","SIKKIM","Team3 ELM"
"Sikkim",4,2,"YANGTHANG","GEN","WEST","SIKKIM","Team3 ELM"
"Sikkim",4,3,"MANEYBUNG-DENTAM","GEN","WEST","SIKKIM","Team3 ELM"
"Sikkim",4,4,"GYALSHING-BARNYAK","GEN","WEST","SIKKIM","Team3 ELM"
"Sikkim",4,5,"RINCHENPONG","GEN","WEST","SIKKIM","Team3 ELM"
"Sikkim",4,6,"DARAMDIN","GEN","WEST","SIKKIM","Team3 ELM"
"Sikkim",4,7,"SOREONG-CHAKUNG","GEN","WEST","SIKKIM","Team3 ELM"
"Sikkim",4,8,"SALGHARI-ZOO","SC","WEST","SIKKIM","Team3 ELM"
"Sikkim",4,9,"BARFUNG","GEN","SOUTH","SIKKIM","Team3 ELM"
"Sikkim",4,10,"POKLOK-KAMRANG","GEN","SOUTH","SIKKIM","Team3 ELM"
"Sikkim",4,11,"NAMCHI-SINGHITHANG","GEN","SOUTH","SIKKIM","Team3 ELM"
"Sikkim",4,12,"MELLI","GEN","SOUTH","SIKKIM","Team3 ELM"
"Sikkim",4,13,"NAMTHANG-RATEYPANI","GEN","SOUTH","SIKKIM","Team3 ELM"
"Sikkim",4,14,"TEMI-NAMPHING","GEN","SOUTH","SIKKIM","Team3 ELM"
"Sikkim",4,15,"RANGANG-YANGANG","GEN","SOUTH","SIKKIM","Team3 ELM"
"Sikkim",4,16,"TUMEN-LINGI","GEN","SOUTH","SIKKIM","Team3 ELM"
"Sikkim",4,17,"KHAMDONG-SINGTAM","GEN","EAST","SIKKIM","Team3 ELM"
"Sikkim",4,18,"WEST PENDA","SC","EAST","SIKKIM","Team3 ELM"
"Sikkim",4,19,"RHENOCK","GEN","EAST","SIKKIM","Team3 ELM"
"Sikkim",4,20,"CHUJACHEN","GEN","EAST","SIKKIM","Team3 ELM"
"Sikkim",4,21,"GNATHANG-MACHONG","GEN","EAST","SIKKIM","Team3 ELM"
"Sikkim",4,22,"NAMCHEYBUNG","GEN","EAST","SIKKIM","Team3 ELM"
"Sikkim",4,23,"SHYARI","GEN","EAST","SIKKIM","Team3 ELM"
"Sikkim",4,24,"MARTAM-RUMTEK","GEN","EAST","SIKKIM","Team3 ELM"
"Sikkim",4,25,"UPPER TADONG","GEN","EAST","SIKKIM","Team3 ELM"
"Sikkim",4,26,"ARITHANG","GEN","EAST","SIKKIM","Team3 ELM"
"Sikkim",4,27,"GANGTOK","GEN","EAST","SIKKIM","Team3 ELM"
"Sikkim",4,28,"UPPER BURTUK","GEN","EAST","SIKKIM","Team3 ELM"
"Sikkim",4,29,"KABI LUNGCHUK","GEN","NORTH","SIKKIM","Team3 ELM"
"Sikkim",4,30,"DJONGU","GEN","NORTH","SIKKIM","Team3 ELM"
"Sikkim",4,31,"LACHEN MANGAN","GEN","NORTH","SIKKIM","Team3 ELM"
"Sikkim",4,32,"SANGHA","GEN","SANGHA","SIKKIM","Team3 ELM"
