"state","sa_no","year","month","ac_no","ac_name","turnout","vote_percent","ac_type","electors","margin","n_cand","position","sex1","party1","votes1","cand1","margin_percent","runner","runner_party","runner_sex","nota_percent"
"Tamil_Nadu",1,1971,2,1,"WASHERMANPET",65.9,54.04,"General",109476,6758,3,1,"Male","DMK",38989,"M.VEDACHALAM",9.37,"ANANTHAN","NCO","M",NA
"Tamil_Nadu",1,1971,2,2,"HARBOUR",65.07,49.44,"General",90850,486,3,1,"Male","IND",29225,"A M MOHIDEEN",0.82,"UMAPATHY G","NCO","M",NA
"Tamil_Nadu",1,1971,2,3,"BASIN BRIDGE",63.72,56.73,"General",135430,15785,5,1,"Male","DMK",48959,"M R KANNAN",18.29,"K. RAMADOSS","NCO","M",NA
"Tamil_Nadu",1,1971,2,4,"PARK TOWN",65.49,54.7,"General",85813,5287,2,1,"Male","SWA",30743,"H V HANDE",9.41,"A V ASAITHAMBI","DMK","M",NA
"Tamil_Nadu",1,1971,2,5,"PERAMBUR",64.28,56.37,"SC",135439,12023,3,1,"Male","DMK",49070,"SATHIVANIMUTHU",13.81,"D SULOCHANA","NCO","M",NA
"Tamil_Nadu",1,1971,2,6,"PURASAWALKAM",62.3,56.13,"General",134925,12166,3,1,"Male","DMK",47182,"KANBAZHAGAN",14.47,"BASHYAM REDDY","NCO","M",NA
"Tamil_Nadu",1,1971,2,7,"EGMORE",65.68,53.19,"General",116206,4863,2,1,"Male","DMK",40596,"ARANGANNAL",6.37,"M KOTHANDAPANI","NCO","M",NA
"Tamil_Nadu",1,1971,2,8,"THOUSAND LIGHTS",62.39,57.39,"General",108614,11559,6,1,"Male","DMK",38891,"K A MATHIALAGAN",17.06,"N M MANI VARMA","NCO","M",NA
"Tamil_Nadu",1,1971,2,9,"TRIPLICANE",68.95,50.4,"General",104278,1039,4,1,"Male","DMK",36237,"V R NEDUNCHEZHIYAN",1.45,"K VINAYAKAM","NCO","M",NA
"Tamil_Nadu",1,1971,2,10,"MYLAPORE",67.41,55.01,"General",114082,7703,2,1,"Male","NCO",42301,"T N ANANDANA YAKI",10.02,"M P SIVAGNANAM","DMK","M",NA
"Tamil_Nadu",1,1971,2,11,"THIAGARAYANAGAR",63.33,48.32,"General",121232,879,5,1,"Male","NCO",37100,"K M SUBRAMANIAM",1.14,"D V NARAYANASAMY","DMK","M",NA
"Tamil_Nadu",1,1971,2,12,"SAIDAPET",65.61,54.46,"General",177248,12511,5,1,"Male","DMK",63334,"M KARUNANIDHI",10.76,"N KAMALINGAM","NCO","M",NA
"Tamil_Nadu",1,1971,2,13,"GUMMIDIPUNDI",75.04,58.41,"General",98918,12480,2,1,"Male","DMK",43355,"K A VEZHAVENDAN",16.81,"P OBUL REDDY","NCO","M",NA
"Tamil_Nadu",1,1971,2,14,"PONNERI",70.16,58.39,"SC",97121,18133,3,1,"Male","DMK",39783,"P NAGALINGAM",26.61,"ELUMALAI T P","NCO","M",NA
"Tamil_Nadu",1,1971,2,15,"TIRUVOTRIYUR",64.11,53.74,"General",149448,16096,4,1,"Male","DMK",51487,"M V NARAYANASWAMY",16.8,"VENKATESALU NAIDU","NCO","M",NA
"Tamil_Nadu",1,1971,2,16,"ST THOMAS MOUNT",65.45,61.11,"General",163527,24632,3,1,"Male","DMK",65405,"M G RAMACHANDRAN",23.01,"T L RAGHUPATHY","NCO","M",NA
"Tamil_Nadu",1,1971,2,17,"TIRUPPORUR",67.73,57,"General",104099,15237,5,1,"Male","DMK",40187,"M MUNU ADHI",21.61,"T M DHANAPAL","NCO","M",NA
"Tamil_Nadu",1,1971,2,18,"CHINGLEPUT",68.24,62.09,"General",98995,23659,8,1,"Male","DMK",41949,"C G VISHWANATHAN",35.02,"S T NEELAKANTAN","NCO","M",NA
"Tamil_Nadu",1,1971,2,19,"MADURANTAKAM",73.97,64.53,"General",88600,19049,2,1,"Male","DMK",42295,"C ARUMUGAM",29.06,"V GOPAL REDDIAR","NCO","M",NA
"Tamil_Nadu",1,1971,2,20,"ACHARAPAKKAM",70.09,66.77,"SC",85083,26359,5,1,"Male","DMK",39816,"V BALASUNDARAM",44.2,"C GANESAN","NCO","M",NA
"Tamil_Nadu",1,1971,2,21,"UTTIRAMERUR",73.24,68.85,"General",96108,28566,3,1,"Male","DMK",48462,"K M ERASAGOPAL",40.59,"C RAMASAMY","NCO","M",NA
"Tamil_Nadu",1,1971,2,22,"KANCHEEPURAM",77.66,52.52,"General",107911,6312,3,1,"Male","DMK",44009,"G. V. M. ANNAMALAI",7.53,"D. V. NATESA MUDALIAR","NCO","M",NA
"Tamil_Nadu",1,1971,2,23,"KUNNATHUR",66.74,64.48,"SC",109509,22638,3,1,"Male","DMK",47126,"M. GOPAL",30.97,"P. APPAVOO","NCO","M",NA
"Tamil_Nadu",1,1971,2,24,"SRIPERUMBUDUR",70.51,59.15,"General",111779,14416,2,1,"Male","DMK",46617,"DI. RAJARATHANAM",18.29,"MANALI RAMAKRISHNA MUDALIAR","NCO","M",NA
"Tamil_Nadu",1,1971,2,25,"KADAMBATHUR",67.45,67.11,"General",85210,19666,2,1,"Male","DMK",38569,"A PARANDHAMAN",34.22,"ERA KULASEKARAN","NCO","M",NA
"Tamil_Nadu",1,1971,2,26,"TIRUVALLUR",63.83,62.81,"SC",91042,18737,3,1,"Male","DMK",36496,"S. M. DORAIRAJ",32.24,"V. S. ARUNACHALAM","NCO","M",NA
"Tamil_Nadu",1,1971,2,27,"TIRUTTANI",68.28,61.72,"General",103073,16498,2,1,"Male","DMK",43436,"E. S. THYAGARAJAN",23.44,"A. EKAMBARA REDDY","NCO","M",NA
"Tamil_Nadu",1,1971,2,28,"ARKONAM",71.84,60.11,"General",97843,15378,3,1,"Male","DMK",42256,"BALARAMAN N. S.",21.88,"S. K. SUBRAMANIA MUDALY","NCO","M",NA
"Tamil_Nadu",1,1971,2,29,"SHOKINGHUR",74.17,55.39,"General",89522,7155,2,1,"Male","NCO",36776,"A. M. PONNURANGAM",10.78,"NATRAJAN K. M.","DMK","M",NA
"Tamil_Nadu",1,1971,2,30,"RANIPET",68.04,53.96,"General",99025,5335,2,1,"Male","IND",36357,"K. A WAHAB",7.92,"A. G. RANGANATHA NAICKER","NCO","M",NA
"Tamil_Nadu",1,1971,2,31,"ARCOT",76.45,57.79,"General",88559,14065,5,1,"Male","DMK",39126,"N. VEERASAMI",20.78,"N. R. ETHIRAJALU NAIDU","NCO","M",NA
"Tamil_Nadu",1,1971,2,32,"KATPADI",71.05,57.79,"General",91305,16568,4,1,"Male","DMK",37487,"DURAI MURUGAN",25.54,"DHANDAYUTHAPANI","NCO","M",NA
"Tamil_Nadu",1,1971,2,33,"GUDIYATTAM",67.73,56.38,"General",91545,16374,4,1,"Male","DMK",34954,"DURAISAMI F. K.",26.41,"ADIMOOLAM D. A.","NCO","M",NA
"Tamil_Nadu",1,1971,2,34,"PERNAMBATTU",69.27,59.61,"SC",86711,14139,4,1,"Male","DMK",35804,"N. KRISHNAN",23.54,"P. RAJAGOPAL","NCO","M",NA
"Tamil_Nadu",1,1971,2,35,"NATRAMPALLI",71.37,55.33,"General",84331,6421,2,1,"Male","DMK",33303,"T. C. THIMMARAYA GOUNDER",10.67,"K. SHANMUGASUNDARAM","NCO","M",NA
"Tamil_Nadu",1,1971,2,36,"TIRUPATTUR",73.63,55.54,"General",90778,7400,2,1,"Male","DMK",37120,"RAMASAMY G.",11.07,"Y. SHAMMUGAN","NCO","M",NA
"Tamil_Nadu",1,1971,2,37,"VANIYAMBADI",61.64,56.13,"General",80631,8817,4,1,"Male","IND",27899,"M. A. LATHEEF",17.74,"R. C. SAMANNA GOUNDER","NCO","M",NA
"Tamil_Nadu",1,1971,2,38,"AMBUR",61.7,55.17,"SC",96754,11488,4,1,"Male","DMK",32937,"M. PANNEERSELVAM",19.24,"ADIMOOLAM M.","NCO","M",NA
"Tamil_Nadu",1,1971,2,39,"KANIYAMBADI",73.23,54.11,"General",86907,9788,5,1,"Male","DMK",34435,"THOPPUTHIRUVENGADAM",15.38,"L. BALARAMAN","NCO","M",NA
"Tamil_Nadu",1,1971,2,40,"VELLORE",69.28,52.85,"General",106424,6567,5,1,"Male","DMK",38968,"MA. PA. SARATHY",8.91,"A. K. LALALAJAPATHY","NCO","M",NA
"Tamil_Nadu",1,1971,2,41,"ARNI",73.16,60.5,"General",85126,13083,2,1,"Male","DMK",37682,"A. C. NARASIMHAN",21.01,"M. DARUMARAJAN","NCO","M",NA
"Tamil_Nadu",1,1971,2,42,"CHEYYAR",81.26,55.79,"General",88183,8301,2,1,"Male","DMK",39978,"K. GOVINDAN",11.58,"PERUMALSAMY NAYAGAR","NCO","M",NA
"Tamil_Nadu",1,1971,2,43,"WANDIWASH",67.93,63.85,"SC",95562,17987,2,1,"Male","DMK",41452,"V. RAJAGOPAL",27.71,"D. DASARATHAN","NCO","M",NA
"Tamil_Nadu",1,1971,2,44,"PERNAMALLUR",71.14,64.5,"General",85345,17603,2,1,"Male","DMK",39160,"P. ETTIAPPAN",28.99,"BOOPALAN","NCO","M",NA
"Tamil_Nadu",1,1971,2,45,"POLUR",70,57.92,"General",85660,9496,2,1,"Male","DMK",34728,"T. P. SRINIVASAN",15.84,"NATESA GOUNDER T. R.","NCO","M",NA
"Tamil_Nadu",1,1971,2,46,"CHENGAM",62.12,61.39,"SC",84601,15555,3,1,"Male","DMK",32260,"C. PANDURANGAM",29.6,"A. AR. MUGAM","NCO","M",NA
"Tamil_Nadu",1,1971,2,47,"THANDRAMBA",71.72,58.82,"General",90062,11391,2,1,"Male","DMK",37991,"M. S. RADHAKRISHNAN",17.64,"SAHADEVA GINDER K.","NCO","M",NA
"Tamil_Nadu",1,1971,2,48,"KALASPAKKAM",75.52,58.88,"General",96470,12933,2,1,"Male","DMK",42893,"S. MURUGAIYAN",17.75,"M. SUNDRASWAMY","NCO","M",NA
"Tamil_Nadu",1,1971,2,49,"TIRUVANNAMALAI",71.89,62.21,"General",104261,18310,2,1,"Male","DMK",46633,"P. U. SHANMUGAM",24.43,"D. ANNAMALAI PILLAI","NCO","M",NA
"Tamil_Nadu",1,1971,2,50,"MELMALAYANUR",61.46,53.54,"General",94704,8872,4,1,"Male","DMK",31166,"R. R. MUNUSAMI",15.24,"GOPAL GOUNDER K.","NCO","M",NA
"Tamil_Nadu",1,1971,2,51,"GINGEE",67.69,59.67,"General",97534,12772,2,1,"Male","DMK",39397,"S. SAGADEVA GOUNDER",19.35,"V. PERUMAL NAINAR","NCO","M",NA
"Tamil_Nadu",1,1971,2,52,"TINDIVANAM",63.87,55.83,"General",95171,11885,4,1,"Male","DMK",33933,"RAJARAM G.",19.55,"K. RAMAMURTHY","NCO","M",NA
"Tamil_Nadu",1,1971,2,53,"VANUR",62.32,59.81,"SC",91533,14815,3,1,"Male","DMK",34121,"N. MUTHUVEL",25.97,"A. VENKATACHALAM","NCO","M",NA
"Tamil_Nadu",1,1971,2,54,"KANDAMAGALAM",61.49,57.33,"SC",91603,11665,3,1,"Male","DMK",32293,"M. RAMAN",20.71,"P. P. MATHAVAN","NCO","M",NA
"Tamil_Nadu",1,1971,2,55,"VILLUPURAM",67.97,51.41,"General",102546,7276,3,1,"Male","DMK",35838,"M. SHANMUGAM",10.44,"V. P. SHARANGAPANI GOUNDER","NCO","M",NA
"Tamil_Nadu",1,1971,2,56,"NELLIKUPPAM",70.64,44.93,"General",87406,5820,5,1,"Male","DMK",27741,"V. KRISHNAMOORTHI GOUNDER",9.43,"K. G. KANDAN","NCO","M",NA
"Tamil_Nadu",1,1971,2,57,"CUDDALORE",69.38,52.6,"General",96497,4310,3,1,"Male","DMK",35219,"R. GOVINDARAJ",6.44,"P. R. SEENIVASA PODAYACHI","NCO","M",NA
"Tamil_Nadu",1,1971,2,58,"PANRUTI",69.54,52.06,"General",116399,8985,3,1,"Male","DMK",42141,"S. RAMACHANDRAN",11.1,"S. V. VADIVELU PADAYACHI","NCO","M",NA
"Tamil_Nadu",1,1971,2,59,"KURINJIPADI",67.52,51.43,"SC",79098,1526,2,1,"Male","DMK",27465,"N. RAJANGAN",2.86,"M. JAYARAMAN","NCO","M",NA
"Tamil_Nadu",1,1971,2,60,"BHUVANAGIRI",66.5,44.31,"General",97115,5324,6,1,"Male","IND",28615,"M. A. ABUSALI",8.24,"R. BALAKRISHNAN","NCO","M",NA
"Tamil_Nadu",1,1971,2,61,"KATTUMANNARKOIL",76.19,51.72,"SC",83360,3296,3,1,"Male","DMK",32847,"S. PERUMAL",5.19,"T. M. KUPPUSAMI","NCO","M",NA
"Tamil_Nadu",1,1971,2,62,"CHIDAMBARAM",74.28,50.33,"General",95620,1679,3,1,"Male","DMK",35750,"P. PONCHOKKALINGAM",2.36,"R. GOPALKRISHNAN","NCO","M",NA
"Tamil_Nadu",1,1971,2,63,"VRIDHACHALAM",75.29,54.26,"General",103130,7198,3,1,"Male","DMK",42132,"M. SELVRAJ",9.27,"B. THIYAGARAJAN","NCO","M",NA
"Tamil_Nadu",1,1971,2,64,"MANGALUR",64.95,52.24,"SC",96126,11498,5,1,"Male","DMK",32612,"G. JABAMALAI",18.42,"R. PERUMAL","NCO","M",NA
"Tamil_Nadu",1,1971,2,65,"ULUNDURPET",71.33,57.87,"General",87670,10955,3,1,"Male","DMK",36191,"V. SUBRAMANIAM",17.52,"N. PO. NAMBALAM","NCO","M",NA
"Tamil_Nadu",1,1971,2,66,"TIRUKKOILUR",75.24,55.27,"General",92628,7349,2,1,"Male","DMK",38520,"A. S. KUMARASAMY",10.55,"A. VADIVEL","NCO","M",NA
"Tamil_Nadu",1,1971,2,67,"MUGAIYUR",67.3,59.98,"General",95971,19139,4,1,"Male","DMK",38744,"A. G. PADMAVATHI",29.63,"K. A. RANGANATHAN","NCO","M",NA
