"state","year","ac_no","ac_name","ac_type","cand1","party1","votes1","position","vote_percent"
"Tamil_Nadu",1971,1,"WASHERMANPET","GEN","M.VEDACHALAM","DMK",38989,1,54.04
"Tamil_Nadu",1971,1,"WASHERMANPET","GEN","ANANTHAN","NCO",32231,2,44.68
"Tamil_Nadu",1971,1,"WASHERMANPET","GEN","K V MANAVALA NAICKER","IND",923,3,1.28
"Tamil_Nadu",1971,2,"HARBOUR","GEN","A M MOHIDEEN","IND",29225,1,49.44
"Tamil_Nadu",1971,2,"HARBOUR","GEN","UMAPATHY G","NCO",28739,2,48.62
"Tamil_Nadu",1971,2,"HARBOUR","GEN","ABIBULLA BAIG","IND",1151,3,1.95
"Tamil_Nadu",1971,3,"BASIN BRIDGE","GEN","M R KANNAN","DMK",48959,1,56.73
"Tamil_Nadu",1971,3,"BASIN BRIDGE","GEN","K. RAMADOSS","NCO",33174,2,38.44
"Tamil_Nadu",1971,3,"BASIN BRIDGE","GEN","K M HARI BHATT","CPM",2312,3,2.68
"Tamil_Nadu",1971,3,"BASIN BRIDGE","GEN","A VARADADESIKAN","IND",1184,4,1.37
"Tamil_Nadu",1971,3,"BASIN BRIDGE","GEN","K MUTHIAH","IND",672,5,0.78
"Tamil_Nadu",1971,4,"PARK TOWN","GEN","H V HANDE","SWA",30743,1,54.7
"Tamil_Nadu",1971,4,"PARK TOWN","GEN","A V ASAITHAMBI","DMK",25456,2,45.3
"Tamil_Nadu",1971,5,"PERAMBUR","SC","SATHIVANIMUTHU","DMK",49070,1,56.37
"Tamil_Nadu",1971,5,"PERAMBUR","SC","D SULOCHANA","NCO",37047,2,42.56
"Tamil_Nadu",1971,5,"PERAMBUR","SC","A SHAMMUGAM","IND",939,3,1.08
"Tamil_Nadu",1971,6,"PURASAWALKAM","GEN","KANBAZHAGAN","DMK",47182,1,56.13
"Tamil_Nadu",1971,6,"PURASAWALKAM","GEN","BASHYAM REDDY","NCO",35016,2,41.65
"Tamil_Nadu",1971,6,"PURASAWALKAM","GEN","M DEENAN","IND",1865,3,2.22
"Tamil_Nadu",1971,7,"EGMORE","GEN","ARANGANNAL","DMK",40596,1,53.19
"Tamil_Nadu",1971,7,"EGMORE","GEN","M KOTHANDAPANI","NCO",35733,2,46.81
"Tamil_Nadu",1971,8,"THOUSAND LIGHTS","GEN","K A MATHIALAGAN","DMK",38891,1,57.39
"Tamil_Nadu",1971,8,"THOUSAND LIGHTS","GEN","N M MANI VARMA","NCO",27332,2,40.33
"Tamil_Nadu",1971,8,"THOUSAND LIGHTS","GEN","K BALAVARSU","IND",759,3,1.12
"Tamil_Nadu",1971,8,"THOUSAND LIGHTS","GEN","K SHANTHA KUMARI","IND",314,4,0.46
"Tamil_Nadu",1971,8,"THOUSAND LIGHTS","GEN","S A SALIHA","IND",293,5,0.43
"Tamil_Nadu",1971,8,"THOUSAND LIGHTS","GEN","D BHOOPATHY","IND",178,6,0.26
"Tamil_Nadu",1971,9,"TRIPLICANE","GEN","V R NEDUNCHEZHIYAN","DMK",36237,1,50.4
"Tamil_Nadu",1971,9,"TRIPLICANE","GEN","K VINAYAKAM","NCO",35198,2,48.95
"Tamil_Nadu",1971,9,"TRIPLICANE","GEN","NOORG EHAN MAMADI","IND",340,3,0.47
"Tamil_Nadu",1971,9,"TRIPLICANE","GEN","S A ZAMAN","IND",127,4,0.18
"Tamil_Nadu",1971,10,"MYLAPORE","GEN","T N ANANDANA YAKI","NCO",42301,1,55.01
"Tamil_Nadu",1971,10,"MYLAPORE","GEN","M P SIVAGNANAM","DMK",34598,2,44.99
"Tamil_Nadu",1971,11,"THIAGARAYANAGAR","GEN","K M SUBRAMANIAM","NCO",37100,1,48.32
"Tamil_Nadu",1971,11,"THIAGARAYANAGAR","GEN","D V NARAYANASAMY","DMK",36221,2,47.18
"Tamil_Nadu",1971,11,"THIAGARAYANAGAR","GEN","K NARAYAN RAO","BJS",1880,3,2.45
"Tamil_Nadu",1971,11,"THIAGARAYANAGAR","GEN","THIRUNAGAR RATHINAM","IND",1187,4,1.55
"Tamil_Nadu",1971,11,"THIAGARAYANAGAR","GEN","M SUBRAMANIA RAO","IND",387,5,0.5
"Tamil_Nadu",1971,12,"SAIDAPET","GEN","M KARUNANIDHI","DMK",63334,1,54.46
"Tamil_Nadu",1971,12,"SAIDAPET","GEN","N KAMALINGAM","NCO",50823,2,43.7
"Tamil_Nadu",1971,12,"SAIDAPET","GEN","R M ANNAMLAI R M","IND",1034,3,0.89
"Tamil_Nadu",1971,12,"SAIDAPET","GEN","S KRISHNAMURTHY","IND",943,4,0.81
"Tamil_Nadu",1971,12,"SAIDAPET","GEN","M K PARASURAM PRABHU","IND",156,5,0.13
"Tamil_Nadu",1971,13,"GUMMIDIPUNDI","GEN","K A VEZHAVENDAN","DMK",43355,1,58.41
"Tamil_Nadu",1971,13,"GUMMIDIPUNDI","GEN","P OBUL REDDY","NCO",30875,2,41.59
"Tamil_Nadu",1971,14,"PONNERI","SC","P NAGALINGAM","DMK",39783,1,58.39
"Tamil_Nadu",1971,14,"PONNERI","SC","ELUMALAI T P","NCO",21650,2,31.77
"Tamil_Nadu",1971,14,"PONNERI","SC","C K MANICKAM","IND",6703,3,9.84
"Tamil_Nadu",1971,15,"TIRUVOTRIYUR","GEN","M V NARAYANASWAMY","DMK",51487,1,53.74
"Tamil_Nadu",1971,15,"TIRUVOTRIYUR","GEN","VENKATESALU NAIDU","NCO",35391,2,36.94
"Tamil_Nadu",1971,15,"TIRUVOTRIYUR","GEN","C K MADHAVAN","CPM",8057,3,8.41
"Tamil_Nadu",1971,15,"TIRUVOTRIYUR","GEN","SURIYAMUTHU","IND",877,4,0.92
"Tamil_Nadu",1971,16,"ST THOMAS MOUNT","GEN","M G RAMACHANDRAN","DMK",65405,1,61.11
"Tamil_Nadu",1971,16,"ST THOMAS MOUNT","GEN","T L RAGHUPATHY","NCO",40773,2,38.1
"Tamil_Nadu",1971,16,"ST THOMAS MOUNT","GEN","M VARADARAJAN","IND",850,3,0.79
"Tamil_Nadu",1971,17,"TIRUPPORUR","GEN","M MUNU ADHI","DMK",40187,1,57
"Tamil_Nadu",1971,17,"TIRUPPORUR","GEN","T M DHANAPAL","NCO",24950,2,35.39
"Tamil_Nadu",1971,17,"TIRUPPORUR","GEN","K KUPPAN","IND",4223,3,5.99
"Tamil_Nadu",1971,17,"TIRUPPORUR","GEN","SAGADEVAN B","IND",706,4,1
"Tamil_Nadu",1971,17,"TIRUPPORUR","GEN","P A APPADURAI","IND",441,5,0.63
"Tamil_Nadu",1971,18,"CHINGLEPUT","GEN","C G VISHWANATHAN","DMK",41949,1,62.09
"Tamil_Nadu",1971,18,"CHINGLEPUT","GEN","S T NEELAKANTAN","NCO",18290,2,27.07
"Tamil_Nadu",1971,18,"CHINGLEPUT","GEN","P RAMAKRISHNAN","IND",3748,3,5.55
"Tamil_Nadu",1971,18,"CHINGLEPUT","GEN","U T KRISHNASAMY","IND",1455,4,2.15
"Tamil_Nadu",1971,18,"CHINGLEPUT","GEN","P RAMASAMY","IND",1264,5,1.87
"Tamil_Nadu",1971,18,"CHINGLEPUT","GEN","S K SUNDER RAJ","IND",345,6,0.51
"Tamil_Nadu",1971,18,"CHINGLEPUT","GEN","A CHINNAPAYYAN","IND",285,7,0.42
"Tamil_Nadu",1971,18,"CHINGLEPUT","GEN","N S PARAMANANDAM","IND",222,8,0.33
"Tamil_Nadu",1971,19,"MADURANTAKAM","GEN","C ARUMUGAM","DMK",42295,1,64.53
"Tamil_Nadu",1971,19,"MADURANTAKAM","GEN","V GOPAL REDDIAR","NCO",23246,2,35.47
"Tamil_Nadu",1971,20,"ACHARAPAKKAM","SC","V BALASUNDARAM","DMK",39816,1,66.77
"Tamil_Nadu",1971,20,"ACHARAPAKKAM","SC","C GANESAN","NCO",13457,2,22.57
"Tamil_Nadu",1971,20,"ACHARAPAKKAM","SC","A PERUMAL","IND",4346,3,7.29
"Tamil_Nadu",1971,20,"ACHARAPAKKAM","SC","C ELUMALAI","IND",1652,4,2.77
"Tamil_Nadu",1971,20,"ACHARAPAKKAM","SC","JEYARAJ J R","IND",365,5,0.61
"Tamil_Nadu",1971,21,"UTTIRAMERUR","GEN","K M ERASAGOPAL","DMK",48462,1,68.85
"Tamil_Nadu",1971,21,"UTTIRAMERUR","GEN","C RAMASAMY","NCO",19896,2,28.27
"Tamil_Nadu",1971,21,"UTTIRAMERUR","GEN","T E PACHAIYAPPAN","IND",2027,3,2.88
"Tamil_Nadu",1971,22,"KANCHEEPURAM","GEN","G. V. M. ANNAMALAI","DMK",44009,1,52.52
"Tamil_Nadu",1971,22,"KANCHEEPURAM","GEN","D. V. NATESA MUDALIAR","NCO",37697,2,44.98
"Tamil_Nadu",1971,22,"KANCHEEPURAM","GEN","K. S. PARTTHASARTHY","CPM",2094,3,2.5
"Tamil_Nadu",1971,23,"KUNNATHUR","SC","M. GOPAL","DMK",47126,1,64.48
"Tamil_Nadu",1971,23,"KUNNATHUR","SC","P. APPAVOO","NCO",24488,2,33.5
"Tamil_Nadu",1971,23,"KUNNATHUR","SC","G. DAYALAN","IND",1477,3,2.02
"Tamil_Nadu",1971,24,"SRIPERUMBUDUR","GEN","DI. RAJARATHANAM","DMK",46617,1,59.15
"Tamil_Nadu",1971,24,"SRIPERUMBUDUR","GEN","MANALI RAMAKRISHNA MUDALIAR","NCO",32201,2,40.85
"Tamil_Nadu",1971,25,"KADAMBATHUR","GEN","A PARANDHAMAN","DMK",38569,1,67.11
"Tamil_Nadu",1971,25,"KADAMBATHUR","GEN","ERA KULASEKARAN","NCO",18903,2,32.89
"Tamil_Nadu",1971,26,"TIRUVALLUR","SC","S. M. DORAIRAJ","DMK",36496,1,62.81
"Tamil_Nadu",1971,26,"TIRUVALLUR","SC","V. S. ARUNACHALAM","NCO",17759,2,30.56
"Tamil_Nadu",1971,26,"TIRUVALLUR","SC","GOPAL","IND",3855,3,6.63
"Tamil_Nadu",1971,27,"TIRUTTANI","GEN","E. S. THYAGARAJAN","DMK",43436,1,61.72
"Tamil_Nadu",1971,27,"TIRUTTANI","GEN","A. EKAMBARA REDDY","NCO",26938,2,38.28
"Tamil_Nadu",1971,28,"ARKONAM","GEN","BALARAMAN N. S.","DMK",42256,1,60.11
"Tamil_Nadu",1971,28,"ARKONAM","GEN","S. K. SUBRAMANIA MUDALY","NCO",26878,2,38.24
"Tamil_Nadu",1971,28,"ARKONAM","GEN","GAJENTHIRAN","IND",1160,3,1.65
"Tamil_Nadu",1971,29,"SHOKINGHUR","GEN","A. M. PONNURANGAM","NCO",36776,1,55.39
