"state","year","month","party","seats"
"Tamil_Nadu",1971,2,"NCO","6.41"
"Tamil_Nadu",1971,2,"FBL","2.99"
"Tamil_Nadu",1977,2,"FBL","0.43"
"Tamil_Nadu",1980,2,"FBL","0.43"
"Tamil_Nadu",1989,2,"FBL","0"
"Tamil_Nadu",1991,2,"FBL","0"
"Tamil_Nadu",1996,2,"FBL","0.43"
"Tamil_Nadu",2001,2,"FBL","0.43"
"Tamil_Nadu",1971,2,"CPI","3.42"
"Tamil_Nadu",1977,2,"CPI","2.14"
"Tamil_Nadu",1980,2,"CPI","3.85"
"Tamil_Nadu",1984,2,"CPI","0.85"
"Tamil_Nadu",1989,2,"CPI","1.28"
"Tamil_Nadu",1991,2,"CPI","0.43"
"Tamil_Nadu",1996,2,"CPI","3.42"
"Tamil_Nadu",2001,2,"CPI","2.14"
"Tamil_Nadu",2006,2,"CPI","2.56"
"Tamil_Nadu",2011,2,"CPI","3.85"
"Tamil_Nadu",2016,2,"CPI","0"
"Tamil_Nadu",1971,2,"IND","3.42"
"Tamil_Nadu",1977,2,"IND","0.43"
"Tamil_Nadu",1980,2,"IND","3.42"
"Tamil_Nadu",1984,2,"IND","1.71"
"Tamil_Nadu",1989,2,"IND","2.14"
"Tamil_Nadu",1991,2,"IND","0.43"
"Tamil_Nadu",1996,2,"IND","0.43"
"Tamil_Nadu",2001,2,"IND","1.28"
"Tamil_Nadu",2006,2,"IND","0.43"
"Tamil_Nadu",2011,2,"IND","0"
"Tamil_Nadu",2016,2,"IND","0"
"Tamil_Nadu",1971,2,"DMK","78.63"
"Tamil_Nadu",1977,2,"DMK","20.51"
"Tamil_Nadu",1980,2,"DMK","15.81"
"Tamil_Nadu",1984,2,"DMK","10.26"
"Tamil_Nadu",1989,2,"DMK","64.1"
"Tamil_Nadu",1991,2,"DMK","0.85"
"Tamil_Nadu",1996,2,"DMK","73.93"
"Tamil_Nadu",2001,2,"DMK","13.25"
"Tamil_Nadu",2006,2,"DMK","41.03"
"Tamil_Nadu",2011,2,"DMK","9.83"
"Tamil_Nadu",2016,2,"DMK","38.36"
"Tamil_Nadu",1977,2,"ADK","55.56"
"Tamil_Nadu",1980,2,"ADK","55.13"
"Tamil_Nadu",1984,2,"ADK","56.41"
"Tamil_Nadu",1989,2,"ADK","0.85"
"Tamil_Nadu",1991,2,"ADK","70.09"
"Tamil_Nadu",1971,2,"CPM","0"
"Tamil_Nadu",1977,2,"CPM","5.13"
"Tamil_Nadu",1980,2,"CPM","4.7"
"Tamil_Nadu",1984,2,"CPM","2.14"
"Tamil_Nadu",1989,2,"CPM","6.41"
"Tamil_Nadu",1991,2,"CPM","0.43"
"Tamil_Nadu",1996,2,"CPM","0.43"
"Tamil_Nadu",2001,2,"CPM","2.56"
"Tamil_Nadu",2011,2,"CPM","4.27"
"Tamil_Nadu",2016,2,"CPM","0"
"Tamil_Nadu",1977,2,"INC","11.54"
"Tamil_Nadu",1984,2,"INC","26.07"
"Tamil_Nadu",1989,2,"INC","11.11"
"Tamil_Nadu",1991,2,"INC","25.64"
"Tamil_Nadu",1996,2,"INC","0"
"Tamil_Nadu",2001,2,"INC","2.99"
"Tamil_Nadu",2006,2,"INC","14.53"
"Tamil_Nadu",2011,2,"INC","2.14"
"Tamil_Nadu",2016,2,"INC","3.45"
"Tamil_Nadu",1977,2,"JNP","4.27"
"Tamil_Nadu",1980,2,"JNP","0"
"Tamil_Nadu",1984,2,"JNP","1.28"
"Tamil_Nadu",1989,2,"JNP","1.71"
"Tamil_Nadu",1980,2,"INC(I)","13.25"
"Tamil_Nadu",1989,2,"ADK(JL)","11.54"
"Tamil_Nadu",1991,2,"TMK","0.85"
"Tamil_Nadu",2016,2,"TMK","0"
"Tamil_Nadu",1996,2,"ADMK","1.71"
"Tamil_Nadu",2001,2,"ADMK","56.41"
"Tamil_Nadu",2016,2,"ADMK","57.76"
"Tamil_Nadu",1991,2,"PMK","0.43"
"Tamil_Nadu",1996,2,"PMK","1.71"
"Tamil_Nadu",2001,2,"PMK","8.55"
"Tamil_Nadu",2006,2,"PMK","7.69"
"Tamil_Nadu",2011,2,"PMK","1.28"
"Tamil_Nadu",2016,2,"PMK","0"
"Tamil_Nadu",1996,2,"TMC(M)","16.67"
"Tamil_Nadu",2001,2,"TMC(M)","9.83"
"Tamil_Nadu",2016,2,"TMC(M)","0"
"Tamil_Nadu",2006,2,"CPI(M)","3.85"
"Tamil_Nadu",2006,2,"AIADMK","26.07"
"Tamil_Nadu",2011,2,"AIADMK","64.1"
"Tamil_Nadu",2006,2,"DMDK","0.43"
"Tamil_Nadu",2011,2,"DMDK","12.39"
"Tamil_Nadu",2016,2,"DMDK","0"
"Tamil_Nadu",2016,2,"IUML","0.43"
