"state","year","month","party","votes"
"Tamil_Nadu",1971,2,"CPI","2.32"
"Tamil_Nadu",1977,2,"CPI","2.9"
"Tamil_Nadu",1980,2,"CPI","2.66"
"Tamil_Nadu",1984,2,"CPI","2.62"
"Tamil_Nadu",1989,2,"CPI","1.22"
"Tamil_Nadu",1991,2,"CPI","1.24"
"Tamil_Nadu",1996,2,"CPI","2.12"
"Tamil_Nadu",2001,2,"CPI","1.59"
"Tamil_Nadu",2006,2,"CPI","1.61"
"Tamil_Nadu",2011,2,"CPI","1.97"
"Tamil_Nadu",2016,2,"CPI","0.79"
"Tamil_Nadu",1971,2,"NCO","34.99"
"Tamil_Nadu",1971,2,"FBL","1.71"
"Tamil_Nadu",1977,2,"FBL","0.3"
"Tamil_Nadu",1980,2,"FBL","0.35"
"Tamil_Nadu",1989,2,"FBL","0.13"
"Tamil_Nadu",1991,2,"FBL","0.16"
"Tamil_Nadu",1996,2,"FBL","0.28"
"Tamil_Nadu",2001,2,"FBL","0.14"
"Tamil_Nadu",1971,2,"SWA","2.95"
"Tamil_Nadu",1971,2,"DMK","48.58"
"Tamil_Nadu",1977,2,"DMK","24.89"
"Tamil_Nadu",1980,2,"DMK","22.1"
"Tamil_Nadu",1984,2,"DMK","29.34"
"Tamil_Nadu",1989,2,"DMK","33.19"
"Tamil_Nadu",1991,2,"DMK","22.47"
"Tamil_Nadu",1996,2,"DMK","42.09"
"Tamil_Nadu",2001,2,"DMK","30.92"
"Tamil_Nadu",2006,2,"DMK","26.46"
"Tamil_Nadu",2011,2,"DMK","22.39"
"Tamil_Nadu",2016,2,"DMK","31.64"
"Tamil_Nadu",1971,2,"IND","6.13"
"Tamil_Nadu",1977,2,"IND","4.55"
"Tamil_Nadu",1980,2,"IND","7.18"
"Tamil_Nadu",1984,2,"IND","7.46"
"Tamil_Nadu",1989,2,"IND","8.96"
"Tamil_Nadu",1991,2,"IND","1.55"
"Tamil_Nadu",1996,2,"IND","3.71"
"Tamil_Nadu",2001,2,"IND","6.16"
"Tamil_Nadu",2006,2,"IND","3.01"
"Tamil_Nadu",2011,2,"IND","4.44"
"Tamil_Nadu",2016,2,"IND","1.43"
"Tamil_Nadu",1977,2,"JNP","16.67"
"Tamil_Nadu",1980,2,"JNP","0.01"
"Tamil_Nadu",1984,2,"JNP","2.28"
"Tamil_Nadu",1989,2,"JNP","1.17"
"Tamil_Nadu",1977,2,"INC","17.5"
"Tamil_Nadu",1984,2,"INC","16.28"
"Tamil_Nadu",1989,2,"INC","19.83"
"Tamil_Nadu",1991,2,"INC","15.19"
"Tamil_Nadu",1996,2,"INC","5.61"
"Tamil_Nadu",2001,2,"INC","2.48"
"Tamil_Nadu",2006,2,"INC","8.38"
"Tamil_Nadu",2011,2,"INC","9.3"
"Tamil_Nadu",2016,2,"INC","6.42"
"Tamil_Nadu",1977,2,"ADK","30.36"
"Tamil_Nadu",1980,2,"ADK","38.75"
"Tamil_Nadu",1984,2,"ADK","37.03"
"Tamil_Nadu",1989,2,"ADK","0.62"
"Tamil_Nadu",1991,2,"ADK","44.4"
"Tamil_Nadu",1980,2,"JNP(JP)","2.77"
"Tamil_Nadu",1971,2,"CPM","1.65"
"Tamil_Nadu",1977,2,"CPM","2.79"
"Tamil_Nadu",1980,2,"CPM","3.16"
"Tamil_Nadu",1984,2,"CPM","2.76"
"Tamil_Nadu",1989,2,"CPM","3.53"
"Tamil_Nadu",1991,2,"CPM","3.16"
"Tamil_Nadu",1996,2,"CPM","1.68"
"Tamil_Nadu",2001,2,"CPM","1.68"
"Tamil_Nadu",2011,2,"CPM","2.41"
"Tamil_Nadu",2016,2,"CPM","0.71"
"Tamil_Nadu",1980,2,"INC(I)","20.92"
"Tamil_Nadu",1989,2,"ADK(JR)","9.19"
"Tamil_Nadu",1989,2,"ADK(JL)","21.15"
"Tamil_Nadu",1991,2,"PMK","5.9"
"Tamil_Nadu",1996,2,"PMK","3.84"
"Tamil_Nadu",2001,2,"PMK","5.56"
"Tamil_Nadu",2006,2,"PMK","5.65"
"Tamil_Nadu",2011,2,"PMK","5.23"
"Tamil_Nadu",2016,2,"PMK","5.32"
"Tamil_Nadu",1980,2,"BJP","0.07"
"Tamil_Nadu",1984,2,"BJP","0.25"
"Tamil_Nadu",1989,2,"BJP","0.35"
"Tamil_Nadu",1991,2,"BJP","1.7"
"Tamil_Nadu",1996,2,"BJP","1.81"
"Tamil_Nadu",2001,2,"BJP","3.19"
"Tamil_Nadu",2006,2,"BJP","2.02"
"Tamil_Nadu",2011,2,"BJP","2.22"
"Tamil_Nadu",2016,2,"BJP","2.84"
"Tamil_Nadu",1996,2,"MDMK","5.78"
"Tamil_Nadu",2001,2,"MDMK","4.65"
"Tamil_Nadu",2006,2,"MDMK","5.98"
"Tamil_Nadu",2016,2,"MDMK","0.86"
"Tamil_Nadu",1996,2,"ADMK","21.49"
"Tamil_Nadu",2001,2,"ADMK","31.44"
"Tamil_Nadu",2016,2,"ADMK","40.77"
"Tamil_Nadu",1996,2,"TMC(M)","9.31"
"Tamil_Nadu",2001,2,"TMC(M)","6.73"
"Tamil_Nadu",2016,2,"TMC(M)","0.53"
"Tamil_Nadu",2006,2,"AIADMK","32.64"
"Tamil_Nadu",2011,2,"AIADMK","38.41"
"Tamil_Nadu",2006,2,"DMDK","8.38"
"Tamil_Nadu",2011,2,"DMDK","7.88"
"Tamil_Nadu",2016,2,"DMDK","2.39"
