"State_Name","Year","month","sa_no","DelimID","AC_No","Position","Cand1","Sex1","Party1","Votes1","Age","Caste","Valid_Votes","Electors","AC_Name","AC_Type","District_Name","Sub_Region","N_Cand","Turnout","Vote_Sh","Deposit_Lost","Margin","Margin_Percent","Jati","Caste_Rec","Rel","New.Caste","Old_Jati"
"Tamil_Nadu",1971,2,1,2,1,1,"M.VEDACHALAM","M","DMK",38989,NA,NA,72143,109476,"WASHERMANPET","GEN",NA,NA,3,65.9,54.04,"no",6758,9.37,"3 MEENAVAR","OBC SERVICE","HINDU","",NA
"Tamil_Nadu",1971,2,1,2,1,2,"ANANTHAN","M","NCO",32231,NA,NA,72143,109476,"WASHERMANPET","GEN",NA,NA,3,65.9,44.68,"no",31308,43.4,"","","","",NA
"Tamil_Nadu",1971,2,1,2,1,3,"K V MANAVALA NAICKER","M","IND",923,NA,NA,72143,109476,"WASHERMANPET","GEN",NA,NA,3,65.9,1.28,"no",0,0,"","","","",NA
"Tamil_Nadu",1971,2,1,2,2,1,"A M MOHIDEEN","M","IND",29225,NA,NA,59115,90850,"HARBOUR","GEN",NA,NA,3,65.07,49.44,"no",486,0.82,"6 MUSLIMS","MUSLIM UPPER CASTE","MUSLIM","",NA
"Tamil_Nadu",1971,2,1,2,2,2,"UMAPATHY G","M","NCO",28739,NA,NA,59115,90850,"HARBOUR","GEN",NA,NA,3,65.07,48.62,"no",27588,46.67,"","","","",NA
"Tamil_Nadu",1971,2,1,2,2,3,"ABIBULLA BAIG","M","IND",1151,NA,NA,59115,90850,"HARBOUR","GEN",NA,NA,3,65.07,1.95,"no",0,0,"","","","",NA
"Tamil_Nadu",1971,2,1,2,3,1,"M R KANNAN","M","DMK",48959,NA,NA,86301,135430,"BASIN BRIDGE","GEN",NA,NA,5,63.72,56.73,"no",15785,18.29,"4 MUDALIYAR","OBC PP","HINDU","",NA
"Tamil_Nadu",1971,2,1,2,3,2,"K. RAMADOSS","M","NCO",33174,NA,NA,86301,135430,"BASIN BRIDGE","GEN",NA,NA,5,63.72,38.44,"no",30862,35.76,"","","","",NA
"Tamil_Nadu",1971,2,1,2,3,3,"K M HARI BHATT","M","CPM",2312,NA,NA,86301,135430,"BASIN BRIDGE","GEN",NA,NA,5,63.72,2.68,"no",1128,1.31,"","","","",NA
"Tamil_Nadu",1971,2,1,2,3,4,"A VARADADESIKAN","M","IND",1184,NA,NA,86301,135430,"BASIN BRIDGE","GEN",NA,NA,5,63.72,1.37,"no",512,0.59,"","","","",NA
"Tamil_Nadu",1971,2,1,2,3,5,"K MUTHIAH","M","IND",672,NA,NA,86301,135430,"BASIN BRIDGE","GEN",NA,NA,5,63.72,0.78,"no",0,0,"","","","",NA
"Tamil_Nadu",1971,2,1,2,4,1,"H V HANDE","M","SWA",30743,NA,NA,56199,85813,"PARK TOWN","GEN",NA,NA,2,65.49,54.7,"no",5287,9.41,"1 AIYENGARS","UPPER CASTE","HINDU","",NA
"Tamil_Nadu",1971,2,1,2,4,2,"A V ASAITHAMBI","M","DMK",25456,NA,NA,56199,85813,"PARK TOWN","GEN",NA,NA,2,65.49,45.3,"no",0,0,"","","","",NA
"Tamil_Nadu",1971,2,1,2,5,1,"SATHIVANIMUTHU","M","DMK",49070,NA,NA,87056,135439,"PERAMBUR","SC",NA,NA,3,64.28,56.37,"no",12023,13.81,"4 PALLAR","SC","HINDU","",NA
"Tamil_Nadu",1971,2,1,2,5,2,"D SULOCHANA","M","NCO",37047,NA,NA,87056,135439,"PERAMBUR","SC",NA,NA,3,64.28,42.56,"no",36108,41.48,"","","","",NA
"Tamil_Nadu",1971,2,1,2,5,3,"A SHAMMUGAM","M","IND",939,NA,NA,87056,135439,"PERAMBUR","SC",NA,NA,3,64.28,1.08,"no",0,0,"","","","",NA
"Tamil_Nadu",1971,2,1,2,6,1,"KANBAZHAGAN","M","DMK",47182,NA,NA,84063,134925,"PURASAWALKAM","GEN",NA,NA,3,62.3,56.13,"no",12166,14.47,"4 MUDALIYAR","OBC PP","HINDU","",NA
"Tamil_Nadu",1971,2,1,2,6,2,"BASHYAM REDDY","M","NCO",35016,NA,NA,84063,134925,"PURASAWALKAM","GEN",NA,NA,3,62.3,41.65,"no",33151,39.44,"","","","",NA
"Tamil_Nadu",1971,2,1,2,6,3,"M DEENAN","M","IND",1865,NA,NA,84063,134925,"PURASAWALKAM","GEN",NA,NA,3,62.3,2.22,"no",0,0,"","","","",NA
"Tamil_Nadu",1971,2,1,2,7,1,"ARANGANNAL","M","DMK",40596,NA,NA,76329,116206,"EGMORE","GEN",NA,NA,2,65.68,53.19,"no",4863,6.37,"3 YADAVAR","OBC SERVICE","HINDU","",NA
"Tamil_Nadu",1971,2,1,2,7,2,"M KOTHANDAPANI","M","NCO",35733,NA,NA,76329,116206,"EGMORE","GEN",NA,NA,2,65.68,46.81,"no",0,0,"","","","",NA
"Tamil_Nadu",1971,2,1,2,8,1,"K A MATHIALAGAN","M","DMK",38891,NA,NA,67767,108614,"THOUSAND LIGHTS","GEN",NA,NA,6,62.39,57.39,"no",11559,17.06,"4 MUDALIYAR","OBC PP","HINDU","",NA
"Tamil_Nadu",1971,2,1,2,8,2,"N M MANI VARMA","M","NCO",27332,NA,NA,67767,108614,"THOUSAND LIGHTS","GEN",NA,NA,6,62.39,40.33,"no",26573,39.21,"","","","",NA
"Tamil_Nadu",1971,2,1,2,8,3,"K BALAVARSU","M","IND",759,NA,NA,67767,108614,"THOUSAND LIGHTS","GEN",NA,NA,6,62.39,1.12,"no",445,0.66,"","","","",NA
