"State_name","Year","AC_no","Position","AC_name","Cand1","EC_Caste","Jati","Caste_Rec","Rel","New.Caste","Old_Jati"
"Tamil_Nadu",1971,1,1,"WASHERMANPET","M.VEDACHALAM",NA,"3 MEENAVAR","OBC SERVICE","HINDU","",NA
"Tamil_Nadu",1971,1,2,"WASHERMANPET","ANANTHAN",NA,"","","","",NA
"Tamil_Nadu",1971,1,3,"WASHERMANPET","K V MANAVALA NAICKER",NA,"","","","",NA
"Tamil_Nadu",1971,2,1,"HARBOUR","A M MOHIDEEN",NA,"6 MUSLIMS","MUSLIM UPPER CASTE","MUSLIM","",NA
"Tamil_Nadu",1971,2,2,"HARBOUR","UMAPATHY G",NA,"","","","",NA
"Tamil_Nadu",1971,2,3,"HARBOUR","ABIBULLA BAIG",NA,"","","","",NA
"Tamil_Nadu",1971,3,1,"BASIN BRIDGE","M R KANNAN",NA,"4 MUDALIYAR","OBC PP","HINDU","",NA
"Tamil_Nadu",1971,3,2,"BASIN BRIDGE","K. RAMADOSS",NA,"","","","",NA
"Tamil_Nadu",1971,3,3,"BASIN BRIDGE","K M HARI BHATT",NA,"","","","",NA
"Tamil_Nadu",1971,3,4,"BASIN BRIDGE","A VARADADESIKAN",NA,"","","","",NA
"Tamil_Nadu",1971,3,5,"BASIN BRIDGE","K MUTHIAH",NA,"","","","",NA
"Tamil_Nadu",1971,4,1,"PARK TOWN","H V HANDE",NA,"1 AIYENGARS","UPPER CASTE","HINDU","",NA
"Tamil_Nadu",1971,4,2,"PARK TOWN","A V ASAITHAMBI",NA,"","","","",NA
"Tamil_Nadu",1971,5,1,"PERAMBUR","SATHIVANIMUTHU",NA,"4 PALLAR","SC","HINDU","",NA
"Tamil_Nadu",1971,5,2,"PERAMBUR","D SULOCHANA",NA,"","","","",NA
"Tamil_Nadu",1971,5,3,"PERAMBUR","A SHAMMUGAM",NA,"","","","",NA
"Tamil_Nadu",1971,6,1,"PURASAWALKAM","KANBAZHAGAN",NA,"4 MUDALIYAR","OBC PP","HINDU","",NA
"Tamil_Nadu",1971,6,2,"PURASAWALKAM","BASHYAM REDDY",NA,"","","","",NA
"Tamil_Nadu",1971,6,3,"PURASAWALKAM","M DEENAN",NA,"","","","",NA
"Tamil_Nadu",1971,7,1,"EGMORE","ARANGANNAL",NA,"3 YADAVAR","OBC SERVICE","HINDU","",NA
"Tamil_Nadu",1971,7,2,"EGMORE","M KOTHANDAPANI",NA,"","","","",NA
"Tamil_Nadu",1971,8,1,"THOUSAND LIGHTS","K A MATHIALAGAN",NA,"4 MUDALIYAR","OBC PP","HINDU","",NA
"Tamil_Nadu",1971,8,2,"THOUSAND LIGHTS","N M MANI VARMA",NA,"","","","",NA
"Tamil_Nadu",1971,8,3,"THOUSAND LIGHTS","K BALAVARSU",NA,"","","","",NA
"Tamil_Nadu",1971,8,4,"THOUSAND LIGHTS","K SHANTHA KUMARI",NA,"","","","",NA
"Tamil_Nadu",1971,8,5,"THOUSAND LIGHTS","S A SALIHA",NA,"","","","",NA
"Tamil_Nadu",1971,8,6,"THOUSAND LIGHTS","D BHOOPATHY",NA,"","","","",NA
"Tamil_Nadu",1971,9,1,"TRIPLICANE","V R NEDUNCHEZHIYAN",NA,"4 MUDALIYAR","OBC PP","HINDU","",NA
"Tamil_Nadu",1971,9,2,"TRIPLICANE","K VINAYAKAM",NA,"","","","",NA
"Tamil_Nadu",1971,9,3,"TRIPLICANE","NOORG EHAN MAMADI",NA,"","","","",NA
"Tamil_Nadu",1971,9,4,"TRIPLICANE","S A ZAMAN",NA,"","","","",NA
"Tamil_Nadu",1971,10,1,"MYLAPORE","T N ANANDANA YAKI",NA,"3 THEVAR","OBC SERVICE","HINDU","",NA
"Tamil_Nadu",1971,10,2,"MYLAPORE","M P SIVAGNANAM",NA,"","","","",NA
"Tamil_Nadu",1971,11,1,"THIAGARAYANAGAR","K M SUBRAMANIAM",NA,"1 AIYENGARS","UPPER CASTE","HINDU","",NA
"Tamil_Nadu",1971,11,2,"THIAGARAYANAGAR","D V NARAYANASAMY",NA,"","","","",NA
"Tamil_Nadu",1971,11,3,"THIAGARAYANAGAR","K NARAYAN RAO",NA,"","","","",NA
"Tamil_Nadu",1971,11,4,"THIAGARAYANAGAR","THIRUNAGAR RATHINAM",NA,"","","","",NA
"Tamil_Nadu",1971,11,5,"THIAGARAYANAGAR","M SUBRAMANIA RAO",NA,"","","","",NA
"Tamil_Nadu",1971,12,1,"SAIDAPET","M KARUNANIDHI",NA,"3 ISAAI VELLALAR","OBC SERVICE","HINDU","",NA
"Tamil_Nadu",1971,12,2,"SAIDAPET","N KAMALINGAM",NA,"","","","",NA
"Tamil_Nadu",1971,12,3,"SAIDAPET","R M ANNAMLAI R M",NA,"","","","",NA
"Tamil_Nadu",1971,12,4,"SAIDAPET","S KRISHNAMURTHY",NA,"","","","",NA
"Tamil_Nadu",1971,12,5,"SAIDAPET","M K PARASURAM PRABHU",NA,"","","","",NA
"Tamil_Nadu",1971,13,1,"GUMMIDIPUNDI","K A VEZHAVENDAN",NA,"3 VANNIYER","OBC SERVICE","HINDU","",NA
"Tamil_Nadu",1971,13,2,"GUMMIDIPUNDI","P OBUL REDDY",NA,"","","","",NA
"Tamil_Nadu",1971,14,1,"PONNERI","P NAGALINGAM",NA,"4 PALLAR","SC","HINDU","",NA
"Tamil_Nadu",1971,14,2,"PONNERI","ELUMALAI T P",NA,"","","","",NA
"Tamil_Nadu",1971,14,3,"PONNERI","C K MANICKAM",NA,"","","","",NA
"Tamil_Nadu",1971,15,1,"TIRUVOTRIYUR","M V NARAYANASWAMY",NA,"3 CHETTIYAR","OBC SERVICE","HINDU","",NA
"Tamil_Nadu",1971,15,2,"TIRUVOTRIYUR","VENKATESALU NAIDU",NA,"","","","",NA
"Tamil_Nadu",1971,15,3,"TIRUVOTRIYUR","C K MADHAVAN",NA,"","","","",NA
"Tamil_Nadu",1971,15,4,"TIRUVOTRIYUR","SURIYAMUTHU",NA,"","","","",NA
"Tamil_Nadu",1971,16,1,"ST THOMAS MOUNT","M G RAMACHANDRAN",NA,"3 PILLAI","OBC PP","HINDU","",NA
"Tamil_Nadu",1971,16,2,"ST THOMAS MOUNT","T L RAGHUPATHY",NA,"","","","",NA
"Tamil_Nadu",1971,16,3,"ST THOMAS MOUNT","M VARADARAJAN",NA,"","","","",NA
