"State_name","Year","AC_no","Cand","Sex","Party","Votes","Age","Caste","Position"
"Tamil_Nadu",1971,1,"M.VEDACHALAM","M","DMK",38989,NA,NA,1
"Tamil_Nadu",1971,1,"ANANTHAN","M","NCO",32231,NA,NA,2
"Tamil_Nadu",1971,1,"K V MANAVALA NAICKER","M","IND",923,NA,NA,3
"Tamil_Nadu",1971,2,"A M MOHIDEEN","M","IND",29225,NA,NA,1
"Tamil_Nadu",1971,2,"UMAPATHY G","M","NCO",28739,NA,NA,2
"Tamil_Nadu",1971,2,"ABIBULLA BAIG","M","IND",1151,NA,NA,3
"Tamil_Nadu",1971,3,"M R KANNAN","M","DMK",48959,NA,NA,1
"Tamil_Nadu",1971,3,"K. RAMADOSS","M","NCO",33174,NA,NA,2
"Tamil_Nadu",1971,3,"K M HARI BHATT","M","CPM",2312,NA,NA,3
"Tamil_Nadu",1971,3,"A VARADADESIKAN","M","IND",1184,NA,NA,4
"Tamil_Nadu",1971,3,"K MUTHIAH","M","IND",672,NA,NA,5
"Tamil_Nadu",1971,4,"H V HANDE","M","SWA",30743,NA,NA,1
"Tamil_Nadu",1971,4,"A V ASAITHAMBI","M","DMK",25456,NA,NA,2
"Tamil_Nadu",1971,5,"SATHIVANIMUTHU","M","DMK",49070,NA,NA,1
"Tamil_Nadu",1971,5,"D SULOCHANA","M","NCO",37047,NA,NA,2
"Tamil_Nadu",1971,5,"A SHAMMUGAM","M","IND",939,NA,NA,3
"Tamil_Nadu",1971,6,"KANBAZHAGAN","M","DMK",47182,NA,NA,1
"Tamil_Nadu",1971,6,"BASHYAM REDDY","M","NCO",35016,NA,NA,2
"Tamil_Nadu",1971,6,"M DEENAN","M","IND",1865,NA,NA,3
"Tamil_Nadu",1971,7,"ARANGANNAL","M","DMK",40596,NA,NA,1
"Tamil_Nadu",1971,7,"M KOTHANDAPANI","M","NCO",35733,NA,NA,2
"Tamil_Nadu",1971,8,"K A MATHIALAGAN","M","DMK",38891,NA,NA,1
"Tamil_Nadu",1971,8,"N M MANI VARMA","M","NCO",27332,NA,NA,2
"Tamil_Nadu",1971,8,"K BALAVARSU","M","IND",759,NA,NA,3
"Tamil_Nadu",1971,8,"K SHANTHA KUMARI","M","IND",314,NA,NA,4
"Tamil_Nadu",1971,8,"S A SALIHA","M","IND",293,NA,NA,5
"Tamil_Nadu",1971,8,"D BHOOPATHY","M","IND",178,NA,NA,6
"Tamil_Nadu",1971,9,"V R NEDUNCHEZHIYAN","M","DMK",36237,NA,NA,1
"Tamil_Nadu",1971,9,"K VINAYAKAM","M","NCO",35198,NA,NA,2
"Tamil_Nadu",1971,9,"NOORG EHAN MAMADI","M","IND",340,NA,NA,3
"Tamil_Nadu",1971,9,"S A ZAMAN","M","IND",127,NA,NA,4
"Tamil_Nadu",1971,10,"T N ANANDANA YAKI","M","NCO",42301,NA,NA,1
"Tamil_Nadu",1971,10,"M P SIVAGNANAM","M","DMK",34598,NA,NA,2
"Tamil_Nadu",1971,11,"K M SUBRAMANIAM","M","NCO",37100,NA,NA,1
"Tamil_Nadu",1971,11,"D V NARAYANASAMY","M","DMK",36221,NA,NA,2
"Tamil_Nadu",1971,11,"K NARAYAN RAO","M","BJS",1880,NA,NA,3
"Tamil_Nadu",1971,11,"THIRUNAGAR RATHINAM","M","IND",1187,NA,NA,4
"Tamil_Nadu",1971,11,"M SUBRAMANIA RAO","M","IND",387,NA,NA,5
"Tamil_Nadu",1971,12,"M KARUNANIDHI","M","DMK",63334,NA,NA,1
"Tamil_Nadu",1971,12,"N KAMALINGAM","M","NCO",50823,NA,NA,2
"Tamil_Nadu",1971,12,"R M ANNAMLAI R M","M","IND",1034,NA,NA,3
"Tamil_Nadu",1971,12,"S KRISHNAMURTHY","M","IND",943,NA,NA,4
"Tamil_Nadu",1971,12,"M K PARASURAM PRABHU","M","IND",156,NA,NA,5
"Tamil_Nadu",1971,13,"K A VEZHAVENDAN","M","DMK",43355,NA,NA,1
"Tamil_Nadu",1971,13,"P OBUL REDDY","M","NCO",30875,NA,NA,2
"Tamil_Nadu",1971,14,"P NAGALINGAM","M","DMK",39783,NA,NA,1
"Tamil_Nadu",1971,14,"ELUMALAI T P","M","NCO",21650,NA,NA,2
"Tamil_Nadu",1971,14,"C K MANICKAM","M","IND",6703,NA,NA,3
"Tamil_Nadu",1971,15,"M V NARAYANASWAMY","M","DMK",51487,NA,NA,1
"Tamil_Nadu",1971,15,"VENKATESALU NAIDU","M","NCO",35391,NA,NA,2
"Tamil_Nadu",1971,15,"C K MADHAVAN","M","CPM",8057,NA,NA,3
"Tamil_Nadu",1971,15,"SURIYAMUTHU","M","IND",877,NA,NA,4
"Tamil_Nadu",1971,16,"M G RAMACHANDRAN","M","DMK",65405,NA,NA,1
"Tamil_Nadu",1971,16,"T L RAGHUPATHY","M","NCO",40773,NA,NA,2
"Tamil_Nadu",1971,16,"M VARADARAJAN","M","IND",850,NA,NA,3
"Tamil_Nadu",1971,17,"M MUNU ADHI","M","DMK",40187,NA,NA,1
"Tamil_Nadu",1971,17,"T M DHANAPAL","M","NCO",24950,NA,NA,2
"Tamil_Nadu",1971,17,"K KUPPAN","M","IND",4223,NA,NA,3
"Tamil_Nadu",1971,17,"SAGADEVAN B","M","IND",706,NA,NA,4
"Tamil_Nadu",1971,17,"P A APPADURAI","M","IND",441,NA,NA,5
"Tamil_Nadu",1971,18,"C G VISHWANATHAN","M","DMK",41949,NA,NA,1
"Tamil_Nadu",1971,18,"S T NEELAKANTAN","M","NCO",18290,NA,NA,2
"Tamil_Nadu",1971,18,"P RAMAKRISHNAN","M","IND",3748,NA,NA,3
"Tamil_Nadu",1971,18,"U T KRISHNASAMY","M","IND",1455,NA,NA,4
"Tamil_Nadu",1971,18,"P RAMASAMY","M","IND",1264,NA,NA,5
"Tamil_Nadu",1971,18,"S K SUNDER RAJ","M","IND",345,NA,NA,6
"Tamil_Nadu",1971,18,"A CHINNAPAYYAN","M","IND",285,NA,NA,7
"Tamil_Nadu",1971,18,"N S PARAMANANDAM","M","IND",222,NA,NA,8
"Tamil_Nadu",1971,19,"C ARUMUGAM","M","DMK",42295,NA,NA,1
"Tamil_Nadu",1971,19,"V GOPAL REDDIAR","M","NCO",23246,NA,NA,2
"Tamil_Nadu",1971,20,"V BALASUNDARAM","M","DMK",39816,NA,NA,1
"Tamil_Nadu",1971,20,"C GANESAN","M","NCO",13457,NA,NA,2
"Tamil_Nadu",1971,20,"A PERUMAL","M","IND",4346,NA,NA,3
"Tamil_Nadu",1971,20,"C ELUMALAI","M","IND",1652,NA,NA,4
"Tamil_Nadu",1971,20,"JEYARAJ J R","M","IND",365,NA,NA,5
"Tamil_Nadu",1971,21,"K M ERASAGOPAL","M","DMK",48462,NA,NA,1
"Tamil_Nadu",1971,21,"C RAMASAMY","M","NCO",19896,NA,NA,2
"Tamil_Nadu",1971,21,"T E PACHAIYAPPAN","M","IND",2027,NA,NA,3
"Tamil_Nadu",1971,22,"G. V. M. ANNAMALAI","M","DMK",44009,NA,NA,1
"Tamil_Nadu",1971,22,"D. V. NATESA MUDALIAR","M","NCO",37697,NA,NA,2
"Tamil_Nadu",1971,22,"K. S. PARTTHASARTHY","M","CPM",2094,NA,NA,3
"Tamil_Nadu",1971,23,"M. GOPAL","M","DMK",47126,NA,NA,1
"Tamil_Nadu",1971,23,"P. APPAVOO","M","NCO",24488,NA,NA,2
"Tamil_Nadu",1971,23,"G. DAYALAN","M","IND",1477,NA,NA,3
"Tamil_Nadu",1971,24,"DI. RAJARATHANAM","M","DMK",46617,NA,NA,1
"Tamil_Nadu",1971,24,"MANALI RAMAKRISHNA MUDALIAR","M","NCO",32201,NA,NA,2
"Tamil_Nadu",1971,25,"A PARANDHAMAN","M","DMK",38569,NA,NA,1
"Tamil_Nadu",1971,25,"ERA KULASEKARAN","M","NCO",18903,NA,NA,2
"Tamil_Nadu",1971,26,"S. M. DORAIRAJ","M","DMK",36496,NA,NA,1
"Tamil_Nadu",1971,26,"V. S. ARUNACHALAM","M","NCO",17759,NA,NA,2
"Tamil_Nadu",1971,26,"GOPAL","M","IND",3855,NA,NA,3
"Tamil_Nadu",1971,27,"E. S. THYAGARAJAN","M","DMK",43436,NA,NA,1
"Tamil_Nadu",1971,27,"A. EKAMBARA REDDY","M","NCO",26938,NA,NA,2
"Tamil_Nadu",1971,28,"BALARAMAN N. S.","M","DMK",42256,NA,NA,1
"Tamil_Nadu",1971,28,"S. K. SUBRAMANIA MUDALY","M","NCO",26878,NA,NA,2
"Tamil_Nadu",1971,28,"GAJENTHIRAN","M","IND",1160,NA,NA,3
"Tamil_Nadu",1971,29,"A. M. PONNURANGAM","M","NCO",36776,NA,NA,1
"Tamil_Nadu",1971,29,"NATRAJAN K. M.","M","DMK",29621,NA,NA,2
"Tamil_Nadu",1971,30,"K. A WAHAB","M","IND",36357,NA,NA,1
"Tamil_Nadu",1971,30,"A. G. RANGANATHA NAICKER","M","NCO",31022,NA,NA,2
"Tamil_Nadu",1971,31,"N. VEERASAMI","M","DMK",39126,NA,NA,1
"Tamil_Nadu",1971,31,"N. R. ETHIRAJALU NAIDU","M","NCO",25061,NA,NA,2
"Tamil_Nadu",1971,31,"A. R. PONNUSAMI NAICKER","M","IND",2777,NA,NA,3
"Tamil_Nadu",1971,31,"A. K. UGRAPANI","M","IND",449,NA,NA,4
"Tamil_Nadu",1971,31,"ARUMUGAM","M","IND",287,NA,NA,5
"Tamil_Nadu",1971,32,"DURAI MURUGAN","M","DMK",37487,NA,NA,1
"Tamil_Nadu",1971,32,"DHANDAYUTHAPANI","M","NCO",20919,NA,NA,2
"Tamil_Nadu",1971,32,"SUNDARAM","M","CPM",6133,NA,NA,3
"Tamil_Nadu",1971,32,"M. MANICKAM","M","IND",329,NA,NA,4
"Tamil_Nadu",1971,33,"DURAISAMI F. K.","M","DMK",34954,NA,NA,1
"Tamil_Nadu",1971,33,"ADIMOOLAM D. A.","M","NCO",18580,NA,NA,2
"Tamil_Nadu",1971,33,"V. K. KOTHANDARMAN","M","CPM",5721,NA,NA,3
"Tamil_Nadu",1971,33,"R. KRISHNAN","M","IND",2745,NA,NA,4
"Tamil_Nadu",1971,34,"N. KRISHNAN","M","DMK",35804,NA,NA,1
"Tamil_Nadu",1971,34,"P. RAJAGOPAL","M","NCO",21665,NA,NA,2
"Tamil_Nadu",1971,34,"ANAIRAJ","M","IND",2195,NA,NA,3
"Tamil_Nadu",1971,34,"L. BALAKRISHNAN","M","IND",399,NA,NA,4
"Tamil_Nadu",1971,35,"T. C. THIMMARAYA GOUNDER","M","DMK",33303,NA,NA,1
"Tamil_Nadu",1971,35,"K. SHANMUGASUNDARAM","M","NCO",26882,NA,NA,2
"Tamil_Nadu",1971,36,"RAMASAMY G.","M","DMK",37120,NA,NA,1
"Tamil_Nadu",1971,36,"Y. SHAMMUGAN","M","NCO",29720,NA,NA,2
"Tamil_Nadu",1971,37,"M. A. LATHEEF","M","IND",27899,NA,NA,1
"Tamil_Nadu",1971,37,"R. C. SAMANNA GOUNDER","M","NCO",19082,NA,NA,2
"Tamil_Nadu",1971,37,"B. A. RAJU","M","IND",2407,NA,NA,3
"Tamil_Nadu",1971,37,"V. N. VADIVELU","M","IND",314,NA,NA,4
"Tamil_Nadu",1971,38,"M. PANNEERSELVAM","M","DMK",32937,NA,NA,1
"Tamil_Nadu",1971,38,"ADIMOOLAM M.","M","NCO",21449,NA,NA,2
"Tamil_Nadu",1971,38,"DAMODARAN V. K.","M","IND",5129,NA,NA,3
"Tamil_Nadu",1971,38,"ASHOK JOHN JOSEPH R. S.","M","IND",182,NA,NA,4
"Tamil_Nadu",1971,39,"THOPPUTHIRUVENGADAM","M","DMK",34435,NA,NA,1
"Tamil_Nadu",1971,39,"L. BALARAMAN","M","NCO",24647,NA,NA,2
"Tamil_Nadu",1971,39,"R. SHANMUGAM","M","IND",3084,NA,NA,3
"Tamil_Nadu",1971,39,"C. RATHINAM","M","IND",1182,NA,NA,4
"Tamil_Nadu",1971,39,"JAYARAMA GOUNDER","M","IND",292,NA,NA,5
"Tamil_Nadu",1971,40,"MA. PA. SARATHY","M","DMK",38968,NA,NA,1
"Tamil_Nadu",1971,40,"A. K. LALALAJAPATHY","M","NCO",32401,NA,NA,2
"Tamil_Nadu",1971,40,"IIAMATHI","M","IND",1587,NA,NA,3
"Tamil_Nadu",1971,40,"ABDUL KHADER JAMALI","M","IND",665,NA,NA,4
"Tamil_Nadu",1971,40,"K. SHAIL HAMEED","M","IND",114,NA,NA,5
"Tamil_Nadu",1971,41,"A. C. NARASIMHAN","M","DMK",37682,NA,NA,1
"Tamil_Nadu",1971,41,"M. DARUMARAJAN","M","NCO",24599,NA,NA,2
"Tamil_Nadu",1971,42,"K. GOVINDAN","M","DMK",39978,NA,NA,1
"Tamil_Nadu",1971,42,"PERUMALSAMY NAYAGAR","M","NCO",31677,NA,NA,2
"Tamil_Nadu",1971,43,"V. RAJAGOPAL","M","DMK",41452,NA,NA,1
"Tamil_Nadu",1971,43,"D. DASARATHAN","M","NCO",23465,NA,NA,2
"Tamil_Nadu",1971,44,"P. ETTIAPPAN","M","DMK",39160,NA,NA,1
"Tamil_Nadu",1971,44,"BOOPALAN","M","NCO",21557,NA,NA,2
"Tamil_Nadu",1971,45,"T. P. SRINIVASAN","M","DMK",34728,NA,NA,1
"Tamil_Nadu",1971,45,"NATESA GOUNDER T. R.","M","NCO",25232,NA,NA,2
"Tamil_Nadu",1971,46,"C. PANDURANGAM","M","DMK",32260,NA,NA,1
"Tamil_Nadu",1971,46,"A. AR. MUGAM","M","NCO",16705,NA,NA,2
"Tamil_Nadu",1971,46,"A. RAMASAMY","M","IND",3586,NA,NA,3
"Tamil_Nadu",1971,47,"M. S. RADHAKRISHNAN","M","DMK",37991,NA,NA,1
"Tamil_Nadu",1971,47,"SAHADEVA GINDER K.","M","NCO",26600,NA,NA,2
"Tamil_Nadu",1971,48,"S. MURUGAIYAN","M","DMK",42893,NA,NA,1
"Tamil_Nadu",1971,48,"M. SUNDRASWAMY","M","NCO",29960,NA,NA,2
"Tamil_Nadu",1971,49,"P. U. SHANMUGAM","M","DMK",46633,NA,NA,1
"Tamil_Nadu",1971,49,"D. ANNAMALAI PILLAI","M","NCO",28323,NA,NA,2
"Tamil_Nadu",1971,50,"R. R. MUNUSAMI","M","DMK",31166,NA,NA,1
"Tamil_Nadu",1971,50,"GOPAL GOUNDER K.","M","NCO",22294,NA,NA,2
"Tamil_Nadu",1971,50,"P. THANGAVEL KANDER","M","IND",3745,NA,NA,3
"Tamil_Nadu",1971,50,"M. A. KUTHAN","M","IND",1002,NA,NA,4
"Tamil_Nadu",1971,51,"S. SAGADEVA GOUNDER","M","DMK",39397,NA,NA,1
"Tamil_Nadu",1971,51,"V. PERUMAL NAINAR","M","NCO",26625,NA,NA,2
"Tamil_Nadu",1971,52,"RAJARAM G.","M","DMK",33933,NA,NA,1
"Tamil_Nadu",1971,52,"K. RAMAMURTHY","M","NCO",22048,NA,NA,2
"Tamil_Nadu",1971,52,"C. RENGANATHAN","M","IND",3960,NA,NA,3
"Tamil_Nadu",1971,52,"M. R. REDDY","M","IND",843,NA,NA,4
"Tamil_Nadu",1971,53,"N. MUTHUVEL","M","DMK",34121,NA,NA,1
"Tamil_Nadu",1971,53,"A. VENKATACHALAM","M","NCO",19306,NA,NA,2
"Tamil_Nadu",1971,53,"A. ERUSAN","M","IND",3620,NA,NA,3
"Tamil_Nadu",1971,54,"M. RAMAN","M","DMK",32293,NA,NA,1
"Tamil_Nadu",1971,54,"P. P. MATHAVAN","M","NCO",20628,NA,NA,2
"Tamil_Nadu",1971,54,"K. MUNIAN","M","IND",3408,NA,NA,3
"Tamil_Nadu",1971,55,"M. SHANMUGAM","M","DMK",35838,NA,NA,1
"Tamil_Nadu",1971,55,"V. P. SHARANGAPANI GOUNDER","M","NCO",28562,NA,NA,2
"Tamil_Nadu",1971,55,"A. RAMALINGAM","M","IND",5304,NA,NA,3
"Tamil_Nadu",1971,56,"V. KRISHNAMOORTHI GOUNDER","M","DMK",27741,NA,NA,1
"Tamil_Nadu",1971,56,"K. G. KANDAN","M","NCO",21921,NA,NA,2
"Tamil_Nadu",1971,56,"C. GOVINDARANJAN","M","CPM",7471,NA,NA,3
"Tamil_Nadu",1971,56,"C. GUNASEKARAN","M","IND",4325,NA,NA,4
"Tamil_Nadu",1971,56,"R. M. RAJAN","M","IND",283,NA,NA,5
"Tamil_Nadu",1971,57,"R. GOVINDARAJ","M","DMK",35219,NA,NA,1
"Tamil_Nadu",1971,57,"P. R. SEENIVASA PODAYACHI","M","NCO",30909,NA,NA,2
"Tamil_Nadu",1971,57,"T. KUPPUSAMY","M","IND",822,NA,NA,3
"Tamil_Nadu",1971,58,"S. RAMACHANDRAN","M","DMK",42141,NA,NA,1
"Tamil_Nadu",1971,58,"S. V. VADIVELU PADAYACHI","M","NCO",33156,NA,NA,2
"Tamil_Nadu",1971,58,"S. NATARAJAN","M","CPM",5643,NA,NA,3
"Tamil_Nadu",1971,59,"N. RAJANGAN","M","DMK",27465,NA,NA,1
"Tamil_Nadu",1971,59,"M. JAYARAMAN","M","NCO",25939,NA,NA,2
"Tamil_Nadu",1971,60,"M. A. ABUSALI","M","IND",28615,NA,NA,1
"Tamil_Nadu",1971,60,"R. BALAKRISHNAN","M","NCO",23291,NA,NA,2
"Tamil_Nadu",1971,60,"K. ARUMUGAM","M","IND",9962,NA,NA,3
"Tamil_Nadu",1971,60,"C. VENKATAKRISHNAN","M","IND",1618,NA,NA,4
"Tamil_Nadu",1971,60,"P. SUBRARAYAN","M","IND",865,NA,NA,5
"Tamil_Nadu",1971,60,"MOHAMED SHAIK V.","M","IND",234,NA,NA,6
"Tamil_Nadu",1971,61,"S. PERUMAL","M","DMK",32847,NA,NA,1
"Tamil_Nadu",1971,61,"T. M. KUPPUSAMI","M","NCO",29551,NA,NA,2
"Tamil_Nadu",1971,61,"K. JAGANATHAN","M","IND",1110,NA,NA,3
"Tamil_Nadu",1971,62,"P. PONCHOKKALINGAM","M","DMK",35750,NA,NA,1
"Tamil_Nadu",1971,62,"R. GOPALKRISHNAN","M","NCO",34071,NA,NA,2
"Tamil_Nadu",1971,62,"SATCHIDANANDAMA","M","IND",1206,NA,NA,3
