"state","sa_no","year","month","ac_no","ac_name","turnout","vote_percent","ac_type","electors","margin","n_cand","position","sex1","party1","votes1","cand1","margin_percent","runner","runner_party","runner_sex","nota_percent"
"Tripura",1,1967,2,1,"MOHANPUR",72.12,55.27,"General",21739,1784,3,1,"Male","INC",8666,"P . R . D . GUPTA",11.38,"N . CHAKRAVORTY","CPM","M",NA
"Tripura",1,1967,2,2,"AGARTALASADAR I",73.16,60.38,"SC",18374,4649,3,1,"Male","INC",8117,"B . B . DAS",34.58,"M . K . ROY","CPM","M",NA
"Tripura",1,1967,2,3,"AGARTALASADAR II",71.14,64.42,"General",24976,5608,4,1,"Male","INC",11445,"S . SINGH",31.56,"S . R . CHANDA","CPM","M",NA
"Tripura",1,1967,2,4,"AGARTALA SADAR III",72.35,57.18,"General",21446,3589,4,1,"Male","INC",8872,"T . M . D . GUPTA",23.13,"S . S . GUPTA","IND","M",NA
"Tripura",1,1967,2,5,"AGARTALA TOWN",69.66,54.26,"General",18132,2603,4,1,"Male","INC",6853,"K . BHATTACHARJEE",20.61,"A . ISLAM","CPI","M",NA
"Tripura",1,1967,2,6,"OLD AGARTALA",77.95,54.6,"General",20377,1461,2,1,"Male","INC",8672,"J . K . MAJUMDER",9.2,"S . C . SHOME","IND","M",NA
"Tripura",1,1967,2,7,"UTTAR DEBENDRANAGAR",73.07,72.09,"ST",20045,6471,2,1,"Male","CPM",10559,"A . D . BARMA",44.18,"B . P . D . BARMA","INC","M",NA
"Tripura",1,1967,2,8,"TAKARJALA",65.36,54.84,"ST",19377,1225,2,1,"Male","INC",6945,"M . D . BARMA",9.67,"B . D . BARMA","IND","M",NA
"Tripura",1,1967,2,9,"BISHALGARH",70.35,55.59,"General",20640,1936,5,1,"Male","INC",8072,"U . L . SINGH",13.33,"B . M . SAHA","IND","M",NA
"Tripura",1,1967,2,10,"CHARILAM",70.55,50.68,"ST",20222,193,2,1,"Male","CPI",7230,"A . D . BARMA",1.35,"K . C . D . BARMA","INC","M",NA
"Tripura",1,1967,2,11,"SONAMURA NORTH",78.27,74,"General",15206,6368,3,1,"Male","INC",8807,"D . K . CHAUDHURI",53.51,"D . C . S . GUPTA","IND","M",NA
"Tripura",1,1967,2,12,"SONAMURA SOUTH",80.6,65.58,"General",14924,3748,2,1,"Male","INC",7888,"B . ALI",31.16,"B . R . PAL","IND","M",NA
"Tripura",1,1967,2,13,"SALGARH",72.57,71.09,"General",16329,6089,3,1,"Male","INC",8424,"E . A . CHOUDHURY",51.38,"N . C . GHOSE","CPM","M",NA
"Tripura",1,1967,2,14,"RADHAKISHOREPUR",69.58,67.87,"General",23035,7761,3,1,"Male","INC",10878,"N . K . SARKAR",48.42,"S . K . DAS","CPI","M",NA
"Tripura",1,1967,2,15,"BELONIA",74.86,60.05,"General",23364,3811,3,1,"Male","INC",10502,"U . K . ROY",21.79,"J . L . DAS","CPI","M",NA
"Tripura",1,1967,2,16,"MUHURIPUR",70.69,76.29,"General",21480,8709,3,1,"Male","INC",11584,"S . C . CHOUDHURY",57.36,"H . A . MAG","CPI","M",NA
"Tripura",1,1967,2,17,"SABROOM",73.58,69.93,"ST",22618,6996,4,1,"Male","INC",11638,"A . MAG",42.04,"A . MAG","CPI","M",NA
"Tripura",1,1967,2,18,"BIRGANJ",61.36,55.49,"ST",18068,1804,3,1,"Male","INC",6152,"B . B . RIYAN",16.27,"R . K . D . BARMA","CPM","M",NA
"Tripura",1,1967,2,19,"DUMBURNAGAR",58.56,56.72,"ST",15720,1237,2,1,"Male","INC",5221,"R . C . D . RANKHAL",13.44,"S . D . BARMA","CPM","M",NA
"Tripura",1,1967,2,20,"TELIAMURA",70.88,64.6,"SC",25242,6123,3,1,"Male","INC",11558,"P . K . DAS",34.22,"A . C. SARKER","CPM","M",NA
"Tripura",1,1967,2,21,"KALYANPUR",87.54,62.57,"ST",26161,5758,2,1,"Male","CPM",14330,"B . C . D . BARMA",25.14,"N . K . D . BARMA","INC","M",NA
"Tripura",1,1967,2,22,"KHOWAI",82.41,61.06,"General",21788,4314,4,1,"Male","INC",10964,"S . C . DATTA",24.03,"J . BHATTACHARJEE","IND","M",NA
"Tripura",1,1967,2,23,"KAMALPUR",76.43,63.07,"SC",21038,4202,2,1,"Male","INC",10141,"K . C . DAS",26.13,"N . K . NAMADAS","CPM","M",NA
"Tripura",1,1967,2,24,"KULAIHOUR",56.46,57.05,"ST",26097,2077,2,1,"Male","INC",8406,"G . DEWAN",14.1,"D . D . BARMA","CPM","M",NA
"Tripura",1,1967,2,25,"FATIKROY",67.04,55.9,"General",20680,1993,3,1,"Male","INC",7750,"R . R . GUPTA",14.38,"R . R . KUMAR","CPI","M",NA
"Tripura",1,1967,2,26,"KAILASHAHAR",79.98,51.09,"General",20045,349,2,1,"Male","INC",8190,"M . L . BHOWMIK",2.18,"B . MAJUMDER","CPM","M",NA
"Tripura",1,1967,2,27,"DHARMANAGAR SOUTH",72.35,64.12,"General",18006,3680,2,1,"Male","INC",8354,"M . NATH",28.25,"R . K . NATH","CPM","M",NA
"Tripura",1,1967,2,28,"KANCHANPUR",54.97,64.63,"ST",14615,2707,3,1,"Male","INC",5192,"R . P . CHOUDHURY",33.69,"M . REANG","CPM","M",NA
"Tripura",1,1967,2,29,"DHARMANAGAR NORTH",70.91,52.59,"General",17343,3030,4,1,"Male","INC",6467,"B . B . BANERJEE",24.64,"D . CHAKRABORTY","CPM","M",NA
"Tripura",1,1967,2,30,"KADAMTALA",66,47.35,"General",18847,34,3,1,"Male","INC",5890,"A . WAZID",0.27,"S . D . NATH","CPM","M",NA
"Tripura",2,1972,2,1,"SIMNA",74.04,53.02,"ST",11701,938,3,1,"Male","CPM",4594,"BHADRAMANI DEBBARMA",10.83,"S. B. KISHORE DEBBARMAN","INC","M",NA
"Tripura",2,1972,2,2,"MODANPUR",65.23,51.58,"General",12711,685,6,1,"Male","CPM",4277,"RADHARAMAN DEBNATH",8.26,"PRAM D. RANJAN DASGUPTA","INC","M",NA
"Tripura",2,1972,2,3,"BAMUTIA",70.28,61.72,"SC",11208,1847,2,1,"Male","INC",4862,"PRAFULLA KUMAR DAS",23.45,"BRAJENDRA BISWAS","CPM","M",NA
"Tripura",2,1972,2,4,"BARJALA",66.62,55.67,"General",10066,1426,6,1,"Male","INC",3733,"BASANA CHAKRABARTY",21.26,"GOURI BHATTACHARJEE","CPM","M",NA
"Tripura",2,1972,2,5,"KUNJABAN",64.16,52.38,"General",20929,1400,3,1,"Male","INC",7033,"ASHOK KUMAR BHATACHARYYA",10.43,"KANU GHOSH","CPM","M",NA
"Tripura",2,1972,2,6,"PRATAPGARH",61.32,49,"SC",12852,269,3,1,"Male","INC",3862,"MADHU SUDHAN DAS",3.41,"JADAB CHANDRA MAJUMDER","CPM","M",NA
"Tripura",2,1972,2,7,"AGARTALA TOWN I I I",58.8,49.44,"General",15188,1452,5,1,"Male","INC",4415,"SUKHAMOY SEN GUPTA",16.26,"SUPRIYO BHOWMIK","CPM","M",NA
"Tripura",2,1972,2,8,"ANANDANAGAR",66.6,45.07,"General",14463,182,3,1,"Male","INC",4341,"TARIT MOHAN DASGUPTA",1.89,"KHAGEN DAS","CPM","M",NA
"Tripura",2,1972,2,9,"AGARTALA TOWN I",63.34,50.28,"General",11963,1068,6,1,"Male","IND",3810,"AJOY BISWAS",14.1,"RENUKA CHAKRABORTY","INC","M",NA
"Tripura",2,1972,2,10,"AGARTALA TOWN I I",63.99,48.01,"General",9794,687,6,1,"Male","INC",3009,"KRISHNADAS BHATTACHARJEE",10.96,"ASHOKE CHAKRABORTY","CPM","M",NA
"Tripura",2,1972,2,11,"OLD AGARTALA",68.73,56.76,"General",13067,2881,5,1,"Male","INC",5098,"SAILESH CHANDRA SOME",32.08,"JAGADISH CHANDRA DEY","CPM","M",NA
"Tripura",2,1972,2,12,"MAULISHPUR",68.99,54.79,"General",9852,651,2,1,"Male","INC",3724,"JATINDRA KUMAR MAJUMDER",9.58,"BHANU GOSH","CPM","M",NA
"Tripura",2,1972,2,13,"MANDIABAZAR",64.76,66.28,"ST",10989,3053,3,1,"Male","CPM",4717,"KALIDAS DEB BARMA",42.9,"BAGALA PRASAD DEB BARMA","INC","M",NA
"Tripura",2,1972,2,14,"UTTAR DEBENDRA NAGAR",66.64,56.51,"ST",11173,2259,4,1,"Male","CPM",4208,"SABHIRAM DEB BARMA",30.34,"RABINDRA K. DEB BARMA","INC","M",NA
"Tripura",2,1972,2,15,"ISUANCHANDRANAGAR",67.24,46.62,"General",10682,21,4,1,"Male","INC",3349,"NARESH CHANDRA ROY",0.29,"MATI LAL SARKAR","CPM","M",NA
"Tripura",2,1972,2,16,"TAKARJALA",63.42,41.37,"ST",13190,412,4,1,"Male","CPM",3461,"GUNAPADA JAMATIA",4.93,"MAHENDRA DEB BARMA","INC","M",NA
"Tripura",2,1972,2,17,"KAMALASAGAR",73.2,52.56,"General",10230,1620,4,1,"Male","INC",3936,"BICHITRA MOHAN SAHA",21.63,"NAGENDRA DEB","CPM","M",NA
"Tripura",2,1972,2,18,"BISHALGARH",72.08,32.32,"General",11922,139,7,1,"Male","INC",2777,"SAMIR RANJAN BARMAN",1.62,"BABUL SENGUPTA","CPM","M",NA
"Tripura",2,1972,2,19,"CHARILAM",64.84,36.78,"ST",11761,331,5,1,"Male","CPM",2805,"NIRANJAN DEB",4.34,"MONMOHAN DEB BARMA","INC","M",NA
"Tripura",2,1972,2,20,"BISHRAMGONJ",67.52,35.12,"ST",11574,266,5,1,"Male","CPM",2745,"SUDHANWA DEB BARMA",3.4,"DEUAN CHANDRA TRIPURA","INC","M",NA
"Tripura",2,1972,2,21,"BOXANAGAR",71.23,54.69,"General",9721,1690,3,1,"Male","INC",3787,"MUNSUR ALI",24.41,"PHANI BHUSHAN BHAKTA","CPM","M",NA
"Tripura",2,1972,2,22,"NALCHHAR",64.24,48.77,"SC",13017,879,3,1,"Male","INC",4078,"BENODE BEHARI DAS",10.51,"HARI MADHAB BHOWMIK","CPM","M",NA
"Tripura",2,1972,2,23,"SONAMURA",63.95,55.44,"General",9420,1836,3,1,"Male","INC",3340,"DEBENDRA K. CHOUDHURY",30.48,"SULTAN MIAH","IND","M",NA
"Tripura",2,1972,2,24,"DHANPUR",65.41,48.64,"General",11096,773,3,1,"Male","CPM",3530,"SAMAR CHOUDHURY",10.65,"DHIRENDRA KUMAR SENGUPTA","INC","M",NA
"Tripura",2,1972,2,25,"SALGARH",66.81,48.67,"General",12197,1059,3,1,"Male","INC",3966,"TAPASH DEY",13,"ABANI MOHAN BHOWMIK","CPM","M",NA
"Tripura",2,1972,2,26,"KAKRABAN",66.9,43.19,"General",11722,538,4,1,"Male","INC",3387,"AJIT RANJAN GHOSH",6.86,"KESHAB CHANDRA MAZUMDAR","CPM","M",NA
"Tripura",2,1972,2,27,"RADHAKISHOREPUR",70.41,48.37,"General",14352,1379,3,1,"Male","INC",4888,"USA RANJAN SEN",13.65,"SUSHIL MUKERJEE","CPM","M",NA
"Tripura",2,1972,2,28,"MATAKBARI",64.8,45.7,"General",13003,636,3,1,"Male","INC",3851,"NISHI KANTA SARKAR",7.55,"NARESH CHANDRA GHOSH","CPM","M",NA
"Tripura",2,1972,2,29,"RAJNAGAR",61.7,34.63,"General",15280,357,7,1,"Male","INC",3265,"LAKSHMI NAG",3.79,"BADAL CHOUDHURY","CPM","M",NA
"Tripura",2,1972,2,30,"BELONIA",56.72,43.57,"General",16152,365,3,1,"Male","CPI",3992,"JITENDRA LAL DAS",3.98,"SURESH CHANDRA CHOUDHURY","INC","M",NA
"Tripura",2,1972,2,31,"HRISHYAMUKH",61.48,66.14,"General",14536,3298,3,1,"Male","INC",5911,"CHANDRA SEKHAR DUTTA",36.9,"AMALENDU CHAKRABORTY","CPM","M",NA
"Tripura",2,1972,2,32,"MUHURIPUR",56.45,55.93,"ST",13917,1811,3,1,"Male","INC",4394,"ACHAICHHI MOG",23.05,"BRAJMOHAN JAMATIA","CPM","M",NA
"Tripura",2,1972,2,33,"MANU",65.63,54.25,"ST",13382,1607,4,1,"Male","INC",4764,"HARI CHANRAN CHOUDHRURY",18.3,"THAINGYA MOG","CPM","M",NA
"Tripura",2,1972,2,34,"SABROOM",70.74,66.31,"General",13175,3040,2,1,"Male","INC",6180,"KALIPADA BANERJI",32.62,"SUNIL KUMAR CHOUDHURY","CPM","M",NA
"Tripura",2,1972,2,35,"CHELLAGONG",56.68,41.25,"ST",12967,43,4,1,"Male","CPM",3032,"BAJU BAN RIYAN",0.59,"PANJIHAM REINGH","INC","M",NA
"Tripura",2,1972,2,36,"BIRGONJ",64.04,46.61,"General",12212,503,4,1,"Male","INC",3645,"SUSHIL RANJAN SAHA",6.43,"SYAMAL KANTISAHA","CPM","M",NA
"Tripura",2,1972,2,37,"DUMBURNAGAR",51.56,60.15,"ST",10551,1608,4,1,"Male","CPM",3272,"PAKHI TRIPURA",29.56,"RAJPRASAD CHOUDHURY","INC","M",NA
"Tripura",2,1972,2,38,"AMPINAGAR",57.7,57.84,"ST",10975,1523,3,1,"Male","CPM",3663,"BULLU KUKI",24.05,"GOPINATH JAMATIA","IND","M",NA
"Tripura",2,1972,2,39,"TELIAMURA",71.16,51.19,"General",14984,1611,4,1,"Male","CPM",5458,"ANIL SARKAR",15.11,"BIR CHANDRA BARMAN","INC","M",NA
"Tripura",2,1972,2,40,"MOHAR CHHERA",70.75,51.36,"ST",14727,1660,3,1,"Male","INC",5351,"ANANTA HARIJAMATIA",15.93,"JOY MOHAN DEB BARMA","CPM","M",NA
"Tripura",2,1972,2,41,"KALYANPUR",82.86,77.36,"ST",16025,7267,2,1,"Male","CPM",10273,"BIDYA CH DEB BARMA",54.73,"KRISHNA KUMAR DEBBARMA","INC","M",NA
"Tripura",2,1972,2,42,"PRAMODNAGAR",77.16,61.25,"ST",15742,2732,2,1,"Male","CPM",7439,"MANINDRA DEBBARMA",22.49,"NANDA KUMAR DEBBARMA","INC","M",NA
"Tripura",2,1972,2,43,"KHOWAI",74.83,56.35,"General",12020,1907,4,1,"Male","INC",5069,"J PRASANNA BHATTACHARJEE",21.2,"KAMINISINGH","CPM","M",NA
"Tripura",2,1972,2,44,"ASHARAMBARI",79.9,58.92,"General",13361,2153,3,1,"Male","CPM",6290,"NRIPENDRA CHAKRABORTY",20.17,"ARUN KAR","INC","M",NA
"Tripura",2,1972,2,45,"KAMALPUR",73.24,49.45,"General",12210,654,3,1,"Male","INC",4422,"SUNIL CHANDRA DATTA",7.31,"MAKHAN DATTA","CPM","M",NA
"Tripura",2,1972,2,46,"SUDMA",74.83,48.73,"SC",12991,535,3,1,"Male","INC",4737,"KSHITISH CHANDRA DAS",5.5,"RUDRESHWER DAS","CPM","M",NA
"Tripura",2,1972,2,47,"KULAIHOWER",64.79,55.81,"ST",17645,1718,3,1,"Male","INC",6380,"MONGCHABAI MOG",15.03,"DINESH DEBBARMA","CPM","M",NA
"Tripura",2,1972,2,48,"CHHAWMANU",48.41,48.03,"ST",13606,975,3,1,"Male","CPM",3164,"PURNA MOHAN TIRPURA",14.8,"GHANSHYAM DEWAN","INC","M",NA
"Tripura",2,1972,2,49,"FATIKROY",65.61,38.55,"General",15890,1053,6,1,"Male","INC",4019,"RADHIKA NANDAN GUPTA",10.1,"TARANI MOHAN SINHA","CPM","M",NA
"Tripura",2,1972,2,50,"PABIACHHERRA",58.56,50.09,"ST",13544,694,3,1,"Male","INC",3973,"GOPI NATH TRIPURA",8.75,"K. MOHAN DEB BARMA","CPM","M",NA
"Tripura",2,1972,2,51,"CHANDIPUR",76.18,48.94,"General",9168,280,3,1,"Male","INC",3418,"MANINDRA LAL BHOWMIK",4.01,"BAIDYA NATH MAJUMDER","CPM","M",NA
"Tripura",2,1972,2,52,"KAILASHAHAR",68.89,55.43,"General",11259,2579,4,1,"Male","INC",4299,"MOULANA ABDUL RATIF",33.25,"BONODE DEY","IND","M",NA
"Tripura",2,1972,2,53,"BILASPUR",67.91,56.82,"SC",10957,1998,3,1,"Male","INC",4228,"SUBAL CH BISWAS",26.85,"BARINDRA MALAKER","CPM","M",NA
"Tripura",2,1972,2,54,"JUBARAJ NAGAR",62.51,51.37,"General",11762,1597,5,1,"Male","INC",3777,"MONORANJAN NATH",21.72,"RAM KUMAR NATH","CPM","M",NA
"Tripura",2,1972,2,55,"LONGAI",55.05,46.41,"ST",14443,1534,3,1,"Male","INC",3690,"HANGSHADHWAZ DEWAN",19.29,"INDU MADHAV CHAKMA","CPM","M",NA
"Tripura",2,1972,2,56,"KANCHANPUR",47.71,46.66,"ST",14041,988,4,1,"Male","INC",3126,"RAIMUNI RIANG CHOUDHURY",14.75,"LEN PRASAD RIANG","CPM","M",NA
