"state","year","ac_no","ac_name","ac_type","cand1","party1","votes1","position","vote_percent"
"Tripura",1967,1,"MOHANPUR","GEN","P . R . D . GUPTA","INC",8666,1,55.27
"Tripura",1967,1,"MOHANPUR","GEN","N . CHAKRAVORTY","CPM",6882,2,43.89
"Tripura",1967,1,"MOHANPUR","GEN","B . R . D . BARWA","BJS",131,3,0.84
"Tripura",1967,2,"AGARTALASADAR I","SC","B . B . DAS","INC",8117,1,60.38
"Tripura",1967,2,"AGARTALASADAR I","SC","M . K . ROY","CPM",3468,2,25.8
"Tripura",1967,2,"AGARTALASADAR I","SC","G . R . CHOUDHURY","IND",1858,3,13.82
"Tripura",1967,3,"AGARTALASADAR II","GEN","S . SINGH","INC",11445,1,64.42
"Tripura",1967,3,"AGARTALASADAR II","GEN","S . R . CHANDA","CPM",5837,2,32.85
"Tripura",1967,3,"AGARTALASADAR II","GEN","M . R . R . CHOUDHURY","IND",280,3,1.58
"Tripura",1967,3,"AGARTALASADAR II","GEN","A . R . PAUL","BJS",205,4,1.15
"Tripura",1967,4,"AGARTALA SADAR III","GEN","T . M . D . GUPTA","INC",8872,1,57.18
"Tripura",1967,4,"AGARTALA SADAR III","GEN","S . S . GUPTA","IND",5283,2,34.05
"Tripura",1967,4,"AGARTALA SADAR III","GEN","D . DEY","IND",1215,3,7.83
"Tripura",1967,4,"AGARTALA SADAR III","GEN","S . R . ROY","IND",146,4,0.94
"Tripura",1967,5,"AGARTALA TOWN","GEN","K . BHATTACHARJEE","INC",6853,1,54.26
"Tripura",1967,5,"AGARTALA TOWN","GEN","A . ISLAM","CPI",4250,2,33.65
"Tripura",1967,5,"AGARTALA TOWN","GEN","M . K . K . P . DEBI","IND",1119,3,8.86
"Tripura",1967,5,"AGARTALA TOWN","GEN","J . K . BANOOPADHAYA","BJS",409,4,3.24
"Tripura",1967,6,"OLD AGARTALA","GEN","J . K . MAJUMDER","INC",8672,1,54.6
"Tripura",1967,6,"OLD AGARTALA","GEN","S . C . SHOME","IND",7211,2,45.4
"Tripura",1967,7,"UTTAR DEBENDRANAGAR","ST","A . D . BARMA","CPM",10559,1,72.09
"Tripura",1967,7,"UTTAR DEBENDRANAGAR","ST","B . P . D . BARMA","INC",4088,2,27.91
"Tripura",1967,8,"TAKARJALA","ST","M . D . BARMA","INC",6945,1,54.84
"Tripura",1967,8,"TAKARJALA","ST","B . D . BARMA","IND",5720,2,45.16
"Tripura",1967,9,"BISHALGARH","GEN","U . L . SINGH","INC",8072,1,55.59
"Tripura",1967,9,"BISHALGARH","GEN","B . M . SAHA","IND",6136,2,42.26
"Tripura",1967,9,"BISHALGARH","GEN","A . K . DEB","BJS",174,3,1.2
"Tripura",1967,9,"BISHALGARH","GEN","L . GOSWAMI","SSP",83,4,0.57
"Tripura",1967,9,"BISHALGARH","GEN","M . MALAKAR","IND",55,5,0.38
"Tripura",1967,10,"CHARILAM","ST","A . D . BARMA","CPI",7230,1,50.68
"Tripura",1967,10,"CHARILAM","ST","K . C . D . BARMA","INC",7037,2,49.32
"Tripura",1967,11,"SONAMURA NORTH","GEN","D . K . CHAUDHURI","INC",8807,1,74
"Tripura",1967,11,"SONAMURA NORTH","GEN","D . C . S . GUPTA","IND",2439,2,20.49
"Tripura",1967,11,"SONAMURA NORTH","GEN","G . C . DAS","IND",655,3,5.5
