"state","year","month","party","seats"
"Tripura",1967,2,"CPI","3.33"
"Tripura",1972,2,"CPI","1.67"
"Tripura",1977,2,"CPI","0"
"Tripura",1983,2,"CPI","0"
"Tripura",1988,2,"CPI","0"
"Tripura",1993,2,"CPI","0"
"Tripura",1998,2,"CPI","1.67"
"Tripura",2003,2,"CPI","1.67"
"Tripura",2008,2,"CPI","1.67"
"Tripura",2013,2,"CPI","1.67"
"Tripura",1967,2,"INC","90"
"Tripura",1972,2,"INC","68.33"
"Tripura",1977,2,"INC","0"
"Tripura",1983,2,"INC","20"
"Tripura",1988,2,"INC","41.67"
"Tripura",1993,2,"INC","16.67"
"Tripura",1998,2,"INC","21.67"
"Tripura",2003,2,"INC","21.67"
"Tripura",2008,2,"INC","16.67"
"Tripura",2013,2,"INC","16.67"
"Tripura",1967,2,"CPM","6.67"
"Tripura",1972,2,"CPM","26.67"
"Tripura",1977,2,"CPM","85"
"Tripura",1983,2,"CPM","61.67"
"Tripura",1988,2,"CPM","43.33"
"Tripura",1993,2,"CPM","73.33"
"Tripura",1998,2,"CPM","63.33"
"Tripura",2003,2,"CPM","63.33"
"Tripura",2008,2,"CPM","76.67"
"Tripura",2013,2,"CPM","81.67"
"Tripura",1967,2,"IND","0"
"Tripura",1972,2,"IND","3.33"
"Tripura",1977,2,"IND","3.33"
"Tripura",1983,2,"IND","5"
"Tripura",1988,2,"IND","0"
"Tripura",1993,2,"IND","1.67"
"Tripura",1998,2,"IND","3.33"
"Tripura",2003,2,"IND","0"
"Tripura",2008,2,"IND","0"
"Tripura",2013,2,"IND","0"
"Tripura",1977,2,"RSP","3.33"
"Tripura",1983,2,"RSP","3.33"
"Tripura",1988,2,"RSP","3.33"
"Tripura",1993,2,"RSP","3.33"
"Tripura",1998,2,"RSP","3.33"
"Tripura",2003,2,"RSP","3.33"
"Tripura",2008,2,"RSP","3.33"
"Tripura",2013,2,"RSP","0"
"Tripura",1972,2,"FBL","0"
"Tripura",1977,2,"FBL","1.67"
"Tripura",1983,2,"FBL","0"
"Tripura",1988,2,"FBL","0"
"Tripura",1993,2,"FBL","1.67"
"Tripura",1998,2,"FBL","0"
"Tripura",2003,2,"FBL","0"
"Tripura",1972,2,"TUS","0"
"Tripura",1977,2,"TUS","6.67"
"Tripura",1983,2,"TUS","10"
"Tripura",1988,2,"TUS","11.67"
"Tripura",1993,2,"JD(B)","1.67"
"Tripura",1998,2,"TUJS","6.67"
"Tripura",2003,2,"INPT","10"
"Tripura",2008,2,"INPT","1.67"
"Tripura",2013,2,"INPT","0"
