"state","year","month","party","votes"
"Tripura",1967,2,"INC","57.95"
"Tripura",1972,2,"INC","44.83"
"Tripura",1977,2,"INC","17.76"
"Tripura",1983,2,"INC","30.51"
"Tripura",1988,2,"INC","37.34"
"Tripura",1993,2,"INC","32.73"
"Tripura",1998,2,"INC","33.96"
"Tripura",2003,2,"INC","32.84"
"Tripura",2008,2,"INC","36.38"
"Tripura",2013,2,"INC","36.53"
"Tripura",1967,2,"SSP","0.02"
"Tripura",1967,2,"CPM","21.61"
"Tripura",1972,2,"CPM","37.82"
"Tripura",1977,2,"CPM","47"
"Tripura",1983,2,"CPM","46.78"
"Tripura",1988,2,"CPM","45.83"
"Tripura",1993,2,"CPM","44.78"
"Tripura",1998,2,"CPM","45.49"
"Tripura",2003,2,"CPM","46.82"
"Tripura",2008,2,"CPM","48.01"
"Tripura",2013,2,"CPM","48.11"
"Tripura",1967,2,"IND","12.1"
"Tripura",1972,2,"IND","11.92"
"Tripura",1977,2,"IND","4.11"
"Tripura",1983,2,"IND","8.89"
"Tripura",1988,2,"IND","2.96"
"Tripura",1993,2,"IND","6.16"
"Tripura",1998,2,"IND","3.28"
"Tripura",2003,2,"IND","0.84"
"Tripura",2008,2,"IND","3.21"
"Tripura",2013,2,"IND","0.96"
"Tripura",1967,2,"CPI","7.97"
"Tripura",1972,2,"CPI","3.04"
"Tripura",1977,2,"CPI","0.84"
"Tripura",1983,2,"CPI","0.83"
"Tripura",1988,2,"CPI","0.82"
"Tripura",1993,2,"CPI","1.35"
"Tripura",1998,2,"CPI","1.38"
"Tripura",2003,2,"CPI","1.54"
"Tripura",2008,2,"CPI","1.48"
"Tripura",2013,2,"CPI","1.57"
"Tripura",1967,2,"BJS","0.35"
"Tripura",1972,2,"BJS","0.07"
"Tripura",1972,2,"TUS","1.17"
"Tripura",1977,2,"TUS","7.93"
"Tripura",1983,2,"TUS","10.47"
"Tripura",1988,2,"TUS","10.53"
"Tripura",1972,2,"FBL","1.14"
"Tripura",1977,2,"FBL","1.04"
"Tripura",1983,2,"FBL","0.71"
"Tripura",1988,2,"FBL","0.67"
"Tripura",1993,2,"FBL","0.8"
"Tripura",1998,2,"FBL","0.56"
"Tripura",2003,2,"FBL","0.65"
"Tripura",1977,2,"JNP","10.46"
"Tripura",1983,2,"JNP","0.06"
"Tripura",1988,2,"JNP","0.1"
"Tripura",1977,2,"TCD","8.92"
"Tripura",1977,2,"RSP","1.66"
"Tripura",1983,2,"RSP","1.64"
"Tripura",1988,2,"RSP","1.6"
"Tripura",1993,2,"RSP","1.58"
"Tripura",1998,2,"RSP","1.65"
"Tripura",2003,2,"RSP","1.89"
"Tripura",2008,2,"RSP","1.69"
"Tripura",2013,2,"RSP","1.95"
"Tripura",1983,2,"BJP","0.06"
"Tripura",1988,2,"BJP","0.15"
"Tripura",1993,2,"BJP","2.02"
"Tripura",1998,2,"BJP","5.87"
"Tripura",2003,2,"BJP","1.32"
"Tripura",2008,2,"BJP","1.49"
"Tripura",2013,2,"BJP","1.54"
"Tripura",1993,2,"TJS","7.52"
"Tripura",1998,2,"TUJS","7.19"
"Tripura",2003,2,"INPT","12.46"
"Tripura",2008,2,"INPT","6.21"
"Tripura",2013,2,"INPT","7.59"
