"State_Name","Year","month","sa_no","DelimID","AC_No","Position","Cand1","Sex1","Party1","Votes1","Age","Caste","Valid_Votes","Electors","AC_Name","AC_Type","District_Name","Sub_Region","N_Cand","Turnout","Vote_Sh","Deposit_Lost","Margin","Margin_Percent","Jati","Caste_Rec","Rel","New.Caste","Old_Jati"
"Tripura",1967,2,1,2,1,1,"P . R . D . GUPTA","M","INC",8666,NA,NA,15679,21739,"MOHANPUR","GEN",NA,NA,3,72.12,55.27,"no",1784,11.38,NA,NA,NA,NA,NA
"Tripura",1967,2,1,2,1,2,"N . CHAKRAVORTY","M","CPM",6882,NA,NA,15679,21739,"MOHANPUR","GEN",NA,NA,3,72.12,43.89,"no",6751,43.06,NA,NA,NA,NA,NA
"Tripura",1967,2,1,2,1,3,"B . R . D . BARWA","M","BJS",131,NA,NA,15679,21739,"MOHANPUR","GEN",NA,NA,3,72.12,0.84,"no",0,0,NA,NA,NA,NA,NA
"Tripura",1967,2,1,2,2,1,"B . B . DAS","M","INC",8117,NA,NA,13443,18374,"AGARTALASADAR I","SC",NA,NA,3,73.16,60.38,"no",4649,34.58,NA,NA,NA,NA,NA
"Tripura",1967,2,1,2,2,2,"M . K . ROY","M","CPM",3468,NA,NA,13443,18374,"AGARTALASADAR I","SC",NA,NA,3,73.16,25.8,"no",1610,11.98,NA,NA,NA,NA,NA
"Tripura",1967,2,1,2,2,3,"G . R . CHOUDHURY","M","IND",1858,NA,NA,13443,18374,"AGARTALASADAR I","SC",NA,NA,3,73.16,13.82,"no",0,0,NA,NA,NA,NA,NA
"Tripura",1967,2,1,2,3,1,"S . SINGH","M","INC",11445,NA,NA,17767,24976,"AGARTALASADAR II","GEN",NA,NA,4,71.14,64.42,"no",5608,31.56,NA,NA,NA,NA,NA
"Tripura",1967,2,1,2,3,2,"S . R . CHANDA","M","CPM",5837,NA,NA,17767,24976,"AGARTALASADAR II","GEN",NA,NA,4,71.14,32.85,"no",5557,31.28,NA,NA,NA,NA,NA
"Tripura",1967,2,1,2,3,3,"M . R . R . CHOUDHURY","M","IND",280,NA,NA,17767,24976,"AGARTALASADAR II","GEN",NA,NA,4,71.14,1.58,"no",75,0.42,NA,NA,NA,NA,NA
"Tripura",1967,2,1,2,3,4,"A . R . PAUL","M","BJS",205,NA,NA,17767,24976,"AGARTALASADAR II","GEN",NA,NA,4,71.14,1.15,"no",0,0,NA,NA,NA,NA,NA
"Tripura",1967,2,1,2,4,1,"T . M . D . GUPTA","M","INC",8872,NA,NA,15516,21446,"AGARTALA SADAR III","GEN",NA,NA,4,72.35,57.18,"no",3589,23.13,NA,NA,NA,NA,NA
"Tripura",1967,2,1,2,4,2,"S . S . GUPTA","M","IND",5283,NA,NA,15516,21446,"AGARTALA SADAR III","GEN",NA,NA,4,72.35,34.05,"no",4068,26.22,NA,NA,NA,NA,NA
"Tripura",1967,2,1,2,4,3,"D . DEY","M","IND",1215,NA,NA,15516,21446,"AGARTALA SADAR III","GEN",NA,NA,4,72.35,7.83,"no",1069,6.89,NA,NA,NA,NA,NA
"Tripura",1967,2,1,2,4,4,"S . R . ROY","M","IND",146,NA,NA,15516,21446,"AGARTALA SADAR III","GEN",NA,NA,4,72.35,0.94,"no",0,0,NA,NA,NA,NA,NA
"Tripura",1967,2,1,2,5,1,"K . BHATTACHARJEE","M","INC",6853,NA,NA,12631,18132,"AGARTALA TOWN","GEN",NA,NA,4,69.66,54.26,"no",2603,20.61,NA,NA,NA,NA,NA
"Tripura",1967,2,1,2,5,2,"A . ISLAM","M","CPI",4250,NA,NA,12631,18132,"AGARTALA TOWN","GEN",NA,NA,4,69.66,33.65,"no",3131,24.79,NA,NA,NA,NA,NA
"Tripura",1967,2,1,2,5,3,"M . K . K . P . DEBI","F","IND",1119,NA,NA,12631,18132,"AGARTALA TOWN","GEN",NA,NA,4,69.66,8.86,"no",710,5.62,NA,NA,NA,NA,NA
"Tripura",1967,2,1,2,5,4,"J . K . BANOOPADHAYA","M","BJS",409,NA,NA,12631,18132,"AGARTALA TOWN","GEN",NA,NA,4,69.66,3.24,"no",0,0,NA,NA,NA,NA,NA
"Tripura",1967,2,1,2,6,1,"J . K . MAJUMDER","M","INC",8672,NA,NA,15883,20377,"OLD AGARTALA","GEN",NA,NA,2,77.95,54.6,"no",1461,9.2,NA,NA,NA,NA,NA
"Tripura",1967,2,1,2,6,2,"S . C . SHOME","M","IND",7211,NA,NA,15883,20377,"OLD AGARTALA","GEN",NA,NA,2,77.95,45.4,"no",0,0,NA,NA,NA,NA,NA
"Tripura",1967,2,1,2,7,1,"A . D . BARMA","M","CPM",10559,NA,NA,14647,20045,"UTTAR DEBENDRANAGAR","ST",NA,NA,2,73.07,72.09,"no",6471,44.18,NA,NA,NA,NA,NA
"Tripura",1967,2,1,2,7,2,"B . P . D . BARMA","M","INC",4088,NA,NA,14647,20045,"UTTAR DEBENDRANAGAR","ST",NA,NA,2,73.07,27.91,"no",0,0,NA,NA,NA,NA,NA
"Tripura",1967,2,1,2,8,1,"M . D . BARMA","M","INC",6945,NA,NA,12665,19377,"TAKARJALA","ST",NA,NA,2,65.36,54.84,"no",1225,9.67,NA,NA,NA,NA,NA
"Tripura",1967,2,1,2,8,2,"B . D . BARMA","M","IND",5720,NA,NA,12665,19377,"TAKARJALA","ST",NA,NA,2,65.36,45.16,"no",0,0,NA,NA,NA,NA,NA
"Tripura",1967,2,1,2,9,1,"U . L . SINGH","M","INC",8072,NA,NA,14520,20640,"BISHALGARH","GEN",NA,NA,5,70.35,55.59,"no",1936,13.33,NA,NA,NA,NA,NA
"Tripura",1967,2,1,2,9,2,"B . M . SAHA","M","IND",6136,NA,NA,14520,20640,"BISHALGARH","GEN",NA,NA,5,70.35,42.26,"no",5962,41.06,NA,NA,NA,NA,NA
"Tripura",1967,2,1,2,9,3,"A . K . DEB","M","BJS",174,NA,NA,14520,20640,"BISHALGARH","GEN",NA,NA,5,70.35,1.2,"no",91,0.63,NA,NA,NA,NA,NA
"Tripura",1967,2,1,2,9,4,"L . GOSWAMI","M","SSP",83,NA,NA,14520,20640,"BISHALGARH","GEN",NA,NA,5,70.35,0.57,"no",28,0.19,NA,NA,NA,NA,NA
"Tripura",1967,2,1,2,9,5,"M . MALAKAR","M","IND",55,NA,NA,14520,20640,"BISHALGARH","GEN",NA,NA,5,70.35,0.38,"no",0,0,NA,NA,NA,NA,NA
"Tripura",1967,2,1,2,10,1,"A . D . BARMA","M","CPI",7230,NA,NA,14267,20222,"CHARILAM","ST",NA,NA,2,70.55,50.68,"no",193,1.35,NA,NA,NA,NA,NA
"Tripura",1967,2,1,2,10,2,"K . C . D . BARMA","M","INC",7037,NA,NA,14267,20222,"CHARILAM","ST",NA,NA,2,70.55,49.32,"no",0,0,NA,NA,NA,NA,NA
"Tripura",1967,2,1,2,11,1,"D . K . CHAUDHURI","M","INC",8807,NA,NA,11901,15206,"SONAMURA NORTH","GEN",NA,NA,3,78.27,74,"no",6368,53.51,NA,NA,NA,NA,NA
"Tripura",1967,2,1,2,11,2,"D . C . S . GUPTA","M","IND",2439,NA,NA,11901,15206,"SONAMURA NORTH","GEN",NA,NA,3,78.27,20.49,"no",1784,14.99,NA,NA,NA,NA,NA
"Tripura",1967,2,1,2,11,3,"G . C . DAS","M","IND",655,NA,NA,11901,15206,"SONAMURA NORTH","GEN",NA,NA,3,78.27,5.5,"no",0,0,NA,NA,NA,NA,NA
"Tripura",1967,2,1,2,12,1,"B . ALI","M","INC",7888,NA,NA,12028,14924,"SONAMURA SOUTH","GEN",NA,NA,2,80.6,65.58,"no",3748,31.16,NA,NA,NA,NA,NA
"Tripura",1967,2,1,2,12,2,"B . R . PAL","M","IND",4140,NA,NA,12028,14924,"SONAMURA SOUTH","GEN",NA,NA,2,80.6,34.42,"no",0,0,NA,NA,NA,NA,NA
"Tripura",1967,2,1,2,13,1,"E . A . CHOUDHURY","M","INC",8424,NA,NA,11850,16329,"SALGARH","GEN",NA,NA,3,72.57,71.09,"no",6089,51.38,NA,NA,NA,NA,NA
"Tripura",1967,2,1,2,13,2,"N . C . GHOSE","M","CPM",2335,NA,NA,11850,16329,"SALGARH","GEN",NA,NA,3,72.57,19.7,"no",1244,10.5,NA,NA,NA,NA,NA
"Tripura",1967,2,1,2,13,3,"N . R . CHANDA","M","IND",1091,NA,NA,11850,16329,"SALGARH","GEN",NA,NA,3,72.57,9.21,"no",0,0,NA,NA,NA,NA,NA
"Tripura",1967,2,1,2,14,1,"N . K . SARKAR","M","INC",10878,NA,NA,16028,23035,"RADHAKISHOREPUR","GEN",NA,NA,3,69.58,67.87,"no",7761,48.42,NA,NA,NA,NA,NA
"Tripura",1967,2,1,2,14,2,"S . K . DAS","M","CPI",3117,NA,NA,16028,23035,"RADHAKISHOREPUR","GEN",NA,NA,3,69.58,19.45,"no",1084,6.76,NA,NA,NA,NA,NA
"Tripura",1967,2,1,2,14,3,"B . DAS","M","IND",2033,NA,NA,16028,23035,"RADHAKISHOREPUR","GEN",NA,NA,3,69.58,12.68,"no",0,0,NA,NA,NA,NA,NA
"Tripura",1967,2,1,2,15,1,"U . K . ROY","M","INC",10502,NA,NA,17490,23364,"BELONIA","GEN",NA,NA,3,74.86,60.05,"no",3811,21.79,NA,NA,NA,NA,NA
"Tripura",1967,2,1,2,15,2,"J . L . DAS","M","CPI",6691,NA,NA,17490,23364,"BELONIA","GEN",NA,NA,3,74.86,38.26,"no",6394,36.56,NA,NA,NA,NA,NA
"Tripura",1967,2,1,2,15,3,"J . C . D . MAHAJAN","M","IND",297,NA,NA,17490,23364,"BELONIA","GEN",NA,NA,3,74.86,1.7,"no",0,0,NA,NA,NA,NA,NA
"Tripura",1967,2,1,2,16,1,"S . C . CHOUDHURY","M","INC",11584,NA,NA,15184,21480,"MUHURIPUR","GEN",NA,NA,3,70.69,76.29,"no",8709,57.36,NA,NA,NA,NA,NA
"Tripura",1967,2,1,2,16,2,"H . A . MAG","M","CPI",2875,NA,NA,15184,21480,"MUHURIPUR","GEN",NA,NA,3,70.69,18.93,"no",2150,14.16,NA,NA,NA,NA,NA
"Tripura",1967,2,1,2,16,3,"N . G . SARKAR","M","IND",725,NA,NA,15184,21480,"MUHURIPUR","GEN",NA,NA,3,70.69,4.77,"no",0,0,NA,NA,NA,NA,NA
"Tripura",1967,2,1,2,17,1,"A . MAG","M","INC",11638,NA,NA,16642,22618,"SABROOM","ST",NA,NA,4,73.58,69.93,"no",6996,42.04,NA,NA,NA,NA,NA
"Tripura",1967,2,1,2,17,2,"A . MAG","M","CPI",4642,NA,NA,16642,22618,"SABROOM","ST",NA,NA,4,73.58,27.89,"no",4365,26.23,NA,NA,NA,NA,NA
"Tripura",1967,2,1,2,17,3,"U . M . CHOUDHURI","M","IND",277,NA,NA,16642,22618,"SABROOM","ST",NA,NA,4,73.58,1.66,"no",192,1.15,NA,NA,NA,NA,NA
"Tripura",1967,2,1,2,17,4,"B . DEBBARMA","M","IND",85,NA,NA,16642,22618,"SABROOM","ST",NA,NA,4,73.58,0.51,"no",0,0,NA,NA,NA,NA,NA
"Tripura",1967,2,1,2,18,1,"B . B . RIYAN","M","INC",6152,NA,NA,11087,18068,"BIRGANJ","ST",NA,NA,3,61.36,55.49,"no",1804,16.27,NA,NA,NA,NA,NA
"Tripura",1967,2,1,2,18,2,"R . K . D . BARMA","M","CPM",4348,NA,NA,11087,18068,"BIRGANJ","ST",NA,NA,3,61.36,39.22,"no",3761,33.92,NA,NA,NA,NA,NA
"Tripura",1967,2,1,2,18,3,"R . L . D . BARMA","M","BJS",587,NA,NA,11087,18068,"BIRGANJ","ST",NA,NA,3,61.36,5.29,"no",0,0,NA,NA,NA,NA,NA
"Tripura",1967,2,1,2,19,1,"R . C . D . RANKHAL","M","INC",5221,NA,NA,9205,15720,"DUMBURNAGAR","ST",NA,NA,2,58.56,56.72,"no",1237,13.44,NA,NA,NA,NA,NA
"Tripura",1967,2,1,2,19,2,"S . D . BARMA","M","CPM",3984,NA,NA,9205,15720,"DUMBURNAGAR","ST",NA,NA,2,58.56,43.28,"no",0,0,NA,NA,NA,NA,NA
