"State_name","Year","AC_no","Position","AC_name","Cand1","EC_Caste","Jati","Caste_Rec","Rel","New.Caste","Old_Jati"
"Tripura",1967,1,1,"MOHANPUR","P . R . D . GUPTA",NA,NA,NA,NA,NA,NA
"Tripura",1967,1,2,"MOHANPUR","N . CHAKRAVORTY",NA,NA,NA,NA,NA,NA
"Tripura",1967,1,3,"MOHANPUR","B . R . D . BARWA",NA,NA,NA,NA,NA,NA
"Tripura",1967,2,1,"AGARTALASADAR I","B . B . DAS",NA,NA,NA,NA,NA,NA
"Tripura",1967,2,2,"AGARTALASADAR I","M . K . ROY",NA,NA,NA,NA,NA,NA
"Tripura",1967,2,3,"AGARTALASADAR I","G . R . CHOUDHURY",NA,NA,NA,NA,NA,NA
"Tripura",1967,3,1,"AGARTALASADAR II","S . SINGH",NA,NA,NA,NA,NA,NA
"Tripura",1967,3,2,"AGARTALASADAR II","S . R . CHANDA",NA,NA,NA,NA,NA,NA
"Tripura",1967,3,3,"AGARTALASADAR II","M . R . R . CHOUDHURY",NA,NA,NA,NA,NA,NA
"Tripura",1967,3,4,"AGARTALASADAR II","A . R . PAUL",NA,NA,NA,NA,NA,NA
"Tripura",1967,4,1,"AGARTALA SADAR III","T . M . D . GUPTA",NA,NA,NA,NA,NA,NA
"Tripura",1967,4,2,"AGARTALA SADAR III","S . S . GUPTA",NA,NA,NA,NA,NA,NA
"Tripura",1967,4,3,"AGARTALA SADAR III","D . DEY",NA,NA,NA,NA,NA,NA
"Tripura",1967,4,4,"AGARTALA SADAR III","S . R . ROY",NA,NA,NA,NA,NA,NA
"Tripura",1967,5,1,"AGARTALA TOWN","K . BHATTACHARJEE",NA,NA,NA,NA,NA,NA
"Tripura",1967,5,2,"AGARTALA TOWN","A . ISLAM",NA,NA,NA,NA,NA,NA
"Tripura",1967,5,3,"AGARTALA TOWN","M . K . K . P . DEBI",NA,NA,NA,NA,NA,NA
"Tripura",1967,5,4,"AGARTALA TOWN","J . K . BANOOPADHAYA",NA,NA,NA,NA,NA,NA
"Tripura",1967,6,1,"OLD AGARTALA","J . K . MAJUMDER",NA,NA,NA,NA,NA,NA
"Tripura",1967,6,2,"OLD AGARTALA","S . C . SHOME",NA,NA,NA,NA,NA,NA
"Tripura",1967,7,1,"UTTAR DEBENDRANAGAR","A . D . BARMA",NA,NA,NA,NA,NA,NA
"Tripura",1967,7,2,"UTTAR DEBENDRANAGAR","B . P . D . BARMA",NA,NA,NA,NA,NA,NA
"Tripura",1967,8,1,"TAKARJALA","M . D . BARMA",NA,NA,NA,NA,NA,NA
"Tripura",1967,8,2,"TAKARJALA","B . D . BARMA",NA,NA,NA,NA,NA,NA
"Tripura",1967,9,1,"BISHALGARH","U . L . SINGH",NA,NA,NA,NA,NA,NA
"Tripura",1967,9,2,"BISHALGARH","B . M . SAHA",NA,NA,NA,NA,NA,NA
"Tripura",1967,9,3,"BISHALGARH","A . K . DEB",NA,NA,NA,NA,NA,NA
"Tripura",1967,9,4,"BISHALGARH","L . GOSWAMI",NA,NA,NA,NA,NA,NA
"Tripura",1967,9,5,"BISHALGARH","M . MALAKAR",NA,NA,NA,NA,NA,NA
"Tripura",1967,10,1,"CHARILAM","A . D . BARMA",NA,NA,NA,NA,NA,NA
"Tripura",1967,10,2,"CHARILAM","K . C . D . BARMA",NA,NA,NA,NA,NA,NA
"Tripura",1967,11,1,"SONAMURA NORTH","D . K . CHAUDHURI",NA,NA,NA,NA,NA,NA
"Tripura",1967,11,2,"SONAMURA NORTH","D . C . S . GUPTA",NA,NA,NA,NA,NA,NA
"Tripura",1967,11,3,"SONAMURA NORTH","G . C . DAS",NA,NA,NA,NA,NA,NA
"Tripura",1967,12,1,"SONAMURA SOUTH","B . ALI",NA,NA,NA,NA,NA,NA
"Tripura",1967,12,2,"SONAMURA SOUTH","B . R . PAL",NA,NA,NA,NA,NA,NA
"Tripura",1967,13,1,"SALGARH","E . A . CHOUDHURY",NA,NA,NA,NA,NA,NA
"Tripura",1967,13,2,"SALGARH","N . C . GHOSE",NA,NA,NA,NA,NA,NA
"Tripura",1967,13,3,"SALGARH","N . R . CHANDA",NA,NA,NA,NA,NA,NA
"Tripura",1967,14,1,"RADHAKISHOREPUR","N . K . SARKAR",NA,NA,NA,NA,NA,NA
"Tripura",1967,14,2,"RADHAKISHOREPUR","S . K . DAS",NA,NA,NA,NA,NA,NA
"Tripura",1967,14,3,"RADHAKISHOREPUR","B . DAS",NA,NA,NA,NA,NA,NA
"Tripura",1967,15,1,"BELONIA","U . K . ROY",NA,NA,NA,NA,NA,NA
"Tripura",1967,15,2,"BELONIA","J . L . DAS",NA,NA,NA,NA,NA,NA
"Tripura",1967,15,3,"BELONIA","J . C . D . MAHAJAN",NA,NA,NA,NA,NA,NA
"Tripura",1967,16,1,"MUHURIPUR","S . C . CHOUDHURY",NA,NA,NA,NA,NA,NA
"Tripura",1967,16,2,"MUHURIPUR","H . A . MAG",NA,NA,NA,NA,NA,NA
"Tripura",1967,16,3,"MUHURIPUR","N . G . SARKAR",NA,NA,NA,NA,NA,NA
"Tripura",1967,17,1,"SABROOM","A . MAG",NA,NA,NA,NA,NA,NA
"Tripura",1967,17,2,"SABROOM","A . MAG",NA,NA,NA,NA,NA,NA
"Tripura",1967,17,3,"SABROOM","U . M . CHOUDHURI",NA,NA,NA,NA,NA,NA
"Tripura",1967,17,4,"SABROOM","B . DEBBARMA",NA,NA,NA,NA,NA,NA
"Tripura",1967,18,1,"BIRGANJ","B . B . RIYAN",NA,NA,NA,NA,NA,NA
"Tripura",1967,18,2,"BIRGANJ","R . K . D . BARMA",NA,NA,NA,NA,NA,NA
"Tripura",1967,18,3,"BIRGANJ","R . L . D . BARMA",NA,NA,NA,NA,NA,NA
"Tripura",1967,19,1,"DUMBURNAGAR","R . C . D . RANKHAL",NA,NA,NA,NA,NA,NA
"Tripura",1967,19,2,"DUMBURNAGAR","S . D . BARMA",NA,NA,NA,NA,NA,NA
"Tripura",1967,20,1,"TELIAMURA","P . K . DAS",NA,NA,NA,NA,NA,NA
"Tripura",1967,20,2,"TELIAMURA","A . C. SARKER",NA,NA,NA,NA,NA,NA
"Tripura",1967,20,3,"TELIAMURA","K . C. DAS",NA,NA,NA,NA,NA,NA
"Tripura",1967,21,1,"KALYANPUR","B . C . D . BARMA",NA,NA,NA,NA,NA,NA
"Tripura",1967,21,2,"KALYANPUR","N . K . D . BARMA",NA,NA,NA,NA,NA,NA
"Tripura",1967,22,1,"KHOWAI","S . C . DATTA",NA,NA,NA,NA,NA,NA
"Tripura",1967,22,2,"KHOWAI","J . BHATTACHARJEE",NA,NA,NA,NA,NA,NA
"Tripura",1967,22,3,"KHOWAI","N . C . D . BARMA",NA,NA,NA,NA,NA,NA
"Tripura",1967,22,4,"KHOWAI","H . BISWAS",NA,NA,NA,NA,NA,NA
"Tripura",1967,23,1,"KAMALPUR","K . C . DAS",NA,NA,NA,NA,NA,NA
"Tripura",1967,23,2,"KAMALPUR","N . K . NAMADAS",NA,NA,NA,NA,NA,NA
"Tripura",1967,24,1,"KULAIHOUR","G . DEWAN",NA,NA,NA,NA,NA,NA
"Tripura",1967,24,2,"KULAIHOUR","D . D . BARMA",NA,NA,NA,NA,NA,NA
