"State_name","Year","AC_no","Cand","Sex","Party","Votes","Age","Caste","Position"
"Tripura",1967,1,"P . R . D . GUPTA","M","INC",8666,NA,NA,1
"Tripura",1967,1,"N . CHAKRAVORTY","M","CPM",6882,NA,NA,2
"Tripura",1967,1,"B . R . D . BARWA","M","BJS",131,NA,NA,3
"Tripura",1967,2,"B . B . DAS","M","INC",8117,NA,NA,1
"Tripura",1967,2,"M . K . ROY","M","CPM",3468,NA,NA,2
"Tripura",1967,2,"G . R . CHOUDHURY","M","IND",1858,NA,NA,3
"Tripura",1967,3,"S . SINGH","M","INC",11445,NA,NA,1
"Tripura",1967,3,"S . R . CHANDA","M","CPM",5837,NA,NA,2
"Tripura",1967,3,"M . R . R . CHOUDHURY","M","IND",280,NA,NA,3
"Tripura",1967,3,"A . R . PAUL","M","BJS",205,NA,NA,4
"Tripura",1967,4,"T . M . D . GUPTA","M","INC",8872,NA,NA,1
"Tripura",1967,4,"S . S . GUPTA","M","IND",5283,NA,NA,2
"Tripura",1967,4,"D . DEY","M","IND",1215,NA,NA,3
"Tripura",1967,4,"S . R . ROY","M","IND",146,NA,NA,4
"Tripura",1967,5,"K . BHATTACHARJEE","M","INC",6853,NA,NA,1
"Tripura",1967,5,"A . ISLAM","M","CPI",4250,NA,NA,2
"Tripura",1967,5,"M . K . K . P . DEBI","F","IND",1119,NA,NA,3
"Tripura",1967,5,"J . K . BANOOPADHAYA","M","BJS",409,NA,NA,4
"Tripura",1967,6,"J . K . MAJUMDER","M","INC",8672,NA,NA,1
"Tripura",1967,6,"S . C . SHOME","M","IND",7211,NA,NA,2
"Tripura",1967,7,"A . D . BARMA","M","CPM",10559,NA,NA,1
"Tripura",1967,7,"B . P . D . BARMA","M","INC",4088,NA,NA,2
"Tripura",1967,8,"M . D . BARMA","M","INC",6945,NA,NA,1
"Tripura",1967,8,"B . D . BARMA","M","IND",5720,NA,NA,2
"Tripura",1967,9,"U . L . SINGH","M","INC",8072,NA,NA,1
"Tripura",1967,9,"B . M . SAHA","M","IND",6136,NA,NA,2
"Tripura",1967,9,"A . K . DEB","M","BJS",174,NA,NA,3
"Tripura",1967,9,"L . GOSWAMI","M","SSP",83,NA,NA,4
"Tripura",1967,9,"M . MALAKAR","M","IND",55,NA,NA,5
"Tripura",1967,10,"A . D . BARMA","M","CPI",7230,NA,NA,1
"Tripura",1967,10,"K . C . D . BARMA","M","INC",7037,NA,NA,2
"Tripura",1967,11,"D . K . CHAUDHURI","M","INC",8807,NA,NA,1
"Tripura",1967,11,"D . C . S . GUPTA","M","IND",2439,NA,NA,2
"Tripura",1967,11,"G . C . DAS","M","IND",655,NA,NA,3
"Tripura",1967,12,"B . ALI","M","INC",7888,NA,NA,1
"Tripura",1967,12,"B . R . PAL","M","IND",4140,NA,NA,2
"Tripura",1967,13,"E . A . CHOUDHURY","M","INC",8424,NA,NA,1
"Tripura",1967,13,"N . C . GHOSE","M","CPM",2335,NA,NA,2
"Tripura",1967,13,"N . R . CHANDA","M","IND",1091,NA,NA,3
"Tripura",1967,14,"N . K . SARKAR","M","INC",10878,NA,NA,1
"Tripura",1967,14,"S . K . DAS","M","CPI",3117,NA,NA,2
"Tripura",1967,14,"B . DAS","M","IND",2033,NA,NA,3
"Tripura",1967,15,"U . K . ROY","M","INC",10502,NA,NA,1
"Tripura",1967,15,"J . L . DAS","M","CPI",6691,NA,NA,2
"Tripura",1967,15,"J . C . D . MAHAJAN","M","IND",297,NA,NA,3
"Tripura",1967,16,"S . C . CHOUDHURY","M","INC",11584,NA,NA,1
"Tripura",1967,16,"H . A . MAG","M","CPI",2875,NA,NA,2
"Tripura",1967,16,"N . G . SARKAR","M","IND",725,NA,NA,3
"Tripura",1967,17,"A . MAG","M","INC",11638,NA,NA,1
"Tripura",1967,17,"A . MAG","M","CPI",4642,NA,NA,2
"Tripura",1967,17,"U . M . CHOUDHURI","M","IND",277,NA,NA,3
"Tripura",1967,17,"B . DEBBARMA","M","IND",85,NA,NA,4
"Tripura",1967,18,"B . B . RIYAN","M","INC",6152,NA,NA,1
"Tripura",1967,18,"R . K . D . BARMA","M","CPM",4348,NA,NA,2
"Tripura",1967,18,"R . L . D . BARMA","M","BJS",587,NA,NA,3
"Tripura",1967,19,"R . C . D . RANKHAL","M","INC",5221,NA,NA,1
"Tripura",1967,19,"S . D . BARMA","M","CPM",3984,NA,NA,2
"Tripura",1967,20,"P . K . DAS","M","INC",11558,NA,NA,1
"Tripura",1967,20,"A . C. SARKER","M","CPM",5435,NA,NA,2
"Tripura",1967,20,"K . C. DAS","M","IND",899,NA,NA,3
"Tripura",1967,21,"B . C . D . BARMA","M","CPM",14330,NA,NA,1
"Tripura",1967,21,"N . K . D . BARMA","M","INC",8572,NA,NA,2
"Tripura",1967,22,"S . C . DATTA","M","INC",10964,NA,NA,1
"Tripura",1967,22,"J . BHATTACHARJEE","M","IND",6650,NA,NA,2
"Tripura",1967,22,"N . C . D . BARMA","M","IND",257,NA,NA,3
"Tripura",1967,22,"H . BISWAS","M","IND",85,NA,NA,4
"Tripura",1967,23,"K . C . DAS","M","INC",10141,NA,NA,1
"Tripura",1967,23,"N . K . NAMADAS","M","CPM",5939,NA,NA,2
"Tripura",1967,24,"G . DEWAN","M","INC",8406,NA,NA,1
"Tripura",1967,24,"D . D . BARMA","M","CPM",6329,NA,NA,2
"Tripura",1967,25,"R . R . GUPTA","M","INC",7750,NA,NA,1
"Tripura",1967,25,"R . R . KUMAR","M","CPI",5757,NA,NA,2
"Tripura",1967,25,"S . C . BISWAS","M","IND",357,NA,NA,3
"Tripura",1967,26,"M . L . BHOWMIK","M","INC",8190,NA,NA,1
"Tripura",1967,26,"B . MAJUMDER","M","CPM",7841,NA,NA,2
"Tripura",1967,27,"M . NATH","M","INC",8354,NA,NA,1
"Tripura",1967,27,"R . K . NATH","M","CPM",4674,NA,NA,2
"Tripura",1967,28,"R . P . CHOUDHURY","M","INC",5192,NA,NA,1
"Tripura",1967,28,"M . REANG","M","CPM",2485,NA,NA,2
"Tripura",1967,28,"B . B . CHAKMA","M","IND",357,NA,NA,3
"Tripura",1967,29,"B . B . BANERJEE","M","INC",6467,NA,NA,1
"Tripura",1967,29,"D . CHAKRABORTY","M","CPM",3437,NA,NA,2
"Tripura",1967,29,"F . AHAMMED","M","IND",2252,NA,NA,3
"Tripura",1967,29,"B . C . GHOSE","M","IND",142,NA,NA,4
"Tripura",1967,30,"A . WAZID","M","INC",5890,NA,NA,1
"Tripura",1967,30,"S . D . NATH","M","CPM",5856,NA,NA,2
"Tripura",1967,30,"K . R . NATH","M","IND",693,NA,NA,3
"Tripura",1972,1,"BHADRAMANI DEBBARMA","M","CPM",4594,NA,NA,1
"Tripura",1972,1,"S. B. KISHORE DEBBARMAN","M","INC",3656,NA,NA,2
"Tripura",1972,1,"BIMAL CHANDRA DEBBARMA","M","CPI",414,NA,NA,3
"Tripura",1972,2,"RADHARAMAN DEBNATH","M","CPM",4277,NA,NA,1
"Tripura",1972,2,"PRAM D. RANJAN DASGUPTA","M","INC",3592,NA,NA,2
"Tripura",1972,2,"SUBODH DEBBARMA","M","TUS",205,NA,NA,3
"Tripura",1972,2,"NABACHANDRA DEBBARMA","M","IND",116,NA,NA,4
"Tripura",1972,2,"SACHINDRA DEBNATH","M","IND",53,NA,NA,5
"Tripura",1972,2,"CHITTA RANJAN BANIK","M","IND",49,NA,NA,6
"Tripura",1972,3,"PRAFULLA KUMAR DAS","M","INC",4862,NA,NA,1
"Tripura",1972,3,"BRAJENDRA BISWAS","M","CPM",3015,NA,NA,2
"Tripura",1972,4,"BASANA CHAKRABARTY","M","INC",3733,NA,NA,1
"Tripura",1972,4,"GOURI BHATTACHARJEE","M","CPM",2307,NA,NA,2
"Tripura",1972,4,"CHITTA BIN","M","IND",234,NA,NA,3
"Tripura",1972,4,"RASH MOHAN DEBNATH","M","IND",169,NA,NA,4
"Tripura",1972,4,"RAJ KUMAR KAMALJIT SING","M","IND",149,NA,NA,5
"Tripura",1972,4,"GOBINDA ROY CHOWDHURY","M","IND",114,NA,NA,6
"Tripura",1972,5,"ASHOK KUMAR BHATACHARYYA","M","INC",7033,NA,NA,1
"Tripura",1972,5,"KANU GHOSH","M","CPM",5633,NA,NA,2
"Tripura",1972,5,"NEPAL DEY","M","IND",761,NA,NA,3
"Tripura",1972,6,"MADHU SUDHAN DAS","M","INC",3862,NA,NA,1
"Tripura",1972,6,"JADAB CHANDRA MAJUMDER","M","CPM",3593,NA,NA,2
"Tripura",1972,6,"AMAL CHANDRA DAS","M","IND",426,NA,NA,3
"Tripura",1972,7,"SUKHAMOY SEN GUPTA","M","INC",4415,NA,NA,1
"Tripura",1972,7,"SUPRIYO BHOWMIK","M","CPM",2963,NA,NA,2
"Tripura",1972,7,"DWIJEN DEY","M","FBL",1048,NA,NA,3
"Tripura",1972,7,"PROMOD BHATTA CHOUDHURY","M","IND",404,NA,NA,4
"Tripura",1972,7,"SADHAN CHANDRA DEBNATH","M","IND",100,NA,NA,5
"Tripura",1972,8,"TARIT MOHAN DASGUPTA","M","INC",4341,NA,NA,1
"Tripura",1972,8,"KHAGEN DAS","M","CPM",4159,NA,NA,2
"Tripura",1972,8,"DILIP KUMAR SARKAR","M","IND",1132,NA,NA,3
"Tripura",1972,9,"AJOY BISWAS","M","IND",3810,NA,NA,1
"Tripura",1972,9,"RENUKA CHAKRABORTY","M","INC",2742,NA,NA,2
