"State_name","Year","AC_no","AC_name","AC_type","Electors"
"Tripura",1967,1,"MOHANPUR","GEN",21739
"Tripura",1967,2,"AGARTALASADAR I","SC",18374
"Tripura",1967,3,"AGARTALASADAR II","GEN",24976
"Tripura",1967,4,"AGARTALA SADAR III","GEN",21446
"Tripura",1967,5,"AGARTALA TOWN","GEN",18132
"Tripura",1967,6,"OLD AGARTALA","GEN",20377
"Tripura",1967,7,"UTTAR DEBENDRANAGAR","ST",20045
"Tripura",1967,8,"TAKARJALA","ST",19377
"Tripura",1967,9,"BISHALGARH","GEN",20640
"Tripura",1967,10,"CHARILAM","ST",20222
"Tripura",1967,11,"SONAMURA NORTH","GEN",15206
"Tripura",1967,12,"SONAMURA SOUTH","GEN",14924
"Tripura",1967,13,"SALGARH","GEN",16329
"Tripura",1967,14,"RADHAKISHOREPUR","GEN",23035
"Tripura",1967,15,"BELONIA","GEN",23364
"Tripura",1967,16,"MUHURIPUR","GEN",21480
"Tripura",1967,17,"SABROOM","ST",22618
"Tripura",1967,18,"BIRGANJ","ST",18068
"Tripura",1967,19,"DUMBURNAGAR","ST",15720
"Tripura",1967,20,"TELIAMURA","SC",25242
"Tripura",1967,21,"KALYANPUR","ST",26161
"Tripura",1967,22,"KHOWAI","GEN",21788
"Tripura",1967,23,"KAMALPUR","SC",21038
"Tripura",1967,24,"KULAIHOUR","ST",26097
"Tripura",1967,25,"FATIKROY","GEN",20680
"Tripura",1967,26,"KAILASHAHAR","GEN",20045
"Tripura",1967,27,"DHARMANAGAR SOUTH","GEN",18006
"Tripura",1967,28,"KANCHANPUR","ST",14615
"Tripura",1967,29,"DHARMANAGAR NORTH","GEN",17343
"Tripura",1967,30,"KADAMTALA","GEN",18847
"Tripura",1972,1,"SIMNA","ST",11701
"Tripura",1972,2,"MODANPUR","GEN",12711
"Tripura",1972,3,"BAMUTIA","SC",11208
"Tripura",1972,4,"BARJALA","GEN",10066
"Tripura",1972,5,"KUNJABAN","GEN",20929
"Tripura",1972,6,"PRATAPGARH","SC",12852
"Tripura",1972,7,"AGARTALA TOWN I I I","GEN",15188
"Tripura",1972,8,"ANANDANAGAR","GEN",14463
"Tripura",1972,9,"AGARTALA TOWN I","GEN",11963
"Tripura",1972,10,"AGARTALA TOWN I I","GEN",9794
"Tripura",1972,11,"OLD AGARTALA","GEN",13067
"Tripura",1972,12,"MAULISHPUR","GEN",9852
"Tripura",1972,13,"MANDIABAZAR","ST",10989
"Tripura",1972,14,"UTTAR DEBENDRA NAGAR","ST",11173
"Tripura",1972,15,"ISUANCHANDRANAGAR","GEN",10682
"Tripura",1972,16,"TAKARJALA","ST",13190
"Tripura",1972,17,"KAMALASAGAR","GEN",10230
"Tripura",1972,18,"BISHALGARH","GEN",11922
"Tripura",1972,19,"CHARILAM","ST",11761
"Tripura",1972,20,"BISHRAMGONJ","ST",11574
"Tripura",1972,21,"BOXANAGAR","GEN",9721
"Tripura",1972,22,"NALCHHAR","SC",13017
