"state","sa_no","year","total_candidates","deposit_saved"
"Uttar_Pradesh",3,"1962",2620,2620
"Uttar_Pradesh",4,"1967",3015,3011
"Uttar_Pradesh",5,"1969",2871,2854
"Uttar_Pradesh",6,"1974",4039,3978
"Uttar_Pradesh",7,"1977",3012,2959
"Uttar_Pradesh",8,"1980",4620,4499
"Uttar_Pradesh",9,"1985",6019,5584
"Uttar_Pradesh",10,"1989",6103,5028
"Uttar_Pradesh",11,"1991",7844,5776
"Uttar_Pradesh",12,"1993",9602,5649
"Uttar_Pradesh",13,"1996",4429,3661
"Uttar_Pradesh",14,"2002",5524,5185
"Uttar_Pradesh",15,"2007",6086,5769
"Uttar_Pradesh",16,"2012",6838,6241
