"state","sa_no","year","month","ac_no","ac_name","turnout","vote_percent","ac_type","electors","margin","n_cand","position","sex1","party1","votes1","cand1","margin_percent","runner","runner_party","runner_sex","nota_percent"
"Uttar_Pradesh",3,1962,2,1,"UTTARKASHI",25.06,71.86,"General",89586,12925,3,1,"Male","INC",16132,"KRISHNA SINGH",57.58,"KAMLA RAM","IND","M",NA
"Uttar_Pradesh",3,1962,2,2,"TEHRI",25.92,65.9,"General",98852,12600,4,1,"Male","INC",16887,"TREPAN SINGH",49.17,"VIDYA SAGAR","CPI","M",NA
"Uttar_Pradesh",3,1962,2,3,"DEOPRAYAG",22.33,52.48,"General",84506,3927,5,1,"Female","INC",9901,"VINAYA LAXMI",20.81,"GYAN SINGH","IND","M",NA
"Uttar_Pradesh",3,1962,2,4,"GANGA SALAN",40.45,47.7,"General",72466,1586,4,1,"Male","INC",13984,"JAGMOHAN SINGH NEGI",5.41,"BHAIRAB DATT DHULIA","IND","M",NA
"Uttar_Pradesh",3,1962,2,5,"LANSDOWNE",36.21,59.86,"General",78117,5581,2,1,"Male","IND",16934,"MUKANDI LAL",19.73,"RAM PRASAD","INC","M",NA
"Uttar_Pradesh",3,1962,2,6,"PAURI",24.54,66.73,"General",79477,10036,4,1,"Male","INC",13015,"CHANDRA SINGH",51.46,"KUNWAR SINGH","IND","M",NA
"Uttar_Pradesh",3,1962,2,7,"KEDARNATH",32.07,43.5,"General",66797,780,4,1,"Male","PSP",9320,"GANGADHAR",3.64,"NARENDRA SINGH BHANDARI","INC","M",NA
"Uttar_Pradesh",3,1962,2,8,"BADRINATH",26.02,54.5,"General",74635,3714,4,1,"Male","INC",10584,"YOGESHWAR PRASAD KHANDURI",19.13,"RAM PRASAD BAHUGUNA","IND","M",NA
"Uttar_Pradesh",3,1962,2,9,"PITHORAGARH",24.24,46.85,"General",77893,2263,3,1,"Male","INC",8847,"NARENDRA SINGH",11.98,"LILA RAM","PSP","M",NA
"Uttar_Pradesh",3,1962,2,10,"CHAMPAWAT",16.17,47.27,"SC",83314,913,4,1,"Male","INC",6370,"KHUSHI RAM",6.78,"JAYANT LAL","PSP","M",NA
"Uttar_Pradesh",3,1962,2,11,"DANPUR",26.35,45.15,"General",76352,3074,6,1,"Male","INC",9085,"MOHAN SINGH",15.28,"HAYAT SINGH","JS","M",NA
"Uttar_Pradesh",3,1962,2,12,"ALMORA",36.22,57.5,"General",84250,5990,5,1,"Male","INC",17545,"GANGA SINGH",19.63,"GOVIND SINGH","JS","M",NA
"Uttar_Pradesh",3,1962,2,13,"RANIKHET NORTH",25.43,53.93,"General",79550,6987,6,1,"Male","INC",10911,"HARI DATT",34.54,"NANDAN SINGH","CPI","M",NA
"Uttar_Pradesh",3,1962,2,14,"RANIKHET SOUTH",32.38,81.46,"General",85367,19993,4,1,"Male","INC",22516,"CHANDRA BHANU GUPTA",72.33,"BALWANT SINGH","PSP","M",NA
"Uttar_Pradesh",3,1962,2,15,"NAINI TAL",49.18,54.72,"General",73965,5843,5,1,"Male","INC",19906,"DEVENDRA SINGH",16.06,"NARAIN DATT","PSP","M",NA
"Uttar_Pradesh",3,1962,2,16,"TANAKPUR",49.04,29.4,"General",75688,517,6,1,"Male","INC",10913,"ANISUR RAHMAN",1.39,"PRATAP SINGH","PSP","M",NA
"Uttar_Pradesh",3,1962,2,17,"KASHIPUR",55.45,41.09,"General",114444,4683,7,1,"Male","INC",26077,"DEBI DATT",7.38,"RAM DATT","PSP","M",NA
"Uttar_Pradesh",3,1962,2,18,"AFZALGARH",49.01,34.25,"General",87169,645,9,1,"Male","JS",14634,"BASANT SINGH",1.51,"SADRUDDIN","INC","M",NA
"Uttar_Pradesh",3,1962,2,19,"NAJIBABAD",63.56,47.01,"General",82877,2469,5,1,"Male","JS",24764,"SHRI RAM",4.69,"ATIQUL REHMAN","INC","M",NA
"Uttar_Pradesh",3,1962,2,20,"BIJNOR",60.57,49.54,"General",71547,12717,9,1,"Male","INC",21472,"SATYA VIR",29.34,"NEPAL SINGH","SWA","M",NA
"Uttar_Pradesh",3,1962,2,21,"CHANDPUR",60.28,24,"General",83909,1159,9,1,"Male","IND",12141,"NARDEO SINGH",2.29,"CHANDAN SINGH","CPI","M",NA
"Uttar_Pradesh",3,1962,2,22,"NAGINA",59,44.32,"General",83735,10410,9,1,"Male","INC",21896,"GOVIND SAHAY",21.07,"NAUBAHAR SINGH","JS","M",NA
"Uttar_Pradesh",3,1962,2,23,"DHAMPUR",63.94,36.57,"General",80505,7594,7,1,"Male","INC",18824,"KHUB SINGH",14.75,"AMIRI SINGH","SOC","M",NA
"Uttar_Pradesh",3,1962,2,24,"BOODPUR",66.98,45.28,"SC",80722,5800,4,1,"Male","INC",24478,"GIRDHARI LAL",10.73,"MUKANDI SINGH","JS","M",NA
"Uttar_Pradesh",3,1962,2,25,"KANTH",54.39,36.16,"General",78973,7898,9,1,"Male","INC",15534,"DAUDAYAL KHANNA",18.39,"KHYALI RAM","IND","M",NA
"Uttar_Pradesh",3,1962,2,26,"AMROHA",52.68,28.7,"General",89750,3173,7,1,"Male","CPI",13570,"SHARAFAT HUSAIN RIZVI",6.71,"SHAHZADE LAL","JS","M",NA
"Uttar_Pradesh",3,1962,2,27,"HASANPUR NORTH",51.44,24.89,"General",81763,995,8,1,"Male","INC",10470,"JAGDISH PRASAD",2.37,"YUSAF ALI KHAN","SWA","M",NA
"Uttar_Pradesh",3,1962,2,28,"HASANPUR SOUTH",38.89,32.51,"SC",81086,2411,5,1,"Male","INC",10253,"SUKHAN LAL",7.65,"JAVAR SINGH","IND","M",NA
"Uttar_Pradesh",3,1962,2,29,"SAMBHAL",55.32,42.63,"General",91466,4734,6,1,"Male","REP",21568,"MAHMOOD HASAN KHAN",9.36,"MAHESH CHANDRA","JS","M",NA
"Uttar_Pradesh",3,1962,2,30,"BAHJOI",49.37,39.15,"General",76207,6184,7,1,"Male","PSP",14729,"BISHAN LAL",16.44,"JAGDISH SARAN","INC","M",NA
"Uttar_Pradesh",3,1962,2,31,"CHANDAUSI",59.11,34.78,"General",77119,6893,8,1,"Male","IND",15853,"NARENDRA SINGH",15.12,"DAVENDRA KUMAR","SOC","M",NA
"Uttar_Pradesh",3,1962,2,32,"BILARI",50.49,33.95,"SC",77696,1874,4,1,"Male","PSP",13319,"HET RAM",4.78,"MAHI LAL","INC","M",NA
"Uttar_Pradesh",3,1962,2,33,"MORADABAD CITY",67.57,38.62,"General",83607,3973,10,1,"Male","REP",21816,"HALIMUDDIN",7.03,"BRAHMA SWARUP","JS","M",NA
"Uttar_Pradesh",3,1962,2,34,"MORADABAD RURAL",50,31.11,"General",84898,3209,6,1,"Male","PSP",13204,"RIASAT HUSAIN",7.56,"SHIV SHANKAR TRIVEDI","INC","M",NA
"Uttar_Pradesh",3,1962,2,35,"THAKURDWARA",58.81,33.59,"General",87497,1939,5,1,"Male","INC",17284,"RAM PAL SINGH",3.77,"AHMADULLAH","SWA","M",NA
"Uttar_Pradesh",3,1962,2,36,"SUAR TANDA",45.44,29.37,"General",101190,931,6,1,"Male","INC",13508,"MAHMOOD ALI KHAN",2.02,"MAQSOOD HUSAIN","IND","M",NA
"Uttar_Pradesh",3,1962,2,37,"RAMPUR CITY",56.35,69.86,"General",64306,21523,5,1,"Female","INC",25314,"KISHWAR ARA BEGUM",59.4,"FAZALUL HAQUE","IND","M",NA
"Uttar_Pradesh",3,1962,2,38,"RAMPUR RURAL",39.11,45.42,"General",90969,7451,5,1,"Male","INC",16158,"KALYAN RAI",20.94,"SOHAN LAL","PSP","M",NA
"Uttar_Pradesh",3,1962,2,39,"SHAHABAD",39.35,44.93,"SC",84121,4724,3,1,"Male","INC",14873,"BALDEO SINGH ARYA",14.27,"RAM CHARAN","JS","M",NA
"Uttar_Pradesh",3,1962,2,40,"BISAULI",47.96,31.01,"General",74062,440,6,1,"Male","INC",11014,"SHIVE RAJ SINGH",1.24,"SHIAM SINGH","PSP","M",NA
"Uttar_Pradesh",3,1962,2,41,"KOT",46.54,48.49,"SC",75950,6812,6,1,"Male","INC",17140,"KESHO RAM",19.27,"CHUNNI LAL","JS","M",NA
"Uttar_Pradesh",3,1962,2,42,"ISLAMNAGAR",44.69,34.32,"General",86081,1656,7,1,"Male","INC",13205,"SURAJPAL SINGH",4.3,"MOTI RAM","JS","M",NA
"Uttar_Pradesh",3,1962,2,43,"GUNNAUR",45.3,31.06,"General",82828,583,6,1,"Male","PSP",11654,"JUGAL KISHORE",1.55,"KARAN SINGH S/O TIRBENI SINGH","INC","M",NA
"Uttar_Pradesh",3,1962,2,44,"SAHASWAN",45.18,30.38,"General",84431,1376,5,1,"Male","JS",11588,"ULFAT SINGH",3.61,"MUSHTAQ ALI KHAN","INC","M",NA
"Uttar_Pradesh",3,1962,2,45,"UJHANI",65.88,54.47,"General",75395,5941,3,1,"Male","REP",27055,"PURUSHOTAM LAL BADHWAR (RAJAJI)",11.96,"SHRI KRISHNA GOYAL","INC","M",NA
"Uttar_Pradesh",3,1962,2,46,"USEHAT",50.64,27.2,"General",83661,3545,8,1,"Male","IND",11521,"NIROTTAM SINGH",8.37,"BRIJ PAL SINGH","JS","M",NA
"Uttar_Pradesh",3,1962,2,47,"DATAGANJ",46.63,33.84,"General",82033,1528,6,1,"Male","JS",12946,"NARAIN SINGH",3.99,"HARISH CHANDRA SINGH","INC","M",NA
"Uttar_Pradesh",3,1962,2,48,"BUDAUN",53.07,38.46,"General",78865,1608,6,1,"Male","INC",16098,"RUKUM SINGH",3.84,"ASRAR AHMAD","IND","M",NA
"Uttar_Pradesh",3,1962,2,49,"AONLA",54.27,34.94,"General",81336,4791,6,1,"Male","INC",15424,"NAWAL KISHORE",10.85,"AIDAL SINGH","JS","M",NA
"Uttar_Pradesh",3,1962,2,50,"SIRAULI",52.52,26.37,"General",84019,335,7,1,"Male","INC",11636,"VAIDYA DHARAM DUTT",0.76,"BHAGWAN SAHAI","IND","M",NA
"Uttar_Pradesh",3,1962,2,51,"BAHERI",64.72,39.56,"General",87501,4562,6,1,"Male","INC",22401,"RAM MOORTI",8.06,"CHHEDA LAL","PSP","M",NA
