"state","sa_no","year","month","ac_no","ac_name","turnout","vote_percent","ac_type","electors","margin","n_cand","position","sex1","party1","votes1","cand1","margin_percent","runner","runner_party","runner_sex","nota_percent"
"Uttarakhand",1,2002,2,1,"PUROLA",63.32,40.79,"SC",51144,2971,8,1,"Male","BJP",13209,"MALCHANDER",9.17,"SHANTI DEVI ALIAS SHANTI JUWANTHA","INC","F",NA
"Uttarakhand",1,2002,2,2,"GANGOTRI",59.79,20.91,"General",63007,610,14,1,"Male","INC",7878,"VIJAYPAL SINGH SAJWAN",1.62,"KAMALA RAM NAUTIYAL","CPI","M",NA
"Uttarakhand",1,2002,2,3,"YAMUNOTRI",63.84,26.37,"General",56408,2485,13,1,"Male","UKKD",9498,"PRITAM SINGH PAWAR",6.9,"KEDAR SINGH","INC","M",NA
"Uttarakhand",1,2002,2,4,"PRATAPNAGAR",54.73,30.83,"General",62328,1389,12,1,"Male","INC",10517,"PHOOL SINGH BIST",4.07,"VIJAY SINGH PANWAR ALIAS GUDDU PANWAR","IND","M",NA
"Uttarakhand",1,2002,2,5,"TEHRI",43.17,41.95,"General",86364,3928,14,1,"Male","INC",15640,"KISHOR UPADHYAY",10.54,"ER. RATAN SINGH GUNSOLA","BJP","M",NA
"Uttarakhand",1,2002,2,6,"GHANSALI",52.3,25.92,"General",81688,3732,14,1,"Male","NCP",11072,"BALVIR SINGH NEGI",8.74,"ABBAL SINGH BIST","INC","M",NA
"Uttarakhand",1,2002,2,7,"DEOPRAYAG",45.6,30.16,"General",72077,2252,12,1,"Male","INC",9912,"MANTRI PRASAD NAITHANI",6.85,"RAGHUVEER SINGH PANWAR","BJP","M",NA
"Uttarakhand",1,2002,2,8,"NARENDRANAGAR",47.62,28.84,"General",71334,1531,15,1,"Male","INC",9798,"SUBODH UNIYAL",4.51,"LAKHI RAM","BJP","M",NA
"Uttarakhand",1,2002,2,9,"DHANOLTI",50.88,32.68,"SC",63830,1925,8,1,"Male","INC",10612,"KAUL DAS",5.93,"KHAJAN DASS","BJP","M",NA
"Uttarakhand",1,2002,2,10,"CHAKRATA",67.5,49.59,"ST",55172,8176,5,1,"Male","INC",18468,"PREETAM SINGH",21.95,"MUNNA SINGH CHAUHAN","UJP","M",NA
"Uttarakhand",1,2002,2,11,"VIKASNAGAR",60.63,16.93,"General",87386,58,19,1,"Male","INC",8971,"NAV PRABHAT",0.11,"MUNNA SINGH CHAUHAN","UJP","M",NA
"Uttarakhand",1,2002,2,12,"SAHASPUR",59.9,35.67,"SC",72943,5196,18,1,"Male","INC",15588,"SADHU RAM",11.89,"PRADEEP","BJP","M",NA
"Uttarakhand",1,2002,2,13,"LAXMAN CHOWK",43.62,35.11,"General",96660,803,23,1,"Male","INC",14803,"DINESH AGARWAL",1.9,"NITYANAND SWAMI","BJP","M",NA
"Uttarakhand",1,2002,2,14,"DEHRADUN",42.28,41.11,"General",80418,2924,10,1,"Male","BJP",13977,"HARBANS KAPOOR",8.6,"SANJAY SHARMA","INC","M",NA
"Uttarakhand",1,2002,2,15,"RAJPUR",42.88,34.98,"General",93746,2779,17,1,"Male","INC",14061,"HIRA SINGH BIST",6.91,"KHUSHAL SINGH RANAVAT","BJP","M",NA
"Uttarakhand",1,2002,2,16,"MUSSOORIE",43.58,52.3,"General",63120,6343,14,1,"Male","INC",14384,"JOT SINGH",23.06,"NARAYAN SINGH","BJP","M",NA
"Uttarakhand",1,2002,2,17,"RISHIKESH",50.18,25.28,"General",117420,841,18,1,"Male","INC",14898,"SHOOR BEER SINGH",1.43,"SANDEEP GUPTA","BJP","M",NA
"Uttarakhand",1,2002,2,18,"DOIWALA",46.49,31.49,"General",129289,1536,24,1,"Male","BJP",18926,"TRIVENDRA SINGH RAWAT",2.56,"VIRENDRA MOHAN UNIYAL","INC","M",NA
"Uttarakhand",1,2002,2,19,"BHAGWANPUR",64.39,28.61,"SC",86171,3348,10,1,"Male","BJP",15875,"CHANDRASEKHER",6.03,"SURENDRA RAKESH","IND","M",NA
"Uttarakhand",1,2002,2,20,"ROORKEE",50.5,34.19,"General",94641,3751,14,1,"Male","BJP",16338,"SURESH CHAND",7.85,"MANOHAR LAL SHARMA","INC","M",NA
"Uttarakhand",1,2002,2,21,"IQBALPUR",71.55,34.39,"General",87211,10665,24,1,"Male","BSP",21462,"CH. YASHVEER SINGH",17.09,"MUNEER ALAM","SP","M",NA
"Uttarakhand",1,2002,2,22,"MANGLOR",65.84,39.94,"General",80452,6594,12,1,"Male","BSP",21155,"NIZAMUDDIN",12.45,"SARVAT KARIM","INC","M",NA
