"state","year","ac_no","ac_name","ac_type","cand1","party1","votes1","position","vote_percent"
"Uttarakhand",2002,1,"PUROLA","SC","MALCHANDER","BJP",13209,1,40.79
"Uttarakhand",2002,1,"PUROLA","SC","SHANTI DEVI ALIAS SHANTI JUWANTHA","INC",10238,2,31.62
"Uttarakhand",2002,1,"PUROLA","SC","SHAILENDRA LAL","UJP",4610,3,14.24
"Uttarakhand",2002,1,"PUROLA","SC","SAKAL CHAND","IND",1668,4,5.15
"Uttarakhand",2002,1,"PUROLA","SC","VIRENDRA LAL","SP",1097,5,3.39
"Uttarakhand",2002,1,"PUROLA","SC","HIRPAL ARYA","BSP",800,6,2.47
"Uttarakhand",2002,1,"PUROLA","SC","GULBIYA","IND",443,7,1.37
"Uttarakhand",2002,1,"PUROLA","SC","JETHU LAL","UKKD",318,8,0.98
"Uttarakhand",2002,2,"GANGOTRI","GEN","VIJAYPAL SINGH SAJWAN","INC",7878,1,20.91
"Uttarakhand",2002,2,"GANGOTRI","GEN","SHANTI PRASAD THAPLIYAL","IND",613,10,1.63
"Uttarakhand",2002,2,"GANGOTRI","GEN","MAHABEER SINGH CHAUHAN","SAP",447,11,1.19
"Uttarakhand",2002,2,"GANGOTRI","GEN","ROSHAN LAL","SP",393,12,1.04
"Uttarakhand",2002,2,"GANGOTRI","GEN","MADAN SINGH","UKKD",327,13,0.87
"Uttarakhand",2002,2,"GANGOTRI","GEN","KIRTI NIDHI SAJWAN","RLD",229,14,0.61
"Uttarakhand",2002,2,"GANGOTRI","GEN","KAMALA RAM NAUTIYAL","CPI",7268,2,19.29
"Uttarakhand",2002,2,"GANGOTRI","GEN","BUDHI SINGH PANWAR","BJP",6822,3,18.11
"Uttarakhand",2002,2,"GANGOTRI","GEN","HARI SINGH RANA","IND",6005,4,15.94
"Uttarakhand",2002,2,"GANGOTRI","GEN","CHANDAN SINGH RANA","UJP",4082,5,10.83
"Uttarakhand",2002,2,"GANGOTRI","GEN","DEVENDRA DUTT SEMWAL","IND",1081,6,2.87
"Uttarakhand",2002,2,"GANGOTRI","GEN","JAGENDRA SINGH BIST","IND",948,7,2.52
"Uttarakhand",2002,2,"GANGOTRI","GEN","BUDHI BALLABH JOSHI","BSP",936,8,2.48
"Uttarakhand",2002,2,"GANGOTRI","GEN","KAMLESHWAR","IND",646,9,1.71
"Uttarakhand",2002,3,"YAMUNOTRI","GEN","PRITAM SINGH PAWAR","UKKD",9498,1,26.37
"Uttarakhand",2002,3,"YAMUNOTRI","GEN","DHAUNKAR SINGH","IND",922,10,2.56
"Uttarakhand",2002,3,"YAMUNOTRI","GEN","BIMAL DEV AWASTHI","IND",756,11,2.1
"Uttarakhand",2002,3,"YAMUNOTRI","GEN","DHARAM SINGH RANA","RPD",666,12,1.85
"Uttarakhand",2002,3,"YAMUNOTRI","GEN","RAM PRASAD","SP",385,13,1.07
"Uttarakhand",2002,3,"YAMUNOTRI","GEN","KEDAR SINGH","INC",7013,2,19.47
"Uttarakhand",2002,3,"YAMUNOTRI","GEN","SULOCHANA","BJP",5584,3,15.51
"Uttarakhand",2002,3,"YAMUNOTRI","GEN","BUDDHI SINGH`","BSP",3999,4,11.1
"Uttarakhand",2002,3,"YAMUNOTRI","GEN","BALBEER SINGH BIST","UJP",1909,5,5.3
"Uttarakhand",2002,3,"YAMUNOTRI","GEN","MANVEER SINGH","NCP",1667,6,4.63
"Uttarakhand",2002,3,"YAMUNOTRI","GEN","RANVEER SINGH","IND",1304,7,3.62
"Uttarakhand",2002,3,"YAMUNOTRI","GEN","BISHAN SINGH","CPI",1269,8,3.52
"Uttarakhand",2002,3,"YAMUNOTRI","GEN","SANGAT SINGH CHAUHAN","IND",1041,9,2.89
"Uttarakhand",2002,4,"PRATAPNAGAR","GEN","PHOOL SINGH BIST","INC",10517,1,30.83
"Uttarakhand",2002,4,"PRATAPNAGAR","GEN","RAM SINGH KHAROLA","IND",385,10,1.13
"Uttarakhand",2002,4,"PRATAPNAGAR","GEN","OM PRAKASH","RLD",319,11,0.94
"Uttarakhand",2002,4,"PRATAPNAGAR","GEN","DARSHAN LAL DIMRI","IND",266,12,0.78
"Uttarakhand",2002,4,"PRATAPNAGAR","GEN","VIJAY SINGH PANWAR ALIAS GUDDU PANWAR","IND",9128,2,26.76
"Uttarakhand",2002,4,"PRATAPNAGAR","GEN","LT. COL. PITAMBER DUTT KURIYAL","BJP",7076,3,20.74
"Uttarakhand",2002,4,"PRATAPNAGAR","GEN","SHER SINGH RANA","IND",2160,4,6.33
"Uttarakhand",2002,4,"PRATAPNAGAR","GEN","KRIPAL SINGH CHAUHAN","UJP",1369,5,4.01
"Uttarakhand",2002,4,"PRATAPNAGAR","GEN","TRIVENDRA SINGH PANWAR","UKKD",1361,6,3.99
"Uttarakhand",2002,4,"PRATAPNAGAR","GEN","RUKAM SINGH POKHRIYAL","BSP",636,7,1.86
"Uttarakhand",2002,4,"PRATAPNAGAR","GEN","SABBAL SINGH","SP",453,8,1.33
"Uttarakhand",2002,4,"PRATAPNAGAR","GEN","PREM DUTT NAUTIYAL","IND",442,9,1.3
"Uttarakhand",2002,5,"TEHRI","GEN","KISHOR UPADHYAY","INC",15640,1,41.95
"Uttarakhand",2002,5,"TEHRI","GEN","AUTAR SINGH RANA","IND",560,10,1.5
"Uttarakhand",2002,5,"TEHRI","GEN","KUNDAN SINGH BIST","IND",266,11,0.71
"Uttarakhand",2002,5,"TEHRI","GEN","BACHAN SINGH RAWAT","IND",257,12,0.69
"Uttarakhand",2002,5,"TEHRI","GEN","DARSHAN LAL","IND",215,13,0.58
"Uttarakhand",2002,5,"TEHRI","GEN","BHAWANI PRATAP SINGH","NCP",183,14,0.49
"Uttarakhand",2002,5,"TEHRI","GEN","ER. RATAN SINGH GUNSOLA","BJP",11712,2,31.41
"Uttarakhand",2002,5,"TEHRI","GEN","VIRENDRA SINGH NEGI","SAP",2092,3,5.61
"Uttarakhand",2002,5,"TEHRI","GEN","ANIL BADONI","IND",1459,4,3.91
"Uttarakhand",2002,5,"TEHRI","GEN","TILAK RAM","UJP",1196,5,3.21
"Uttarakhand",2002,5,"TEHRI","GEN","RITA RAWAT","IND",1151,6,3.09
