"state","year","month","party","seats"
"Uttarakhand",2002,2,"BJP","27.14"
"Uttarakhand",2007,2,"BJP","49.28"
"Uttarakhand",2012,2,"BJP","44.29"
"Uttarakhand",2002,2,"IND","4.29"
"Uttarakhand",2007,2,"IND","4.35"
"Uttarakhand",2012,2,"IND","4.29"
"Uttarakhand",2002,2,"INC","51.43"
"Uttarakhand",2007,2,"INC","30.43"
"Uttarakhand",2012,2,"INC","45.71"
"Uttarakhand",2002,2,"BSP","10"
"Uttarakhand",2007,2,"BSP","11.59"
"Uttarakhand",2012,2,"BSP","4.29"
"Uttarakhand",2002,2,"UKKD","5.71"
"Uttarakhand",2007,2,"UKKD","4.35"
"Uttarakhand",2012,2,"UKDP","1.43"
