"State_Name","Year","month","sa_no","DelimID","AC_No","Position","Cand1","Sex1","Party1","Votes1","Age","Caste","Valid_Votes","Electors","AC_Name","AC_Type","District_Name","Sub_Region","N_Cand","Turnout","Vote_Sh","Deposit_Lost","Margin","Margin_Percent","Jati","Caste_Rec","Rel","New.Caste","Old_Jati"
"Uttarakhand",2002,2,1,3,1,1,"MALCHANDER","M","BJP",13209,NA,NA,32383,51144,"PUROLA","SC",NA,NA,8,63.32,40.79,"no",2971,9.17,NA,NA,NA,NA,NA
"Uttarakhand",2002,2,1,3,1,2,"SHANTI DEVI ALIAS SHANTI JUWANTHA","F","INC",10238,NA,NA,32383,51144,"PUROLA","SC",NA,NA,8,63.32,31.62,"no",5628,17.38,NA,NA,NA,NA,NA
"Uttarakhand",2002,2,1,3,1,3,"SHAILENDRA LAL","M","UJP",4610,NA,NA,32383,51144,"PUROLA","SC",NA,NA,8,63.32,14.24,"no",2942,9.09,NA,NA,NA,NA,NA
"Uttarakhand",2002,2,1,3,1,4,"SAKAL CHAND","M","IND",1668,NA,NA,32383,51144,"PUROLA","SC",NA,NA,8,63.32,5.15,"no",571,1.76,NA,NA,NA,NA,NA
"Uttarakhand",2002,2,1,3,1,5,"VIRENDRA LAL","M","SP",1097,NA,NA,32383,51144,"PUROLA","SC",NA,NA,8,63.32,3.39,"no",297,0.92,NA,NA,NA,NA,NA
"Uttarakhand",2002,2,1,3,1,6,"HIRPAL ARYA","M","BSP",800,NA,NA,32383,51144,"PUROLA","SC",NA,NA,8,63.32,2.47,"no",357,1.1,NA,NA,NA,NA,NA
"Uttarakhand",2002,2,1,3,1,7,"GULBIYA","M","IND",443,NA,NA,32383,51144,"PUROLA","SC",NA,NA,8,63.32,1.37,"no",125,0.39,NA,NA,NA,NA,NA
"Uttarakhand",2002,2,1,3,1,8,"JETHU LAL","M","UKKD",318,NA,NA,32383,51144,"PUROLA","SC",NA,NA,8,63.32,0.98,"no",0,0,NA,NA,NA,NA,NA
"Uttarakhand",2002,2,1,3,2,1,"VIJAYPAL SINGH SAJWAN","M","INC",7878,NA,NA,37675,63007,"GANGOTRI","GEN",NA,NA,14,59.79,20.91,"no",610,1.62,NA,NA,NA,NA,NA
"Uttarakhand",2002,2,1,3,2,10,"SHANTI PRASAD THAPLIYAL","M","IND",613,NA,NA,37675,63007,"GANGOTRI","GEN",NA,NA,14,59.79,1.63,"no",166,0.44,NA,NA,NA,NA,NA
"Uttarakhand",2002,2,1,3,2,11,"MAHABEER SINGH CHAUHAN","M","SAP",447,NA,NA,37675,63007,"GANGOTRI","GEN",NA,NA,14,59.79,1.19,"no",54,0.14,NA,NA,NA,NA,NA
"Uttarakhand",2002,2,1,3,2,12,"ROSHAN LAL","M","SP",393,NA,NA,37675,63007,"GANGOTRI","GEN",NA,NA,14,59.79,1.04,"no",66,0.18,NA,NA,NA,NA,NA
"Uttarakhand",2002,2,1,3,2,13,"MADAN SINGH","M","UKKD",327,NA,NA,37675,63007,"GANGOTRI","GEN",NA,NA,14,59.79,0.87,"no",98,0.26,NA,NA,NA,NA,NA
"Uttarakhand",2002,2,1,3,2,14,"KIRTI NIDHI SAJWAN","M","RLD",229,NA,NA,37675,63007,"GANGOTRI","GEN",NA,NA,14,59.79,0.61,"no",0,0,NA,NA,NA,NA,NA
"Uttarakhand",2002,2,1,3,2,2,"KAMALA RAM NAUTIYAL","M","CPI",7268,NA,NA,37675,63007,"GANGOTRI","GEN",NA,NA,14,59.79,19.29,"no",446,1.18,NA,NA,NA,NA,NA
"Uttarakhand",2002,2,1,3,2,3,"BUDHI SINGH PANWAR","M","BJP",6822,NA,NA,37675,63007,"GANGOTRI","GEN",NA,NA,14,59.79,18.11,"no",817,2.17,NA,NA,NA,NA,NA
"Uttarakhand",2002,2,1,3,2,4,"HARI SINGH RANA","M","IND",6005,NA,NA,37675,63007,"GANGOTRI","GEN",NA,NA,14,59.79,15.94,"no",1923,5.1,NA,NA,NA,NA,NA
"Uttarakhand",2002,2,1,3,2,5,"CHANDAN SINGH RANA","M","UJP",4082,NA,NA,37675,63007,"GANGOTRI","GEN",NA,NA,14,59.79,10.83,"no",3001,7.97,NA,NA,NA,NA,NA
"Uttarakhand",2002,2,1,3,2,6,"DEVENDRA DUTT SEMWAL","M","IND",1081,NA,NA,37675,63007,"GANGOTRI","GEN",NA,NA,14,59.79,2.87,"no",133,0.35,NA,NA,NA,NA,NA
"Uttarakhand",2002,2,1,3,2,7,"JAGENDRA SINGH BIST","M","IND",948,NA,NA,37675,63007,"GANGOTRI","GEN",NA,NA,14,59.79,2.52,"no",12,0.03,NA,NA,NA,NA,NA
"Uttarakhand",2002,2,1,3,2,8,"BUDHI BALLABH JOSHI","M","BSP",936,NA,NA,37675,63007,"GANGOTRI","GEN",NA,NA,14,59.79,2.48,"no",290,0.77,NA,NA,NA,NA,NA
"Uttarakhand",2002,2,1,3,2,9,"KAMLESHWAR","M","IND",646,NA,NA,37675,63007,"GANGOTRI","GEN",NA,NA,14,59.79,1.71,"no",33,0.09,NA,NA,NA,NA,NA
"Uttarakhand",2002,2,1,3,3,1,"PRITAM SINGH PAWAR","M","UKKD",9498,NA,NA,36013,56408,"YAMUNOTRI","GEN",NA,NA,13,63.84,26.37,"no",2485,6.9,NA,NA,NA,NA,NA
"Uttarakhand",2002,2,1,3,3,10,"DHAUNKAR SINGH","M","IND",922,NA,NA,36013,56408,"YAMUNOTRI","GEN",NA,NA,13,63.84,2.56,"no",166,0.46,NA,NA,NA,NA,NA
"Uttarakhand",2002,2,1,3,3,11,"BIMAL DEV AWASTHI","M","IND",756,NA,NA,36013,56408,"YAMUNOTRI","GEN",NA,NA,13,63.84,2.1,"no",90,0.25,NA,NA,NA,NA,NA
"Uttarakhand",2002,2,1,3,3,12,"DHARAM SINGH RANA","M","RPD",666,NA,NA,36013,56408,"YAMUNOTRI","GEN",NA,NA,13,63.84,1.85,"no",281,0.78,NA,NA,NA,NA,NA
"Uttarakhand",2002,2,1,3,3,13,"RAM PRASAD","M","SP",385,NA,NA,36013,56408,"YAMUNOTRI","GEN",NA,NA,13,63.84,1.07,"no",0,0,NA,NA,NA,NA,NA
"Uttarakhand",2002,2,1,3,3,2,"KEDAR SINGH","M","INC",7013,NA,NA,36013,56408,"YAMUNOTRI","GEN",NA,NA,13,63.84,19.47,"no",1429,3.97,NA,NA,NA,NA,NA
"Uttarakhand",2002,2,1,3,3,3,"SULOCHANA","F","BJP",5584,NA,NA,36013,56408,"YAMUNOTRI","GEN",NA,NA,13,63.84,15.51,"no",1585,4.4,NA,NA,NA,NA,NA
"Uttarakhand",2002,2,1,3,3,4,"BUDDHI SINGH`","M","BSP",3999,NA,NA,36013,56408,"YAMUNOTRI","GEN",NA,NA,13,63.84,11.1,"no",2090,5.8,NA,NA,NA,NA,NA
"Uttarakhand",2002,2,1,3,3,5,"BALBEER SINGH BIST","M","UJP",1909,NA,NA,36013,56408,"YAMUNOTRI","GEN",NA,NA,13,63.84,5.3,"no",242,0.67,NA,NA,NA,NA,NA
"Uttarakhand",2002,2,1,3,3,6,"MANVEER SINGH","M","NCP",1667,NA,NA,36013,56408,"YAMUNOTRI","GEN",NA,NA,13,63.84,4.63,"no",363,1.01,NA,NA,NA,NA,NA
"Uttarakhand",2002,2,1,3,3,7,"RANVEER SINGH","M","IND",1304,NA,NA,36013,56408,"YAMUNOTRI","GEN",NA,NA,13,63.84,3.62,"no",35,0.1,NA,NA,NA,NA,NA
"Uttarakhand",2002,2,1,3,3,8,"BISHAN SINGH","M","CPI",1269,NA,NA,36013,56408,"YAMUNOTRI","GEN",NA,NA,13,63.84,3.52,"no",228,0.63,NA,NA,NA,NA,NA
