"State_name","Year","AC_no","Position","AC_name","Cand1","EC_Caste","Jati","Caste_Rec","Rel","New.Caste","Old_Jati"
"Uttarakhand",2002,1,1,"PUROLA","MALCHANDER",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,1,2,"PUROLA","SHANTI DEVI ALIAS SHANTI JUWANTHA",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,1,3,"PUROLA","SHAILENDRA LAL",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,1,4,"PUROLA","SAKAL CHAND",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,1,5,"PUROLA","VIRENDRA LAL",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,1,6,"PUROLA","HIRPAL ARYA",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,1,7,"PUROLA","GULBIYA",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,1,8,"PUROLA","JETHU LAL",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,2,1,"GANGOTRI","VIJAYPAL SINGH SAJWAN",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,2,2,"GANGOTRI","KAMALA RAM NAUTIYAL",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,2,3,"GANGOTRI","BUDHI SINGH PANWAR",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,2,4,"GANGOTRI","HARI SINGH RANA",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,2,5,"GANGOTRI","CHANDAN SINGH RANA",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,2,6,"GANGOTRI","DEVENDRA DUTT SEMWAL",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,2,7,"GANGOTRI","JAGENDRA SINGH BIST",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,2,8,"GANGOTRI","BUDHI BALLABH JOSHI",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,2,9,"GANGOTRI","KAMLESHWAR",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,2,10,"GANGOTRI","SHANTI PRASAD THAPLIYAL",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,2,11,"GANGOTRI","MAHABEER SINGH CHAUHAN",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,2,12,"GANGOTRI","ROSHAN LAL",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,2,13,"GANGOTRI","MADAN SINGH",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,2,14,"GANGOTRI","KIRTI NIDHI SAJWAN",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,3,1,"YAMUNOTRI","PRITAM SINGH PAWAR",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,3,2,"YAMUNOTRI","KEDAR SINGH",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,3,3,"YAMUNOTRI","SULOCHANA",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,3,4,"YAMUNOTRI","BUDDHI SINGH`",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,3,5,"YAMUNOTRI","BALBEER SINGH BIST",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,3,6,"YAMUNOTRI","MANVEER SINGH",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,3,7,"YAMUNOTRI","RANVEER SINGH",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,3,8,"YAMUNOTRI","BISHAN SINGH",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,3,9,"YAMUNOTRI","SANGAT SINGH CHAUHAN",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,3,10,"YAMUNOTRI","DHAUNKAR SINGH",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,3,11,"YAMUNOTRI","BIMAL DEV AWASTHI",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,3,12,"YAMUNOTRI","DHARAM SINGH RANA",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,3,13,"YAMUNOTRI","RAM PRASAD",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,4,1,"PRATAPNAGAR","PHOOL SINGH BIST",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,4,2,"PRATAPNAGAR","VIJAY SINGH PANWAR ALIAS GUDDU PANWAR",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,4,3,"PRATAPNAGAR","LT. COL. PITAMBER DUTT KURIYAL",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,4,4,"PRATAPNAGAR","SHER SINGH RANA",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,4,5,"PRATAPNAGAR","KRIPAL SINGH CHAUHAN",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,4,6,"PRATAPNAGAR","TRIVENDRA SINGH PANWAR",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,4,7,"PRATAPNAGAR","RUKAM SINGH POKHRIYAL",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,4,8,"PRATAPNAGAR","SABBAL SINGH",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,4,9,"PRATAPNAGAR","PREM DUTT NAUTIYAL",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,4,10,"PRATAPNAGAR","RAM SINGH KHAROLA",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,4,11,"PRATAPNAGAR","OM PRAKASH",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,4,12,"PRATAPNAGAR","DARSHAN LAL DIMRI",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,5,1,"TEHRI","KISHOR UPADHYAY",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,5,2,"TEHRI","ER. RATAN SINGH GUNSOLA",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,5,3,"TEHRI","VIRENDRA SINGH NEGI",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,5,4,"TEHRI","ANIL BADONI",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,5,5,"TEHRI","TILAK RAM",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,5,6,"TEHRI","RITA RAWAT",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,5,7,"TEHRI","RAGUNATH SINGH RANA",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,5,8,"TEHRI","DR. PRAMOD KUMAR UNIYAL",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,5,9,"TEHRI","BHAGWATI PRASAD",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,5,10,"TEHRI","AUTAR SINGH RANA",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,5,11,"TEHRI","KUNDAN SINGH BIST",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,5,12,"TEHRI","BACHAN SINGH RAWAT",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,5,13,"TEHRI","DARSHAN LAL",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,5,14,"TEHRI","BHAWANI PRATAP SINGH",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,6,1,"GHANSALI","BALVIR SINGH NEGI",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,6,2,"GHANSALI","ABBAL SINGH BIST",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,6,3,"GHANSALI","UTTAM SINGH KATHAITH",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,6,4,"GHANSALI","SHRI RAM",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,6,5,"GHANSALI","LAXMAN SINGH RANA",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,6,6,"GHANSALI","RAMANAND JOSHI",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,6,7,"GHANSALI","SOHAN SINGH",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,6,8,"GHANSALI","SURYA PRAKASH SEMWAL SHASTRI",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,6,9,"GHANSALI","SUSILDEV SURIRA",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,6,10,"GHANSALI","VINAY LAXMI",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,6,11,"GHANSALI","PREM RAM",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,6,12,"GHANSALI","GOBIND PRASAD",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,6,13,"GHANSALI","ABLOO",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,6,14,"GHANSALI","DEEP CHAND TAMTA",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,7,1,"DEOPRAYAG","MANTRI PRASAD NAITHANI",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,7,2,"DEOPRAYAG","RAGHUVEER SINGH PANWAR",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,7,3,"DEOPRAYAG","DIWAKAR BHATT",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,7,4,"DEOPRAYAG","KALYAN SINGH",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,7,5,"DEOPRAYAG","DEVESHWAR PRASAD PHONDINI",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,7,6,"DEOPRAYAG","DEVI PRASAD",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,7,7,"DEOPRAYAG","MANWAR SINGH",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,7,8,"DEOPRAYAG","REBAT SINGH",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,7,9,"DEOPRAYAG","VINOD PRASAD",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,7,10,"DEOPRAYAG","SHOORVEER SINGH PANWAR",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,7,11,"DEOPRAYAG","PRAKASH SINGH",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,7,12,"DEOPRAYAG","KAMAL SINGH BHANDARI",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,8,1,"NARENDRANAGAR","SUBODH UNIYAL",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,8,2,"NARENDRANAGAR","LAKHI RAM",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,8,3,"NARENDRANAGAR","SURENDRA SINGH",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,8,4,"NARENDRANAGAR","OM GOPAL",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,8,5,"NARENDRANAGAR","SARDAR SINGH",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,8,6,"NARENDRANAGAR","BHAGWAN SINGH",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,8,7,"NARENDRANAGAR","SAB SINGH",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,8,8,"NARENDRANAGAR","JEET RAM BHATT",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,8,9,"NARENDRANAGAR","GAJENDRA SINGH",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,8,10,"NARENDRANAGAR","JAGDISH PRASAD",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,8,11,"NARENDRANAGAR","ANIL KUMAR",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,8,12,"NARENDRANAGAR","RANVIR SINGH",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,8,13,"NARENDRANAGAR","JAI VIKRAM SHAH",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,8,14,"NARENDRANAGAR","VIKRAM SINGH",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,8,15,"NARENDRANAGAR","VIKRAM SINGH",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,9,1,"DHANOLTI","KAUL DAS",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,9,2,"DHANOLTI","KHAJAN DASS",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,9,3,"DHANOLTI","GYAN CHAND",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,9,4,"DHANOLTI","JAUHARI LAL SUMAN",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,9,5,"DHANOLTI","JAI PRAKASH UTTARAKHANDI",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,9,6,"DHANOLTI","KISHAN LAL",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,9,7,"DHANOLTI","BANWARI LAL",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,9,8,"DHANOLTI","MOHAN LAL NIRALA",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,10,1,"CHAKRATA","PREETAM SINGH",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,10,2,"CHAKRATA","MUNNA SINGH CHAUHAN",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,10,3,"CHAKRATA","MURAT RAM",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,10,4,"CHAKRATA","NAIN SINGH RAWAT",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,10,5,"CHAKRATA","MUNNA SINGH RANA",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,11,1,"VIKASNAGAR","NAV PRABHAT",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,11,2,"VIKASNAGAR","MUNNA SINGH CHAUHAN",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,11,3,"VIKASNAGAR","SEHDEV PUNDEER",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,11,4,"VIKASNAGAR","WAHID HUSSAIN ZAFARI",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,11,5,"VIKASNAGAR","RAM SHARAN NAUTIYAL",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,11,6,"VIKASNAGAR","KULDEEP",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,11,7,"VIKASNAGAR","RAGHUNATH SINGH NEGI",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,11,8,"VIKASNAGAR","SADHU RAM",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,11,9,"VIKASNAGAR","CHANDAN SINGH",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,11,10,"VIKASNAGAR","DR.ANTRIKSH SAINI",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,11,11,"VIKASNAGAR","KAMRUDDIN",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,11,12,"VIKASNAGAR","SURAJ BHAN",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,11,13,"VIKASNAGAR","DESHRAJ SINGH",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,11,14,"VIKASNAGAR","NATHO BEGUM",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,11,15,"VIKASNAGAR","TRILOK SINGH",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,11,16,"VIKASNAGAR","SUSHIL KUMAR",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,11,17,"VIKASNAGAR","DARIYA SINGH",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,11,18,"VIKASNAGAR","BALDEV SINGH",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,11,19,"VIKASNAGAR","DWARIKA PRASAD UNIYAL",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,12,1,"SAHASPUR","SADHU RAM",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,12,2,"SAHASPUR","PRADEEP",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,12,3,"SAHASPUR","GULAB SINGH",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,12,4,"SAHASPUR","SHER SINGH",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,12,5,"SAHASPUR","DAYA RAM",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,12,6,"SAHASPUR","PAYARA SINGH BENS",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,12,7,"SAHASPUR","MOHAN SINGH",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,12,8,"SAHASPUR","RADHEY SHYAM",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,12,9,"SAHASPUR","AMAR KUMAR",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,12,10,"SAHASPUR","VIJAY PAL",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,12,11,"SAHASPUR","KUNWAR SINGH",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,12,12,"SAHASPUR","OMPAL",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,12,13,"SAHASPUR","VED PAL",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,12,14,"SAHASPUR","SUMERCHAND RAVI",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,12,15,"SAHASPUR","DAYA RAM RANGORI",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,12,16,"SAHASPUR","ARJUN",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,12,17,"SAHASPUR","SMT. SANTOSH BALA",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,12,18,"SAHASPUR","SOHANVIR SINGH DHEERVAN",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,13,1,"LAXMAN CHOWK","DINESH AGARWAL",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,13,2,"LAXMAN CHOWK","NITYANAND SWAMI",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,13,3,"LAXMAN CHOWK","PREM BATTA",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,13,4,"LAXMAN CHOWK","SHAMASHUDDIN",NA,NA,NA,NA,NA,NA
"Uttarakhand",2002,13,5,"LAXMAN CHOWK","YASH PAL SINGH",NA,NA,NA,NA,NA,NA
