"State_name","Year","AC_no","Cand","Sex","Party","Votes","Age","Caste","Position"
"Uttarakhand",2002,1,"MALCHANDER","M","BJP",13209,NA,NA,1
"Uttarakhand",2002,1,"SHANTI DEVI ALIAS SHANTI JUWANTHA","F","INC",10238,NA,NA,2
"Uttarakhand",2002,1,"SHAILENDRA LAL","M","UJP",4610,NA,NA,3
"Uttarakhand",2002,1,"SAKAL CHAND","M","IND",1668,NA,NA,4
"Uttarakhand",2002,1,"VIRENDRA LAL","M","SP",1097,NA,NA,5
"Uttarakhand",2002,1,"HIRPAL ARYA","M","BSP",800,NA,NA,6
"Uttarakhand",2002,1,"GULBIYA","M","IND",443,NA,NA,7
"Uttarakhand",2002,1,"JETHU LAL","M","UKKD",318,NA,NA,8
"Uttarakhand",2002,2,"VIJAYPAL SINGH SAJWAN","M","INC",7878,NA,NA,1
"Uttarakhand",2002,2,"KAMALA RAM NAUTIYAL","M","CPI",7268,NA,NA,2
"Uttarakhand",2002,2,"BUDHI SINGH PANWAR","M","BJP",6822,NA,NA,3
"Uttarakhand",2002,2,"HARI SINGH RANA","M","IND",6005,NA,NA,4
"Uttarakhand",2002,2,"CHANDAN SINGH RANA","M","UJP",4082,NA,NA,5
"Uttarakhand",2002,2,"DEVENDRA DUTT SEMWAL","M","IND",1081,NA,NA,6
"Uttarakhand",2002,2,"JAGENDRA SINGH BIST","M","IND",948,NA,NA,7
"Uttarakhand",2002,2,"BUDHI BALLABH JOSHI","M","BSP",936,NA,NA,8
"Uttarakhand",2002,2,"KAMLESHWAR","M","IND",646,NA,NA,9
"Uttarakhand",2002,2,"SHANTI PRASAD THAPLIYAL","M","IND",613,NA,NA,10
"Uttarakhand",2002,2,"MAHABEER SINGH CHAUHAN","M","SAP",447,NA,NA,11
"Uttarakhand",2002,2,"ROSHAN LAL","M","SP",393,NA,NA,12
"Uttarakhand",2002,2,"MADAN SINGH","M","UKKD",327,NA,NA,13
"Uttarakhand",2002,2,"KIRTI NIDHI SAJWAN","M","RLD",229,NA,NA,14
"Uttarakhand",2002,3,"PRITAM SINGH PAWAR","M","UKKD",9498,NA,NA,1
"Uttarakhand",2002,3,"KEDAR SINGH","M","INC",7013,NA,NA,2
"Uttarakhand",2002,3,"SULOCHANA","F","BJP",5584,NA,NA,3
"Uttarakhand",2002,3,"BUDDHI SINGH`","M","BSP",3999,NA,NA,4
"Uttarakhand",2002,3,"BALBEER SINGH BIST","M","UJP",1909,NA,NA,5
"Uttarakhand",2002,3,"MANVEER SINGH","M","NCP",1667,NA,NA,6
"Uttarakhand",2002,3,"RANVEER SINGH","M","IND",1304,NA,NA,7
"Uttarakhand",2002,3,"BISHAN SINGH","M","CPI",1269,NA,NA,8
"Uttarakhand",2002,3,"SANGAT SINGH CHAUHAN","M","IND",1041,NA,NA,9
"Uttarakhand",2002,3,"DHAUNKAR SINGH","M","IND",922,NA,NA,10
"Uttarakhand",2002,3,"BIMAL DEV AWASTHI","M","IND",756,NA,NA,11
"Uttarakhand",2002,3,"DHARAM SINGH RANA","M","RPD",666,NA,NA,12
"Uttarakhand",2002,3,"RAM PRASAD","M","SP",385,NA,NA,13
"Uttarakhand",2002,4,"PHOOL SINGH BIST","M","INC",10517,NA,NA,1
"Uttarakhand",2002,4,"VIJAY SINGH PANWAR ALIAS GUDDU PANWAR","M","IND",9128,NA,NA,2
"Uttarakhand",2002,4,"LT. COL. PITAMBER DUTT KURIYAL","M","BJP",7076,NA,NA,3
