"State_name","Year","AC_no","AC_name","AC_type","Electors"
"Uttarakhand",2002,1,"PUROLA","SC",51144
"Uttarakhand",2002,2,"GANGOTRI","GEN",63007
"Uttarakhand",2002,3,"YAMUNOTRI","GEN",56408
"Uttarakhand",2002,4,"PRATAPNAGAR","GEN",62328
"Uttarakhand",2002,5,"TEHRI","GEN",86364
"Uttarakhand",2002,6,"GHANSALI","GEN",81688
"Uttarakhand",2002,7,"DEOPRAYAG","GEN",72077
"Uttarakhand",2002,8,"NARENDRANAGAR","GEN",71334
"Uttarakhand",2002,9,"DHANOLTI","SC",63830
"Uttarakhand",2002,10,"CHAKRATA","ST",55172
"Uttarakhand",2002,11,"VIKASNAGAR","GEN",87386
"Uttarakhand",2002,12,"SAHASPUR","SC",72943
"Uttarakhand",2002,13,"LAXMAN CHOWK","GEN",96660
"Uttarakhand",2002,14,"DEHRADUN","GEN",80418
"Uttarakhand",2002,15,"RAJPUR","GEN",93746
"Uttarakhand",2002,16,"MUSSOORIE","GEN",63120
"Uttarakhand",2002,17,"RISHIKESH","GEN",117420
"Uttarakhand",2002,18,"DOIWALA","GEN",129289
"Uttarakhand",2002,19,"BHAGWANPUR","SC",86171
"Uttarakhand",2002,20,"ROORKEE","GEN",94641
"Uttarakhand",2002,21,"IQBALPUR","GEN",87211
"Uttarakhand",2002,22,"MANGLOR","GEN",80452
"Uttarakhand",2002,23,"LANDHAURA","SC",82178
"Uttarakhand",2002,24,"LAKSAR","GEN",81887
"Uttarakhand",2002,25,"BAHADRABAD","GEN",105302
"Uttarakhand",2002,26,"HARDWAR","GEN",125270
"Uttarakhand",2002,27,"LALDHANG","GEN",93322
"Uttarakhand",2002,28,"YAMAKESHWAR","GEN",60616
"Uttarakhand",2002,29,"KOTDWAR","GEN",76281
"Uttarakhand",2002,30,"DHUMAKOT","GEN",55238
"Uttarakhand",2002,31,"BIRONKHAL","GEN",55505
"Uttarakhand",2002,32,"LANSDOWNE","GEN",55994
"Uttarakhand",2002,33,"PAURI","GEN",61541
"Uttarakhand",2002,34,"SRINAGAR","SC",58403
