"State_name","DelimID","AC_no","AC_name","AC_type","District_Name","Sub_Region","Source"
"Uttarakhand",4,1,"PUROLA","SC","UTTARKASHI","GARHWAL","Team3 ELM"
"Uttarakhand",4,2,"YAMUNOTRI","GEN","UTTARKASHI","GARHWAL","Team3 ELM"
"Uttarakhand",4,3,"GANGOTRI","GEN","UTTARKASHI","GARHWAL","Team3 ELM"
"Uttarakhand",4,4,"BADRINATH","GEN","CHAMOLI","GARHWAL","Team3 ELM"
"Uttarakhand",4,5,"THARALI","SC","CHAMOLI","GARHWAL","Team3 ELM"
"Uttarakhand",4,6,"KARNPRAYAG","GEN","CHAMOLI","GARHWAL","Team3 ELM"
"Uttarakhand",4,7,"KEDARNATH","GEN","RUDRAPRAYAG","GARHWAL","Team3 ELM"
"Uttarakhand",4,8,"RUDRAPRAYAG","GEN","RUDRAPRAYAG","GARHWAL","Team3 ELM"
"Uttarakhand",4,9,"GHANSHALI","SC","TEHRI GARHWAL","GARHWAL","Team3 ELM"
"Uttarakhand",4,10,"DEOPRAYAG","GEN","TEHRI GARHWAL","GARHWAL","Team3 ELM"
"Uttarakhand",4,11,"NARENDRANAGAR","GEN","TEHRI GARHWAL","GARHWAL","Team3 ELM"
"Uttarakhand",4,12,"PRATAPNAGAR","GEN","TEHRI GARHWAL","GARHWAL","Team3 ELM"
"Uttarakhand",4,13,"TEHRI","GEN","TEHRI GARHWAL","GARHWAL","Team3 ELM"
"Uttarakhand",4,14,"DHANOLTI","GEN","TEHRI GARHWAL","GARHWAL","Team3 ELM"
"Uttarakhand",4,15,"CHAKRATA","ST","DEHRADUN","GARHWAL","Team3 ELM"
"Uttarakhand",4,16,"VIKASNAGAR","GEN","DEHRADUN","GARHWAL","Team3 ELM"
"Uttarakhand",4,17,"SAHASPUR","GEN","DEHRADUN","GARHWAL","Team3 ELM"
"Uttarakhand",4,18,"DHARAMPUR","GEN","DEHRADUN","GARHWAL","Team3 ELM"
"Uttarakhand",4,19,"RAIPUR","GEN","DEHRADUN","GARHWAL","Team3 ELM"
"Uttarakhand",4,20,"RAJPUR ROAD","SC","DEHRADUN","GARHWAL","Team3 ELM"
"Uttarakhand",4,21,"DEHRADUN CANTT.","GEN","DEHRADUN","GARHWAL","Team3 ELM"
"Uttarakhand",4,22,"MUSSOORIE","GEN","DEHRADUN","GARHWAL","Team3 ELM"
"Uttarakhand",4,23,"DOIWALA","GEN","DEHRADUN","GARHWAL","Team3 ELM"
"Uttarakhand",4,24,"RISHIKESH","GEN","DEHRADUN","GARHWAL","Team3 ELM"
"Uttarakhand",4,25,"HARDWAR","GEN","HARIDWAR","GARHWAL","Team3 ELM"
"Uttarakhand",4,26,"B.H.E.L. RANIPUR","GEN","HARIDWAR","GARHWAL","Team3 ELM"
"Uttarakhand",4,27,"JWALAPUR","SC","HARIDWAR","GARHWAL","Team3 ELM"
"Uttarakhand",4,28,"BHAGWANPUR","SC","HARIDWAR","GARHWAL","Team3 ELM"
"Uttarakhand",4,29,"JHABRERA","SC","HARIDWAR","GARHWAL","Team3 ELM"
"Uttarakhand",4,30,"PIRANKALIYAR","GEN","HARIDWAR","GARHWAL","Team3 ELM"
"Uttarakhand",4,31,"ROORKEE","GEN","HARIDWAR","GARHWAL","Team3 ELM"
"Uttarakhand",4,32,"KHANPUR","GEN","HARIDWAR","GARHWAL","Team3 ELM"
"Uttarakhand",4,33,"MANGLORE","GEN","HARIDWAR","GARHWAL","Team3 ELM"
"Uttarakhand",4,34,"LAKSAR","GEN","HARIDWAR","GARHWAL","Team3 ELM"
"Uttarakhand",4,35,"HARDWAR RURAL","GEN","HARIDWAR","GARHWAL","Team3 ELM"
"Uttarakhand",4,36,"YAMKESHWAR","GEN","PAURI GARHWAL","KUMAON","Team3 ELM"
"Uttarakhand",4,37,"PAURI","SC","PAURI GARHWAL","KUMAON","Team3 ELM"
"Uttarakhand",4,38,"SRINAGAR","GEN","PAURI GARHWAL","KUMAON","Team3 ELM"
"Uttarakhand",4,39,"CHAUBATTAKHAL","GEN","PAURI GARHWAL","KUMAON","Team3 ELM"
"Uttarakhand",4,40,"LANSDOWNE","GEN","PAURI GARHWAL","KUMAON","Team3 ELM"
"Uttarakhand",4,41,"KOTDWAR","GEN","PAURI GARHWAL","KUMAON","Team3 ELM"
"Uttarakhand",4,42,"DHARCHULA","GEN","PITHORAGARH","KUMAON","Team3 ELM"
"Uttarakhand",4,43,"DIDIHAT","GEN","PITHORAGARH","KUMAON","Team3 ELM"
"Uttarakhand",4,44,"PITHORAGARH","GEN","PITHORAGARH","KUMAON","Team3 ELM"
"Uttarakhand",4,45,"GANGOLIHAT","SC","PITHORAGARH","KUMAON","Team3 ELM"
"Uttarakhand",4,46,"KAPKOTE","GEN","BAGESHWAR","KUMAON","Team3 ELM"
"Uttarakhand",4,47,"BAGESHWAR","SC","BAGESHWAR","KUMAON","Team3 ELM"
"Uttarakhand",4,48,"DWARAHAT","GEN","ALMORA","KUMAON","Team3 ELM"
"Uttarakhand",4,49,"SALT","GEN","ALMORA","KUMAON","Team3 ELM"
"Uttarakhand",4,50,"RANIKHET","GEN","ALMORA","KUMAON","Team3 ELM"
"Uttarakhand",4,51,"SOMESHWAR","SC","ALMORA","KUMAON","Team3 ELM"
"Uttarakhand",4,52,"ALMORA","GEN","ALMORA","KUMAON","Team3 ELM"
"Uttarakhand",4,53,"JAGESHWAR","GEN","ALMORA","KUMAON","Team3 ELM"
"Uttarakhand",4,54,"LOHAGHAT","GEN","CHAMPAWAT","KUMAON","Team3 ELM"
"Uttarakhand",4,55,"CHAMPAWAT","GEN","CHAMPAWAT","KUMAON","Team3 ELM"
"Uttarakhand",4,56,"LALKUWA","GEN","NAINITAL","KUMAON","Team3 ELM"
"Uttarakhand",4,57,"BHIMTAL","GEN","NAINITAL","KUMAON","Team3 ELM"
"Uttarakhand",4,58,"NAINITAL","SC","NAINITAL","KUMAON","Team3 ELM"
"Uttarakhand",4,59,"HALDWANI","GEN","NAINITAL","KUMAON","Team3 ELM"
"Uttarakhand",4,60,"KALADHUNGI","GEN","NAINITAL","KUMAON","Team3 ELM"
"Uttarakhand",4,61,"RAMNAGAR","GEN","NAINITAL","KUMAON","Team3 ELM"
"Uttarakhand",4,62,"JASPUR","GEN","UDHAM SINGH NAGAR","KUMAON","Team3 ELM"
"Uttarakhand",4,63,"KASHIPUR","GEN","UDHAM SINGH NAGAR","KUMAON","Team3 ELM"
"Uttarakhand",4,64,"BAJPUR","SC","UDHAM SINGH NAGAR","KUMAON","Team3 ELM"
"Uttarakhand",4,65,"GADARPUR","GEN","UDHAM SINGH NAGAR","KUMAON","Team3 ELM"
"Uttarakhand",4,66,"RUDRAPUR","GEN","UDHAM SINGH NAGAR","KUMAON","Team3 ELM"
"Uttarakhand",4,67,"KICHHA","GEN","UDHAM SINGH NAGAR","KUMAON","Team3 ELM"
"Uttarakhand",4,68,"SITARGANJ","GEN","UDHAM SINGH NAGAR","KUMAON","Team3 ELM"
"Uttarakhand",4,69,"NANAK MATTA","ST","UDHAM SINGH NAGAR","KUMAON","Team3 ELM"
"Uttarakhand",4,70,"KHATIMA","GEN","UDHAM SINGH NAGAR","KUMAON","Team3 ELM"
