"state","year","ac_no","ac_name","ac_type","cand1","party1","votes1","position","vote_percent"
"West_Bengal",1962,1,"MAKLIGANJ","GEN","AMARENDRA NATH ROY PROHAN","FB",17592,1,63.69
"West_Bengal",1962,1,"MAKLIGANJ","GEN","SATYENDRA PRASANNA CHATTOPADHYAY","INC",10030,2,36.31
"West_Bengal",1962,2,"MATHABHANGA","SC","MAHENDRA NATH DAKUA","INC",18770,1,54.8
"West_Bengal",1962,2,"MATHABHANGA","SC","DINESH CHANDRA DAKUA","CPI",15482,2,45.2
"West_Bengal",1962,3,"SITAL KUCHI","SC","BEJOY KUMAR ROY","FB",15596,1,46.46
"West_Bengal",1962,3,"SITAL KUCHI","SC","HEMLATA DEVI","INC",11752,2,35.01
"West_Bengal",1962,3,"SITAL KUCHI","SC","BIJENDRA NARAYAN BARMA","IND",6221,3,18.53
"West_Bengal",1962,4,"DINHATA","GEN","KAMAL KANTI GUHA","FB",26807,1,60.77
"West_Bengal",1962,4,"DINHATA","GEN","UMESH CHANDRA MANDAL","INC",16385,2,37.14
"West_Bengal",1962,4,"DINHATA","GEN","MAHESH CHANDRA SINGH","IND",921,3,2.09
"West_Bengal",1962,5,"COOCH BEHAR SOUTH","SC","SUNIL BASUNIA","FB",16101,1,58.49
"West_Bengal",1962,5,"COOCH BEHAR SOUTH","SC","SATISH CH. ROY SINGHA","INC",9549,2,34.69
"West_Bengal",1962,5,"COOCH BEHAR SOUTH","SC","PATIRAM DEB SINHA","IND",1876,3,6.82
"West_Bengal",1962,6,"COOCH BEHAR NORTH","GEN","SUNIL DAS GUPTA","FB",19296,1,62.93
"West_Bengal",1962,6,"COOCH BEHAR NORTH","GEN","MAZIRUDDIN AHMED","INC",11366,2,37.07
"West_Bengal",1962,7,"TUFANGANJ","GEN","JIBAN KRISHNA DEY","CPI",26222,1,52.33
"West_Bengal",1962,7,"TUFANGANJ","GEN","JATINDRA NATH SINHA SARKAR","INC",20746,2,41.4
"West_Bengal",1962,7,"TUFANGANJ","GEN","SYAMA KANTA DAS","IND",2243,3,4.48
"West_Bengal",1962,7,"TUFANGANJ","GEN","BIRENDRA NATH CHAKRABORTY","IND",901,4,1.8
"West_Bengal",1962,8,"ALIPUR DUARS","GEN","PIJUSH KANTI MUKHERJEE","INC",16533,1,49.86
"West_Bengal",1962,8,"ALIPUR DUARS","GEN","NILKANTHA ROY","IND",14370,2,43.34
"West_Bengal",1962,8,"ALIPUR DUARS","GEN","KONDA BHAGAT","IND",1580,3,4.77
"West_Bengal",1962,8,"ALIPUR DUARS","GEN","SATISH CHANDRA ROY","PSP",674,4,2.03
"West_Bengal",1962,9,"KALCHINI","GEN","NANI BHATTACHARJEE","RSP",17415,1,43.35
"West_Bengal",1962,9,"KALCHINI","GEN","ANIMA HOARE","INC",15422,2,38.39
"West_Bengal",1962,9,"KALCHINI","GEN","NILKANTA MUKHERJE","IND",2942,3,7.32
"West_Bengal",1962,9,"KALCHINI","GEN","MAHENDRA CHANDRA MECH","PSP",1991,4,4.96
"West_Bengal",1962,9,"KALCHINI","GEN","RAPHAL TOPPO","IND",1407,5,3.5
"West_Bengal",1962,9,"KALCHINI","GEN","HARI KANTA SARKAR","IND",994,6,2.47
"West_Bengal",1962,10,"MADARIHAT","ST","A. H. BESHTERWITCH","RSP",10974,1,38.31
"West_Bengal",1962,10,"MADARIHAT","ST","MAHADEO BHAGAT","INC",10844,2,37.86
"West_Bengal",1962,10,"MADARIHAT","ST","BUDHRAM MAHALI","PSP",4671,3,16.31
"West_Bengal",1962,10,"MADARIHAT","ST","HARENDRA NATH BRAHMA","IND",1497,4,5.23
"West_Bengal",1962,10,"MADARIHAT","ST","SOLEMAN LOKRA","IND",657,5,2.29
"West_Bengal",1962,11,"FALAKATA","GEN","HIRALAL SINGHA","INC",16351,1,40.4
"West_Bengal",1962,11,"FALAKATA","GEN","JAGADANANDA ROY","PSP",14997,2,37.06
"West_Bengal",1962,11,"FALAKATA","GEN","SOMAR GANGULY","CPI",6751,3,16.68
"West_Bengal",1962,11,"FALAKATA","GEN","TIMRU URAON","IND",2372,4,5.86
"West_Bengal",1962,12,"MAINAGURI","SC","KAMINI MOHAN ROY","INC",12806,1,37.72
"West_Bengal",1962,12,"MAINAGURI","SC","PANCHANAN MALIK","PSP",8725,2,25.7
"West_Bengal",1962,12,"MAINAGURI","SC","JAJNESWAR ROY","IND",6008,3,17.7
"West_Bengal",1962,12,"MAINAGURI","SC","DHARANI MOHAN ROY","CPI",5579,4,16.43
"West_Bengal",1962,12,"MAINAGURI","SC","DEBENDRA NATH ROY","IND",830,5,2.44
"West_Bengal",1962,13,"KHARIA","SC","BHUPENDRA DEB RAIKUT","INC",19101,1,50.2
"West_Bengal",1962,13,"KHARIA","SC","BASANTA KUMAR ROY","CPI",12234,2,32.15
"West_Bengal",1962,13,"KHARIA","SC","SATISH ROY PRODHAN","IND",4017,3,10.56
"West_Bengal",1962,13,"KHARIA","SC","SAROJENDRA DEB RAIKUT","IND",2067,4,5.43
"West_Bengal",1962,13,"KHARIA","SC","UMANANDA ROY","IND",633,5,1.66
