"state","year","month","party","seats"
"West_Bengal",1962,2,"FB","5.16"
"West_Bengal",1962,2,"RSP","3.57"
"West_Bengal",1969,2,"RSP","4.29"
"West_Bengal",1971,2,"RSP","1.08"
"West_Bengal",1972,2,"RSP","1.07"
"West_Bengal",1977,2,"RSP","6.8"
"West_Bengal",1982,2,"RSP","6.46"
"West_Bengal",1987,2,"RSP","6.12"
"West_Bengal",1991,2,"RSP","6.12"
"West_Bengal",1996,2,"RSP","6.12"
"West_Bengal",2001,2,"RSP","5.78"
"West_Bengal",2006,2,"RSP","6.8"
"West_Bengal",2011,2,"RSP","2.38"
"West_Bengal",2016,2,"RSP","1.02"
"West_Bengal",1962,2,"CPI","19.84"
"West_Bengal",1967,2,"CPI","5.71"
"West_Bengal",1969,2,"CPI","10.71"
"West_Bengal",1971,2,"CPI","4.66"
"West_Bengal",1972,2,"CPI","12.5"
"West_Bengal",1977,2,"CPI","0.68"
"West_Bengal",1982,2,"CPI","2.38"
"West_Bengal",1987,2,"CPI","3.74"
"West_Bengal",1991,2,"CPI","1.7"
"West_Bengal",1996,2,"CPI","2.04"
"West_Bengal",2001,2,"CPI","2.38"
"West_Bengal",2006,2,"CPI","2.72"
"West_Bengal",2011,2,"CPI","0.68"
"West_Bengal",2016,2,"CPI","0.34"
"West_Bengal",1962,2,"INC","62.3"
"West_Bengal",1967,2,"INC","45.36"
"West_Bengal",1969,2,"INC","19.64"
"West_Bengal",1971,2,"INC","37.63"
"West_Bengal",1972,2,"INC","77.14"
"West_Bengal",1977,2,"INC","6.8"
"West_Bengal",1982,2,"INC","16.67"
"West_Bengal",1987,2,"INC","13.61"
"West_Bengal",1991,2,"INC","14.63"
"West_Bengal",1996,2,"INC","27.89"
"West_Bengal",2001,2,"INC","8.84"
"West_Bengal",2006,2,"INC","7.14"
"West_Bengal",2011,2,"INC","14.29"
"West_Bengal",2016,2,"INC","14.97"
"West_Bengal",1962,2,"IND","4.37"
"West_Bengal",1967,2,"IND","11.07"
"West_Bengal",1969,2,"IND","3.93"
"West_Bengal",1971,2,"IND","4.3"
"West_Bengal",1972,2,"IND","1.79"
"West_Bengal",1977,2,"IND","3.4"
"West_Bengal",1982,2,"IND","3.74"
"West_Bengal",1987,2,"IND","3.06"
"West_Bengal",1991,2,"IND","2.04"
"West_Bengal",1996,2,"IND","1.7"
"West_Bengal",2001,2,"IND","3.06"
"West_Bengal",2006,2,"IND","2.04"
"West_Bengal",2011,2,"IND","0.68"
"West_Bengal",2016,2,"IND","0.34"
"West_Bengal",1967,2,"CPM","15.36"
"West_Bengal",1969,2,"CPM","28.57"
"West_Bengal",1971,2,"CPM","40.5"
"West_Bengal",1972,2,"CPM","5"
"West_Bengal",1977,2,"CPM","60.54"
"West_Bengal",1982,2,"CPM","59.18"
"West_Bengal",1987,2,"CPM","63.61"
"West_Bengal",1991,2,"CPM","64.29"
"West_Bengal",1996,2,"CPM","53.4"
"West_Bengal",2001,2,"CPM","48.64"
"West_Bengal",2011,2,"CPM","13.61"
"West_Bengal",2016,2,"CPM","8.84"
"West_Bengal",1967,2,"BAC","12.14"
"West_Bengal",1969,2,"BAC","11.79"
"West_Bengal",1971,2,"BAC","1.79"
"West_Bengal",1967,2,"FBL","4.64"
"West_Bengal",1969,2,"FBL","7.5"
"West_Bengal",1971,2,"FBL","1.08"
"West_Bengal",1972,2,"FBL","0"
"West_Bengal",1977,2,"FBL","8.5"
"West_Bengal",1982,2,"FBL","9.52"
"West_Bengal",1987,2,"FBL","8.84"
"West_Bengal",1991,2,"FBL","9.86"
"West_Bengal",1996,2,"FBL","7.14"
"West_Bengal",2001,2,"FBL","8.5"
"West_Bengal",1962,2,"SUC","0"
"West_Bengal",1969,2,"SUC","2.5"
"West_Bengal",1971,2,"SUC","2.51"
"West_Bengal",1972,2,"SUC","0.36"
"West_Bengal",1977,2,"SUC","1.36"
"West_Bengal",1982,2,"SUC","0.68"
"West_Bengal",1987,2,"SUC","0.68"
"West_Bengal",1977,2,"JNP","9.86"
"West_Bengal",1982,2,"JNP","0"
"West_Bengal",1987,2,"JNP","0"
"West_Bengal",2001,2,"AITC","20.41"
"West_Bengal",2006,2,"AITC","10.2"
"West_Bengal",2011,2,"AITC","62.59"
"West_Bengal",2016,2,"AITC","71.77"
"West_Bengal",2006,2,"AIFB","7.82"
"West_Bengal",2011,2,"AIFB","3.74"
"West_Bengal",2016,2,"AIFB","0.68"
"West_Bengal",2006,2,"CPI(M)","59.86"
"West_Bengal",2011,2,"GOJAM","1.02"
"West_Bengal",2016,2,"GOJAM","1.02"
