"state","year","month","party","votes"
"West_Bengal",1962,2,"RSP","2.56"
"West_Bengal",1969,2,"RSP","2.8"
"West_Bengal",1971,2,"RSP","2.05"
"West_Bengal",1972,2,"RSP","2.14"
"West_Bengal",1977,2,"RSP","3.75"
"West_Bengal",1982,2,"RSP","4.01"
"West_Bengal",1987,2,"RSP","3.94"
"West_Bengal",1991,2,"RSP","3.47"
"West_Bengal",1996,2,"RSP","3.72"
"West_Bengal",2001,2,"RSP","3.43"
"West_Bengal",2006,2,"RSP","3.72"
"West_Bengal",2011,2,"RSP","2.96"
"West_Bengal",2016,2,"RSP","1.67"
"West_Bengal",1962,2,"IND","10.98"
"West_Bengal",1967,2,"IND","13.49"
"West_Bengal",1969,2,"IND","3.59"
"West_Bengal",1971,2,"IND","6.39"
"West_Bengal",1972,2,"IND","3.54"
"West_Bengal",1977,2,"IND","6.92"
"West_Bengal",1982,2,"IND","6.99"
"West_Bengal",1987,2,"IND","4.95"
"West_Bengal",1991,2,"IND","3.01"
"West_Bengal",1996,2,"IND","2.61"
"West_Bengal",2001,2,"IND","5.05"
"West_Bengal",2006,2,"IND","4.16"
"West_Bengal",2011,2,"IND","3.13"
"West_Bengal",2016,2,"IND","2.16"
"West_Bengal",1962,2,"CPI","24.96"
"West_Bengal",1967,2,"CPI","6.53"
"West_Bengal",1969,2,"CPI","7"
"West_Bengal",1971,2,"CPI","8.46"
"West_Bengal",1972,2,"CPI","8.33"
"West_Bengal",1977,2,"CPI","2.62"
"West_Bengal",1982,2,"CPI","1.81"
"West_Bengal",1987,2,"CPI","1.92"
"West_Bengal",1991,2,"CPI","1.54"
"West_Bengal",1996,2,"CPI","1.75"
"West_Bengal",2001,2,"CPI","1.79"
"West_Bengal",2006,2,"CPI","1.91"
"West_Bengal",2011,2,"CPI","1.84"
"West_Bengal",2016,2,"CPI","1.45"
"West_Bengal",1962,2,"FB","4.61"
"West_Bengal",1962,2,"INC","47.29"
"West_Bengal",1967,2,"INC","41.13"
"West_Bengal",1969,2,"INC","41.32"
"West_Bengal",1971,2,"INC","29.19"
"West_Bengal",1972,2,"INC","49.08"
"West_Bengal",1977,2,"INC","23.02"
"West_Bengal",1982,2,"INC","35.73"
"West_Bengal",1987,2,"INC","41.81"
"West_Bengal",1991,2,"INC","35.12"
"West_Bengal",1996,2,"INC","39.48"
"West_Bengal",2001,2,"INC","7.98"
"West_Bengal",2006,2,"INC","14.75"
"West_Bengal",2011,2,"INC","9.09"
"West_Bengal",2016,2,"INC","12.25"
"West_Bengal",1962,2,"PSP","4.99"
"West_Bengal",1967,2,"PSP","1.88"
"West_Bengal",1969,2,"PSP","1.31"
"West_Bengal",1971,2,"PSP","1.14"
"West_Bengal",1967,2,"FBL","4.43"
"West_Bengal",1969,2,"FBL","5.01"
"West_Bengal",1971,2,"FBL","2.9"
"West_Bengal",1972,2,"FBL","2.48"
"West_Bengal",1977,2,"FBL","5.24"
"West_Bengal",1982,2,"FBL","5.9"
"West_Bengal",1987,2,"FBL","5.84"
"West_Bengal",1991,2,"FBL","5.51"
"West_Bengal",1996,2,"FBL","5.2"
"West_Bengal",2001,2,"FBL","5.65"
"West_Bengal",1967,2,"BAC","10.16"
"West_Bengal",1969,2,"BAC","8.17"
"West_Bengal",1971,2,"BAC","5.39"
"West_Bengal",1967,2,"CPM","18.11"
"West_Bengal",1969,2,"CPM","19.97"
"West_Bengal",1971,2,"CPM","32.86"
"West_Bengal",1972,2,"CPM","27.45"
"West_Bengal",1977,2,"CPM","35.46"
"West_Bengal",1982,2,"CPM","38.49"
"West_Bengal",1987,2,"CPM","39.3"
"West_Bengal",1991,2,"CPM","36.87"
"West_Bengal",1996,2,"CPM","37.92"
"West_Bengal",2001,2,"CPM","36.59"
"West_Bengal",2011,2,"CPM","30.08"
"West_Bengal",2016,2,"CPM","19.75"
"West_Bengal",1971,2,"NCO","5.6"
"West_Bengal",1972,2,"NCO","1.47"
"West_Bengal",1977,2,"JNP","20.03"
"West_Bengal",1982,2,"JNP","0.83"
"West_Bengal",1987,2,"JNP","0.16"
"West_Bengal",1982,2,"ICS","3.94"
"West_Bengal",1982,2,"BJP","0.58"
"West_Bengal",1987,2,"BJP","0.51"
"West_Bengal",1991,2,"BJP","11.34"
"West_Bengal",1996,2,"BJP","6.45"
"West_Bengal",2001,2,"BJP","5.19"
"West_Bengal",2006,2,"BJP","1.93"
"West_Bengal",2011,2,"BJP","4.06"
"West_Bengal",2016,2,"BJP","10.16"
"West_Bengal",2001,2,"AITC","30.66"
"West_Bengal",2006,2,"AITC","26.72"
"West_Bengal",2011,2,"AITC","38.93"
"West_Bengal",2016,2,"AITC","44.91"
"West_Bengal",2006,2,"CPI(M)","37.19"
"West_Bengal",2006,2,"AIFB","5.67"
"West_Bengal",2011,2,"AIFB","4.8"
"West_Bengal",2016,2,"AIFB","2.82"
