"State_Name","Year","month","sa_no","DelimID","AC_No","Position","Cand1","Sex1","Party1","Votes1","Age","Caste","Valid_Votes","Electors","AC_Name","AC_Type","District_Name","Sub_Region","N_Cand","Turnout","Vote_Sh","Deposit_Lost","Margin","Margin_Percent","Jati","Caste_Rec","Rel","New.Caste","Old_Jati"
"West_Bengal",1962,2,3,1,1,1,"AMARENDRA NATH ROY PROHAN","M","FB",17592,NA,NA,27622,58462,"MAKLIGANJ","GEN",NA,NA,2,47.25,63.69,"no",7562,27.38,"4 RAJBANSHIS","SC","H",NA,NA
"West_Bengal",1962,2,3,1,1,2,"SATYENDRA PRASANNA CHATTOPADHYAY","M","INC",10030,NA,NA,27622,58462,"MAKLIGANJ","GEN",NA,NA,2,47.25,36.31,"no",0,0,"","","",NA,NA
"West_Bengal",1962,2,3,1,2,1,"MAHENDRA NATH DAKUA","M","INC",18770,NA,NA,34252,81025,"MATHABHANGA","SC",NA,NA,2,42.27,54.8,"no",3288,9.6,"4 RAJBANSHIS","SC","H",NA,NA
"West_Bengal",1962,2,3,1,2,2,"DINESH CHANDRA DAKUA","M","CPI",15482,NA,NA,34252,81025,"MATHABHANGA","SC",NA,NA,2,42.27,45.2,"no",0,0,"","","",NA,NA
"West_Bengal",1962,2,3,1,3,1,"BEJOY KUMAR ROY","M","FB",15596,NA,NA,33569,73027,"SITAL KUCHI","SC",NA,NA,3,45.97,46.46,"no",3844,11.45,"4 OTHER SC","SC","H",NA,NA
"West_Bengal",1962,2,3,1,3,2,"HEMLATA DEVI","F","INC",11752,NA,NA,33569,73027,"SITAL KUCHI","SC",NA,NA,3,45.97,35.01,"no",5531,16.48,"","","",NA,NA
"West_Bengal",1962,2,3,1,3,3,"BIJENDRA NARAYAN BARMA","M","IND",6221,NA,NA,33569,73027,"SITAL KUCHI","SC",NA,NA,3,45.97,18.53,"no",0,0,"","","",NA,NA
"West_Bengal",1962,2,3,1,4,1,"KAMAL KANTI GUHA","M","FB",26807,NA,NA,44113,98532,"DINHATA","GEN",NA,NA,3,44.77,60.77,"no",10422,23.63,"1 KAYASTHA","UC","H",NA,NA
"West_Bengal",1962,2,3,1,4,2,"UMESH CHANDRA MANDAL","M","INC",16385,NA,NA,44113,98532,"DINHATA","GEN",NA,NA,3,44.77,37.14,"no",15464,35.06,"","","",NA,NA
"West_Bengal",1962,2,3,1,4,3,"MAHESH CHANDRA SINGH","M","IND",921,NA,NA,44113,98532,"DINHATA","GEN",NA,NA,3,44.77,2.09,"no",0,0,"","","",NA,NA
"West_Bengal",1962,2,3,1,5,1,"SUNIL BASUNIA","M","FB",16101,NA,NA,27526,65526,"COOCH BEHAR SOUTH","SC",NA,NA,3,42.01,58.49,"no",6552,23.8,"4 RAJBANSHIS","SC","H",NA,NA
