"State_name","Year","AC_no","Position","AC_name","Cand1","EC_Caste","Jati","Caste_Rec","Rel","New.Caste","Old_Jati"
"West_Bengal",1962,1,1,"MAKLIGANJ","AMARENDRA NATH ROY PROHAN",NA,"4 RAJBANSHIS","SC","H",NA,NA
"West_Bengal",1962,1,2,"MAKLIGANJ","SATYENDRA PRASANNA CHATTOPADHYAY",NA,"","","",NA,NA
"West_Bengal",1962,2,1,"MATHABHANGA","MAHENDRA NATH DAKUA",NA,"4 RAJBANSHIS","SC","H",NA,NA
"West_Bengal",1962,2,2,"MATHABHANGA","DINESH CHANDRA DAKUA",NA,"","","",NA,NA
"West_Bengal",1962,3,1,"SITAL KUCHI","BEJOY KUMAR ROY",NA,"4 OTHER SC","SC","H",NA,NA
"West_Bengal",1962,3,2,"SITAL KUCHI","HEMLATA DEVI",NA,"","","",NA,NA
"West_Bengal",1962,3,3,"SITAL KUCHI","BIJENDRA NARAYAN BARMA",NA,"","","",NA,NA
"West_Bengal",1962,4,1,"DINHATA","KAMAL KANTI GUHA",NA,"1 KAYASTHA","UC","H",NA,NA
"West_Bengal",1962,4,2,"DINHATA","UMESH CHANDRA MANDAL",NA,"","","",NA,NA
"West_Bengal",1962,4,3,"DINHATA","MAHESH CHANDRA SINGH",NA,"","","",NA,NA
"West_Bengal",1962,5,1,"COOCH BEHAR SOUTH","SUNIL BASUNIA",NA,"4 RAJBANSHIS","SC","H",NA,NA
"West_Bengal",1962,5,2,"COOCH BEHAR SOUTH","SATISH CH. ROY SINGHA",NA,"","","",NA,NA
"West_Bengal",1962,5,3,"COOCH BEHAR SOUTH","PATIRAM DEB SINHA",NA,"","","",NA,NA
"West_Bengal",1962,6,1,"COOCH BEHAR NORTH","SUNIL DAS GUPTA",NA,"1 KAYASTHA","UC","H",NA,NA
"West_Bengal",1962,6,2,"COOCH BEHAR NORTH","MAZIRUDDIN AHMED",NA,"","","",NA,NA
"West_Bengal",1962,7,1,"TUFANGANJ","JIBAN KRISHNA DEY",NA,"1 KAYASTHA","UC","H",NA,NA
"West_Bengal",1962,7,2,"TUFANGANJ","JATINDRA NATH SINHA SARKAR",NA,"","","",NA,NA
"West_Bengal",1962,7,3,"TUFANGANJ","SYAMA KANTA DAS",NA,"","","",NA,NA
"West_Bengal",1962,7,4,"TUFANGANJ","BIRENDRA NATH CHAKRABORTY",NA,"","","",NA,NA
"West_Bengal",1962,8,1,"ALIPUR DUARS","PIJUSH KANTI MUKHERJEE",NA,"1 BRAHMIN","UC","H",NA,NA
"West_Bengal",1962,8,2,"ALIPUR DUARS","NILKANTHA ROY",NA,"","","",NA,NA
"West_Bengal",1962,8,3,"ALIPUR DUARS","KONDA BHAGAT",NA,"","","",NA,NA
"West_Bengal",1962,8,4,"ALIPUR DUARS","SATISH CHANDRA ROY",NA,"","","",NA,NA
"West_Bengal",1962,9,1,"KALCHINI","NANI BHATTACHARJEE",NA,"1 BRAHMIN","UC","H",NA,NA
"West_Bengal",1962,9,2,"KALCHINI","ANIMA HOARE",NA,"","","",NA,NA
"West_Bengal",1962,9,3,"KALCHINI","NILKANTA MUKHERJE",NA,"","","",NA,NA
"West_Bengal",1962,9,4,"KALCHINI","MAHENDRA CHANDRA MECH",NA,"","","",NA,NA
"West_Bengal",1962,9,5,"KALCHINI","RAPHAL TOPPO",NA,"","","",NA,NA
"West_Bengal",1962,9,6,"KALCHINI","HARI KANTA SARKAR",NA,"","","",NA,NA
"West_Bengal",1962,10,1,"MADARIHAT","A. H. BESHTERWITCH",NA,"5 OTHER","ST","C",NA,NA
"West_Bengal",1962,10,2,"MADARIHAT","MAHADEO BHAGAT",NA,"","","",NA,NA
"West_Bengal",1962,10,3,"MADARIHAT","BUDHRAM MAHALI",NA,"","","",NA,NA
"West_Bengal",1962,10,4,"MADARIHAT","HARENDRA NATH BRAHMA",NA,"","","",NA,NA
"West_Bengal",1962,10,5,"MADARIHAT","SOLEMAN LOKRA",NA,"","","",NA,NA
