"State_name","Year","AC_no","Cand","Sex","Party","Votes","Age","Caste","Position"
"West_Bengal",1962,1,"AMARENDRA NATH ROY PROHAN","M","FB",17592,NA,NA,1
"West_Bengal",1962,1,"SATYENDRA PRASANNA CHATTOPADHYAY","M","INC",10030,NA,NA,2
"West_Bengal",1962,2,"MAHENDRA NATH DAKUA","M","INC",18770,NA,NA,1
"West_Bengal",1962,2,"DINESH CHANDRA DAKUA","M","CPI",15482,NA,NA,2
"West_Bengal",1962,3,"BEJOY KUMAR ROY","M","FB",15596,NA,NA,1
"West_Bengal",1962,3,"HEMLATA DEVI","F","INC",11752,NA,NA,2
"West_Bengal",1962,3,"BIJENDRA NARAYAN BARMA","M","IND",6221,NA,NA,3
"West_Bengal",1962,4,"KAMAL KANTI GUHA","M","FB",26807,NA,NA,1
"West_Bengal",1962,4,"UMESH CHANDRA MANDAL","M","INC",16385,NA,NA,2
"West_Bengal",1962,4,"MAHESH CHANDRA SINGH","M","IND",921,NA,NA,3
"West_Bengal",1962,5,"SUNIL BASUNIA","M","FB",16101,NA,NA,1
"West_Bengal",1962,5,"SATISH CH. ROY SINGHA","M","INC",9549,NA,NA,2
"West_Bengal",1962,5,"PATIRAM DEB SINHA","M","IND",1876,NA,NA,3
"West_Bengal",1962,6,"SUNIL DAS GUPTA","M","FB",19296,NA,NA,1
"West_Bengal",1962,6,"MAZIRUDDIN AHMED","M","INC",11366,NA,NA,2
"West_Bengal",1962,7,"JIBAN KRISHNA DEY","M","CPI",26222,NA,NA,1
"West_Bengal",1962,7,"JATINDRA NATH SINHA SARKAR","M","INC",20746,NA,NA,2
"West_Bengal",1962,7,"SYAMA KANTA DAS","M","IND",2243,NA,NA,3
"West_Bengal",1962,7,"BIRENDRA NATH CHAKRABORTY","M","IND",901,NA,NA,4
"West_Bengal",1962,8,"PIJUSH KANTI MUKHERJEE","M","INC",16533,NA,NA,1
"West_Bengal",1962,8,"NILKANTHA ROY","M","IND",14370,NA,NA,2
"West_Bengal",1962,8,"KONDA BHAGAT","M","IND",1580,NA,NA,3
"West_Bengal",1962,8,"SATISH CHANDRA ROY","M","PSP",674,NA,NA,4
"West_Bengal",1962,9,"NANI BHATTACHARJEE","M","RSP",17415,NA,NA,1
"West_Bengal",1962,9,"ANIMA HOARE","M","INC",15422,NA,NA,2
"West_Bengal",1962,9,"NILKANTA MUKHERJE","M","IND",2942,NA,NA,3
"West_Bengal",1962,9,"MAHENDRA CHANDRA MECH","M","PSP",1991,NA,NA,4
"West_Bengal",1962,9,"RAPHAL TOPPO","M","IND",1407,NA,NA,5
