state,key_year,year,month,sa_no
Jharkhand,2005,2005,2,1
Jharkhand,2009,2009,2,2
Jharkhand,2014,2014,2,3
Nagaland,1964,1964,2,1
Nagaland,1969,1969,2,2
Nagaland,1974,1974,2,3
Nagaland,1977,1977,2,4
Nagaland,1982,1982,2,5
Nagaland,1987,1987,2,6
Nagaland,1989,1989,2,7
Nagaland,1993,1993,2,8
Nagaland,1998,1998,2,9
Nagaland,2003,2003,2,10
Nagaland,2008,2008,2,11
Nagaland,2013,2013,2,12
"Goa_Daman_&_Diu",1967,1967,2,1
"Goa_Daman_&_Diu",1972,1972,2,2
"Goa_Daman_&_Diu",1977,1977,2,3
"Goa_Daman_&_Diu",1980,1980,2,4
"Goa_Daman_&_Diu",1984,1984,2,5
Goa,1989,1989,2,1
Goa,1994,1994,2,2
Goa,1999,1999,2,3
Goa,2002,2002,2,4
Goa,2007,2007,2,5
Goa,2012,2012,2,6
Assam,1962,1962,2,3
Assam,1967,1967,2,4
Assam,1972,1972,2,5
Assam,1978,1978,2,6
Assam,1983,1983,2,7
Assam,1985,1985,2,8
Assam,1991,1991,2,9
Assam,1996,1996,2,10
Assam,2001,2001,2,11
Assam,2006,2006,2,12
Assam,2011,2011,2,13
Assam,2016,2016,2,14
Meghalaya,1972,1972,2,1
Meghalaya,1978,1978,2,2
Meghalaya,1983,1983,2,3
Meghalaya,1988,1988,2,4
Meghalaya,1993,1993,2,5
Meghalaya,1998,1998,2,6
Meghalaya,2003,2003,2,7
Meghalaya,2008,2008,2,8
Meghalaya,2013,2013,2,9
Haryana,1967,1967,2,1
Haryana,1968,1968,2,2
Haryana,1972,1972,2,3
Haryana,1977,1977,2,4
Haryana,1982,1982,2,5
Haryana,1987,1987,2,6
Haryana,1991,1991,2,7
Haryana,1996,1996,2,8
Haryana,2000,2000,2,9
Haryana,2005,2005,2,10
Haryana,2009,2009,2,11
Haryana,2014,2014,2,12
Punjab,1962,1962,2,3
Punjab,1967,1967,2,4
Punjab,1969,1969,2,5
Punjab,1972,1972,2,6
Punjab,1977,1977,2,7
Punjab,1980,1980,2,8
Punjab,1985,1985,2,9
Punjab,1992,1992,2,10
Punjab,1997,1997,2,11
Punjab,2002,2002,2,12
Punjab,2007,2007,2,13
Punjab,2012,2012,2,14
Sikkim,1979,1979,2,1
Sikkim,1985,1985,2,2
Sikkim,1989,1989,2,3
Sikkim,1994,1994,2,4
