"Year","PC_Name","PC_No","PC_Type","AC_Name","AC_No","AC_Type","CandID","Cand","Party","Votes_In_AC","State_Name"
2004,"ANDAMAN",1,"GEN","Andaman",0,"GEN",1,"MANORANJAN BHAKTA","INC",0,"Andaman_&_Nicobar_Islands"
2004,"ANDAMAN",1,"GEN","Andaman",0,"GEN",2,"BISHNU PADA RAY","BJP",0,"Andaman_&_Nicobar_Islands"
2004,"ANDAMAN",1,"GEN","Andaman",0,"GEN",3,"TAPAN KUMAR BEPARI","CPM",0,"Andaman_&_Nicobar_Islands"
2004,"ANDAMAN",1,"GEN","Andaman",0,"GEN",4,"R S UMA BHARATHY","NCP",0,"Andaman_&_Nicobar_Islands"
2004,"ANDAMAN",1,"GEN","Andaman",0,"GEN",5,"N K P NAIR","CPI(ML)(L)",0,"Andaman_&_Nicobar_Islands"
2004,"ANDAMAN",1,"GEN","Andaman",0,"GEN",6,"DEEPAK BISWAS","IND",0,"Andaman_&_Nicobar_Islands"
2004,"ANDAMAN",1,"GEN","Andaman",0,"GEN",7,"A K BISWAS","BSP",0,"Andaman_&_Nicobar_Islands"
2004,"ANDAMAN",1,"GEN","Andaman",0,"GEN",8,"DR SHANMUGAM","LJNSP",0,"Andaman_&_Nicobar_Islands"
2004,"ANDAMAN",1,"GEN","Andaman",0,"GEN",9,"GOUR CHANDRA MAJUMDER","IND",0,"Andaman_&_Nicobar_Islands"
2004,"ANDAMAN",1,"GEN","Andaman",0,"GEN",10,"ASIT BARAN DUTTA","IND",0,"Andaman_&_Nicobar_Islands"
2004,"ANDAMAN",1,"GEN","Andaman",0,"GEN",11,"K KALIMUTHU","IND",0,"Andaman_&_Nicobar_Islands"
2004,"ANDAMAN",1,"GEN","Andaman",0,"GEN",12,"K PERUMAL","SWD",0,"Andaman_&_Nicobar_Islands"
2004,"SRIKAKULAM",1,"GEN","Ichapuram",1,"GEN",5,"TAMMINENI JAGANMOHAN RA","IND",819,"Andhara_Pradesh"
2004,"SRIKAKULAM",1,"GEN","Ichapuram",1,"GEN",2,"KILLI KRUPARANI","INC",45118,"Andhara_Pradesh"
2004,"SRIKAKULAM",1,"GEN","Ichapuram",1,"GEN",4,"MYLAPALLI LAKSHMUDU","BSP",1828,"Andhara_Pradesh"
2004,"SRIKAKULAM",1,"GEN","Ichapuram",1,"GEN",1,"YERRANNAIDU KINJARAPU","TDP",47062,"Andhara_Pradesh"
2004,"SRIKAKULAM",1,"GEN","Ichapuram",1,"GEN",3,"DUNGA RANGARAO NAIDU","IND",1251,"Andhara_Pradesh"
