"year","ga_no","month","party","seats"
1962,3,2,"IND","4.05"
1967,4,2,"IND","6.73"
1971,5,3,"IND","2.7"
1977,6,3,"IND","1.66"
1980,7,1,"IND","1.7"
1984,8,12,"IND","2.4"
1989,9,11,"IND","2.27"
1991,10,5,"IND","0.19"
1996,11,4,"IND","1.66"
1998,12,3,"IND","1.1"
1999,13,9,"IND","1.1"
2004,14,4,"IND","0.92"
2009,15,4,"IND","1.66"
2014,16,4,"IND","0.55"
1962,3,2,"SWA","3.64"
1967,4,2,"SWA","8.46"
1971,5,3,"SWA","1.54"
1962,3,2,"JS","2.83"
1962,3,2,"INC","73.08"
1967,4,2,"INC","54.42"
1971,5,3,"INC","67.95"
1977,6,3,"INC","28.41"
1984,8,12,"INC","76.52"
1989,9,11,"INC","37.24"
1991,10,5,"INC","45.69"
1996,11,4,"INC","25.78"
1998,12,3,"INC","25.97"
1999,13,9,"INC","20.99"
2004,14,4,"INC","26.7"
2009,15,4,"INC","37.94"
2014,16,4,"INC","8.1"
1962,3,2,"CPI","5.87"
1967,4,2,"CPI","4.42"
1971,5,3,"CPI","4.44"
1977,6,3,"CPI","1.29"
1980,7,1,"CPI","1.89"
1984,8,12,"CPI","1.11"
1989,9,11,"CPI","2.27"
1991,10,5,"CPI","2.62"
1996,11,4,"CPI","2.21"
1998,12,3,"CPI","1.66"
1999,13,9,"CPI","0.74"
2004,14,4,"CPI","1.84"
2009,15,4,"CPI","0.74"
2014,16,4,"CPI","0.18"
1967,4,2,"BJS","6.73"
1971,5,3,"BJS","4.25"
1962,3,2,"DMK","1.42"
1967,4,2,"DMK","4.81"
1971,5,3,"DMK","4.44"
1977,6,3,"DMK","0.37"
1980,7,1,"DMK","3.02"
1984,8,12,"DMK","0.37"
1996,11,4,"DMK","3.13"
1998,12,3,"DMK","1.1"
1999,13,9,"DMK","2.21"
2004,14,4,"DMK","2.95"
2009,15,4,"DMK","3.31"
1967,4,2,"CPM","3.65"
1971,5,3,"CPM","4.83"
1977,6,3,"CPM","4.06"
1980,7,1,"CPM","6.99"
1984,8,12,"CPM","4.07"
1989,9,11,"CPM","6.24"
1991,10,5,"CPM","6.55"
1996,11,4,"CPM","5.89"
1998,12,3,"CPM","5.89"
1999,13,9,"CPM","6.08"
2004,14,4,"CPM","7.92"
2009,15,4,"CPM","2.95"
2014,16,4,"CPM","1.66"
1977,6,3,"ADK","3.32"
1980,7,1,"ADK","0.38"
1984,8,12,"ADK","2.22"
1989,9,11,"ADK","2.08"
1991,10,5,"ADK","2.06"
1971,5,3,"SAD","0.19"
1977,6,3,"SAD","1.66"
1980,7,1,"SAD","0.19"
1984,8,12,"SAD","1.29"
1996,11,4,"SAD","1.47"
1998,12,3,"SAD","1.47"
1999,13,9,"SAD","0.37"
2004,14,4,"SAD","1.47"
2009,15,4,"SAD","0.74"
2014,16,4,"SAD","0.74"
1977,6,3,"BLD","54.43"
1980,7,1,"JNP(S)","7.75"
1980,7,1,"INC(I)","66.73"
1980,7,1,"JNP","5.86"
1984,8,12,"JNP","1.85"
1984,8,12,"TDP","5.55"
1989,9,11,"TDP","0.38"
1991,10,5,"TDP","2.43"
1996,11,4,"TDP","2.95"
1998,12,3,"TDP","2.21"
1999,13,9,"TDP","5.34"
2004,14,4,"TDP","0.92"
2009,15,4,"TDP","1.1"
2014,16,4,"TDP","2.95"
1989,9,11,"JD","27.03"
1991,10,5,"JD","11.05"
1996,11,4,"JD","8.47"
1998,12,3,"JD","1.1"
1984,8,12,"BJP","0.37"
1989,9,11,"BJP","16.07"
1991,10,5,"BJP","22.47"
1996,11,4,"BJP","29.65"
1998,12,3,"BJP","33.52"
1999,13,9,"BJP","33.52"
2004,14,4,"BJP","25.41"
2009,15,4,"BJP","21.36"
2014,16,4,"BJP","51.93"
1996,11,4,"TMC(M)","3.68"
1998,12,3,"TMC(M)","0.55"
1996,11,4,"SP","3.13"
1998,12,3,"SP","3.68"
1999,13,9,"SP","4.79"
2004,14,4,"SP","6.63"
2009,15,4,"SP","4.24"
2014,16,4,"SP","0.92"
1998,12,3,"ADMK","3.31"
1999,13,9,"ADMK","1.84"
2009,15,4,"ADMK","1.66"
2014,16,4,"ADMK","6.81"
1998,12,3,"RJD","3.13"
1999,13,9,"RJD","1.29"
2004,14,4,"RJD","4.42"
2009,15,4,"RJD","0.74"
2014,16,4,"RJD","0.74"
1989,9,11,"BSP","0.57"
1991,10,5,"BSP","0.56"
1996,11,4,"BSP","2.03"
1998,12,3,"BSP","0.92"
1999,13,9,"BSP","2.58"
2004,14,4,"BSP","3.5"
2009,15,4,"BSP","3.87"
1999,13,9,"JD(U)","3.87"
2004,14,4,"JD(U)","1.47"
2009,15,4,"JD(U)","3.68"
2014,16,4,"JD(U)","0.37"
1998,12,3,"BJD","1.66"
1999,13,9,"BJD","1.84"
2004,14,4,"BJD","2.03"
2009,15,4,"BJD","2.58"
2014,16,4,"BJD","3.68"
1999,13,9,"AITC","1.47"
2004,14,4,"AITC","0.37"
2009,15,4,"AITC","3.5"
2014,16,4,"AITC","6.26"
