"State_name","Year","PC_no","PC_name","PC_type","Electors"
"Andhra_Pradesh",1962,1,"SRIKAKULAM","GEN",443080
"Andhra_Pradesh",1962,2,"PARVATHIPURAM","ST",420816
"Andhra_Pradesh",1962,3,"CHEEPURUPALLI","GEN",410167
"Andhra_Pradesh",1962,4,"VISAKHAPATNAM","GEN",397925
"Andhra_Pradesh",1962,5,"ANAKAPALLI","GEN",427862
"Andhra_Pradesh",1962,6,"NARSIPATNAM","ST",407319
"Andhra_Pradesh",1962,7,"RAJAHMUNDRY","ST",450040
"Andhra_Pradesh",1962,8,"KAKINADA","GEN",454089
"Andhra_Pradesh",1962,9,"AMALAPRUAM","SC",478247
"Andhra_Pradesh",1962,10,"NARASAPUR","GEN",478392
"Andhra_Pradesh",1962,11,"ELURU","GEN",470098
"Andhra_Pradesh",1962,12,"GUDIVADA","GEN",493266
"Andhra_Pradesh",1962,13,"VIJAYWADA","GEN",449300
"Andhra_Pradesh",1962,14,"MASULIPATNAM","GEN",475481
"Andhra_Pradesh",1962,15,"TENALI","GEN",479831
"Andhra_Pradesh",1962,16,"GUNTUR","GEN",516008
"Andhra_Pradesh",1962,17,"ONGOLE","GEN",513758
"Andhra_Pradesh",1962,18,"MARKAPUR","GEN",474652
"Andhra_Pradesh",1962,19,"KAVALI","GEN",478746
"Andhra_Pradesh",1962,20,"NELLORE","SC",480699
"Andhra_Pradesh",1962,21,"TIRUPATHI","SC",383042
"Andhra_Pradesh",1962,22,"CHITTOR","GEN",437788
"Andhra_Pradesh",1962,23,"RAJAMPET","GEN",442554
"Andhra_Pradesh",1962,24,"CUDDAPAH","GEN",497180
"Andhra_Pradesh",1962,25,"ANANTPUR","GEN",467475
"Andhra_Pradesh",1962,26,"HINDUPUR","GEN",420888
"Andhra_Pradesh",1962,27,"ADONI","GEN",419077
"Andhra_Pradesh",1962,28,"KURNOOL","GEN",463818
"Andhra_Pradesh",1962,29,"GADWAL","GEN",447475
"Andhra_Pradesh",1962,30,"MAHBUBNAGAR","SC",413872
"Andhra_Pradesh",1962,31,"HYDRABAD","GEN",315412
"Andhra_Pradesh",1962,32,"SECUNDERABAD","GEN",380287
"Andhra_Pradesh",1962,33,"VICARABAD","GEN",419557
"Andhra_Pradesh",1962,34,"MEDAK","GEN",414481
"Andhra_Pradesh",1962,35,"NIZAMABAD","GEN",444598
"Andhra_Pradesh",1962,36,"ADILABAD","GEN",404283
"Andhra_Pradesh",1962,37,"KARIMNAGAR","GEN",437969
"Andhra_Pradesh",1962,38,"PADAPALLI","SC",412742
"Andhra_Pradesh",1962,39,"WARRANGAL","GEN",408061
"Andhra_Pradesh",1962,40,"MAHBUBABAD","GEN",426441
"Andhra_Pradesh",1962,41,"KHAMMAM","GEN",450611
"Andhra_Pradesh",1962,42,"NALGONDA","GEN",446641
"Andhra_Pradesh",1962,43,"MIRYALGUDA","SC",453828
"Assam",1962,1,"CACHAR","GEN",383045
"Assam",1962,2,"KARIMGANJ","SC",397814
"Assam",1962,3,"AUTONOMOUS DISTRICTS","ST",320132
"Assam",1962,4,"DHUBRI","GEN",391360
"Assam",1962,5,"GOALPARA","ST",429220
"Assam",1962,6,"GAUHATI","GEN",467175
"Assam",1962,7,"BARPETA","GEN",450184
"Assam",1962,8,"DARRANG","GEN",378754
"Assam",1962,9,"NOWGONG","GEN",471350
"Assam",1962,10,"JORHAT","GEN",404220
"Assam",1962,11,"SIBSAGAR","GEN",458998
"Assam",1962,12,"DIBRUGARH","GEN",390564
"Bihar",1962,1,"BAGAHA","GEN",385005
"Bihar",1962,2,"MOTIHARI","SC",379579
"Bihar",1962,3,"BETTIAH","SC",380043
"Bihar",1962,4,"GOPALGANJ","GEN",422101
"Bihar",1962,5,"SIWAN","GEN",424260
"Bihar",1962,6,"CHAPRA","GEN",459344
"Bihar",1962,7,"MAHARAJGANJ","GEN",401654
"Bihar",1962,8,"KESARIA","GEN",389402
"Bihar",1962,9,"HAJIPUR","GEN",421299
"Bihar",1962,10,"MAHUA","SC",447690
"Bihar",1962,11,"MUZAFFARPUR","GEN",464546
"Bihar",1962,12,"SITAMARHI","GEN",455960
"Bihar",1962,13,"PUPRI","GEN",415653
"Bihar",1962,14,"JAINAGAR","GEN",471460
"Bihar",1962,15,"MADHUBANI","GEN",427660
"Bihar",1962,16,"SAMASTIPUR","GEN",383747
"Bihar",1962,17,"DARBHANGA","GEN",487848
"Bihar",1962,18,"ROSERA","SC",431956
"Bihar",1962,19,"SAHARSA","GEN",426782
"Bihar",1962,20,"SONBARSA","SC",402111
"Bihar",1962,21,"KISHANGANJ","GEN",486140
"Bihar",1962,22,"PURNEA","GEN",503100
"Bihar",1962,23,"KATIHAR","GEN",451056
"Bihar",1962,24,"RAJMAHAL","SC",389321
"Bihar",1962,25,"GODDA","GEN",395448
"Bihar",1962,26,"DUMKA","ST",399218
"Bihar",1962,27,"BANKA","GEN",412008
"Bihar",1962,28,"BHAGALPUR","GEN",436725
"Bihar",1962,29,"MONGHYR","GEN",374823
"Bihar",1962,30,"JAMUI","SC",408420
"Bihar",1962,31,"KHAGARIA","GEN",431546
"Bihar",1962,32,"BEGUSARAI","GEN",404740
"Bihar",1962,33,"NALANDA","GEN",453708
