"state","year","ac_no","ac_name","ac_type","cand1","party1","votes1","position","vote_percent"
"Andhra_Pradesh",1962,1,"ICHAPURAM","GEN","KIRTI CHANDRA DEO","INC",21677,1,63.38
"Andhra_Pradesh",1962,1,"ICHAPURAM","GEN","DAKKATA PITAMBARU","SWA",12527,2,36.62
"Andhra_Pradesh",1962,2,"SOMPETA","GEN","GOUTHU LATCHANNA","SWA",16609,1,43.6
"Andhra_Pradesh",1962,2,"SOMPETA","GEN","MAJJI TULASIDASS","IND",14775,2,38.79
"Andhra_Pradesh",1962,2,"SOMPETA","GEN","GANNI PADMANABHA RAO","INC",6707,3,17.61
"Andhra_Pradesh",1962,3,"BRAHMANATARLA","GEN","BENDI LAXMINARAYANAMMA","INC",10555,1,31.38
"Andhra_Pradesh",1962,3,"BRAHMANATARLA","GEN","NICHERLA RAMULU","SWA",7685,2,22.85
"Andhra_Pradesh",1962,3,"BRAHMANATARLA","GEN","ATTADA KRISHNAMURTY NAIDU","IND",4895,3,14.55
"Andhra_Pradesh",1962,3,"BRAHMANATARLA","GEN","BAPA MALLESWARA RAO REDDY","IND",4496,4,13.37
"Andhra_Pradesh",1962,3,"BRAHMANATARLA","GEN","UPPADA RAMA RAO","CPI",3741,5,11.12
"Andhra_Pradesh",1962,3,"BRAHMANATARLA","GEN","KOTNI GURUMURTY","IND",1532,6,4.56
"Andhra_Pradesh",1962,3,"BRAHMANATARLA","GEN","BOMPILLI RAMANNA","IND",729,7,2.17
"Andhra_Pradesh",1962,4,"TEKKALI","GEN","RONANKI SATYANARAYANA","SWA",23588,1,62.11
"Andhra_Pradesh",1962,4,"TEKKALI","GEN","ROKKAM LAKSHMINARASIMHAM DORA","INC",14390,2,37.89
"Andhra_Pradesh",1962,5,"NARASANNAPETA","GEN","SIMMA JAGANNADHAM","SWA",20879,1,56.89
"Andhra_Pradesh",1962,5,"NARASANNAPETA","GEN","PONNANA VEERANNAIDU","INC",15822,2,43.11
"Andhra_Pradesh",1962,6,"PATAPATNAM","GEN","LUKALAPU LAKSHMANA DASU","INC",16527,1,48.29
"Andhra_Pradesh",1962,6,"PATAPATNAM","GEN","SAMPATHIRAO LAKSHMIPATHI ALIAS DABARU DORA","SWA",9714,2,28.38
"Andhra_Pradesh",1962,6,"PATAPATNAM","GEN","DARAPU GOVINDARAJULU","CPI",7985,3,23.33
"Andhra_Pradesh",1962,7,"KOTHURU","SC","POTHULA GUNNAYYA","INC",11040,1,39.42
"Andhra_Pradesh",1962,7,"KOTHURU","SC","BODDEPALI NARSIMHULU","CPI",10375,2,37.05
"Andhra_Pradesh",1962,7,"KOTHURU","SC","ALIKANA CHINA RAMANNA","SWA",6588,3,23.53
"Andhra_Pradesh",1962,8,"NAGURU","ST","ADDAKULA LAXMUNAIDU","INC",8973,1,43.91
"Andhra_Pradesh",1962,8,"NAGURU","ST","BIDDIKA SRIRAMULU","CPI",6745,2,33.01
"Andhra_Pradesh",1962,8,"NAGURU","ST","KELLA CHINNAPUDORA","SWA",4715,3,23.08
"Andhra_Pradesh",1962,9,"PARVATHIPURAM","GEN","VYRICHERLA CHANDRA CHUDAMANI DEO","INC",24850,1,58.81
"Andhra_Pradesh",1962,9,"PARVATHIPURAM","GEN","PARUVADA LAXMI NAIDU","IND",17403,2,41.19
"Andhra_Pradesh",1962,10,"PACHIPENTA","ST","DIPPALA SURI DHORA","INC",8235,1,45.76
"Andhra_Pradesh",1962,10,"PACHIPENTA","ST","JANNI MUTYALU","SWA",5459,2,30.33
"Andhra_Pradesh",1962,10,"PACHIPENTA","ST","RAYALA ANNAIAH","IND",4304,3,23.91
"Andhra_Pradesh",1962,11,"SALUR","GEN","SREE RAJA LAKSHMI NARASIMHA SANYASI RAJU","IND",18857,1,48.57
"Andhra_Pradesh",1962,11,"SALUR","GEN","ALLU YERUKU NAIDU","INC",9288,2,23.93
