	Countries	Value	Parent	1950	1955	1960	1965	1970	1975	1980	1985	1990	1995	2000	2005	2010	2015
0	Afghanistan	652860.0	World	7450.738	8009.614	8774.44	9765.015	11015.621	12551.79	13180.431	11528.977	11731.193	17586.073	20595.36	24860.855	28397.812	32006.788
1	Albania	28750.0	World	1214.489	1390.137	1618.829	1874.302	2138.966	2426.592	2734.776	3077.93	3446.882	3357.858	3304.948	3196.13	3150.143	3196.981
2	Algeria	2381740.0	World	8872.247	9917.048	11277.757	12771.084	14690.855	16833.516	19475.204	22847.437	26239.708	29315.463	31719.449	33960.903	37062.82	40633.464
3	American Samoa	200.0	World	18.937	19.706	20.012	23.518	27.292	29.932	32.456	39.247	47.044	52.874	57.522	59.117	55.636	55.538
4	Andorra	470.0	World	6.197	9.235	13.414	18.551	24.279	30.706	36.063	44.597	54.511	63.854	65.399	81.223	77.907	80.95
5	Angola	1246700.0	World	4147.509	4543.15	4965.988	5433.841	5928.087	6637.628	7637.141	9063.646	10333.844	12104.952	13924.93	16544.376	19549.124	22819.926
6	Antigua and Barbuda	440.0	World	46.301	52.611	54.681	59.653	65.369	69.253	70.301	65.744	61.906	68.349	77.648	82.565	87.233	91.822
7	Argentina	2780400.0	World	17150.335	18931.045	20623.998	22293.817	23978.532	26070.443	28120.135	30340.419	32624.874	34833.168	36903.067	38647.854	40374.224	42154.914
8	Armenia	29740.0	World	1353.506	1563.508	1867.396	2204.65	2518.408	2825.65	3096.298	3339.147	3544.695	3223.173	3076.098	3014.917	2963.496	2989.467
9	Aruba	180.0	World	38.066	43.727	54.208	57.36	59.065	60.655	60.096	63.028	62.148	80.326	90.858	100.031	101.597	103.889
10	Australia	7741220.0	World	8177.344	9212.824	10292.328	11368.011	12904.76	13892.674	14708.323	15791.043	17096.869	18124.234	19259.377	20520.736	22404.488	23923.101
11	Austria	83879.0	World	6937.818	6959.541	7056.28	7285.375	7489.485	7618.82	7555.154	7575.891	7670.001	7985.372	8020.262	8238.604	8401.924	8557.761
12	Azerbaijan	86600.0	World	2895.997	3327.733	3897.889	4579.759	5178.16	5693.796	6163.99	6674.107	7216.503	7770.806	8117.742	8563.398	9094.718	9612.58
13	Bahamas	13880.0	World	79.088	88.619	109.526	140.049	169.356	188.882	210.66	234.684	256.338	280.05	297.759	329.088	360.498	387.549
14	Bahrain	770.0	World	115.614	133.653	162.501	187.348	213.102	266.686	359.902	419.425	495.944	563.73	668.239	879.534	1251.513	1359.726
15	Bangladesh	148460.0	World	37894.678	43108.942	49537.147	57200.412	66308.862	72265.173	82498.44	94287.722	107385.847	119869.585	132383.265	143135.18	151125.475	160411.249
16	Barbados	430.0	World	210.995	227.03	230.858	235.294	238.616	245.663	248.784	254.354	259.336	263.165	267.19	273.568	280.396	287.482
17	Belarus	207600.0	World	7745.003	7803.585	8190.113	8607.137	9039.648	9367.178	9658.658	9998.629	10259.86	10189.075	9981.46	9664.714	9491.07	9259.666
18	Belgium	30530.0	World	8628.489	8870.792	9140.563	9440.279	9664.32	9769.006	9855.747	9893.499	9978.241	10161.914	10268.38	10508.08	10941.288	11183.411
19	Belize	22970.0	World	68.918	79.872	92.068	106.121	122.179	133.261	144.151	164.916	187.552	206.962	238.586	271.92	308.595	347.598
20	Benin	114760.0	World	2255.221	2303.585	2431.62	2632.36	2907.769	3262.959	3718.024	4287.263	5001.271	5985.658	6949.366	8182.362	9509.798	10879.828
21	Bermuda	50.0	World	37.26	40.639	44.714	48.841	51.766	54.28	56.067	57.813	59.798	61.407	62.837	64.137	64.951	65.578
22	Bhutan	38394.0	World	176.795	200.114	224.155	252.698	291.555	349.28	412.745	469.244	535.738	509.105	564.35	650.417	716.939	776.461
23	Bosnia and Herzegovina	51210.0	World	2661.293	3013.602	3305.501	3545.862	3719.459	3922.171	4099.903	4321.966	4526.511	3520.996	3834.364	3879.828	3845.929	3819.684
24	Botswana	581730.0	World	412.533	469.76	524.173	595.904	693.176	822.806	997.534	1184.657	1383.912	1583.453	1755.375	1875.805	1969.341	2056.37
25	Brazil	8515770.0	World	53974.725	62903.025	72775.883	84379.369	96060.361	108219.657	121740.438	136223.043	149648.341	161890.816	174504.898	186142.403	195210.154	203657.21
26	Brunei Darussalam	5770.0	World	48.001	63.398	81.817	102.516	129.719	160.791	193.049	223.041	256.929	295.003	331.801	367.815	400.569	428.539
27	Bulgaria	111000.0	World	7250.999	7541.295	7866.472	8206.564	8494.765	8727.332	8865.235	8960.387	8821.111	8358.116	8000.51	7683.264	7389.175	7112.641
28	Burkina Faso	274220.0	World	4284.457	4517.155	4829.291	5174.869	5624.597	6154.548	6822.84	7727.912	8811.033	10089.876	11607.944	13421.929	15540.284	17914.625
29	Burundi	27830.0	World	2308.923	2531.8	2786.74	3079.034	3457.113	3676.991	4126.538	4774.155	5605.873	6209.923	6674.286	7770.392	9232.753	10812.619
30	Cambodia	181040.0	World	4432.716	5043.725	5720.019	6464.999	7021.559	7555.928	6699.273	7777.235	9057.339	10769.198	12222.871	13356.424	14364.931	15677.059
31	Cameroon	475440.0	World	4466.498	4873.726	5361.367	5987.671	6770.967	7740.196	8932.121	10381.098	12070.359	13929.575	15927.713	18137.734	20624.343	23393.129
32	Canada	9984670.0	World	13736.997	15733.858	17909.232	19688.687	21434.401	23135.845	24511.056	25843.476	27657.79	29294.899	30697.425	32253.092	34126.24	35871.283
33	Cape Verde	4030.0	World	178.066	195.481	212.247	241.659	275.426	312.413	301.591	330.966	351.96	399.477	442.426	478.651	487.601	508.315
34	Cayman Islands	264.0	World	6.413	6.676	7.867	8.371	9.144	12.238	16.164	19.315	25.009	31.672	41.685	48.623	55.509	59.967
