Country,Artist_Name,Artwork_Name,Year
Australian,Arthur Streeton,Sydney Harbour,1907
Australian,Arthur Streeton,Mount St Quentin,1918
Australian,Arthur Streeton,Land of the Golden Fleece,1926
Australian,Brett Whiteley,Untitled Red Painting,1960
Australian,Brett Whiteley,Untitled Warm Painting,1961
Australian,Brett Whiteley,Bathers,1963
Australian,Brett Whiteley,Nude at Basin,1963
Australian,Brett Whiteley,Head of Christie,1964
Australian,Brett Whiteley,Listening to Nature,1964
Australian,Brett Whiteley,Woman in Bath,1964
Australian,Brett Whiteley,Woman in the Bath,1964
Australian,Brett Whiteley,Remembering Lao Tse (Shaving off a Second),1967
Australian,Brett Whiteley,American Dream,1969
Australian,Brett Whiteley,Night Cafe,1972
Australian,Brett Whiteley,Alchemy,1973
Australian,Brett Whiteley,The Balcony 2,1975
Australian,Brett Whiteley,Lavender Bay Pier in the Rain,1976
Australian,Brett Whiteley,Self Portrait in Studio,1976
Australian,Brett Whiteley,Summer at Carcoar,1977
Australian,Brett Whiteley,Balmoral,1978
Australian,Brett Whiteley,Untitled (Bird),1978
Australian,Brett Whiteley,Wei,1979
Australian,Brett Whiteley,The Cat,1980
Australian,Brett Whiteley,The Garden in Sanur - Bali,1980
Australian,Brett Whiteley,"The Window, Lavender Bay",1980
Australian,Brett Whiteley,Opera House,1982
Australian,Brett Whiteley,The Blossom Tree,1982
Australian,Brett Whiteley,Thebe's Revenge,1982
Australian,Brett Whiteley,St-Remy de Provence,1983
Australian,Brett Whiteley,Portrait of Wendy,1984
Australian,Brett Whiteley,The Olgas for Ernest Giles,1985
Australian,Brett Whiteley,Washing the Salt Off,1985
Australian,Brett Whiteley,Hibiscus,1987
Australian,Brett Whiteley,Frangipani and Humming Bird - Japanese: Summer,1988
Australian,Brett Whiteley,The Arrival,1988
Australian,Brett Whiteley,"The Sunrise, Japanese: Good Morning!",1988
Australian,Brett Whiteley,The 15 Great Dog Pisses of Paris,1989
Australian,Charles Blackman,Schoolgirl ,1952
Australian,Charles Blackman,SCHOOLGIRLS WITH TRAM TRACKS ,1952
Australian,Charles Blackman,The Stairs ,1952
Australian,Charles Blackman,Crying Schoolgirl ,1953
Australian,Charles Blackman,Hawthorn Schoolgirl ,1953
Australian,Charles Blackman,Lucy ,1953
Australian,Charles Blackman,Schoolboy ,1953
Australian,Charles Blackman,Schoolgirl ,1953
Australian,Charles Blackman,Schoolgirl and Buildings ,1953
Australian,Charles Blackman,Schoolgirl and Shadow ,1953
Australian,Charles Blackman,Schoolgirl in a Lane ,1953
Australian,Charles Blackman,Schoolgirls and Factory Smoke ,1953
Australian,Charles Blackman,Schoolgirls at Play ,1953
Australian,Charles Blackman,Smiling Schoolgirl ,1953
Australian,Charles Blackman,TWO SCHOOLGIRLS ,1953
Australian,Charles Blackman,Man Floating ,1953
Australian,Charles Blackman,FIVE SCHOOLGIRLS ,1954
Australian,Charles Blackman,Schoolgirl and Billboards ,1954
Australian,Charles Blackman,Schoolgirl Reading ,1954
Australian,Charles Blackman,Schoolgirls ,1954
Australian,Charles Blackman,Schoolgirls ,1954
Australian,Charles Blackman,The Picnic ,1954
Australian,Charles Blackman,Street Corner ,1954
Australian,Charles Blackman,The Blue Dress ,1954
Australian,Charles Blackman,The Dark Street ,1954
Australian,Charles Blackman,Children ,1954
