Country,Artist_Name,Artwork_Name,Year
Austrian,Alfred Kubin,Gateway to Hell,1900
Austrian,Alfred Kubin,jede nacht besucht uns ein traum,1900
Austrian,Alfred Kubin,The Witch,1900
Austrian,Alfred Kubin,Untitled (The Eternal Flame),1900
Austrian,Alfred Kubin,One Woman For All,1901
Austrian,Alfred Kubin,The Lady on the Horse,1901
Austrian,Alfred Kubin,The Past (forgotten-swallowed),1901
Austrian,Alfred Kubin,Death Jump,1902
Austrian,Alfred Kubin,The Man,1902
Austrian,Alfred Kubin,Polar Bear (EisbÃ¤r),1902
Austrian,Alfred Kubin,Siberian Fairy Tale,1902
Austrian,Alfred Kubin,The Last King,1902
Austrian,Alfred Kubin,The Moment of Birth,1902
Austrian,Alfred Kubin,Angst,1903
Austrian,Alfred Kubin,Man in a Storm,1903
Austrian,Alfred Kubin,Black Mass,1905
Austrian,Alfred Kubin,The Groom,1906
Austrian,Alfred Kubin,The White House,1906
Austrian,Alfred Kubin,The Emperor of China,1910
Austrian,Alfred Kubin,Caliban from the portfolio Visions of Shakespeare (Shakespeare Visionen),1918
Austrian,Alfred Kubin,Homage to Rimbaud,1919
Austrian,Alfred Kubin,In Flight,1920
Austrian,Alfred Kubin,Abduction,1921
Austrian,Alfred Kubin,The Great Grandmother,1926
Austrian,Arnulf Rainer,Head of the Diver (Deny Your Birth),1950
Austrian,Arnulf Rainer,The Water is a Naked Box,1950
Austrian,Arnulf Rainer,Blume,1957
Austrian,Arnulf Rainer,A Nose Adjustment (Face Farce),1971
Austrian,Arnulf Rainer,Untitled (Face Farce),1971
Austrian,Arnulf Rainer,Untitled (Face Farce),1971
Austrian,Arnulf Rainer,Krass,1973
Austrian,Arnulf Rainer,The Great Composers,1973
Austrian,Arnulf Rainer,Untitled (Body Language),1973
Austrian,Arnulf Rainer,Untitled (Death Mask),1978
Austrian,Arnulf Rainer,Untitled (Death Mask),1978
Austrian,Arnulf Rainer,Untitled (Death Mask),1978
Austrian,Arnulf Rainer,Wine Crucifix,1978
Austrian,Arnulf Rainer,Backbone,1979
Austrian,Arnulf Rainer,Johann Wolfgang von Goethe,1982
Austrian,Egon Schiele,Melon,1905
Austrian,Egon Schiele,"View from the Drawing Classroom, Klosterneuburg, ",1905
Austrian,Egon Schiele,"Silhouette of Klosterneuburg, ",1906
Austrian,Egon Schiele,Winding Brook,1906
Austrian,Egon Schiele,Boating,1907
Austrian,Egon Schiele,Forest with Sunlit Clearing in the Background,1907
Austrian,Egon Schiele,Harbor of Trieste,1907
Austrian,Egon Schiele,House with a Bay Window in the Garden,1907
Austrian,Egon Schiele,Landscape in Lower Austria,1907
Austrian,Egon Schiele,Meadow with Village in Background,1907
Austrian,Egon Schiele,"On the Beach, Moonlight",1907
Austrian,Egon Schiele,Portrait of Leopold Czihaczek,1907
Austrian,Egon Schiele,Portrait of Leopold Czihaczek (Head of a Bearded Man I),1907
Austrian,Egon Schiele,"Portrait of Leopold Czihaczek, in Profile Facing Left",1907
Austrian,Egon Schiele,"Portrait of Leopold Czihaczek, Standing",1907
Austrian,Egon Schiele,"Self Portrait, Facing Right",1907
Austrian,Egon Schiele,Trees Mirrored in a Pond,1907
Austrian,Egon Schiele,View into the Apartment of Leopold and Marie Czihaczek,1907
Austrian,Egon Schiele,Village with Mountains,1907
Austrian,Egon Schiele,House Between Trees I,1908
Austrian,Egon Schiele,Houses on the Town Square in Klosterneuberg,1908
Austrian,Egon Schiele,Kneeling Young Man,1908
Austrian,Egon Schiele,Mother and Child (Madonna),1908
Austrian,Egon Schiele,Reclining Female Nude,1908
Austrian,Egon Schiele,Reclining Woman with Red Blouse,1908
Austrian,Egon Schiele,Sailing Boat with Reflection in the Water,1908
Austrian,Egon Schiele,Sailing Ship with Dinghy,1908
Austrian,Egon Schiele,Standing Woman,1908
Austrian,Egon Schiele,Sunflower,1908
Austrian,Egon Schiele,"The Artist's Sister, Melanie",1908
Austrian,Egon Schiele,Village by the River,1908
Austrian,Egon Schiele,Water Sprites,1908
Austrian,Egon Schiele,Autumn Tree with Fuchsias,1909
Austrian,Egon Schiele,Danae,1909
Austrian,Egon Schiele,Man with Blue Headband and Hand on Cheek,1909
Austrian,Egon Schiele,Portrait of Gerti Schiele,1909
Austrian,Egon Schiele,Portrait of the Composer Arthur Lowenstein,1909
Austrian,Egon Schiele,Portrait of the Painter Anton Peschka,1909
Austrian,Egon Schiele,Self Portrait with Spread Fingers,1909
Austrian,Egon Schiele,"Standing Girl in a Plaid Garment, ",1909
Austrian,Egon Schiele,Sunflower,1909
Austrian,Egon Schiele,Woman with Black Hat,1909
Austrian,Egon Schiele,Arthur Roessler,1910
Austrian,Egon Schiele,Boy with Hand to Face,1910
Austrian,Egon Schiele,City on the Blue River,1910
Austrian,Egon Schiele,"Clothed Woman, Reclining, ",1910
Austrian,Egon Schiele,Dead Mother,1910
Austrian,Egon Schiele,Female Nude,1910
Austrian,Egon Schiele,Female nude,1910
Austrian,Egon Schiele,Field Landscape (Kreuzberg near Krumau),1910
Austrian,Egon Schiele,Field of Flowers,1910
Austrian,Egon Schiele,Fuchsia,1910
Austrian,Egon Schiele,"Girl in Black Pinafore, Wrapped in Plaid blanket",1910
Austrian,Egon Schiele,Girl with Green Pinafore,1910
