Country,Artist_Name,Artwork_Name,Year
Brazilian,Abraham Palatnik,Kinechromatic Device S-14,1958
Brazilian,Abraham Palatnik,Progression 91-A,1965
Brazilian,Abraham Palatnik,Progression 21-A,1965
Brazilian,Abraham Palatnik,Mobilidade IV,1965
Brazilian,Abraham Palatnik,Kinetic object K-06,1966
Brazilian,Abraham Palatnik,Kinetic Object C-15,1969
Brazilian,Abraham Palatnik,Owl,1970
Brazilian,Abraham Palatnik,Dove,1970
Brazilian,Abraham Palatnik,Peacock,1970
Brazilian,Abraham Palatnik,Relevo em Vacum,1977
Brazilian,Abraham Palatnik,Kinetic Object,1986
Brazilian,Abraham Palatnik,Kinetic Object,1999
Brazilian,Aldemir Martins,Vase of Flowers,1949
Brazilian,Aldemir Martins,Perfil de Mulher,1967
Brazilian,Aldemir Martins,Frutas,1968
Brazilian,Aldemir Martins,Vase With Flowers,1968
Brazilian,Aldemir Martins,Flores,1971
Brazilian,Aldemir Martins,Galo,1977
Brazilian,Aldemir Martins,Baiana,1980
Brazilian,Aldemir Martins,Bumba meu Boi,1981
Brazilian,Aldemir Martins,Cat,1982
Brazilian,Aldemir Martins,Galo,1987
Brazilian,Aldemir Martins,Vase With Flowers,1990
Brazilian,Aldemir Martins,Cesta Com Frutas,1998
Brazilian,Alfredo Volpi,Bandeirinhas,1950
Brazilian,Alfredo Volpi,Grande fachada festiva,1950
Brazilian,Alfredo Volpi,Sereia,1960
Brazilian,Alfredo Volpi,Bandeirinhas estruturadas,1966
Brazilian,Alfredo Volpi,Bandeirinhas estruturadas,1970
Brazilian,Alfredo Volpi,Fachada,1970
Brazilian,Alfredo Volpi,Catedral,1973
Brazilian,Almir Mavignier,Quadrado Convexo,1956
Brazilian,Almir Mavignier,Untitled,1962
Brazilian,Almir Mavignier,Ohne Titel (Gleiche Dreiecke),1967
Brazilian,Almir Mavignier,Two Squares,1967
Brazilian,Almir Mavignier,Untitled,1967
Brazilian,Almir Mavignier,Cinetic Composition,1968
Brazilian,Almir Mavignier,Punktstruktur,1968
Brazilian,Amilcar de Castro,Untitled,1963
Brazilian,Amilcar de Castro,Untitled,1970
Brazilian,Amilcar de Castro,Untitled,1978
Brazilian,Amilcar de Castro,Untitled,1984
Brazilian,Amilcar de Castro,Untitled,1986
Brazilian,Amilcar de Castro,Untitled,1988
Brazilian,Amilcar de Castro,Escultura no Hall das Bandeiras da Assembleia Legislativa de Minas Gerais,1988
Brazilian,Amilcar de Castro,Untitled,1990
Brazilian,Amilcar de Castro,Untitled,1996
Brazilian,Anita Malfatti,Burrinho correndo,1909
Brazilian,Anita Malfatti,A estudante russa,1915
Brazilian,Anita Malfatti,O Barco,1915
Brazilian,Anita Malfatti,O Farol,1915
Brazilian,Anita Malfatti,Rochedos (Monhegan Island),1915
Brazilian,Anita Malfatti,A Boba,1916
Brazilian,Anita Malfatti,A mulher de cabelos verdes,1916
Brazilian,Anita Malfatti,O homem de sete cores,1916
Brazilian,Anita Malfatti,Uma estudante,1916
Brazilian,Anita Malfatti,A Onda,1917
Brazilian,Anita Malfatti,A Ventania,1917
Brazilian,Anita Malfatti,O homem amarelo,1917
Brazilian,Anita Malfatti,Tropical,1917
Brazilian,Anita Malfatti,Paisagem de Santo Amaro,1920
Brazilian,Anita Malfatti,A Chinesa,1922
Brazilian,Anita Malfatti,Fernanda de Castro,1922
