Country,Artist_Name,Artwork_Name,Year
French,Absalon,Disposition,1990
French,Absalon,Cell,1991
French,Absalon,Cell No. 2,1991
French,Absalon,Cellule,1991
French,Absalon,Cell No. 1,1992
French,Absalon,Cell No. 3 (Prototype),1992
French,Absalon,Cell No. 4 (Prototype),1992
French,Absalon,Cell No. 5,1992
French,Absalon,Cell No. 6 (Prototype),1992
French,Adolph de Meyer,Guitar Player of Seville,1908
French,Adolph de Meyer,Still Life,1908
French,Adolph de Meyer,A Street in China,1912
French,Adolph de Meyer,Aida,1912
French,Adolph de Meyer,From the Shores of the Bosphorus,1912
French,Adolph de Meyer,The Cup,1912
French,Adolph de Meyer,The Nymphenburg Figure,1912
French,Adolph de Meyer,The Silver Cap,1912
French,Adolph de Meyer,Mae Murray,1918
French,Adolph de Meyer,Ann Andrews,1919
French,Adolph de Meyer,Charlie Chaplin,1921
French,Adolph de Meyer,Claude Monet,1921
French,Adolph de Meyer,Portrait of Josephine Baker,1925
French,Adolph de Meyer,Advertisement for Elizabeth Arden cosmetics,1927
French,Adolph de Meyer,Advertisement for Elizabeth Arden cosmetics,1927
French,Adrien Dax,Untitled,1960
French,Adrien Dax,Untitled,1962
French,Albert Bitran,Ours Petrifies,1958
French,Albert Bitran,Untitled,1970
French,Albert Bitran,Composition,1971
French,Albert Bitran,Moins visible,1972
French,Albert Bitran,Composition,1974
French,Albert Bitran,Untitled,1975
French,Albert Bitran,Composition bleu au dessin,1980
French,Albert Bitran,Anguilaine gris et rouge,1983
French,Albert Bitran,"Noir, Jaune et bleu",1991
French,Albert Bitran,Arcades,1997
French,Albert Gleizes,Sitting nude,1909
French,Albert Gleizes,Houses in a Valley,1910
French,Albert Gleizes,Landscape with Bridge and Viaduct,1910
French,Albert Gleizes,La Chasse,1911
French,Albert Gleizes,Portrait de Jacques Nayral,1911
French,Albert Gleizes,Football Players,1912
French,Albert Gleizes,The Swimmers ,1912
French,Albert Gleizes,Femmes cousant,1913
French,Albert Gleizes,Landscape with Chimneys,1913
French,Albert Gleizes,Woman with Animals,1914
French,Albert Gleizes,Paysage,1914
French,Albert Gleizes,Portrait of Igor Stravinsky,1914
French,Albert Gleizes,Two Women Seated by a Window,1914
French,Albert Gleizes,Composition (For Jazz),1915
French,Albert Gleizes,New York,1915
French,Albert Gleizes,Acrobats,1916
French,Albert Gleizes,On Brooklyn Bridge,1917
French,Albert Gleizes,Femme Cubiste,1921
French,Albert Gleizes,Figure Cubiste,1921
French,Albert Gleizes,Femme au Fauteuil,1923
French,Albert Gleizes,The Schoolboy ,1924
French,Albert Gleizes,Composition,1928
French,Albert Gleizes,Arabesque brush or Cubist Composition,1952
French,Albert Marquet,Village Cafe,1900
French,Albert Marquet,Farmyard at La Percaillerie (Normandy),1901
French,Albert Marquet,"Pons, Charente-Maritime",1901
French,Albert Marquet,The Apse of Notre Dame,1901
French,Albert Marquet,Notre-Dame in Winter,1902
French,Albert Marquet,The Coffeepot,1902
French,Albert Marquet,Unloading Sand,1902
French,Albert Marquet,Self-Portrait,1904
French,Albert Marquet,The Port of Marseliles,1904
French,Albert Marquet,Harbor of Menton,1905
French,Albert Marquet,House at Saint-Tropez,1905
French,Albert Marquet,Outskirts of Paris,1905
French,Albert Marquet,The Louvre Embankment,1905
French,Albert Marquet,The Pont Saint-Michel and Notre Dame,1905
French,Albert Marquet,The Port of Saint-Tropez,1905
French,Albert Marquet,View of Agay,1905
French,Albert Marquet,Carnival on the Beach,1906
French,Albert Marquet,July 14th at Havre,1906
French,Albert Marquet,Posters at Trouville,1906
French,Albert Marquet,The Artist's Mother,1906
French,Albert Marquet,The Beach at Sainte-Adresse,1906
French,Albert Marquet,The Pont Neuf,1906
French,Albert Marquet,"The Port, Le Havre",1906
French,Albert Marquet,Embankments of the Seine in Paris,1907
French,Albert Marquet,Bay of Naples,1908
French,Albert Marquet,Le Havre,1911
French,Albert Marquet,Nude on a Divan,1912
French,Albert Marquet,Nude on a Blue Background,1913
French,Albert Marquet,A Horse in Marseille,1916
French,Albert Marquet,Port of Marseilles,1916
French,Albert Marquet,The Port of Algiers with Haze,1943
French,Alberto Magnelli,Maschere No 1,1909
French,Alberto Magnelli,"Decorative Panel, Woman No. 2",1910
French,Alberto Magnelli,Man Smoking,1914
French,Alberto Magnelli,Map of the World and Lacerba,1914
French,Alberto Magnelli,Nude No. 1,1914
French,Alberto Magnelli,The Cafe,1914
French,Alberto Magnelli,The Drunk Man,1914
French,Alberto Magnelli,Woman on a Balcony,1914
French,Alberto Magnelli,La Toilette,1917
French,Alberto Magnelli,Explosion lyrique no. C,1918
French,Alberto Magnelli,Lyrical Explosion No. 12,1918
French,Alberto Magnelli,Farmers at Table,1922
French,Alberto Magnelli,Tuscan Landscape,1922
French,Alberto Magnelli,The Readers,1931
French,Alberto Magnelli,Pierres No. 21,1933
French,Alberto Magnelli,Incantation,1935
French,Alberto Magnelli,Composition,1941
French,Alberto Magnelli,Points D'Hostilite No. 2 A,1941
French,Alberto Magnelli,Tension D'Images,1945
French,Alberto Magnelli,Mystere vert,1952
French,Alberto Magnelli,Animated Tension,1953
French,Alberto Magnelli,Bulwark No. 1,1958
French,Alberto Magnelli,Conversations,1958
French,Alberto Magnelli,Composition,1960
French,Alberto Magnelli,Composizione,1962
French,Alberto Magnelli,Sur fond gris n. 10,1963
French,Alberto Magnelli,Untitled,1963
French,Alberto Magnelli,Composizione in Azzurro,1965
French,Alberto Magnelli,Repercussion 4,1965
French,Alberto Magnelli,Ordered Tempest,1967
French,Alberto Magnelli,La Magnanerie de la Ferrage,1971
French,Alexandre Istrati,Untitled,1950
French,Alexandre Istrati,Untitled,1950
French,Alexandre Istrati,Composition,1951
French,Alexandre Istrati,Composition orange,1951
French,Alexandre Istrati,Composition abstraite,1951
French,Alexandre Istrati,Composition,1955
French,Alexandre Istrati,Abstract Composition,1956
French,Alexandre Istrati,Composition,1956
French,Alexandre Istrati,Composition verte,1956
French,Alexandre Istrati,Composition,1957
French,Alexandre Istrati,Composition,1957
French,Alexandre Istrati,Untitled,1957
French,Alexandre Istrati,Untitled,1960
French,Alexandre Istrati,Untitled,1960
French,Alexandre Istrati,Untitled,1960
French,Alexandre Istrati,Composition,1961
French,Alexandre Istrati,Composition,1961
French,Alexandre Istrati,Une flamme s'allume,1961
French,Alexandre Istrati,Apparition,1962
French,Alexandre Istrati,La terre dormante,1963
French,Alexandre Istrati,Le monde violet,1964
French,Alexandre Istrati,Untitled,1964
French,Alexandre Istrati,Composition vert,1965
French,Alexandre Istrati,Composition,1966
French,Alexandre Istrati,Untitled,1969
French,Alexandre Istrati,Composition,1971
French,Alexandre Istrati,Untitled,1971
French,Alexandre Istrati,Composition,1975
French,Alexandre Istrati,Composition,1983
French,Alexandre Istrati,Composition,1988
French,Alexandre Istrati,Composition,1989
French,Alexandre Istrati,Composition bleu rouge,1989
French,Alexandre Istrati,Cannes jaune,1991
French,Alexandre Istrati,Tondo III,1991
French,Alfred Manessier,Les Dieux marins,1935
French,Alfred Manessier,Figure of Piety,1945
French,Alfred Manessier,Salve Regina,1945
French,Alfred Manessier,Untitled,1946
French,Alfred Manessier,David,1948
French,Alfred Manessier,La Mise au tombeau,1949
French,Alfred Manessier,Hiver,1950
French,Alfred Manessier,Twilight,1950
French,Alfred Manessier,"Untitled, ",1952
French,Alfred Manessier,Litanies,1952
French,Alfred Manessier,Recueillement nocturne II,1952
French,Alfred Manessier,Blue-Green Lines on Aqua Background,1953
French,Alfred Manessier,Living Flame,1954
French,Alfred Manessier,Morte eau,1954
French,Alfred Manessier,Abstract Composition,1955
French,Alfred Manessier,Untitled,1957
French,Alfred Manessier,Plate from Les Cantiques Spirituels,1958
French,Alfred Manessier,Plate from Les Cantiques Spirituels,1958
French,Alfred Manessier,Composition,1959
French,Alfred Manessier,Offrande de la terre I,1961
French,Alfred Manessier,Tumulte,1961
French,Alfred Manessier,Early Spring,1966
French,Alfred Manessier,Illustration from 'Elegie pour Martin Luther King',1978
French,Alfred Manessier,L'Apparition a Marie de Magdala,1978
French,Alfred Manessier,Le Crucifiement,1978
French,Alfred Manessier,L'Emprisonnement,1978
French,Alfred Manessier,Les Jardin des oliviers,1978
French,Alfred Manessier,Eaux vives,1979
French,Alfred Manessier,Favellas III,1980
French,Alfred Manessier,Passion,1982
French,Amedee Ozenfant,Still Life,1921
French,Amedee Ozenfant,Accords,1922
French,Amedee Ozenfant,Nacres,1926
French,Amedee Ozenfant,Composition puriste,1926
French,Amedee Ozenfant,Le pichet blanc,1926
French,Amedee Ozenfant,Still Life,1926
French,Amedee Ozenfant,Composition II,1929
French,Amedee Ozenfant,Maternity,1941
French,Amedee Ozenfant,Adam et Eve,1957
French,Amedee Ozenfant,Untitled,1957
French,Amedee Ozenfant,36 Voiles,1963
French,Amedee Ozenfant,Voilier,1963
French,Andre Bauchant,Birds in a Gorge,1916
French,Andre Bauchant,Animals Crossing a Flooded River with a Distant Waterfall,1924
French,Andre Bauchant,Lucretia,1924
French,Andre Bauchant,The Proclamation of American Independence,1926
French,Andre Bauchant,Vase aux Tulipes,1926
French,Andre Bauchant,Blumen in Landschaft,1928
French,Andre Bauchant,Grand bouquet of wild flowers,1928
French,Andre Bauchant,Le bouquet,1928
French,Andre Bauchant,La chute d'eau,1929
French,Andre Bauchant,Paysage montagneux,1929
French,Andre Bauchant,Monaco,1930
