Country,Artist_Name,Artwork_Name,Year
Greek,Arkhip Kuindzhi,"Elbrus , ",1900
Greek,Arkhip Kuindzhi,"Elbrus in the daytime, ",1900
Greek,Arkhip Kuindzhi,Fishing on the Black Sea,1900
Greek,Arkhip Kuindzhi,"Rainbow, ",1900
Greek,Arkhip Kuindzhi,Sunset in the steppes,1900
Greek,Arkhip Kuindzhi,A Birch Grove,1901
Greek,Arkhip Kuindzhi,Christ in the Garden of Gethsemane,1901
Greek,Arkhip Kuindzhi,Dnieper ,1901
Greek,Arkhip Kuindzhi,Dnieper ,1901
Greek,Arkhip Kuindzhi,"Clouds, ",1905
Greek,Arkhip Kuindzhi,"Clouds, ",1905
Greek,Arkhip Kuindzhi,"Crimea, ",1905
Greek,Arkhip Kuindzhi,"Crimea, ",1905
Greek,Arkhip Kuindzhi,"In the Crimea, ",1905
Greek,Arkhip Kuindzhi,"Oaks, ",1905
Greek,Arkhip Kuindzhi,"Rainbow, ",1905
Greek,Arkhip Kuindzhi,"A Birch Grove, ",1908
Greek,Arkhip Kuindzhi,"Ai-Petri. Crimea, ",1908
Greek,Arkhip Kuindzhi,"Autumn. Fog, ",1908
Greek,Arkhip Kuindzhi,"Cloud , ",1908
Greek,Arkhip Kuindzhi,"Cloud over the mountain valley, ",1908
Greek,Arkhip Kuindzhi,"Coast of the sea with a rock, ",1908
Greek,Arkhip Kuindzhi,"Crescent moon at sunset, ",1908
Greek,Arkhip Kuindzhi,"Elbrus in the Evening, ",1908
Greek,Arkhip Kuindzhi,"Elbrus in the Evening, ",1908
Greek,Arkhip Kuindzhi,"Expanse. Crimea, ",1908
Greek,Arkhip Kuindzhi,Flower Garden. Caucasus,1908
Greek,Arkhip Kuindzhi,"Fog in the mountains. Caucasus, ",1908
Greek,Arkhip Kuindzhi,"Forest expanse, ",1908
Greek,Arkhip Kuindzhi,"Forest Glade. Fog, ",1908
Greek,Arkhip Kuindzhi,"Forest swamp, ",1908
Greek,Arkhip Kuindzhi,"Forest. Burdock , ",1908
Greek,Arkhip Kuindzhi,"Grove, ",1908
Greek,Arkhip Kuindzhi,"Moonlight in a Forest. Winter, ",1908
Greek,Arkhip Kuindzhi,"Moonlight Night on the Dnieper, ",1908
Greek,Arkhip Kuindzhi,"Night, ",1908
Greek,Arkhip Kuindzhi,"Red sunset, ",1908
Greek,Arkhip Kuindzhi,"Red sunset, ",1908
Greek,Arkhip Kuindzhi,"Sunlight in the park, ",1908
Greek,Arkhip Kuindzhi,"Sunset, ",1908
Greek,Arkhip Kuindzhi,"Sunset in the steppes by the sea, ",1908
Greek,Arkhip Kuindzhi,"The limpid water. Gloomy day. Crimea, ",1908
Greek,Arkhip Kuindzhi,"The Sea. The Crimea, ",1908
Greek,Arkhip Kuindzhi,"The top of Mount Elbrus in the Sunlight, ",1908
Greek,Chronis Botsoglou,Sunday Afternoon,1941
Greek,Chronis Botsoglou,Landscape,1963
Greek,Chronis Botsoglou,Study for portrait,1964
Greek,Chronis Botsoglou,Study for portrait,1964
Greek,Chronis Botsoglou,Study,1965
Greek,Chronis Botsoglou,Stripper,1968
Greek,Chronis Botsoglou,Self portrait ,1973
Greek,Chronis Botsoglou,Man in red ,1980
Greek,Chronis Botsoglou,Untitled ,1980
Greek,Chronis Botsoglou,Artist's mother,1983
Greek,Chronis Botsoglou,My mother,1983
Greek,Chronis Botsoglou,Tribute toTziakometti,1986
Greek,Chronis Botsoglou,Tribute to Bouzianis ,1986
Greek,Chronis Botsoglou,Tribute to Byzantine masters ,1986
Greek,Chronis Botsoglou,Tribute to France Hals ,1986
Greek,Chronis Botsoglou,Tribute to Whistler ,1986
Greek,Chronis Botsoglou,The artist's mother,1988
Greek,Chronis Botsoglou,Man's Head ,1993
Greek,Chronis Botsoglou,Study in solitude,1998
Greek,Chronis Botsoglou,Triptych of mourning ,1998
