Country,Artist_Name,Artwork_Name,Year
Jewish,Abraham Manievich,"Winter Landscape with a Church, ",1905
Jewish,Abraham Manievich,"Vinnytsia, Yerusalymka District",1905
Jewish,Abraham Manievich,Winter Landscape: Outskirts of Kyiv,1908
Jewish,Abraham Manievich,Troika in the Snow,1910
Jewish,Abraham Manievich,Birch Trees,1911
Jewish,Abraham Manievich,Winter Scene with Church,1911
Jewish,Abraham Manievich,The Spring Sun,1913
Jewish,Abraham Manievich,Spring in Kyiv`s Kurenivka District,1915
Jewish,Abraham Manievich,Street in a Provincial Town,1915
Jewish,Abraham Manievich,"Destruction of the Ghetto, Kiev",1919
Jewish,Abraham Manievich,Rural Landscape,1921
Jewish,Abraham Manievich,Camden,1923
Jewish,Abraham Manievich,Untitled,1925
Jewish,Abraham Manievich,Untitled,1925
Jewish,Abraham Manievich,Autumn in the Park,1925
Jewish,Abraham Manievich,Portrait of the Artist`s Wife,1929
Jewish,Abraham Manievich,Still Life,1930
Jewish,Abraham Manievich,Artist's Wife,1937
Jewish,Abraham Manievich,"Cloudy Day, Bridgeport, Connecticut",1939
Jewish,Abraham Palatnik,Kinechromatic Device S-14,1958
Jewish,Abraham Palatnik,Progression 91-A,1965
Jewish,Abraham Palatnik,Progression 21-A,1965
Jewish,Abraham Palatnik,Mobilidade IV,1965
Jewish,Abraham Palatnik,Kinetic object K-06,1966
Jewish,Abraham Palatnik,Kinetic Object C-15,1969
Jewish,Abraham Palatnik,Owl,1970
Jewish,Abraham Palatnik,Dove,1970
Jewish,Abraham Palatnik,Peacock,1970
Jewish,Abraham Palatnik,Relevo em Vacum,1977
Jewish,Abraham Palatnik,Kinetic Object,1986
Jewish,Abraham Palatnik,Kinetic Object,1999
Jewish,Andre Kertesz,"Circus, Budapest, 19 May 1920",1920
Jewish,Andre Kertesz,"Jardin Du Luxembourg, Paris",1925
Jewish,Andre Kertesz,Paris,1925
Jewish,Andre Kertesz,Satiric Dancer,1926
Jewish,Andre Kertesz,Chair with French Horn,1927
Jewish,Andre Kertesz,Meudon,1928
Jewish,Andre Kertesz,The Fork,1928
Jewish,Andre Kertesz,"Eiffel Tower, Paris",1929
Jewish,Andre Kertesz,"Elizabeth and Me, Paris",1931
Jewish,Andre Kertesz,"Chagall Family, Paris",1933
Jewish,Andre Kertesz,Distortion #49,1933
Jewish,Andre Kertesz,"Poughkeepsie, New York",1937
Jewish,Andre Kertesz,"Ballet, New York City",1938
Jewish,Andre Kertesz,Lion and Shadow,1949
Jewish,Arthur Segal,Selbstbildnis,1908
Jewish,Arthur Segal,Weg nach Kynwasser (Riesengebirge),1908
Jewish,Arthur Segal,Flori de salcie,1909
Jewish,Arthur Segal,Still Life with Fruits,1911
Jewish,Arthur Segal,Vom Strande. Cover ,1913
Jewish,Arthur Segal,Vom Strande. Page 1,1913
Jewish,Arthur Segal,Vom Strande. Page 3,1913
Jewish,Arthur Segal,Vom Strande. Page 5,1913
Jewish,Arthur Segal,Vom Strande. Page 7,1913
Jewish,Arthur Segal,Vom Strande. Page 9,1913
