Country,Artist_Name,Artwork_Name,Year
Polish,Aleksander Gierymski,Piazza del Popolo w Rzymie,1901
Polish,Andre Cadere,6 Bars,1970
Polish,Andre Cadere,Untitled (Polychrome Bar),1970
Polish,Andre Cadere,Cubic Bar of Wood,1971
Polish,Andre Cadere,Round Wooden Bar,1974
Polish,Andre Cadere,"Round Wooden Bar in Red, Blue, Orange, Green, Yellow and Violet",1975
Polish,Andre Cadere,Six Round Wooden Bars,1975
Polish,Andre Cadere,Untitled Bar (A-I 0203000 = 25 = I x 12 =),1976
Polish,Andre Cadere,Round Wooden Bar,1977
Polish,Andre Cadere,Untitled Bar (A 13002040),1977
Polish,Bernard Schultze,Untitled,1954
Polish,Bernard Schultze,Beff,1959
Polish,Bernard Schultze,Myrrst,1963
Polish,Bernard Schultze,Garten der Semiramis,1982
Polish,Bernard Schultze,Bosch-Landschaft,1984
Polish,Bernard Schultze,Anabisis,1988
Polish,Bernard Schultze,Janus-Kopf,1992
Polish,Bernard Schultze,Tanz-Migof,1992
Polish,Bernard Schultze,Wege in die Irre,1992
Polish,Bernard Schultze,Innere Landschaft 1,1997
Polish,Bernard Schultze,Kleine Attacken,1997
Polish,Bernard Schultze,Kraut-Garten,1997
Polish,Bernard Schultze,Vor heiteren Turbulenzen,1998
Polish,Edward Krasinski,Object,1960
Polish,Edward Krasinski,Untitled,1965
Polish,Edward Krasinski,Untitled,1968
Polish,Edward Krasinski,Untitled,1968
Polish,Edward Krasinski,Untitled,1969
Polish,Edward Krasinski,Intervention 15,1975
Polish,Edward Krasinski,Intervention 27,1975
Polish,Edward Krasinski,Intervention,1975
Polish,Edward Krasinski,Untitled,1978
Polish,Edward Krasinski,Intervention Red Nail,1994
Polish,Ferdynand Ruszczyc,Forest creek,1900
Polish,Ferdynand Ruszczyc,Pustka - Stare gniazdo,1901
Polish,Ferdynand Ruszczyc,Lighthouse,1903
Polish,Ferdynand Ruszczyc,Bajka zimowa,1904
Polish,Ferdynand Ruszczyc,Nec mergitur,1905
Polish,Ferdynand Ruszczyc,Astronomical Observatory of Vilnius University,1910
Polish,Henryk Berlewi,Circle and Square in Space,1923
Polish,Henryk Berlewi,Kontrasty Mekanofakturowe,1924
Polish,Henryk Berlewi,Mechano-Factura,1924
Polish,Henryk Berlewi,Mechano-Faktura Construction,1924
Polish,Henryk Berlewi,Mechano-Faktura,1924
Polish,Henryk Berlewi,Reklama Mechano,1924
Polish,Henryk Berlewi,Composition,1934
Polish,Henryk Berlewi,Mechano-Facture,1953
Polish,Henryk Siemiradzki,Beggar (sketch),1902
Polish,Henryk Stazewski,Collage,1961
Polish,Henryk Stazewski,Relief nr. 12,1963
Polish,Henryk Stazewski,Untitled,1966
Polish,Henryk Stazewski,Relief nr. 18,1967
Polish,Henryk Stazewski,47-1972,1972
Polish,Henryk Stazewski,Relief,1972
Polish,Henryk Stazewski,Composition No. 21,1973
Polish,Henryk Stazewski,Relief no. 11,1973
Polish,Henryk Stazewski,Composition no. 3,1974
Polish,Henryk Stazewski,Composition No. 33,1975
Polish,Henryk Stazewski,Composition no. 13,1976
Polish,Henryk Stazewski,Grey-White Relief #2,1976
Polish,Henryk Stazewski,Kompozycja,1976
Polish,Henryk Stazewski,Nr. 123,1976
Polish,Henryk Stazewski,Relief,1976
Polish,Henryk Stazewski,58-1977,1977
Polish,Henryk Stazewski,Labirynt nr. 47,1977
Polish,Henryk Stazewski,Composition,1978
Polish,Henryk Stazewski,1-1979,1979
Polish,Henryk Stazewski,Kompozycja,1979
Polish,Henryk Stazewski,Relief,1979
Polish,Henryk Stazewski,Relief,1979
Polish,Jacek Malczewski,"Angel, I will follow you",1901
Polish,Jacek Malczewski,Death,1902
Polish,Jacek Malczewski,Severus,1902
Polish,Jacek Malczewski,Art,1903
Polish,Jacek Malczewski,Country,1903
Polish,Jacek Malczewski,Law,1903
Polish,Jacek Malczewski,Portrait of Aleksander Wielopolski,1903
Polish,Jacek Malczewski,Portrait of Jan Kasprowicz,1903
Polish,Jacek Malczewski,Portrait of Waclaw Karczewski,1906
Polish,Jacek Malczewski,Portrait of Erazm Baracz,1907
Polish,Jacek Malczewski,Eloe,1909
Polish,Jacek Malczewski,"Follow the Stream (central part) , 190",1910
Polish,Jacek Malczewski,"Follow the Stream (left wing), 190",1910
Polish,Jacek Malczewski,"Follow the Stream (right wing), 190",1910
Polish,Jacek Malczewski,Ellenai,1910
Polish,Jacek Malczewski,Death,1911
Polish,Jacek Malczewski,Back in the homeland (Back from Siberia),1911
Polish,Jacek Malczewski,Self-portrait in Armour,1914
Polish,Jacek Malczewski,Polonia,1914
Polish,Jacek Malczewski,Destiny,1917
Polish,Jacek Malczewski,A woman in a grove,1917
Polish,Jacek Malczewski,Death,1917
Polish,Jacek Malczewski,Pythia,1917
Polish,Jacek Malczewski,Polonia,1918
Polish,Jacek Malczewski,"Saint Agnes, 192",1921
Polish,Jacek Yerka,Karnaway and Volkskunst Museum,1977
Polish,Jacek Yerka,"International Children's Day, ",1977
Polish,Jacek Yerka,"Polish cuisine is waiting  for you, ",1977
Polish,Jacek Yerka,"WPHW Torun, ",1977
Polish,Jacek Yerka,Festival of Polish theaters and reciters,1977
Polish,Jacek Yerka,The Silence,1978
Polish,Jacek Yerka,Palestine!,1979
Polish,Jacek Yerka,Homeland Denied (Return to Sender) ,1979
Polish,Jacek Yerka,Dead end,1980
Polish,Jacek Yerka,Short firearms ,1980
Polish,Jacek Yerka,Base,1981
Polish,Jacek Yerka,Shed Of Rebellion,1981
Polish,Jacek Yerka,The Inquisition,1981
Polish,Jacek Yerka,Internal Inspection,1982
Polish,Jacek Yerka,Fever,1982
Polish,Jacek Yerka,Twilight In The Cupboard,1982
Polish,Jacek Yerka,Back To Nature,1983
Polish,Jacek Yerka,Susan,1984
Polish,Jacek Yerka,13 XII 1981 Forever,1985
Polish,Jacek Yerka,To Each His Own,1988
Polish,Jacek Yerka,Ammonite,1989
Polish,Jacek Yerka,Attack At Dawn,1989
Polish,Jacek Yerka,Between Heaven And Hell,1989
Polish,Jacek Yerka,Indian summer,1990
Polish,Jacek Yerka,Afternoon With The Bros Grimm,1990
Polish,Jacek Yerka,Eruption,1990
Polish,Jacek Yerka,The snow is not permitted,1991
Polish,Jacek Yerka,Amok Harvest,1991
Polish,Jacek Yerka,Ventimiglia,1992
Polish,Jacek Yerka,Express Delivery,1992
Polish,Jacek Yerka,Room,1993
Polish,Jacek Yerka,The place of origin,1993
Polish,Jacek Yerka,New Age Manhattan,1993
Polish,Jacek Yerka,Illegal manufacturing of Light,1993
Polish,Jacek Yerka,Ellison Wonderland,1993
Polish,Jacek Yerka,Please Don't Slam The Door,1993
Polish,Jacek Yerka,Chmurolamacz,1994
Polish,Jacek Yerka,Fisherman's Shack,1994
Polish,Jacek Yerka,There is peace in the Block,1994
Polish,Jacek Yerka,Life on stump,1994
Polish,Jacek Yerka,Dragon pleasure,1995
Polish,Jacek Yerka,Strawberry tree,1995
Polish,Jacek Yerka,Strawberry tree,1995
Polish,Jacek Yerka,Chaos riders,1996
Polish,Jacek Yerka,Polish Bonsai,1996
Polish,Jacek Yerka,Triptych - the left part,1996
Polish,Jacek Yerka,Triptych - the right part,1996
Polish,Jacek Yerka,Triptych - the middle part,1996
Polish,Jacek Yerka,Triptych,1996
Polish,Jacek Yerka,Sea boar,1996
Polish,Jacek Yerka,The last alarm,1996
Polish,Jacek Yerka,Spiritual hour,1997
Polish,Jacek Yerka,Grasshopper's dresser,1997
Polish,Jacek Yerka,Fantastic composition,1997
Polish,Jacek Yerka,Desert tram,1997
Polish,Jacek Yerka,Green room,1997
Polish,Jacek Yerka,Tsunami,1998
Polish,Jacek Yerka,Spring in the Parish,1998
Polish,Jacek Yerka,Jealousy,1998
Polish,Jacek Yerka,Teatime,1998
Polish,Jacek Yerka,Fantastic Landscape,1999
Polish,Jacek Yerka,Two worlds and one more,1999
Polish,Jacek Yerka,Polish Bonsai,1999
Polish,Jacek Yerka,Jurassic Parking,1999
Polish,Jacek Yerka,Personal Shelf,1999
Polish,Jacek Yerka,Peace Farm,1999
Polish,Jacek Yerka,Harvesting Amok,1999
Polish,Jack Tworkov,Red Robe,1947
Polish,Jack Tworkov,Flowering White,1949
Polish,Jack Tworkov,Untitled,1950
Polish,Jack Tworkov,Pink Mississippi,1954
Polish,Jack Tworkov,Untitled,1954
Polish,Jack Tworkov,Untitled,1955
Polish,Jack Tworkov,Blue Note,1959
Polish,Jack Tworkov,Brake III,1960
Polish,Jack Tworkov,Thursday,1960
Polish,Jack Tworkov,Nightfall,1961
Polish,Jack Tworkov,RWB #2,1961
Polish,Jack Tworkov,June 21,1964
Polish,Jack Tworkov,Trace,1966
Polish,Jack Tworkov,Crossfield I,1968
Polish,Jack Tworkov,Q1 75 S#2,1977
Polish,Jack Tworkov,Indian Red Series I,1979
Polish,Josef Herman,Mother and Child,1945
Polish,Josef Herman,Digging for Roots,1949
Polish,Josef Herman,Miners Singing,1951
Polish,Josef Herman,Pruning the Vines,1952
Polish,Josef Herman,In the Canteen,1954
Polish,Josef Herman,The Washerwomen,1954
Polish,Josef Herman,Autumn Idyll,1956
Polish,Josef Herman,Vineyards in the Autumn,1957
Polish,Josef Herman,Harvest Scene,1960
Polish,Josef Herman,Field Workers,1961
Polish,Josef Herman,The Gardener,1963
Polish,Josef Herman,Three Welsh Miners,1966
Polish,Josef Herman,Three Mexican Women,1968
Polish,Josef Herman,Snooker Players,1982
Polish,Josef Herman,Men at Table,1987
Polish,Julian Stanczak,Interaction,1964
Polish,Julian Stanczak,Linear Transit,1967
Polish,Julian Stanczak,Restful Red,1967
Polish,Julian Stanczak,Black Daisy,1969
Polish,Julian Stanczak,Untitled #2,1969
Polish,Julian Stanczak,Burning Through #III,1970
Polish,Julian Stanczak,Translucent Light,1970
Polish,Julian Stanczak,Mirrored,1971
Polish,Julian Stanczak,Brim Two,1972
Polish,Julian Stanczak,Solar,1972
Polish,Julian Stanczak,Accumulative,1975
Polish,Julian Stanczak,Shimmer,1978
Polish,Julian Stanczak,Transept,1978
Polish,Julian Stanczak,Conservative Green: Minus,1979
Polish,Julian Stanczak,Frigid Light,1983
Polish,Julian Stanczak,Seethrough Dark,1983
Polish,Julian Stanczak,Red Octive,1984
Polish,Katarzyna Kobro,Kompozycja Przestrzenna I,1925
Polish,Katarzyna Kobro,Sculpture Spatiale,1928
Polish,Katarzyna Kobro,Spatial Composition 4,1928
Polish,Katarzyna Kobro,Spatial Composition II,1928
Polish,Katarzyna Kobro,Spatial Composition Nr. 6,1931
Polish,Katarzyna Kobro,Spatial Composition 9,1933
Polish,Kazimir Malevich,Underwear on the fence,1903
Polish,Kazimir Malevich,Spring Garden in Blossom,1904
Polish,Kazimir Malevich,Birkenhain,1905
Polish,Kazimir Malevich,Church,1905
Polish,Kazimir Malevich,Landscape,1906
Polish,Kazimir Malevich,"Portrait of a Member of the Artist's Family, ",1906
Polish,Kazimir Malevich,Winter Landscape,1906
Polish,Kazimir Malevich,Landscape with Yellow House,1907
Polish,Kazimir Malevich,Prayer ,1907
Polish,Kazimir Malevich,Self-Portrait,1907
Polish,Kazimir Malevich,Sketch for fresco,1907
Polish,Kazimir Malevich,The wedding,1907
Polish,Kazimir Malevich,Triumph of the Skies ,1907
Polish,Kazimir Malevich,Landscape,1908
Polish,Kazimir Malevich,Woman picking flowers,1908
Polish,Kazimir Malevich,Oak and dryads,1908
Polish,Kazimir Malevich,Rest. Society in Top Hats,1908
Polish,Kazimir Malevich,River in Forest,1908
Polish,Kazimir Malevich,Two dryads,1908
Polish,Kazimir Malevich,Veil ,1908
Polish,Kazimir Malevich,A scene from the drama of Leonid Andreev Anathema,1909
Polish,Kazimir Malevich,Self-Portrait,1910
Polish,Kazimir Malevich,Sisters,1910
Polish,Kazimir Malevich,Town,1910
Polish,Kazimir Malevich,Argentine Polka,1911
Polish,Kazimir Malevich,Bather,1911
Polish,Kazimir Malevich,Bathers,1911
Polish,Kazimir Malevich,Carpenter ,1911
Polish,Kazimir Malevich,Gardener,1911
