Country,Artist_Name,Artwork_Name,Year
Russian,Aleksandr Deyneka,Child's drawing,1903
Russian,Aleksandr Deyneka,Portrait of a Boy,1915
Russian,Aleksandr Deyneka,Portrait of a student,1916
Russian,Aleksandr Deyneka,Portrait of an old man,1916
Russian,Aleksandr Deyneka,Self-portrait,1916
Russian,Aleksandr Deyneka,Winter in Kursk,1916
Russian,Aleksandr Deyneka,Donbass,1924
Russian,Aleksandr Deyneka,With change,1927
Russian,Aleksandr Deyneka,Worker and peasant,1927
Russian,Aleksandr Deyneka,"Yard. Board, c.1920-",1930
Russian,Aleksandr Deyneka,We have to become specialists ,1931
Russian,Aleksandr Deyneka,Who will defeat whom ,1932
Russian,Aleksandr Deyneka,"Work, build and don't weep ",1933
Russian,Aleksandr Deyneka,Youth Negro,1935
Russian,Aleksandr Deyneka,Future Pilots,1938
Russian,Aleksandr Deyneka,Gagarin's Day in Paris,1962
Russian,Aleksandr Deyneka,"Youth, 196",1962
Russian,Aleksandra Ekster,"Still life, 190",1910
Russian,Aleksandra Ekster,Three Female Figures,1910
Russian,Aleksandra Ekster,Bridge. Sevres,1912
Russian,Aleksandra Ekster,Color construction,1912
Russian,Aleksandra Ekster,Interno cubista,1912
Russian,Aleksandra Ekster,View of Paris,1912
Russian,Aleksandra Ekster,City,1913
Russian,Aleksandra Ekster,Still life,1913
Russian,Aleksandra Ekster,Color Dynamics,1914
Russian,Aleksandra Ekster,"Genoa, 191",1914
Russian,Aleksandra Ekster,"Still life, bowl of cherries",1914
Russian,Aleksandra Ekster,Wine,1914
Russian,Aleksandra Ekster,"Florence, 191",1915
Russian,Aleksandra Ekster,Still life with egg,1915
Russian,Aleksandra Ekster,Venice,1915
Russian,Aleksandra Ekster,Cityscape (composition,1916
Russian,Aleksandra Ekster,"Costume Design for the play ""Famira Kifared"""" by Innokentiy Annenski. Maenad.""",1916
Russian,Aleksandra Ekster,"Costume Design for the play ""Famira Kifared""""""",1916
Russian,Aleksandra Ekster,"Costume Design for the play ""Famira Kifared""""""",1916
Russian,Aleksandra Ekster,Costume design for theatre Moscow,1916
Russian,Aleksandra Ekster,"Costume design for ""Dance of the Seven Veils""""""",1917
Russian,Aleksandra Ekster,Costume design for Salome,1917
Russian,Aleksandra Ekster,"Blue, black, red, 191",1918
Russian,Aleksandra Ekster,"Futuristic composition, 191",1918
Russian,Aleksandra Ekster,Women's costume,1918
Russian,Aleksandra Ekster,City at Night,1919
Russian,Aleksandra Ekster,Costume for Romeo and Juliet,1920
Russian,Aleksandra Ekster,Women's costume for the Spanish dance,1920
Russian,Aleksandra Ekster,Women's costume for the Spanish dance,1920
Russian,Aleksandra Ekster,Women's costume for the Spanish dance,1920
Russian,Aleksandra Ekster,"Costume Design for ""Modern Khlestakov""""""",1921
Russian,Aleksandra Ekster,"Romeo and Juliet, costume for first mask at ball",1921
Russian,Aleksandra Ekster,"Theatrical costume design for the play by William Shakespeare's ""Romeo and Juliet """"""",1921
Russian,Aleksandra Ekster,Satanic Ballet,1922
Russian,Aleksandra Ekster,"Construction, 192",1923
Russian,Aleksandra Ekster,Venice,1924
Russian,Aleksandra Ekster,Venice,1925
Russian,Aleksandra Ekster,City,1927
Russian,Aleksandra Ekster,"Woman with birds, 192",1928
Russian,Aleksandra Ekster,"Don Juan, and death. Sheet of from the album ""Theater Set""""""",1930
Russian,Aleksandra Ekster,"Woman with fish, 193",1934
Russian,Aleksandra Ekster,"View of the bridge, 193",1938
Russian,Aleksandra Ekster,"View of the bridge, 193",1938
Russian,Alexander Liberman,Two Circles,1950
Russian,Alexander Liberman,Beat,1952
