Origin,Artist_Name,Artwork_Name,Year
None,3D,No Great Crime,1983
None,3D,3D,1984
None,3D,Wild Bunch,1984
None,3D,Serious Art,1986
None,3D,"Robert De Niro, Taxi Driver",1988
None,3D,Vivisection,1988
None,3D,Agent Blue,1991
None,3D,Naked Lunch,1994
None,Aaron Siskind,Gloucester 16A,1944
None,Aaron Siskind,New York City W 1,1947
None,Aaron Siskind,New York 2,1948
None,Aaron Siskind,"Jerome, Arizona",1949
None,Aaron Siskind,Chicago,1951
None,Aaron Siskind,Kentucky 4,1951
None,Aaron Siskind,New York,1951
None,Aaron Siskind,Acolman 1,1955
None,Aaron Siskind,Uruapan 11,1955
None,Aaron Siskind,Yuchitan 1,1955
None,Aaron Siskind,Feet 102,1957
None,Aaron Siskind,Pleasures and Terrors of Levitation - 25,1957
None,Aaron Siskind,Chicago 6,1961
None,Aaron Siskind,"Rome, Arch of Constantine 10",1963
None,Aaron Siskind,Recife (Olinda) 8,1968
None,Aaron Siskind,The Tree 35,1973
None,Aaron Siskind,Vera Cruz 96,1973
None,Aaron Siskind,Utah 84,1976
None,Aaron Siskind,New York 40,1986
None,Aaron Siskind,Providence 92,1986
None,Aaron Siskind,New York 24,1988
None,Aaron Siskind,Westport 10,1988
None,Abraham Manievich,"Winter Landscape with a Church, ",1905
None,Abraham Manievich,"Vinnytsia, Yerusalymka District",1905
None,Abraham Manievich,"Winter Landscape with a Church, ",1905
None,Abraham Manievich,"Vinnytsia, Yerusalymka District",1905
None,Abraham Manievich,Winter Landscape: Outskirts of Kyiv,1908
None,Abraham Manievich,Winter Landscape: Outskirts of Kyiv,1908
None,Abraham Manievich,Troika in the Snow,1910
None,Abraham Manievich,Troika in the Snow,1910
None,Abraham Manievich,Birch Trees,1911
None,Abraham Manievich,Winter Scene with Church,1911
None,Abraham Manievich,Birch Trees,1911
None,Abraham Manievich,Winter Scene with Church,1911
None,Abraham Manievich,The Spring Sun,1913
None,Abraham Manievich,The Spring Sun,1913
None,Abraham Manievich,Spring in Kyiv`s Kurenivka District,1915
None,Abraham Manievich,Street in a Provincial Town,1915
None,Abraham Manievich,Spring in Kyiv`s Kurenivka District,1915
None,Abraham Manievich,Street in a Provincial Town,1915
None,Abraham Manievich,"Destruction of the Ghetto, Kiev",1919
None,Abraham Manievich,"Destruction of the Ghetto, Kiev",1919
None,Abraham Manievich,Rural Landscape,1921
None,Abraham Manievich,Rural Landscape,1921
None,Abraham Manievich,Camden,1923
None,Abraham Manievich,Camden,1923
None,Abraham Manievich,Untitled,1925
None,Abraham Manievich,Untitled,1925
None,Abraham Manievich,Autumn in the Park,1925
None,Abraham Manievich,Untitled,1925
