Country,Artist_Name,Artwork_Name,Year
American,Aaron Siskind,Gloucester 16A,1944
American,Aaron Siskind,New York City W 1,1947
American,Aaron Siskind,New York 2,1948
American,Aaron Siskind,"Jerome, Arizona",1949
American,Aaron Siskind,Chicago,1951
American,Aaron Siskind,Kentucky 4,1951
American,Aaron Siskind,New York,1951
American,Aaron Siskind,Acolman 1,1955
American,Aaron Siskind,Uruapan 11,1955
American,Aaron Siskind,Yuchitan 1,1955
American,Aaron Siskind,Feet 102,1957
American,Aaron Siskind,Pleasures and Terrors of Levitation - 25,1957
American,Aaron Siskind,Chicago 6,1961
American,Aaron Siskind,"Rome, Arch of Constantine 10",1963
American,Aaron Siskind,Recife (Olinda) 8,1968
American,Aaron Siskind,The Tree 35,1973
American,Aaron Siskind,Vera Cruz 96,1973
American,Aaron Siskind,Utah 84,1976
American,Aaron Siskind,New York 40,1986
American,Aaron Siskind,Providence 92,1986
American,Aaron Siskind,New York 24,1988
American,Aaron Siskind,Westport 10,1988
American,Ad Reinhardt,Untitled,1937
American,Ad Reinhardt,Untitled,1938
American,Ad Reinhardt,Study for a Painting,1938
American,Ad Reinhardt,Study for a Painting,1938
American,Ad Reinhardt,Study for a Painting,1938
American,Ad Reinhardt,Number 30,1938
American,Ad Reinhardt,Collage,1938
American,Ad Reinhardt,Untitled,1938
American,Ad Reinhardt,Study for a Painting,1939
American,Ad Reinhardt,Study for a Painting,1939
American,Ad Reinhardt,Study for a Painting,1939
American,Ad Reinhardt,Untitled (N.Y. World's Fair),1939
American,Ad Reinhardt,Collage,1940
American,Ad Reinhardt,Newsprint Collage,1940
American,Ad Reinhardt,Untitled,1940
American,Ad Reinhardt,Red and Blue Composition,1941
American,Ad Reinhardt,"Illustration for ""The Races of Mankind"""" by Ruth Benedict and Gene Weltfish """,1944
American,Ad Reinhardt,How to Look at a Spiral,1946
American,Ad Reinhardt,Number 6,1946
American,Ad Reinhardt,How to Look at Modern Art ,1946
American,Ad Reinhardt,How to Look at Modern Art (detail),1946
American,Ad Reinhardt,The rescue of art,1946
American,Ad Reinhardt,"Number 43 (Abstract Painting, Yellow)",1947
American,Ad Reinhardt,Blue-Green Painting,1948
American,Ad Reinhardt,Yellow Painting,1949
American,Ad Reinhardt,Number 22,1949
American,Ad Reinhardt,Number 107,1950
American,Ad Reinhardt,Untitled (Yellow and White),1950
American,Ad Reinhardt,Untitled (Red and Gray),1950
American,Ad Reinhardt,Number 88 (Blue),1950
American,Ad Reinhardt,Abstract Painting: Red,1952
American,Ad Reinhardt,Number 5 (Red Wall),1952
American,Ad Reinhardt,Number 15,1952
American,Ad Reinhardt,"Abstract Painting, Blue",1952
American,Ad Reinhardt,Abstract Painting: Blue,1953
American,Ad Reinhardt,Abstract Painting: Blue,1953
American,Ad Reinhardt,Blue Painting,1953
American,Ad Reinhardt,Number 17,1953
American,Ad Reinhardt,Untitled,1954
American,Ad Reinhardt,Abstract Painting,1957
American,Ad Reinhardt,Abstract Painting,1963
