CATASTROPHE,START_YEAR,END_YEAR
Crazy Snake Rebellion,1909,1909
Border War,1910,1919
Negro Rebellio,1912,1912
Occupation of Nicaragua,1912,1933
Bluff War,1914,1915
Occupation of Haiti,1915,1934
Sugar Intervention,1916,1918
Occupation Of Dominican Republic,1916,1924
World War I,1917,1918
Russian Civil War,1918,1920
Posey War,1923,1923
World War II,1941,1945
Korean War,1950,1953
Lebanon Crisis,1958,1958
Bay Of Pigs Invasion,1961,1961
Simba Rebellion ,1964,1964
Dominician Civil War,1965,1966
Vietnam War,1965,1973
Communist Insurgency in Thailand,1965,1983
Shaba II,1978,1978
Multinational Force in Lebanon,1982,1984
Invasion of Grenada,1983,1983
Tanker War,1987,1988
Invasion Of Panama,1989,1990
Gulf War,1990,1991
Somali Civil War,1992,1995
Intervention in Haiti,1994,1995
Bosnian War,1994,1995
Kosovo War,1998,1999
Afghanistan War,2001,2016
Iraq War,2003,2011
North West Pakistan War,2004,2016
Libya Intervention,2011,2016
ISIL War,2014,2016
