Country,Artist_Name,Artwork_Name,Year
Canadian,"Agnes Martin","Desert Rain",1957
Canadian,"Agnes Martin",Untitled,1959
Canadian,"Agnes Martin",Untitled,1959
Canadian,"Agnes Martin","Homage to Greece",1959
Canadian,"Agnes Martin","This Rain",1960
Canadian,"Agnes Martin","Rain (Study)",1960
Canadian,"Agnes Martin","White Flower",1960
Canadian,"Agnes Martin",Aspiration,1960
Canadian,"Agnes Martin","The Islands, ",1961
Canadian,"Agnes Martin","Untitled (White Flower)",1961
Canadian,"Agnes Martin",Drops,1961
Canadian,"Agnes Martin",Tremolo,1962
Canadian,"Agnes Martin","Morning Star",1962
Canadian,"Agnes Martin",Stars,1963
Canadian,"Agnes Martin","Night Sea",1963
Canadian,"Agnes Martin","Falling Blue",1963
Canadian,"Agnes Martin",Untitled,1963
Canadian,"Agnes Martin","Red Bird",1964
Canadian,"Agnes Martin","The Tree",1964
Canadian,"Agnes Martin","The Peach",1964
Canadian,"Agnes Martin",Petal,1964
Canadian,"Agnes Martin","The Harvest",1965
Canadian,"Agnes Martin","The Desert",1965
Canadian,"Agnes Martin",Untitled,1965
Canadian,"Agnes Martin","Mountain I",1966
Canadian,"Agnes Martin","Happy Valley",1967
Canadian,"Agnes Martin","On a clear day, #2",1973
Canadian,"Agnes Martin","On a clear day, #1",1973
Canadian,"Agnes Martin","Untitled Number 5",1975
Canadian,"Agnes Martin","Untitled #0",1975
Canadian,"Agnes Martin","Untitled #13",1975
Canadian,"Agnes Martin",Praise,1976
Canadian,"Agnes Martin",Untitled,1977
Canadian,"Agnes Martin",Untitled,1977
Canadian,"Agnes Martin",Untitled,1977
Canadian,"Agnes Martin",Untitled,1977
Canadian,"Agnes Martin",Untitled,1978
Canadian,"Agnes Martin",Untitled,1978
Canadian,"Agnes Martin","The Islands",1979
Canadian,"Agnes Martin","Untitled #6",1980
Canadian,"Agnes Martin",Untitled,1980
Canadian,"Agnes Martin","Untitled No. 1",1981
Canadian,"Agnes Martin","Untitled #4",1989
Canadian,"Agnes Martin",Untitled,1994
Canadian,"Agnes Martin","Untitled #15 (Peace)",1996
Canadian,"Agnes Martin","With My Back to the World",1997
Canadian,"Agnes Martin",Untitled,1998
Canadian,"Agnes Martin","Happy Holiday",1999
Canadian,"Alex Colville","Man on Verandah",1953
Canadian,"Alex Colville","Horse and Train",1954
Canadian,"Alex Colville","Couple on Beach",1957
Canadian,"Alex Colville","To Prince Edward Island",1965
Canadian,"Alex Colville",Pacific,1967
Canadian,"Alex Colville","In the Woods",1976
Canadian,"Alex Colville","Dog and Priest",1978
Canadian,"Alex Colville","French Cross",1988
Canadian,"Angela Bulloch","West Ham - Sculpture for Football Songs",1998
Canadian,"Armand Vaillancourt",L'Humain,1963
Canadian,"Armand Vaillancourt",Force,1964
Canadian,"Armand Vaillancourt","Power and glory",1965
Canadian,"Armand Vaillancourt","Victoire de Samothrace",1967
Canadian,"Betty Goodwin","Parcel #7",1969
Canadian,"Betty Goodwin","Vest No. 1",1969
Canadian,"Betty Goodwin","Notebook #62",1976
Canadian,"Betty Goodwin",Swimmers,1980
Canadian,"Betty Goodwin","Moving Towards Fire",1983
Canadian,"Betty Goodwin","Swimmer #3",1983
Canadian,"Betty Goodwin","So Certain I Was a Horse",1985
Canadian,"Betty Goodwin",Carbon,1987
Canadian,"Betty Goodwin","Bent Figure with Megaphone",1988
Canadian,"Betty Goodwin","Passing Through (Nerves Series)",1994
Canadian,"Betty Goodwin","Nerves #14",1995
Canadian,"Betty Goodwin","The Weight of Memory X",1998
Canadian,"Brion Gysin","Figures In A Moroccan Landscape",1954
Canadian,"Brion Gysin",Untitled,1959
Canadian,"Brion Gysin",Untitled,1959
Canadian,"Brion Gysin","My Window in Peggy Guggenheim Palazzo",1962
Canadian,"Brion Gysin","Dreammachine (in collaboration with Ian Sommerville)",1962
Canadian,"Brion Gysin",Untitled,1962
Canadian,"Brion Gysin","Self-Portrait Jumping",1974
Canadian,"Brion Gysin","Plateau Beaubourg",1974
Canadian,"Christian Eckart","Andachtsbild #704",1987
Canadian,"Christian Eckart","Cimabue Restoration Project",1987
Canadian,"Christian Eckart","Diptych: Odyssey",1988
Canadian,"Christian Eckart","Eidolon #101",1988
Canadian,"Christian Eckart","White Painting #614",1990
Canadian,"Christian Eckart","White Painting #619",1990
Canadian,"Christian Eckart","White Painting #617",1990
Canadian,"Christian Eckart","Small Curved Monochrome Painting",1995
Canadian,"Claude Tousignant","Les Taches",1955
Canadian,"Claude Tousignant","Horizontale rouge",1957
Canadian,"Claude Tousignant","Verticales jaunes",1958
Canadian,"Claude Tousignant","The Yellow Line",1959
Canadian,"Claude Tousignant","Petite sculpture blanche",1960
Canadian,"Claude Tousignant","Oeil de boeuf",1964
Canadian,"Claude Tousignant","Stochastique en vert",1965
Canadian,"Claude Tousignant","Gong 72",1966
Canadian,"Claude Tousignant","Chromatic Accelerator",1967
Canadian,"Claude Tousignant","Double quatre-vingt-un",1970
