CATASTROPHE,START_YEAR,END_YEAR
Boxer Rebellion,1900,1901
World War I,1914,1918
Allied Intervention in Russian Civil War,1918,1920
Franco Syrian War,1919,1921
Franco Turkish War,1920,1921
Rif War,1920,1920
Great Syrian Revolt,1925,1927
Kongo Wara Rebellion,1928,1931
World War II,1939,1945
IndoChina War,1946,1954
Korean War,1950,1953
Algerian War,1954,1962
Suez War,1956,1957
Ifni War,1957,1958
Algerian War,1954,1962
Western Sahara War,1975,1991
Shaba II,1978,1978
Chadian Libyan Conflict,1978,1987
Gulf War,1990,1991
Djiboutian Civil War,1991,1994
Somali Civil War,1991,2000
Kosovo War,1999,1999
NATO Intervention,1993,1995
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
