Country,Artist_Name,Artwork_Name,Year
German,"Adolf Fleischmann",Harbour,1928
German,"Adolf Fleischmann","Quadrate diagonal",1943
German,"Adolf Fleischmann",Untitled,1947
German,"Adolf Fleischmann","Spitzwinklige Komposition auf Dunklem Grund",1948
German,"Adolf Fleischmann",Untitled,1951
German,"Adolf Fleischmann",Untitled,1952
German,"Adolf Fleischmann",Composition,1954
German,"Adolf Fleischmann","Nr. 39a",1955
German,"Adolf Fleischmann","Composition #72",1956
German,"Adolf Fleischmann",#99,1958
German,"Adolf Fleischmann",#156,1958
German,"Adolf Fleischmann",#100,1958
German,"Adolf Fleischmann",#180,1959
German,"Adolf Fleischmann",#137,1959
German,"Adolf Fleischmann","Relief painting #19x",1961
German,"Adolf Fleischmann",Untitled,1963
German,"Adolf Fleischmann",Untitled,1963
German,"Agnes Lawrence Pelton","Vine Wood",1913
German,"Agnes Lawrence Pelton",Incarnation,1929
German,"Agnes Lawrence Pelton",Radiance,1929
German,"Agnes Lawrence Pelton","Even Song",1930
German,"Agnes Lawrence Pelton","Fire Sounds",1930
German,"Agnes Lawrence Pelton","The Voice",1930
German,"Agnes Lawrence Pelton",Untitled,1931
German,"Agnes Lawrence Pelton","Mount of Flame",1932
German,"Agnes Lawrence Pelton","Sand Storm",1932
German,"Agnes Lawrence Pelton",Memory,1937
German,"Agnes Lawrence Pelton",Challenge,1940
German,"Agnes Lawrence Pelton","Spring Moon",1942
German,"Agnes Lawrence Pelton","Awakening (Memory of Father)",1943
German,"Agnes Lawrence Pelton",Future,1943
German,"Agnes Lawrence Pelton","Ascent (aka Liberation)",1946
German,"Agnes Lawrence Pelton","Light Center",1961
German,"Albert Bierstadt",Butterfly,1900
German,"Albert Bierstadt","Butterfly (second version)",1900
German,"Albert Bierstadt","The Golden Gate",1900
German,"Albert Oehlen","Black Rationality",1982
German,"Albert Oehlen",Untitled,1989
German,"Albert Oehlen",Untitled,1989
German,"Albert Oehlen",Untitled,1993
German,"Albert Oehlen",Peon,1996
German,"Albert Oehlen",Interior,1998
German,"Albert Oehlen","Titanium Cat with Laboratory Tested Animal",1999
German,"Alexej von Jawlensky","Cottage in the Woods",1903
German,"Alexej von Jawlensky","Stilleben mit Weinflasche",1904
German,"Alexej von Jawlensky",Self-portrait,1905
German,"Alexej von Jawlensky","The Hunchback",1905
German,"Alexej von Jawlensky","Blaue Vase mit Orangen",1908
German,"Alexej von Jawlensky","Landschaftstudie - Dorfstrasse",1908
German,"Alexej von Jawlensky","Portrait of a Girl",1909
German,"Alexej von Jawlensky","Portrait of Alexander Sakharoff",1909
German,"Alexej von Jawlensky","Schokko with Red Hat",1909
German,"Alexej von Jawlensky","Sitzende Frau",1909
German,"Alexej von Jawlensky","Still-life with flowers and oranges",1909
German,"Alexej von Jawlensky","Young Girl with Peonies",1909
German,"Alexej von Jawlensky","Blauer Berg",1910
German,"Alexej von Jawlensky","Half-nude figure with long hair sitting bent",1910
German,"Alexej von Jawlensky","Red Blossom",1910
German,"Alexej von Jawlensky","Roter Abend - Blaue Berge",1910
German,"Alexej von Jawlensky","Schokko with Wide-Brimmed Hat",1910
German,"Alexej von Jawlensky","Stilleben mit gestickter Decke",1910
German,"Alexej von Jawlensky","Young Girl with a flowered hat",1910
German,"Alexej von Jawlensky","Der violette Turban",1911
German,"Alexej von Jawlensky","Head of a Woman",1911
German,"Alexej von Jawlensky","Seated Woman",1911
German,"Alexej von Jawlensky","Still Life with Begonia",1911
German,"Alexej von Jawlensky","The church in Prerow",1911
German,"Alexej von Jawlensky",Bauer,1912
German,"Alexej von Jawlensky","Head in blue",1912
German,"Alexej von Jawlensky",Nude,1912
German,"Alexej von Jawlensky","Oberstdorf - Mountains",1912
German,"Alexej von Jawlensky","Pale Woman with Red Hair",1912
German,"Alexej von Jawlensky","Portrait of a Woman",1912
German,"Alexej von Jawlensky",Self-portrait,1912
German,"Alexej von Jawlensky","Spanish Girl",1912
German,"Alexej von Jawlensky","Still Life",1912
German,"Alexej von Jawlensky","The thinking woman",1912
German,"Alexej von Jawlensky","Woman with a green fan",1912
German,"Alexej von Jawlensky","Head in Black and Green",1913
German,"Alexej von Jawlensky","Infantin (Spanierin)",1913
German,"Alexej von Jawlensky","Japanese Flower",1913
German,"Alexej von Jawlensky","Still-life with jug",1913
German,"Alexej von Jawlensky","The Blue Mantilla",1913
German,"Alexej von Jawlensky","Landschaft, Genfer See",1915
German,"Alexej von Jawlensky","Still Life with Bottle, Bread and red Wallpaper with Swallows",1915
German,"Alexej von Jawlensky",Variation,1916
German,"Alexej von Jawlensky","Variation: Field of Tulips",1916
German,"Alexej von Jawlensky","Mystical Head",1917
German,"Alexej von Jawlensky","Mystischer Kopf: Frauenkopf - gelber Mund",1917
German,"Alexej von Jawlensky","Mystischer Kopf: Frauenkopf auf blauem Grund",1917
German,"Alexej von Jawlensky","Mystischer Kopf: Frauenkopf auf rotem Grund",1917
German,"Alexej von Jawlensky","Variation: Glorreicher Abend - Sommersegen II",1917
German,"Alexej von Jawlensky","Autumn Sound",1918
German,"Alexej von Jawlensky","Blumen in einer Vase",1918
German,"Alexej von Jawlensky",Variation,1918
German,"Alexej von Jawlensky","Variation: Sonnenaufgang",1918
German,"Alexej von Jawlensky",Astonishment,1919
German,"Alexej von Jawlensky","Saviour's face: Martyr",1919
German,"Alexej von Jawlensky","Saviour's Face - Christ",1920
German,"Alexej von Jawlensky","Saviour's Face: Distant King - Buddha II, ",1921
German,"Alexej von Jawlensky","Head of a woman, Femina",1922
German,"Alexej von Jawlensky",Meditation,1936
German,"Almir Mavignier","Quadrado Convexo",1956
German,"Almir Mavignier",Untitled,1962
German,"Almir Mavignier","Ohne Titel (Gleiche Dreiecke)",1967
German,"Almir Mavignier","Two Squares",1967
German,"Almir Mavignier",Untitled,1967
German,"Almir Mavignier","Cinetic Composition",1968
German,"Almir Mavignier",Punktstruktur,1968
German,"Andreas Gursky","Ratingen Swimming Pool",1987
German,"Andreas Gursky","New Year's Day Swimmers",1988
German,"Andreas Gursky","Paris Montparnasse",1993
German,"Andreas Gursky","Sha Tin",1994
German,"Andreas Gursky","Untitled III",1996
German,"Andreas Gursky","Times Square, New York",1997
German,"Andreas Gursky","99 Cent",1999
German,"Andreas Gursky","Chicago Board of Trade II",1999
German,"Andreas Gursky","Rhine II",1999
German,"Anni Albers","Wall Hanging",1924
German,"Anni Albers","Wall Hanging",1925
German,"Anni Albers","Wall Hanging",1925
German,"Anni Albers",Black-White-Yellow,1926
German,"Anni Albers","Wall Hanging",1926
German,"Anni Albers","Ancient Writing",1936
German,"Anni Albers","Monte Alban",1936
German,"Anni Albers","With Verticals",1946
German,"Anni Albers",Tapestry,1948
German,"Anni Albers","Development in Rose I",1952
German,"Anni Albers","Development in Rose II",1952
German,"Anni Albers","Red and Blue Layers",1954
German,"Anni Albers","Thickly Settled",1957
German,"Anni Albers","Open Letter",1958
German,"Anni Albers",Pasture,1958
German,"Anni Albers","South of the Border",1958
