CATASTROPHE,START_YEAR,END_YEAR
Boxer Rebellion,1900,1901
Admawa Campaign,1902,1902
Herero Wars,1904,1908
Maji Maji Rebellion,1905,1908
Sokehs Rebellion,1910,1911
Border War,1910,1919
World War I,1914,1918
Finnish Civil War,1918,1918
German Revolution,1918,1919
Lithunian Soviet War,1918,1919
Greater Poland Uprising,1918,1919
Beer Hall Putsch,1923,1923
Spanish Civil War,1936,1939
World War II,1939,1945
First Indochina War,1946,1954
Ethiopian Civil War,1974,1991
Angolan Civil War,1975,1989
Sierra Leone Civil War,1991,2002
Bosnian War,1992,1995
Operation Libelle,1997,1997
Kosovo War,1998,1999
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
